00:00:28:08 00:00:31:05 愿神祝福你们
00:07:11:08 00:07:12:13 便走开了
00:07:12:23 00:07:14:18 虽然他需要钱，他却走开
00:07:15:05 00:07:20:10 这反映当人变得自我，他便开始
00:07:20:20 00:07:23:10 有自己的计划
00:07:23:21 00:07:27:16 自己的提议，自己的形象
00:07:28:04 00:07:32:21 那么，上天
00:07:33:05 00:07:36:07 提供给你的需要
00:07:36:17 00:07:41:11 你的要求，你的答案便会消失无踪
00:07:42:21 00:07:44:02 结果是
00:07:44:08 00:07:48:15 我们不容许上天的戏剧上演
00:07:48:23 00:07:51:05 这不单适用于物质层面
00:07:51:15 00:07:53:22 也适用于感情层面
00:07:54:07 00:08:00:18 亦适用于肉身层面
00:08:02:08 00:08:04:13 而最适用的
00:08:04:20 00:08:07:15 要算是灵性层面
00:08:07:24 00:08:09:08 所以我们不要错失重点
00:08:09:15 00:08:13:22 就让上天扮演它的角色，我们必定能看到
00:08:14:07 00:08:16:19 就像克里希纳曾经说︰” Karmanyevadikaraste”
00:08:17:04 00:08:19:02 「我们的工作就是要做这工作。」
00:08:19:13 00:08:22:20 现在我们做崇拜，做摇灯礼
00:08:23:09 00:08:26:19 我说︰「好吧，若我们能做，很好
00:08:27:02 00:08:28:24 若我们不能，我便乘黄昏的飞机走
00:08:29:10 00:08:32:04 我不介意，不论我坐早上的飞机
00:08:32:11 00:08:34:03 或黄昏的飞机都不要紧
00:08:34:13 00:08:35:24 我绝对很轻松自在
00:08:36:09 00:08:38:19 我们讨论了一些重要事情
00:08:39:04 00:08:40:17 要花点时间
00:08:41:01 00:08:43:17 这是必须要做的，是我们生活的一部分
00:08:44:02 00:08:46:23 所以我并不记挂着我要乘一点钟起飞的飞机
00:08:47:06 00:08:49:01 没问题，我可以乘晚机
00:08:49:07 00:08:50:06 这对我是毫无分别
00:08:50:14 00:08:55:12 就是要采取这种很放松的态度
00:08:55:22 00:08:58:20 去迎接什么会发生
00:08:59:07 00:09:00:15 人们不必要的…(马拉地语)…所以…
00:09:19:22 00:09:21:24 当我们明白
00:09:22:06 00:09:26:15 上天有它完整的戏剧
00:09:26:23 00:09:31:07 它自己的运作方式
00:09:31:18 00:09:33:06 全部事情都是为我们
00:09:33:17 00:09:36:06 为你，为霎哈嘉瑜伽士而作的
00:09:36:19 00:09:38:07 一旦你意识到这样
00:09:38:17 00:09:42:19 你便感到绝对的轻松自在，处于喜乐中
00:09:43:06 00:09:44:17 但一旦你开始︰
00:09:45:03 00:09:47:01 噢！这应该是这样的
00:09:47:13 00:09:49:10 那应该是那样的
00:09:49:21 00:09:53:15 一切都会违反喜乐
00:09:54:13 00:09:57:03 无论事情是以何种途径来都不要紧
00:09:57:12 00:09:59:05 一旦你采取这种态度
00:09:59:13 00:10:02:13 你的喜乐便是完全的
00:10:03:07 00:10:05:03 我曾经见过人们在
00:10:05:14 00:10:07:17 感情上受很多苦
00:10:08:04 00:10:12:06 原因是你对一切都开始思考
00:10:13:05 00:10:16:23 现在在印度，结婚很简单，你要明白
00:10:17:07 00:10:21:12 我们从小便被教导︰「你会结婚
00:10:21:23 00:10:24:20 所以你必须学习怎样与丈夫相处
00:10:25:06 00:10:28:19 男人常常被告知该怎样对待妻子
00:10:29:04 00:10:31:04 虽然他们不知道谁是他们的妻子或丈夫
00:10:31:13 00:10:35:24 丈夫和妻子只是某种记号
00:10:36:11 00:10:37:22 他们不知道是谁
00:10:38:06 00:10:40:01 可以是任何人
00:10:40:10 00:10:43:08 所以你一旦接受她为dharma
00:10:43:17 00:10:47:03 便会为你带来惊喜，你只要去享受
00:10:47:14 00:10:49:23 事情要建立到某程度
00:10:50:08 00:10:53:00 某时刻，那必须也是祥瑞的
00:10:53:11 00:10:56:03 当然他们先占卜
00:10:56:13 00:10:57:10 这很重要
00:10:57:19 00:10:59:21 因为若你不占卜
00:11:00:05 00:11:01:08 后果会是颇灾难性的
00:11:01:16 00:11:03:05 所以他们占卜
00:11:03:15 00:11:05:17 若占到很多点
00:11:06:01 00:11:07:24 他们说二十六点是最理想的
00:11:08:11 00:11:11:10 那么他们便会结婚，不然便不会
00:11:11:22 00:11:17:20 他们见面或不见面都不要紧
00:11:18:05 00:11:21:12 有时人们会见面，大家交往一年
00:11:21:24 00:11:24:03 或许这样他们的婚礼会延期
00:11:24:12 00:11:25:12 没有吉祥的时刻
00:11:25:21 00:11:28:01 他们要花点时间一起
00:11:28:10 00:11:30:00 但不是单独的
00:11:30:11 00:11:32:02 他们从不单独见面
00:11:32:12 00:11:35:02 当你要见你的丈夫或妻子
00:11:35:13 00:11:37:23 这个时刻是很神圣的时刻
00:11:38:07 00:11:39:21 这是很神圣的时刻
00:11:40:05 00:11:43:09 你要集中精神
00:11:46:05 00:11:48:20 忽然下了决定
00:11:49:06 00:11:51:13 你要保持这神圣时刻
00:11:51:22 00:11:55:23 即使有时婚礼举行前还有点时间
00:11:56:06 00:11:57:24 在决定后，还有颇多时间
00:11:58:08 00:12:01:10 你或许还继续
00:12:01:22 00:12:04:02 有种感觉，想见这个人
00:12:04:10 00:12:06:16 但你不会分心
00:12:07:00 00:12:10:03 完全集中精神
00:12:10:15 00:12:14:14 决定了，便只要接受
00:12:15:07 00:12:17:21 在这里，人们同居三年
00:12:18:08 00:12:19:17 接着他们结婚，然后离婚
00:12:20:02 00:12:22:14 我是说我不能理解。即使你们同居三年
00:12:22:21 00:12:24:08 七年，十年
00:12:24:17 00:12:25:15 他们仍会这样做
00:12:25:23 00:12:28:15 那么互相认识了解这么多年有什么用呢？
00:12:28:22 00:12:29:19 仍要离婚
00:12:30:02 00:12:32:09 但若你灵光一闪，明白这是
00:12:32:17 00:12:34:02 专心浓缩的运动
00:12:34:12 00:12:37:07 你对一切都很集中
00:12:37:18 00:12:41:07 你遇见这个人，接受这个人
00:12:41:16 00:12:43:07 作为你的伴侣
00:12:43:18 00:12:47:22 或许有一两个会失败，若你不想及它
00:12:48:05 00:12:49:09 便不会那么失败
00:12:49:18 00:12:51:04 因为在婚后，你便开始想︰
00:12:51:13 00:12:54:22 噢！我期望这样，我期望那样
00:12:55:07 00:12:58:04 我以为是这样的，但却不是
00:12:58:14 00:13:01:04 常常找对方的错处
00:13:01:11 00:13:04:13 不是找自己的错处---这是最精彩的
00:13:05:00 00:13:08:00 不是看自己怎样适应对方
00:13:08:14 00:13:10:13 一旦你开始对婚姻有要求
00:13:10:21 00:13:14:05 婚姻便会完蛋，完结了
00:13:15:07 00:13:19:13 就如你生小孩，你完全不会想
00:13:20:01 00:13:22:07 这是个怎么样的孩子，你只是爱这个孩子
00:13:22:16 00:13:24:07 同样，婚姻也要
00:13:24:17 00:13:28:13 发展这种专心浓缩的感觉
00:13:29:00 00:13:30:17 这样的婚姻才会成功
00:13:31:01 00:13:34:09 但这里，你看，就像当你购买了一些物品
00:13:34:18 00:13:36:06 买了一些东西，好吧
00:13:36:15 00:13:38:18 你便想︰「噢！这个不好
00:13:39:01 00:13:40:10 我应买那个
00:13:40:19 00:13:42:22 那个会更好。」诸如此类
00:13:43:08 00:13:45:04 你因此拿另一件物品
00:13:45:14 00:13:49:02 对象是不同的，对象是对象
00:13:49:16 00:13:51:12 人是生物
00:13:51:23 00:13:53:11 不像死物那样能
00:13:53:20 00:13:55:18 把这个换成那个
00:13:56:03 00:13:59:02 我可以要这个或那个
00:13:59:10 00:14:01:08 对人类你不能这样---
00:14:01:16 00:14:04:15 不然你就是在玩弄上天
00:14:05:09 00:14:09:03 这是重点，你感到
00:14:09:12 00:14:13:17 霎哈嘉瑜伽士要学习接受
00:14:14:01 00:14:15:16 喜乐，接受快乐
00:14:16:00 00:14:19:15 而不是投射荒唐的想法念头
00:14:21:02 00:14:24:09 这样你的喜乐才会是完全的
00:14:24:18 00:14:26:07 不然是不行的
00:14:26:17 00:14:29:12 若你来，比如就肉身方面而言
00:14:29:22 00:14:32:21 就像在这里，若妇女是很瘦的
00:14:33:05 00:14:35:24 她想有像这样的腿，这样的手
00:14:36:09 00:14:39:05 这样的身体，为什么？
00:14:39:16 00:14:41:13 我是说试想像每个人
00:14:41:21 00:14:44:09 都严格控制成某一个特定的模式
00:14:44:17 00:14:46:18 这样的腰，这样的…这会是很可怕
00:14:47:02 00:14:49:08 我是说你会很讨厌，很厌倦这样
00:14:49:20 00:14:51:05 你是想要像这样
00:14:51:15 00:14:54:11 现在的潮流是就外表而言
00:14:54:19 00:14:58:13 我们全是美国先生，又或你怎样称呼它也可以
00:14:58:22 00:15:02:06 每个人都练习慢跑，每个人都像疯子般跑
00:15:02:17 00:15:06:09 为什么？你有自己的个性，要保持你的个性
00:15:06:18 00:15:10:04 你的身体有某些需要，你有自己的风格作风
00:15:10:14 00:15:12:10 当然，若你身体不适，
00:15:12:20 00:15:15:02 便要试试把轮穴治好
00:15:15:13 00:15:17:23 至于外表，你以为︰
00:15:18:09 00:15:20:06 我要像这样，我要像那样
00:15:20:14 00:15:22:05 完全没有任何差别
00:15:22:17 00:15:26:04 所以另一种疯癫开始，人们因此很不快乐
00:15:26:13 00:15:30:06 你要明白，你走到那些所谓精英优秀班
00:15:30:16 00:15:33:12 那里大部分的男人都很高薪
00:15:33:19 00:15:36:09 受过高等教育，上等人
00:15:36:17 00:15:39:03 女人也受过教育
00:15:39:11 00:15:40:24 他们只谈︰
00:15:41:08 00:15:43:19 你吃了多少卡路里的食物，只谈这些话
00:15:44:02 00:15:46:03 你不能理解，这些人出了什么问题？
00:15:46:12 00:15:50:04 他们的层次是这么低
00:15:50:23 00:15:53:11 这是很体面的说话，若他们说些不体面的话
00:15:53:18 00:15:55:23 也能说得很过分
00:15:56:05 00:15:58:23 这些都显示
00:15:59:07 00:16:00:11 这些人没有进化
00:16:00:19 00:16:02:22 他们只想着这些言词
00:16:03:07 00:16:04:22 这就是为何他们变得那么认真严肃
00:16:05:05 00:16:07:01 很认真的讨论这些东西
00:16:07:11 00:16:10:22 你感到像耻笑他们，耻笑他们那么愚蠢
00:16:11:07 00:16:12:24 这些事情在美国这样的国家
00:16:13:07 00:16:15:14 被视为很重要
00:16:15:22 00:16:19:23 这能显示他们是那类人
00:16:21:02 00:16:23:16 我是说在印度，没有人会那么介意身材
00:16:23:24 00:16:27:05 至少在我这把年纪的人，从不喜欢瘦的女孩
00:16:27:15 00:16:29:20 因为他们认为瘦女孩必定是很易发怒
00:16:30:04 00:16:32:08 脾气差，常常胡思乱想
00:16:32:18 00:16:35:04 我告诉你，他们从不喜欢瘦女孩
00:16:35:13 00:16:36:19 即使现在我的丈夫也不喜欢
00:16:37:00 00:16:38:23 他说︰「你看，男人在愚弄女人
00:16:39:07 00:16:41:24 这就是为何女人会做着这些事情
00:16:42:10 00:16:43:14 你要明白，他是个单纯的人
00:16:43:23 00:16:45:15 所以他认为男人愚弄她们
00:16:46:01 00:16:49:00 就像这样，她们要腿像这样
00:16:49:08 00:16:51:15 牙齿像这样，鼻子像这样
00:16:51:23 00:16:55:07 造一个假鼻，放上去，为什么？
00:16:55:16 00:16:59:24 当我们开始思考，肉身也会不平衡
00:17:00:08 00:17:03:07 因为当我们思考，会与另一个思绪相撞
00:17:03:18 00:17:05:20 我们形成了一般的思考
00:17:06:06 00:17:08:05 接受一般模式
00:17:08:13 00:17:12:03 当人们接受这种模式，说︰「好吧，让我们也拥有它。」
00:17:12:13 00:17:14:22 首先他们习惯穿很窄的衣服
00:17:15:03 00:17:17:13 有个女孩向我自吹自擂
00:17:17:20 00:17:19:14 她穿上这些衣服八天了，现在她已不能把它脱下
00:17:19:22 00:17:20:23 我说︰「怎会这样，你怎样处理？」
00:17:21:07 00:17:23:09 她说︰「这些衣物，你能
00:17:23:17 00:17:26:03 穿上跳进桶里
00:17:26:15 00:17:29:05 它便会收缩，你不能把它脱下
00:17:29:14 00:17:30:15 你可以与它一起沐浴
00:17:31:00 00:17:32:15 与它一起做任何事
00:17:33:01 00:17:34:02 我说︰「它很脏。」
00:17:34:12 00:17:36:19 不会，不会，你可以好好擦净它
00:17:37:04 00:17:38:22 但我说︰「为什么，为什么要这样做？
00:17:39:06 00:17:43:16 它会令你身体内的血完全凝固
00:17:44:00 00:17:45:08 现在他们开始受苦
00:17:45:17 00:17:48:01 所以他们现在都穿上宽松的衣服，你看
00:17:48:08 00:17:51:22 瘦长短裤，便装，这种衣服
00:17:52:10 00:17:54:02 当你不停的想着它
00:17:54:10 00:17:56:05 他们便从这个跳到那个
00:17:56:13 00:17:59:15 设法想出新的方法
00:18:00:00 00:18:01:15 传统却不一样
00:18:01:24 00:18:05:19 传统是当人很传统
00:18:06:03 00:18:08:16 实际上什么会发生，明智的人
00:18:08:24 00:18:10:06 才会变得传统
00:18:10:17 00:18:13:06 因为他们明白什么该丢弃
00:18:13:15 00:18:14:20 什么不该丢弃
00:18:15:05 00:18:17:18 他们想明白我们该怎样去升进
00:18:18:04 00:18:19:22 不是只接受一面
00:18:20:08 00:18:22:04 而是两面
00:18:22:15 00:18:25:00 我们要平衡自己，迎上前去
00:18:25:06 00:18:27:09 该丢弃的便要丢弃
00:18:27:19 00:18:31:05 好的便要接受
00:18:31:16 00:18:35:07 从错误中测试学习
00:18:35:16 00:18:38:03 你要明白，你犯错，不要紧，放弃它吧
00:18:38:14 00:18:40:13 试别的---不要紧，放弃它
00:18:40:23 00:18:43:19 无论什么是好的，你们都要保留，还要继续做
00:18:44:04 00:18:46:04 你就是这样建立恰当的传统
00:18:46:14 00:18:48:09 好让其他人能跟随
00:18:48:20 00:18:51:17 常常想着新事物
00:18:52:00 00:18:54:05 常常想有新事物的人
00:18:54:18 00:18:56:11 他们是大错特错
00:18:56:21 00:18:59:24 我们称他们这种做法为愚蠢的举止
00:19:00:09 00:19:02:16 因为新事物
00:19:03:02 00:19:05:20 令他们一团糟，这种情况正在发生在
00:19:06:06 00:19:08:20 大部分的西方国家
00:19:09:04 00:19:10:13 就是他们尝试一切新事物
00:19:10:22 00:19:14:07 现在的时尚是可卡因(毒品)，没错，是可卡因
00:19:14:19 00:19:16:16 我是说即使菲腊王子
00:19:17:01 00:19:18:17 或任何人吸食这种毒品，
00:19:19:02 00:19:20:14 我也不会感到惊讶
00:19:20:24 00:19:22:16 我是说每个人都想尝新
00:19:23:02 00:19:27:14 若你说你不要试，他们会说︰「为什么？为什么不？」
00:19:29:13 00:19:32:09 这是西方思维的一大问题
00:19:32:19 00:19:34:15 你们所有人都要明白
00:19:35:00 00:19:38:10 不要在霎哈嘉瑜伽试新事物
00:19:40:11 00:19:43:20 霎哈嘉瑜伽是从传统建立而来的
00:19:44:06 00:19:47:18 不要在霎哈嘉瑜伽试任何新东西
00:19:48:05 00:19:50:19 我们拥有的已经足够
00:19:51:05 00:19:52:07 不要试新东西
00:19:52:16 00:19:55:10 人们试新事物便会出问题
00:19:55:21 00:19:59:04 所以不要试新东西
00:19:59:19 00:20:03:07 就像有人说现在，你要明白
00:20:03:20 00:20:06:05 我听到在伦敦
00:20:06:14 00:20:08:10 有些人开始授课
00:20:08:23 00:20:12:23 以新方法教授霎哈嘉瑜伽，忽然
00:20:13:09 00:20:14:10 他们全都疯了
00:20:14:21 00:20:16:24 我是说他们的生命能量很古怪
00:20:17:08 00:20:18:21 我不知道对他们该怎么办
00:20:19:06 00:20:20:06 我很惊讶
00:20:20:14 00:20:22:21 我说︰「你们为什么要试这种新方法？
00:20:23:04 00:20:25:11 有何需要用新方法？
00:20:25:21 00:20:29:01 噢！」他们说︰「我们以为用这方法是最好的
00:20:29:11 00:20:31:06 但我说︰「我已经告诉你们所有的方法
00:20:31:14 00:20:33:03 你们有没有尝试，有没有好好掌握这些方法？
00:20:33:13 00:20:35:14 最好还是用我告诉你的方法
00:20:36:01 00:20:39:17 你可以问我后才用新方法
00:20:40:02 00:20:42:02 你要明白自己在做着什么
00:20:42:12 00:20:45:11 我也看到平庸的霎哈嘉瑜伽士常常这样做
00:20:45:21 00:20:49:10 尝试新方法，结果是︰
00:20:49:19 00:20:52:15 我现在告诉你怎样令你的呼吸循环
00:20:53:00 00:20:55:13 为什么要呼吸循环？
00:20:55:22 00:20:57:08 他们忽然发现新方法
00:20:57:16 00:21:00:14 这是很普通的事情，但有时
00:21:00:22 00:21:03:10 这些人是有恶意的，所以要小心
00:21:03:21 00:21:06:00 根本没有需要试新方法
00:21:06:07 00:21:08:20 现在你已经跳进新的知觉
00:21:09:04 00:21:10:23 你只要在那里安定下来
00:21:11:08 00:21:13:17 不要试新方法
00:21:14:04 00:21:17:18 只要稳定巩固自己，令自己平衡稳定
00:21:18:04 00:21:20:19 这才是最重要
00:21:21:06 00:21:23:20 其二是每个人
00:21:24:03 00:21:26:16 都要在霎哈嘉瑜伽博学
00:21:27:02 00:21:29:17 但有些人很滑稽有趣的博学
00:21:30:02 00:21:32:07 我有时也很惊讶
00:21:32:19 00:21:35:22 就像有个同性恋
00:21:36:05 00:21:37:14 荒谬的家伙
00:21:38:00 00:21:39:17 他告诉人︰
00:21:40:01 00:21:43:00 对，你看，母亲说有时这样也没问题
00:21:43:11 00:21:46:15 我从没有这样说，我不会说这种话
00:21:47:03 00:21:49:18 有人说︰「喝酒，可以，母亲说的。」
00:21:50:03 00:21:52:19 我怎会这样说？这种事是不能妥协的
00:21:53:04 00:21:57:00 有人说︰「好吧，你可以做点生意。」
00:21:57:12 00:21:58:18 我从没有这样说
00:21:59:04 00:22:01:04 没有，你不能，不能这样
00:22:01:14 00:22:02:15 他们不是对你说的
00:22:03:01 00:22:05:11 你完全不需要这样做，对吗？
00:22:06:00 00:22:08:08 有这些想法的人
00:22:08:17 00:22:10:04 你告诉他们︰「不是这样。」
00:22:10:16 00:22:11:17 没什么是这样
00:22:12:02 00:22:14:19 在霎哈嘉瑜伽是不能妥协，没有妥协
00:22:15:05 00:22:16:19 无论我们学了什么方法
00:22:17:05 00:22:19:15 让我们练习这些方法以巩固自己
00:22:19:24 00:22:20:20 也巩固别人
00:22:21:04 00:22:23:23 你要保持分际(maryadas)，保持界限
00:22:24:10 00:22:26:13 不要尝试去飞
00:22:27:00 00:22:29:12 有人以为自己是很了不起的霎哈嘉瑜伽士
00:22:29:22 00:22:31:19 他们会这样那样做
00:22:32:03 00:22:33:21 要记着，这是错的
00:22:34:07 00:22:36:04 你要谦卑下来
00:22:36:15 00:22:39:03 记着当你谦卑下来
00:22:39:14 00:22:42:05 你便知道只有谦卑的人
00:22:42:14 00:22:44:13 才是稳定的人
00:22:47:07 00:22:49:13 所以必须完全谦卑
00:22:50:01 00:22:53:05 尝试学习更多霎哈嘉瑜伽的知识
00:22:53:17 00:22:55:00 有很多途径
00:22:55:12 00:22:57:16 取得我的录音带
00:22:58:01 00:23:01:19 还有很多霎哈嘉瑜伽的书籍
00:23:02:04 00:23:04:06 "Nirmala Yoga”亦已经出版
00:23:04:16 00:23:07:19 有很多途径让你能明白理解霎哈嘉瑜伽
00:23:08:02 00:23:10:10 若有不明白，你们可以互相提问
00:23:10:20 00:23:14:01 试试去分析以令自己明白
00:23:14:13 00:23:17:12 母亲在说什么，她是否这样说
00:23:17:22 00:23:20:21 我是用非常简单的语言来讲话
00:23:21:06 00:23:23:18 极之简单易明的言词
00:23:24:04 00:23:28:01 尽量避免专门名词，当然
00:23:28:10 00:23:31:13 有时我也要用艰深的字句，但通常
00:23:31:24 00:23:36:05 语言的背后是很精微的知识在流通
00:23:36:17 00:23:39:09 所以要明白有时或许有点困难
00:23:39:19 00:23:43:10 你或许尝试从中建构某些东西
00:23:43:21 00:23:45:24 或许尝试诠释它
00:23:46:09 00:23:47:15 若有这种问题
00:23:47:24 00:23:50:04 最好询问一些你认为
00:23:50:15 00:23:52:11 有能力给你意见的人
00:23:52:21 00:23:54:17 你要接受他的意见
00:23:55:02 00:23:57:06 不要提出你的见解
00:23:57:16 00:23:59:06 这会是很错的
00:23:59:16 00:24:03:09 这样你便会像出轨的火车
00:24:03:21 00:24:05:18 偏离轨道
00:24:06:05 00:24:07:23 在霎哈嘉瑜伽，我们有自己的轨道
00:24:08:07 00:24:10:01 你要知道，无论你喜不喜欢
00:24:10:12 00:24:13:21 不是自由的问题，而是升进的轨道
00:24:14:07 00:24:15:22 你不能超越这个轨道
00:24:16:08 00:24:19:03 若你以为只是跨越了一点点
00:24:19:16 00:24:22:15 享受下流肮脏的事物一会儿
00:24:23:01 00:24:25:21 再回来霎哈嘉瑜伽，你不会被接受
00:24:26:08 00:24:28:21 若你这样做，我便要
00:24:29:07 00:24:31:11 更加努力的洁净自己，这样那样洁净自己
00:24:31:23 00:24:34:20 要保持自己洁净，你最好在轨道内
00:24:35:07 00:24:36:12 不要偏离它
00:24:36:23 00:24:42:03 不要尝试做些不必要的新事情
00:24:42:13 00:24:44:14 为什么要这样？
00:24:45:00 00:24:50:13 我是说，很简单，你要明白这是浪费精力
00:24:51:03 00:24:52:14 我已经为你找到了
00:24:52:21 00:24:53:17 你为什么还要再找一次？
00:24:54:02 00:24:55:12 就像这个款式的衬衫
00:24:55:21 00:24:58:17 我已经最少穿了…我想
00:24:59:01 00:25:02:09 有五十年或更长，这个款式的衬衫
00:25:02:20 00:25:05:21 现在我的裁缝已经知道我要穿这款衬衫，是这样那样的
00:25:06:04 00:25:08:03 他有我的尺寸
00:25:08:12 00:25:10:06 我只要告诉他︰
00:25:10:15 00:25:13:01 你为我造一件衣服
00:25:13:13 00:25:15:12 造一件衬衫。」他便懂得怎样造
00:25:15:24 00:25:17:12 在最近的很多年
00:25:17:22 00:25:20:22 大约二十五年，只有一个裁缝为我造衣服
00:25:21:08 00:25:23:06 他完全没有头痛，我也没有头痛，没有问题
00:25:23:16 00:25:26:04 若每一天我都要转换款式
00:25:26:17 00:25:29:02 造新的衣袖，新款的衬衣
00:25:29:11 00:25:32:06 我便会头痛，我告诉你我是认真的
00:25:32:19 00:25:34:16 所以为什么，为什么要这样做？有什么用呢？
00:25:35:01 00:25:38:04 谁会去看，谁会因此受影响？
00:25:38:13 00:25:43:12 我们不必要的浪费精力在这些事情上
00:25:43:24 00:25:46:02 我不是说你要严密管制自己
00:25:46:11 00:25:50:02 完全不是这个意思
00:25:50:10 00:25:52:14 我的意思是任何事情能节省思考的精力，你也要去做
00:25:52:22 00:25:55:16 对细微琐碎的事情，没有需要多样化
00:25:56:01 00:25:58:12 而这个国家，我也曾告诉你
