00:00:02:08 00:00:06:07 全世界都充滿着熱忱
00:05:55:15 00:05:59:02 沒有人認識它，完全是隱秘的
00:05:59:18 00:06:04:13 你們不用進書院、學校、大學，任何地方
00:06:05:20 00:06:09:12 便清楚知道靈量的一切
00:06:10:04 00:06:11:24 你們也不用進實驗室
00:06:12:06 00:06:14:06 便能體驗到它
00:06:14:13 00:06:16:24 你已經發現甚麼是靈量
00:06:16:24 00:06:18:08 你親眼見到
00:06:18:08 00:06:20:16 見到靈量的昇起
00:06:20:23 00:06:24:02 你給人自覺
00:06:25:09 00:06:27:21 你不單體驗到
00:06:28:04 00:06:30:09 聖靈的涼風
00:06:30:09 00:06:33:12 也體驗到自己的力量
00:06:35:09 00:06:38:23 還有，
00:06:39:20 00:06:44:16 你理解事物的,
00:06:45:23 00:06:49:20 方式與過往
00:06:51:16 00:06:54:18 完全不同
00:06:55:19 00:07:01:08 因此，如果你與這知識溶合，
00:07:03:11 00:07:07:03 你獲授權提昇別人的靈量
00:07:07:03 00:07:11:20 這連過往的聖人
00:07:12:17 00:07:16:22 先知和偉人也不能做到
00:07:16:22 00:07:19:14 這些年來
00:07:20:16 00:07:23:14 只有很少、很少數的人有
00:07:23:14 00:07:27:13 能力像你那樣
00:07:28:13 00:07:30:19 去提昇靈量
00:07:31:00 00:07:33:11 你明白甚麼是輪穴
00:07:33:11 00:07:36:23 懂得診斷它，即使小孩子也能
00:07:38:05 00:07:41:20 我們甚至意識不到這是很偉大的！
00:07:44:22 00:07:47:02 在人類的層次
00:07:48:05 00:07:51:05 我們對它一點認識也沒有
00:07:51:13 00:07:54:13 我們甚至連「靈量」這個字也沒有聽過
00:07:54:19 00:07:56:24 你們卻能在一瞬間
00:07:56:24 00:08:00:13 變得博學
00:08:01:13 00:08:04:14 這就是霎哈嘉瑜伽給你的祝福
00:08:04:22 00:08:06:16 當你看到
00:08:06:16 00:08:09:02 你擁有這麼多知識
00:08:09:02 00:08:12:22 你的注意力得到啟發，它是怎樣起作用
00:08:13:08 00:08:16:22 你便知道自己擁有很多祝福
00:08:17:03 00:08:19:02 自自然然的就擁有了
00:08:19:02 00:08:23:17 你甚麽也沒有做，便能取得成果
00:08:24:00 00:08:25:19 你很驚訝
00:08:26:16 00:08:30:13 亦不明白它是怎樣發生
00:08:30:24 00:08:33:03 怎樣成就到
00:08:33:03 00:08:35:10 忽然我在這裡，這些事情就發生了
00:08:35:16 00:08:37:13 忽然我在哪裡，那些事情就發生了
00:08:37:22 00:08:43:16 怎會這樣？這個海洋每一刻、每一環節
00:08:43:24 00:08:45:22 都在成就事情
00:08:49:14 00:08:54:13 這些事情能讓你們看清楚
00:08:54:13 00:08:57:14 自己不再是普通人
00:08:57:14 00:09:01:00 而是智者，是聖人
00:09:01:17 00:09:04:13 因此，我們的態度要改變
00:09:05:05 00:09:07:10 很多人類依然是動物
00:09:07:10 00:09:08:18 你看到他們怎樣殺人
00:09:08:18 00:09:12:07 有怎樣的的言行 -- 他們甚至不是人類
00:09:12:21 00:09:14:01 我們與他們一起生活
00:09:14:01 00:09:15:11 每天都看到他們
00:09:15:11 00:09:18:05 他們不只是罪犯
00:09:18:12 00:09:24:21 文化程度也很低
00:09:25:24 00:09:28:22 我們簡直可以稱他們為動物
00:09:28:22 00:09:30:05 有些人是
00:09:30:05 00:09:34:05 半動物半人
00:09:34:24 00:09:38:19 有些人是真正的人類
00:09:38:19 00:09:40:19 他們就是求道者
00:09:51:03 00:09:57:12 當你了解
00:09:58:01 00:10:00:04 你在霎哈嘉瑜伽成就了甚麼時
00:10:02:04 00:10:07:13 你立即意識到你是誰
00:10:12:04 00:10:17:11 當這一切發生在我們身上
00:10:17:19 00:10:20:16 你會很自然的對此很誠懇
00:10:24:15 00:10:28:22 你必定感受到你真正成就了甚麽
00:10:28:22 00:10:31:05 某些偉大的東西存在著
00:10:31:22 00:10:34:11 因此我們必須誠懇
00:10:34:18 00:10:38:18 思維上你也同樣要這樣
00:10:39:16 00:10:42:21 首先你要理性地去感覺
00:10:44:08 00:10:50:07 感覺這是很重要的
00:10:50:18 00:10:54:24 這是很重要
00:10:54:24 00:11:02:19 很珍貴的
00:11:05:19 00:11:09:04 你因此對它很真心實意
00:11:11:08 00:11:17:22 第二部分是很不同的
00:11:20:13 00:11:23:15 你看到一些東西
00:11:23:15 00:11:25:16 知道一些東西
00:11:26:02 00:11:30:07 你開始敞開你的心扉
00:11:31:04 00:11:36:22 第二是你必須開放你的心
00:11:37:08 00:11:40:15 真誠來自開放的心
00:11:43:05 00:11:46:15 如果你的心扉沒有敞開，你是不能真誠
00:11:46:15 00:11:49:21 你的心扉沒有敞開是甚麼意思呢？
00:11:49:21 00:11:51:07 讓我們看看
00:11:56:03 00:11:57:24 你重生了
00:11:58:21 00:12:01:01 獲得自覺了
00:12:01:10 00:12:03:21 這亦是你的生日
00:12:05:15 00:12:12:01 在你的知識和理解力增長的同時
00:12:12:21 00:12:17:04 你的心並沒有與你步伐一致
00:12:17:17 00:12:20:18 為何會這樣
00:12:21:00 00:12:24:07 甚麼令你的心這樣
00:12:27:22 00:12:30:19 你可以很容易發現
00:12:30:19 00:12:33:09 你的心控制身體
00:12:33:17 00:12:35:22 控制腦袋，控制一切
00:12:37:00 00:12:43:01 因為如果你的心停頓，一切都停頓
00:12:45:23 00:12:49:04 但如果你的腦停頓，心並不會停頓
00:12:49:15 00:12:51:20 因此，心是最重要的
00:12:51:20 00:12:55:06 它掌管你的生命
00:12:57:00 00:13:04:00 這個特別的器官
00:13:04:00 00:13:06:17 是很纖弱的
00:13:06:23 00:13:09:03 它在運行
00:13:11:14 00:13:15:14 像石頭一樣
00:13:16:17 00:13:19:12 它怎樣跳動
00:13:22:08 00:13:24:23 當我們說：「擴闊你的心」
00:13:27:06 00:13:31:03 即是說要
00:13:31:03 00:13:33:02 溶化你冷漠的心
00:13:33:08 00:13:35:20 可是，它怎會變得冷漠
00:13:36:14 00:13:39:03 我們要尋到根源
00:13:41:06 00:13:43:19 它變成冷漠是
00:13:44:03 00:13:47:20 因為心控制著腦袋
00:13:49:20 00:13:53:00 腦袋有七個光環
00:13:53:00 00:13:56:23 同樣，心也有七個光環
00:13:57:09 00:13:59:23 這些光環控制著
00:14:00:08 00:14:04:22 腦袋的光環
00:14:08:17 00:14:11:20 你們都知道，腦袋內
00:14:11:20 00:14:17:06 有自我和思想制約
00:14:17:12 00:14:20:19 它們壓迫著腦袋
00:14:21:00 00:14:23:20 因此，這些光環亦受壓迫
00:14:26:13 00:14:29:01 圍繞着心的光環
00:14:29:01 00:14:31:01 也受壓迫
00:14:32:14 00:14:38:19 但是腦袋想
00:14:39:03 00:14:40:02 是的，這很好
00:14:40:02 00:14:41:08 我懂得提昇靈量
00:14:41:08 00:14:45:08 我懂得怎樣做，我懂得所有事。它只說到一部分
00:14:46:14 00:14:50:21 他並非就此變得冷漠
00:14:50:21 00:14:52:10 他能思考
00:14:52:19 00:14:56:00 每個硬心腸的人都能思考
00:14:56:09 00:14:57:20 像希特勒
00:15:00:02 00:15:03:22 腦袋不會受
00:15:04:11 00:15:08:06 思想制約或自我的影響
00:15:09:08 00:15:11:19 而變得像石頭般
00:15:11:19 00:15:13:13 不能思考
00:15:14:00 00:15:16:11 如果自我太大…
00:15:21:24 00:15:27:07 如果是自我，人或許會變得愚蠢
00:15:27:07 00:15:29:00 但他能思考，能正常的思考
00:15:29:00 00:15:31:06 他真的變得愚蠢
00:15:31:23 00:15:34:01 任何自我的人
00:15:35:14 00:15:37:18 他們的額輪會阻塞
00:15:38:15 00:15:41:15 都會變成笨蛋，這是毫無疑問的
00:15:42:09 00:15:44:17 你看到他的言行，無論他說甚麽話
00:15:44:17 00:15:49:17 做甚麽事
00:15:49:23 00:15:54:00 都愛炫耀，他變成笨蛋
00:15:55:00 00:15:57:04 任何有智慧的人都
00:15:57:04 00:15:59:15 能看到他是個笨蛋
00:16:00:03 00:16:02:21 我們發現
00:16:03:07 00:16:12:13 思維是受超我所遮蔽
00:16:13:15 00:16:16:09 但超我不會令人
00:16:18:07 00:16:20:23 的腦袋變成石頭
00:16:21:04 00:16:22:23 相反
00:16:23:04 00:16:28:21 它令人變得愚蠢
00:16:30:12 00:16:32:18 而非像石頭
00:16:34:14 00:16:39:15 這個愚蠢的人可以繼續說各種話
00:16:40:03 00:16:43:17 你可以毫不費力的立即認出
00:16:43:17 00:16:45:18 這個蠢人
00:16:46:15 00:16:50:07 另一方面是思想制約
00:16:50:18 00:16:53:06 這是很差，很詭祕的
00:16:54:00 00:16:56:12 由於某人有制約
00:16:56:23 00:16:59:00 他不能擺脫這制約
00:16:59:07 00:17:01:01 他沒有炫耀
00:17:01:15 00:17:06:12 但很詭祕，他的腦袋滿是
00:17:06:12 00:17:10:00 一些非霎哈嘉的念頭
00:17:11:17 00:17:16:17 好像某人在崇拜看見我
00:17:16:17 00:17:18:09 把我的洗手水給了別人
00:17:18:15 00:17:22:20 他問：「為什麼你要拿
00:17:22:20 00:17:25:08 母親洗過手的水?
00:17:25:16 00:17:26:10 另一個人說：
00:17:26:10 00:17:29:22 母親的手充滿巨大的生命能量
00:17:30:05 00:17:31:17 當我們用這些水清洗時
00:17:34:00 00:17:36:11 能量就出來了
00:17:36:19 00:17:38:19 噢，他不能相信
00:17:39:00 00:17:41:03 因為制約是
00:17:41:03 00:17:42:16 當你用水洗手
00:17:42:16 00:17:44:19 只會洗出污垢
00:17:45:08 00:17:47:17 因此，他們不會想到生命能量
00:17:48:13 00:17:52:14 這些制約全都在人們的腦袋中
00:17:52:24 00:17:55:05 由於這些制約
00:17:55:21 00:17:59:03 他們不能用心去感受事情
00:17:59:03 00:18:03:11 他們用很詭祕的態度
00:18:03:17 00:18:05:08 去思考事情
00:18:05:21 00:18:07:03 還說謊
00:18:07:13 00:18:09:16 說荒唐的事情
00:18:10:00 00:18:14:00 只為想說服你他們是對的
00:18:16:24 00:18:18:24 他們不是笨蛋
00:18:19:16 00:18:22:08 卻是白癡
00:18:24:03 00:18:26:08 他們說話像白癡
00:18:27:11 00:18:30:10 但你卻接受這種白癡的事
00:18:31:08 00:18:33:08 這並沒有智慧
00:18:33:14 00:18:35:14 所以，這個是蠢人
00:18:35:14 00:18:38:13 那個是白癡
00:18:39:08 00:18:43:03 兩者之間就是霎哈嘉瑜伽士
00:18:44:23 00:18:55:08 這制約令腦袋變壞
00:18:56:24 00:18:59:10 但不會使它變成石頭
00:19:00:10 00:19:04:22 只有他是
00:19:08:02 00:19:13:13 先天精神錯亂才會令腦袋變成石頭
00:19:13:13 00:19:15:04 他因此不能思考
00:19:15:04 00:19:18:05 不然，腦袋會不停的思考
00:19:18:05 00:19:20:13 無論是因為思想制約還是自我
00:19:20:13 00:19:22:12 腦袋會不停的思考
00:19:25:00 00:19:32:11 這樣的腦袋不應影響心
00:19:32:11 00:19:35:08 因為是心影響腦袋
00:19:36:04 00:19:41:18 從心彰顯出來的光環
00:19:41:24 00:19:46:16 開始變得暗啞,又或會消失
00:19:48:04 00:19:50:23 圍繞着心的光環
00:19:50:23 00:19:52:23 是很敏感的
00:19:53:09 00:19:57:10 它們感到：「把光投射到腦袋是沒有用的。」
00:19:59:10 00:20:03:12 它們變得越來越小
00:20:03:12 00:20:06:07 心就是這樣變小
00:20:08:10 00:20:11:01 因為它們再沒有生存的意義
00:20:11:12 00:20:14:04 所以變得越來越小
00:20:14:12 00:20:17:07 心因此變得細小
00:20:17:07 00:20:20:06 你稱某人為心眼小的傢伙
00:20:20:06 00:20:22:04 怯懦的傢伙
00:20:22:14 00:20:26:10 或我們時常說的這人是「鐵石心腸的人」。
00:20:27:09 00:20:29:10 發生這些事情
00:20:31:06 00:20:34:09 全因人類的
00:20:34:09 00:20:36:09 思想制約和自我
00:20:36:09 00:20:46:24 結果是心變成石頭
00:20:47:10 00:20:49:23 因為心是敏感的
00:20:50:23 00:20:53:00 腦袋並沒有那麼敏感
00:20:53:09 00:20:57:01 如果你把一些軟的東西放在水裡
00:20:57:10 00:20:59:00 它會變硬
00:20:59:00 00:21:02:12 但是如果你放一塊石頭進水裡，並把水煮沸，它不會變硬
00:21:04:14 00:21:07:04 既敏感又脆弱的心
00:21:07:04 00:21:08:23 變得像石頭般硬
00:21:09:04 00:21:13:03 就如你被熱的腦電波煮沸
00:21:13:20 00:21:16:18 他變成很硬的石頭
00:21:17:00 00:21:22:23 甚至不懂怎樣說一句好話
00:21:26:10 00:21:28:17 他時常都冒犯人
00:21:28:23 00:21:32:01 說些不應說的話
00:21:34:01 00:21:35:09 時常都在想：
00:21:35:09 00:21:39:03 我應說些甚麼話去傷害人？
00:21:40:18 00:21:45:22 我應怎麼去誤導人？
00:21:46:03 00:21:47:21 這是詭祕的態度
00:21:50:05 00:21:52:12 說到自我
00:21:52:19 00:21:57:20 心再次被自我所凍僵
00:21:58:23 00:22:03:12 心在想---不是在想
00:22:03:19 00:22:08:06 心不能向腦袋發放光環
00:22:08:12 00:22:10:23 腦袋開始想：
00:22:11:05 00:22:13:08 現在心已經完蛋
00:22:13:08 00:22:15:17 心不能再控制我們了
00:22:15:23 00:22:18:20 心則在想
00:22:19:06 00:22:22:08 我會自己做所有的事
00:22:22:08 00:22:24:14 我的意思是腦袋開始說
00:22:24:14 00:22:26:17 心開始變小變硬
00:22:26:17 00:22:28:05 不再運作
00:22:28:05 00:22:30:16 腦袋因此接管
00:22:31:03 00:22:33:19 腦袋開始運作
00:22:33:19 00:22:38:00 腦袋開始以
00:22:38:22 00:22:40:05 我們不能了解的方式運作
00:22:40:05 00:22:41:22 他們的言行舉止像動物
00:22:42:05 00:22:44:11 像惡魔
00:22:44:11 00:22:46:09 變得殘忍
00:22:46:19 00:22:50:12 他們不懂怎樣
00:22:51:00 00:22:53:03 向別人講好話
00:22:53:17 00:22:56:19 他們有種假虛榮
00:22:57:08 00:23:00:24 這類人不停傷害人
00:23:01:06 00:23:05:09 侮辱人，直到他們遇到另一個像他們的人
00:23:05:09 00:23:07:23 跟著他們都會崩潰
00:23:12:03 00:23:15:05 這是整件事中意料不到的障礙
00:23:15:11 00:23:17:16 否則，你們現在已經完蛋了
00:23:18:00 00:23:23:23 兩個自我的人不能一起
00:23:23:23 00:23:25:23 他們會彼此中和
00:23:26:05 00:23:29:08 感謝神，我們因此得救
00:23:31:05 00:23:33:06 這兩種制約
00:23:33:13 00:23:37:06 其實是在腦袋裏
00:23:38:08 00:23:41:24 它們把心凍僵
00:23:43:01 00:23:50:01 令心再沒有任何空間
00:23:50:18 00:23:54:12 腦袋因此要維護自己
00:23:57:12 00:24:02:20 這就是我們為甚麽不懂善待別人
00:24:02:20 00:24:05:01 不懂怎樣對別人好，怎樣幫助別人
00:24:05:07 00:24:10:15 怎樣可以溫柔點，怎樣安慰人
00:24:10:15 00:24:12:15 保護人
00:24:15:09 00:24:22:20 我們已經繼承了這一切
00:24:22:20 00:24:24:23 當我們來霎哈嘉瑜伽時
00:24:24:23 00:24:26:14 我們的心有如鐵石一般
00:24:26:14 00:24:30:06 腦袋不是充滿自我就是充滿超我
00:24:31:00 00:24:33:20 現在你的靈量已經昇起
00:24:33:20 00:24:37:01 首先你的腦袋得到潔淨
00:24:37:15 00:24:41:22 當靈量昇起，觸摸到
00:24:42:20 00:24:45:14 你的梵穴(brahmarandra)
00:24:45:14 00:24:49:14 這個心的寶座，心便會擴大,你會變得真誠
00:24:50:03 00:24:52:17 心就像皇帝一般重臨
00:24:52:17 00:24:56:01 開始控制腦袋
00:24:57:18 00:24:59:18 當心回來
00:24:59:18 00:25:02:24 你立即發覺，你與那些你生他們氣的人
00:25:02:24 00:25:05:06 不與他們談話的人，不與他們來往的人
00:25:05:06 00:25:07:12 友善起來
00:25:07:12 00:25:09:12 不再有任何問題了
00:25:09:18 00:25:13:10 人們曾用各種方法傷害你
00:25:14:09 00:25:18:24 一切這些傷害都消失了
00:25:19:13 00:25:23:13 你變得又和善又美麗
00:25:23:20 00:25:26:04 當靈量
00:25:26:04 00:25:29:21 接觸梵穴,這個心的寶座,甚麽會發生
00:25:30:04 00:25:32:01 當梵穴打開
00:25:32:01 00:25:34:20 你的心扉也敞開，它被喚醒
00:25:34:20 00:25:39:15 它想：「啊！甚麼？我竟然容許腦袋管治我?
00:25:39:15 00:25:42:20 它竟敢管治我！」心責罵腦袋
00:25:43:10 00:25:45:18 你曾見過一些人
00:25:46:02 00:25:49:24 忽然間，他們轉變了很多，這是很了不起的
00:25:50:19 00:25:54:03 一位在美國的男士，他說：
00:25:54:03 00:25:59:19 母親，有自覺後我變了很多
00:25:59:19 00:26:02:10 我變得很溫和
00:26:03:02 00:26:06:10 我從不問候我的叔叔或任何人。」
00:26:06:10 00:26:09:10 他在一個節日中遇見他的叔叔並對他說
00:26:09:10 00:26:11:04 叔叔你好
00:26:11:04 00:26:12:22 叔叔望着他
00:26:12:22 00:26:16:07 「你有甚麼不對勁？」他從不會這樣說
00:26:17:04 00:26:19:01 然後他說
00:26:19:01 00:26:21:05 叔叔，你好嗎？你還好嗎？
00:26:21:05 00:26:22:15 我可以為你做些甚麽嗎？
00:26:22:15 00:26:24:16 他說話親切。叔叔說
00:26:24:16 00:26:27:07 你做過甚麼？你喝醉了還是甚麼？
00:26:28:21 00:26:32:02 你怎會對我說這些好話？我真的不能相信
00:26:33:22 00:26:35:13 就是會發生這樣的事
00:26:35:13 00:26:37:17 這就是為何我們可以
00:26:38:00 00:26:41:18 輕易擺脫所有這些事情
00:26:41:18 00:26:43:20 因為我們已經學懂了
00:26:43:20 00:26:47:03 它們可以完結，因為我們已經學懂
00:26:47:09 00:26:51:17 他們不一定是我們全部的人生，我們的親人
00:26:52:04 00:26:54:11 一旦你的心被喚醒
00:26:54:20 00:26:59:08 你便能擊退自我和超我
00:26:59:22 00:27:03:04 與人相處
00:27:03:18 00:27:06:14 我們要以親切的態度與人溝通
00:27:06:22 00:27:10:17 以便打破隔膜
00:27:10:17 00:27:11:23 就如告訴自己
00:27:11:23 00:27:16:01 不，我不相信這個人是這麼壞的
00:27:16:07 00:27:19:06 讓我來照顧他吧，他可能是不錯的
00:27:19:12 00:27:21:12 你看，我不認為他是這麼壞
00:27:21:12 00:27:25:06 人類是很容易接受某人是壞人
00:27:25:12 00:27:27:14 當他們有這種處事態度
00:27:27:22 00:27:30:23 他們便活在自己建立的堡壘內
00:27:30:23 00:27:33:01 認為除了自己
00:27:33:23 00:27:35:22 沒有人是最好的
00:27:36:17 00:27:40:18 因此，整個社群，整個社會
00:27:41:00 00:27:44:22 整個人類都受這種想法侵蝕
00:27:49:15 00:27:54:22 只有霎哈嘉瑜伽可以把它治好
00:27:56:01 00:28:00:01 可以結束這想法
00:28:01:15 00:28:07:23 這部分要由你們去演譯
00:28:08:09 00:28:11:20 要明白只有你一次又一次提昇靈量
00:28:12:01 00:28:14:15 打開你的梵穴
00:28:14:22 00:28:17:20 你才會變得真誠
00:28:18:11 00:28:20:23 你的心才會提昇
00:28:21:11 00:28:26:22 你會有一個喚醒了的人格
00:28:27:04 00:28:29:05 它會掌管你那個不停
00:28:29:05 00:28:30:10 像瘋子一樣思考、
00:28:30:10 00:28:32:22 思考、思考的腦袋
00:28:33:10 00:28:34:22 當這樣發生
00:28:35:08 00:28:36:21 你會意識到
00:28:36:21 00:28:40:04 自己已跳進無疑惑的覺醒狀態
00:28:42:19 00:28:45:13 因此，你要完全明白
00:28:45:19 00:28:47:16 兩者之間的關係
00:28:47:22 00:28:50:04 起初，心的操控權
00:28:50:10 00:28:54:07 或我們可以說心的國王地位受挑戰
00:28:54:18 00:28:57:11 被拉低至零
00:28:57:18 00:28:59:24 這腦袋變成國王
00:28:59:24 00:29:02:04 開始管治我們
00:29:03:00 00:29:11:18 「我想…」，「我覺得…」代表腦袋，即自我
00:29:12:13 00:29:14:10 若你能放棄︰
00:29:15:16 00:29:18:10 「我想…」，「我覺得…」，
00:29:20:16 00:29:22:22 一切都變得妥當
00:29:23:06 00:29:25:12 你應該說：「不是『我想…』
00:29:25:12 00:29:27:18 而是『身體想…』
00:29:29:06 00:29:30:14 你把自己分隔
00:29:30:22 00:29:33:09 漸漸地你從說
00:29:34:03 00:29:37:03 「我想…」這種境況中分隔出來
00:29:37:03 00:29:41:03 你應該說：「這個身體…」，「這隻手…」，「這個頭…」
00:29:42:16 00:29:44:16 你開始分隔
00:29:44:16 00:29:45:22 當你能把自己分隔
00:29:45:22 00:29:50:21 所有自我和超我的障礙都會消失
00:29:51:24 00:29:57:07 就是這樣，要消除自我和超我是很容易的
00:29:57:19 00:30:00:07 消除它們是很容易的
00:30:00:18 00:30:02:24 只要提昇靈量
00:30:03:07 00:30:06:22 打開你的梵穴
00:30:07:03 00:30:09:18 打開你的梵穴
00:30:09:18 00:30:12:11 把靈量與無所不在
00:30:12:18 00:30:15:03 浩愛的力量連上
00:30:15:03 00:30:16:19 是你最大的成就
00:30:16:19 00:30:18:24 這就是我為甚麽常常說你們要靜坐
00:30:19:05 00:30:21:02 處於無思慮的覺醒狀態
00:30:21:02 00:30:22:11 一切都會成就到
00:30:22:11 00:30:25:11 不要放太多注意力在外在的東西
00:30:25:17 00:30:32:18 當然，你某程度上對
00:30:35:01 00:30:36:23 霎哈嘉瑜伽是有責任的
00:30:36:23 00:30:39:13 因為你對它真誠
00:30:39:23 00:30:42:02 你不能勉強自己
00:30:42:15 00:30:44:15 我要一再說
00:30:44:21 00:30:46:07 你要衡量你的真誠
00:30:46:07 00:30:48:23 我對霎哈嘉瑜伽有多真誠？
00:30:54:24 00:30:59:06 有些人只是抱着輕率的態度
00:30:59:13 00:31:03:04 說：「母親，我糊塗了，我迷惘了
00:31:03:10 00:31:05:09 你不能這麼說！
00:31:09:07 00:31:10:23 你不能說
00:31:11:04 00:31:17:01 因為是你欠霎哈嘉瑜伽
00:31:17:14 00:31:19:24 你欠霎哈嘉瑜伽一切
00:31:20:06 00:31:22:06 這是你的新生命
00:31:23:03 00:31:25:06 你不能說「我迷惘了」
00:31:25:12 00:31:29:17 或「我糊塗了，我是笨蛋，我做了這事。」
00:31:30:04 00:31:32:21 你要告訴自己不能這樣
00:31:32:21 00:31:36:04 母親真的真誠地辛勞工作
00:31:36:10 00:31:37:24 我們不可以對它不真誠
00:31:37:24 00:31:40:06 我們不希望是虛偽者
00:31:42:09 00:31:46:21 這是虛偽，完全虛偽
00:31:47:24 00:31:50:10 你說一套做一套
00:31:51:09 00:31:54:12 如果你有絲亳的感激和自尊
00:31:54:20 00:31:57:03 你永遠也不應說
00:31:57:09 00:31:58:23 母親，我不小心做了這些事
00:31:58:23 00:32:02:07 或「我迷惘了，我愚蠢了，我是笨蛋。」
00:32:02:24 00:32:06:01 那表示你仍是平凡人
00:32:06:07 00:32:09:14 你對霎哈嘉瑜伽
00:32:09:23 00:32:12:07 對自己都沒有感激
00:32:12:23 00:32:14:23 最好的當然是
00:32:15:10 00:32:17:18 我不需要霎哈嘉瑜伽
00:32:18:04 00:32:20:20 霎哈嘉瑜伽也不需要你
00:32:21:01 00:32:23:12 你需要霎哈嘉瑜伽
00:32:25:00 00:32:26:23 哈嘉瑜伽是完全的
00:32:26:23 00:32:28:18 它不需要你
00:32:29:06 00:32:32:20 它是完全的
00:32:32:20 00:32:34:21 它絕對會
00:32:35:07 00:32:37:01 維持這種狀況
00:32:39:18 00:32:44:11 它會有自己的位置
00:32:44:17 00:32:47:03 自己的地位，自己的尊嚴
00:32:47:09 00:32:49:17 一切都是完整無缺的
00:32:50:03 00:32:52:21 但若你要從中拿取一些東西
00:32:54:11 00:32:56:23 你便要去成就它
00:32:57:06 00:33:00:06 像恆河
00:33:00:06 00:33:02:03 若你要打水
00:33:02:03 00:33:04:04 必須有足夠深度
00:33:04:04 00:33:06:17 的水壺去盛水
00:33:07:00 00:33:08:09 但若你只帶一塊石頭
00:33:08:09 00:33:10:09 你可以從中取得甚麼？
00:33:10:09 00:33:11:17 恆河是不停的流動
00:33:11:17 00:33:13:20 它就是這樣
00:33:14:01 00:33:16:06 有自己的容量
