00:01:38:14 00:01:43:06 很抱歉，我会告诉你该怎样做，你看
00:32:31:17 00:32:33:21 你来这里，这个女士
00:32:34:05 00:32:35:22 是，你来这里
00:32:36:05 00:32:40:05 她的心轮中部有阻塞，现在拿着它
00:32:42:23 00:32:47:10 坐下，坐下，现在跪下
00:32:55:03 00:32:59:06 哈！于松
00:33:15:06 00:33:18:13 心轮中部…
00:33:45:06 00:33:48:17 幻海…她到过一些导师？
00:33:49:08 00:33:51:03 你到过？
00:34:07:21 00:34:10:23 我不知道是什么…
00:34:12:02 00:34:14:19 是什么？
00:34:16:12 00:34:19:05 某种建筑者
00:34:28:01 00:34:30:19 你的心轮中部有阻塞
00:34:31:03 00:34:34:19 忍着呼吸
00:34:42:05 00:34:45:08 放松呼吸
00:34:47:24 00:34:50:22 再次忍着呼吸
00:34:56:17 00:35:00:08 哈！放松呼吸
00:35:00:23 00:35:05:06 再次忍着呼吸
00:35:07:11 00:35:09:00 你现在好点吗？
00:35:09:09 00:35:12:06 哈！放松
00:35:12:20 00:35:16:12 你好吗？
00:35:17:24 00:35:19:14 左额轮
00:35:20:01 00:35:21:14 你没事
00:35:21:22 00:35:24:15 她妥当吗，看看她的生命能量
00:35:25:00 00:35:26:15 她要清洁她的左边
00:35:26:22 00:35:29:20 问题在左边，我认为
00:35:31:20 00:35:34:04 心轮中部(马拉地语)
00:35:40:11 00:35:45:04 呀！现在很好
00:36:07:13 00:36:11:02 现在，好吧…
00:36:16:18 00:36:20:13 你有没有拿到像这个的？小的？
00:36:28:12 00:36:31:13 你没事吗？
00:36:31:22 00:36:34:02 你受别人感染
00:36:34:10 00:36:38:15 不要担忧，没什么要担忧
00:37:30:17 00:37:32:22 一流！
00:37:33:05 00:37:36:07 把右手向着这里，就这样
00:37:36:17 00:37:38:07 左手向着我，现在
00:37:38:17 00:37:43:17 为什么你听到那么多事情？现在只要拿它…
00:37:51:18 00:37:54:22 很好，一流
00:37:59:12 00:38:01:15 告诉她该怎样做
00:38:01:22 00:38:04:07 这里一点点
00:38:04:17 00:38:09:11 你告诉她，这面一点
00:38:10:02 00:38:13:10 放它，呀…
00:38:23:23 00:38:26:17 左脐轮
00:38:51:23 00:38:54:04 他怎么了？
00:38:55:19 00:38:58:11 左腹轮
00:39:40:21 00:39:43:12 好一点吗？
00:39:46:12 00:39:49:07 你做了多少天？
00:39:52:06 00:39:55:13 时间不长？
00:39:57:02 00:40:00:08 大约多少年？
00:40:14:22 00:40:21:14 把它放在光的附近，高点，把光定下
00:40:26:04 00:40:28:22 在之间，你要忍着呼吸
00:40:29:05 00:40:32:09 (马拉地语)
00:41:12:02 00:41:14:15 呀，好
00:41:15:01 00:41:17:11 你现在没事
00:41:17:20 00:41:20:12 对吗？
00:41:20:24 00:41:24:09 温哥华发生了什么？
00:41:28:24 00:41:32:08 要经常静坐，这才是真正的途径
00:41:32:18 00:41:36:08 现在，让我们看看…
00:41:41:18 00:41:43:17 帕
00:41:49:17 00:41:54:12 她是从一个很严格的静室来的
00:41:58:22 00:42:01:18 伟大的Bala！
00:42:02:07 00:42:05:10 你完全没问题，你没事
00:42:10:07 00:42:13:06 没问题
00:42:32:24 00:42:36:01 Bala会来这里，像哈奴曼，bala
00:42:36:13 00:42:39:14 很快来美国
00:42:41:04 00:42:43:13 但你看，当他开始纠正
00:42:43:20 00:42:46:00 他没事，但有时他会很疲倦
00:42:46:09 00:42:49:23 他便会变成投诉专家，你知道，他是吗？
00:42:50:08 00:42:52:05 所以我已经告诉他下一次
00:42:52:14 00:42:54:01 你不要向我投诉任何人
00:42:54:08 00:42:55:17 不然他会得…
00:42:56:02 00:43:00:19 已经完成了，好吧，完成了，很棒！
00:43:16:10 00:43:19:02 你对，好吧，来吧
00:43:19:11 00:43:22:10 你完全没事，对，现在来吧
00:43:22:19 00:43:25:09 若你想我再见你，在手上
00:43:27:03 00:43:31:05 你完全没事
00:43:43:15 00:43:46:22 很好
00:44:17:16 00:44:22:10 你要贴附着你的工作，好吧？
00:44:23:11 00:44:25:03 它从右到左，右到左
00:44:25:10 00:44:27:04 这不好，呀？
00:44:27:13 00:44:30:22 只要尝试我的手艺
00:44:33:01 00:44:35:14 愿神祝福你
00:44:38:13 00:44:39:23 我想，你会没事
00:44:40:05 00:44:43:10 但你看，你的心轮阻塞，全因为
00:44:43:18 00:44:45:12 若你开始转换工作
00:44:45:21 00:44:49:17 它在你身上运作，把你的双手向着我
00:45:16:11 00:45:20:08 你没事，占士，虽然在圣克鲁兹(美国加州)！
00:45:22:01 00:45:23:00 愿神祝福你们
00:45:23:07 00:45:24:12 我真的很高兴
00:45:24:19 00:45:27:08 我不知道你在圣克鲁兹工作
00:45:27:18 00:45:30:07 这是我很担心的
00:45:30:14 00:45:32:03 愿神祝福你
00:45:32:14 00:45:33:19 我很高兴你在这里
00:45:34:02 00:45:36:23 有些事情在成就
00:45:37:08 00:45:39:24 很好，你很好
00:45:40:07 00:45:42:10 圣克鲁兹不然会…
00:45:42:17 00:45:44:00 (瑜伽士︰我要留在圣克鲁兹？)
00:45:44:08 00:45:45:19 对，我认为是，你可以
00:45:46:02 00:45:49:04 很少人能，没有阻塞
00:45:49:12 00:45:52:05 所以你最好留在那里
00:45:56:16 00:45:58:02 愿神祝福你
00:46:01:08 00:46:07:03 现在，还有谁？每个人都已经做了？
00:47:20:14 00:47:23:22 很好，很棒
00:47:48:21 00:47:51:16 现在，最好拿…若你可以
00:47:51:24 00:47:56:02 这是我的，好吧，把它拿出来，不要紧
00:48:11:20 00:48:14:09 好一点？
00:48:15:20 00:48:18:17 你就是要这样对待人，你明白吗？
00:48:19:01 00:48:21:13 呀，现在，左…
00:48:21:23 00:48:25:12 左脐轮，左脐轮
00:48:43:17 00:48:45:01 你没事
00:48:45:09 00:48:48:09 哈，现在，好一点？
00:48:55:07 00:48:59:01 (女瑜伽士︰我是不是不要穿上另一个介子？)
00:48:59:11 00:49:02:23 最好不，因为你的轮穴有时
00:49:03:07 00:49:05:04 会不妥当
00:49:05:13 00:49:07:10 他们给压力…
00:49:15:06 00:49:17:19 什么？
00:49:18:14 00:49:21:20 是，这就是需要的
00:49:37:00 00:49:41:23 还有谁？来吧，来
00:49:56:05 00:49:59:00 脐轮…腹轮…
00:50:00:07 00:50:03:07 富艺术感
00:50:31:06 00:50:32:21 哈！会没事
00:50:33:03 00:50:38:07 在餐厅工作，所以你可以
00:50:39:07 00:50:42:18 她没事
00:50:47:18 00:50:51:15 现在来吧，还有谁？
00:51:00:10 00:51:04:07 呀，好一点，是吗？
00:52:11:02 00:52:14:02 我是说你为她找丈夫
00:52:14:11 00:52:17:21 因为我很快为你找到丈夫
00:52:19:00 00:52:24:07 这是很快，很快，是吗？
00:52:56:07 00:53:00:15 那些系上它的人把手像这样放
00:53:07:21 00:53:10:00 哗、哗、哗、哗、哗！
00:53:28:21 00:53:32:06 我想你刚拍下照片
00:56:25:21 00:56:31:11 所以，阿力，每个人都拿到它？上前来
00:56:37:21 00:56:41:12 让我看看，你没事吗？
00:56:41:21 00:56:45:16 好一点？现在好一点
00:56:46:02 00:56:49:00 让它成就，这会没事
00:56:49:13 00:56:53:23 哈，现在，是他吗？左边
00:56:56:09 00:56:59:17 从右到左，从右到左
00:57:00:06 00:57:02:06 呀，就是它
00:57:39:01 00:57:41:16 哈！完成了
00:57:42:00 00:57:45:00 好吧？
00:57:49:10 00:57:53:16 他怎么了？带他来
00:57:55:22 00:57:57:21 另一个婴儿在哪里？
00:57:58:04 00:57:59:23 他在哪里？姗
00:58:00:07 00:58:01:17 姗，来这里
00:58:02:00 00:58:03:20 我想你来帮我穿上这个
00:58:04:03 00:58:06:17 你要…好，你现在好吧
00:58:06:22 00:58:08:13 愿神祝福你，现在，现在，姗
00:58:08:23 00:58:11:00 你要把这个放在我的颈上
00:58:11:09 00:58:12:14 她害羞，你看
00:58:12:24 00:58:14:13 现在，这个不害羞
00:58:14:23 00:58:16:14 现在，让这个来
00:58:16:23 00:58:18:07 这个不害羞
00:58:18:18 00:58:19:16 噢！
00:58:19:23 00:58:23:03 这个不害羞
00:58:24:19 00:58:27:05 噢！你在哭，他也在哭
00:58:27:07 00:58:30:08 他也…
00:58:32:14 00:58:34:07 看看现在，他们已经做了崇拜
00:58:34:16 00:58:37:08 他们为我做一切，你什么也没做
00:58:37:20 00:58:41:20 姗，你要把一些…好吧
00:58:42:04 00:58:45:09 让…不要骚扰她，他们全睡着了
00:58:47:00 00:58:52:20 (女瑜伽士询问有关之前为她孩子命名的事情)
00:58:54:12 00:58:57:12 你用“Narasimha”, 这个应是她的名字
00:58:57:23 00:59:00:01 那是什么？
00:59:02:22 00:59:05:18 Narasimhini.
00:59:10:17 00:59:13:18 我给你的名字！
00:59:16:06 00:59:18:01 她出世了，她什么时候出生
00:59:18:13 00:59:19:11 (女瑜伽士︰7月5日)
00:59:19:20 00:59:23:01 呀，就是这原因，因为她是狮子座
00:59:25:10 00:59:31:03 你可以给她另一个名字，一个简单的名字
00:59:40:17 00:59:43:23 这是女神的力量，你知道
00:59:44:08 00:59:49:00 噢！有人上来！呀！
01:00:04:02 01:00:07:16 你可以称呼她为Kesar 
01:00:08:02 01:00:11:00 “Kesar” 意思是狮子的力量
01:00:11:11 01:00:14:16 Kesar. “Kesari”是狮子
01:00:15:01 01:00:16:20 “Kesar” 是狮子的力量
01:00:17:04 01:00:18:12 与Narasimha是一样的
01:00:18:20 01:00:20:00 这个较容易， Kesar.
01:00:23:08 01:00:30:15 她想要什么？K-E-S-A-R. Kesar.
01:00:35:11 01:00:37:09 好吧
01:00:37:15 01:00:39:01 他想要多一点
01:00:39:09 01:00:43:01 无论你想要什么，姗，你想要什么？
01:00:43:16 01:00:47:16 姗，你想要什么？你想要这个？
01:00:48:22 01:00:51:07 你想吃那一个？
01:00:51:21 01:00:54:22 你喜欢那一个？你饿了，无论怎样，拿吧
01:00:57:16 01:01:00:12 每个人都已经有？喂
01:01:03:21 01:01:06:14 来吧，来吧，你想要什么？
01:01:07:09 01:01:10:14 好吧，好吧，让他拿这里的
01:01:16:07 01:01:19:11 他们都喜欢葡萄
01:01:27:18 01:01:32:03 这里，让我看看，你要跪下
01:01:33:21 01:01:36:24 你…她仍要来，对…
01:01:38:05 01:01:41:11 你又怎样？你有，我明白
01:01:41:23 01:01:43:18 很甜
01:01:44:03 01:01:48:23 他害羞，就这样，他很棒，姗很棒
01:01:49:22 01:01:53:16 很漂亮，很棒，看现在！
01:01:53:23 01:01:57:10 现在慢慢张开眼睛，他有点害羞
01:02:49:17 01:02:51:11 (瑜伽士︰牛油)
01:02:51:22 01:02:55:09 你造的？你在这里造的？
01:02:55:21 01:02:59:12 真的？很了不起！
01:03:02:14 01:03:07:14 现在，拿它，不要紧，好，愿神祝福你
01:03:08:07 01:03:11:14 来吧，现在让我看看
01:03:14:02 01:03:17:13 你还好吗？还未？
01:03:19:14 01:03:22:00 我想你坐得更舒适
01:03:22:11 01:03:24:24 你真的很倦
01:03:25:22 01:03:28:17 舒适点，这很重要，现在让我看看
01:03:28:24 01:03:33:04 有什么事？他的左边今天是那么倦
01:03:35:20 01:03:38:14 左额轮仍在这里
01:03:39:10 01:03:42:09 右腹轮，心…轮穴
01:03:42:23 01:03:45:19 现在来吧
01:04:01:17 01:04:06:00 大伟，你把这火放在他的背后
01:04:06:13 01:04:10:10 这里，现在你像这样把双手向着我
01:04:10:20 01:04:12:22 把火拿在手里，这个，这个
01:04:13:06 01:04:15:12 那个在你面前的
01:04:17:12 01:04:19:22 现在，她没事，她会没事
01:04:20:06 01:04:23:11 你没事，愿神祝福你
01:04:23:24 01:04:26:24 你没事，现在，还有谁？
01:04:30:20 01:04:34:11 马拉地语我们也说"I" 即「我」
01:04:52:15 01:04:59:18 好一点？现在，它会解决
01:05:02:01 01:05:03:17 (瑜伽士︰Shri Lalita.)
01:05:04:02 01:05:06:01 它有阻塞
01:05:06:11 01:05:10:03 把右手放在大地之母上
01:05:10:20 01:05:17:18 哈！她没事，你也没事，愿神祝福你
01:05:18:14 01:05:21:22 来
01:05:25:24 01:05:27:14 你成长得很快
01:05:27:23 01:05:30:22 你要给自觉！
01:05:38:23 01:05:41:17 哈！好吧，她没事
01:05:42:03 01:05:44:23 你没事
01:05:45:20 01:05:48:18 你现在来，你已经
01:05:49:03 01:05:52:14 你们全部人？现在，右
01:06:14:23 01:06:17:24 心
01:06:18:22 01:06:20:23 右腹轮
01:06:22:11 01:06:24:09 左腹轮
01:06:24:18 01:06:26:11 心
01:06:26:22 01:06:29:09 两面
01:06:29:23 01:06:32:22 心
01:06:45:08 01:06:48:17 混合是很有趣的---左，右腹轮和心轮
01:06:49:03 01:06:51:10 现在心轮中部
01:06:51:22 01:06:54:06 (马拉地语)
01:06:54:17 01:06:57:09 哈！
01:07:00:12 01:07:04:03 忍着呼吸
01:07:07:19 01:07:11:07 像这样做
01:07:12:10 01:07:16:00 哈！好一点？
01:07:16:24 01:07:19:14 现在好一点
01:07:20:00 01:07:21:07 现在好一点
01:07:21:16 01:07:23:01 好一点，她要清洁
01:07:23:11 01:07:25:10 喂！
01:07:26:02 01:07:27:24 把它清洁，因为是个有趣的组合
01:07:28:08 01:07:34:00 左腹轮，右腹轮，心轮和顶轮
01:07:35:06 01:07:38:18 自我
01:07:42:00 01:07:45:13 就是这样简单
01:07:50:21 01:07:53:23 擦我的脚，对，仍然
01:08:04:20 01:08:07:05 现在，把右手向着我
01:08:07:13 01:08:09:05 左手向上，让我看看，一个接一个
01:08:09:14 01:08:12:02 你好一点吗？
01:08:12:13 01:08:14:16 左边仍有阻塞
01:08:15:04 01:08:17:19 你们两个为何不拿些柠檬和辣椒？
01:08:18:03 01:08:21:13 这会是个好主意
01:08:22:09 01:08:24:02 你在做什么？
01:08:24:12 01:08:26:11 你有否…我不知道你做了些什么
01:08:27:19 01:08:30:21 我只是不明白
01:08:36:11 01:08:42:15 你偏右脉，但这左脉你没有
01:08:43:22 01:08:45:21 左脐轮
01:08:46:12 01:08:49:21 很热的肝
01:08:50:14 01:08:52:23 这样你会好点
01:08:53:10 01:08:56:23 左脐轮还好，但左腹轮
01:08:57:16 01:09:00:22 这是你的心理
01:09:01:20 01:09:05:00 你有没有静坐？
01:09:18:10 01:09:21:10 你看，我只是想到右边
01:09:21:20 01:09:26:13 可以下降到一处较安静的地方
01:09:27:21 01:09:31:05 那么你的速度最好先减慢
01:09:32:01 01:09:34:11 它便会妥当
01:09:38:11 01:09:41:13 只要放慢速度
01:09:42:21 01:09:45:05 你应说︰「我什么也没做。」
01:09:45:16 01:09:49:08 对吗？把一切交托在神的手里
01:09:50:06 01:09:52:13 仍有阻塞？
01:09:52:24 01:09:55:19 现在好点
01:09:59:09 01:10:03:01 这是很令人惊讶
01:10:10:22 01:10:16:01 这是什么？礼物？好吧，谢谢
01:10:17:07 01:10:21:00 这是什么---两件？不容许两件
01:10:23:07 01:10:26:20 这是什么？
01:10:30:10 01:10:33:23 我看不到礼物！
01:10:36:21 01:10:41:17 这是他的把戏，我告诉你︰我买这个，他买这个
01:10:43:14 01:10:51:09 噢！很漂亮，我们争吵了一会儿
01:10:52:06 01:10:55:21 要胜过丹尼先生是不容易
01:10:57:22 01:11:00:06 这是你玩的把戏
01:11:01:00 01:11:05:24 这个是，这个不是，这个很微妙
01:11:07:03 01:11:10:15 其他两个还好，这个很微妙
01:11:11:00 01:11:12:18 这个很美丽，是吗？
01:11:20:21 01:11:23:14 它们是有吸引力
01:11:24:17 01:11:28:22 很漂亮，很好
01:11:35:13 01:11:36:24 我们要拿一个箱子
01:11:37:07 01:11:40:14 来盛载这些东西，要几个箱子
01:11:53:19 01:11:57:03 你看，若你把这个放在…
01:12:01:03 01:12:04:12 不，他在说，医生说他要拿一个箱子来
01:12:04:22 01:12:08:16 他要把它空出
01:12:09:18 01:12:13:11 但到现在他们还未有致电给这些人
01:12:14:08 01:12:16:15 呀，他担忧着这些事情
01:12:16:24 01:12:20:20 现在没事，好一点？你好一点吗？
01:12:27:20 01:12:30:17 我想财政状况首先改善
01:12:31:00 01:12:32:06 那么你便没事
01:12:32:15 01:12:33:23 我想若你真的到墨西哥
01:12:34:06 01:12:36:02 也会赚到点钱
01:12:36:13 01:12:38:22 她也是很聪明
01:12:39:06 01:12:41:24 愿神祝福你
01:12:43:12 01:12:47:05 但要巩固，他们怎能做到，忽然地？
01:12:48:06 01:12:49:23 他们要问这里的政府
01:12:50:09 01:12:52:14 雇用他们
01:13:06:15 01:13:09:05 但这里没有就业的问题
01:13:16:06 01:13:18:09 好吧
01:13:18:20 01:13:23:16 这是个好主意，愿神祝福你
01:13:24:01 01:13:26:21 我不知道他的老板怎么样
01:13:27:05 01:13:29:11 或许他和他的老板都有阻塞
01:13:29:20 01:13:31:08 他怎么了？(瑜伽士︰母亲，很可怕)
01:13:31:16 01:13:33:24 呀，就是这样。(瑜伽士︰嘉的叔叔)
01:13:34:09 01:13:40:08 因为你们并不那么坏，我知道，我听到
01:13:44:12 01:13:46:20 一定是，一定是他
01:13:47:03 01:13:48:03 所以现在最好换了他
01:13:48:10 01:13:50:19 就如他所说，他们能为你找到一些东西
01:13:51:04 01:13:54:05 最好试试吧
01:13:55:09 01:13:58:04 因为这样也能把她的速度减慢，我认为
01:13:58:15 01:14:03:15 因为你的国家是很…移动得很慢，对
01:14:05:05 01:14:06:14 这也是很急速的地方
01:14:06:24 01:14:09:21 美国是极之急速
01:14:10:13 01:14:12:06 那些缺乏速度的人可以来这里
01:14:12:16 01:14:16:10 但那些快速的人则要离开
01:14:17:04 01:14:18:23 我先以为若你到纽约会很好
01:14:19:06 01:14:24:08 但纽约并没有慢下来，这不适合你
01:14:24:19 01:14:28:01 所以若可以安排在墨西哥，无可比拟
01:14:28:16 01:14:30:17 一旦他们妥当，便没有任何问题
01:14:31:02 01:14:35:06 一旦他们平衡。但他们两个却受感染，
01:14:36:09 01:14:38:12 他们是好人，很好的人
01:14:38:21 01:14:41:20 在这国家，他们不是可怕的人
01:14:42:09 01:14:45:12 除了他们的巫术
01:14:46:00 01:14:47:02 但这是能纠正的
01:14:47:11 01:14:49:16 他们慢慢会妥当
01:14:51:03 01:14:55:00 这里的东西是那么便宜，那么便宜
01:15:00:20 01:15:03:11 人手造的，对，这也是好东西
01:15:03:21 01:15:05:21 与机器相比
01:15:06:07 01:15:08:07 所以好吧，很感谢你们，愿神祝福你
01:15:08:16 01:15:10:18 谢谢你的钱包，愿神祝福你
01:15:28:07 01:15:29:23 因为你给我钱包
01:15:30:06 01:15:33:10 你在这里必定有很多钱！
01:15:34:10 01:15:36:08 在这个集体静室，你必定取得很多钱
01:15:37:02 01:15:40:24 到目前为止，没有人给我钱包，我告诉你
01:15:41:21 01:15:43:19 这是第一次
01:15:44:14 01:15:48:10 (瑜伽士︰为祥瑞的原因，我们要放一个钱币在内)
01:15:48:23 01:15:51:00 呀，好主意，一个钱币
01:15:59:13 01:16:03:03 五元太多，一元吧
01:16:07:02 01:16:12:06 不，不，不，不，这是崇拜的钱？
01:16:13:03 01:16:16:00 这个是你在这里一般的崇拜给的
01:16:16:14 01:16:18:01 他们何时拿到它，呀？
01:16:18:14 01:16:21:21 现在我拿到这个钱包，就这样
01:16:22:17 01:16:25:11 你没有一元钱币，是吗？
01:16:25:21 01:16:27:05 好吧
01:16:36:13 01:16:39:07 但他给了二十一
01:16:39:18 01:16:41:06 他是另一个难应付的人！
01:16:41:16 01:16:42:24 好吧，现在我要说
01:16:43:10 01:16:45:07 这些崇拜的钱
01:16:45:20 01:16:49:00 你要数算它，把它放在袋里
01:16:49:13 01:16:52:13 把一般崇拜的钱给我
01:16:52:24 01:16:55:19 在你旁边，对吗？
01:16:56:06 01:16:58:04 对真正的崇拜，它会在这里
01:16:58:13 01:17:01:09 这个当然是真的崇拜，今天，是个很了不起的崇拜
01:17:01:20 01:17:04:01 我们会在那里举行克里希纳崇拜
01:17:04:12 01:17:06:22 很感谢你们，这个很漂亮
01:17:09:04 01:17:12:08 很好
01:17:14:02 01:17:17:10 这次，你知道，我取得四个力量，很幸运
01:17:30:19 01:17:36:00 我们要为这个男士做班丹
