00:00:28:08 00:00:31:05 願神祝福你們
00:05:07:03 00:05:10:03 就像昨天，你要明白
00:05:10:15 00:05:12:09 我知道必定是有些甚麽
00:05:12:18 00:05:16:07 還不是時候
00:05:16:19 00:05:18:07 這次我在這裡花的時間
00:05:18:15 00:05:21:03 本是用來提昇你們的靈量
00:05:22:05 00:05:23:13 但卻不必要的浪費掉
00:05:23:21 00:05:25:23 取而代之，我用了五分鐘
00:05:26:05 00:05:28:06 給他們自覺
00:05:28:14 00:05:33:05 就是這樣。所以一切都要以這種方式來理解
00:05:35:10 00:05:38:10 你會漸漸看到上天的戲劇
00:05:38:20 00:05:40:12 看到事情是怎樣成就
00:05:40:23 00:05:43:12 看到它是怎樣幫助你
00:05:43:22 00:05:48:05 就如神已經把一些東西
00:05:48:19 00:05:51:03 帶到你面前
00:05:51:17 00:05:56:03 華醫生告訴我一個
00:05:56:11 00:05:57:13 很有趣的故事
00:05:57:22 00:06:00:05 財富女神和
00:06:00:13 00:06:05:05 教育女神有點小衝突
00:06:05:15 00:06:09:13 你也可以說教育女神或莎娃斯娃蒂
00:06:09:22 00:06:13:02 若她受忽視
00:06:13:12 00:06:18:07 或受過分的愛慕，便會令你自我中心
00:06:18:17 00:06:21:13 某程度上若你不停的學習
00:06:21:22 00:06:23:13 學習、學習
00:06:23:21 00:06:26:13 你便會偏向一面
00:06:26:24 00:06:32:19 這位女士想測試財富的力量
00:06:33:04 00:06:35:15 她對拉希什米說︰
00:06:35:24 00:06:38:04 好吧，讓我看看，這個人
00:06:38:12 00:06:42:21 這個人是個乞丐，他需要錢
00:06:43:09 00:06:44:22 很多很多的錢
00:06:45:06 00:06:50:16 因此拉希什米把很多錢放在一個大的容器裡
00:06:50:22 00:06:52:03 我們稱這個大容器為handa
00:06:52:13 00:06:55:21 再把容器放在他會走過的通道
00:06:56:07 00:07:00:11 這傢伙走在路上
00:07:01:01 00:07:04:08 莎娃斯娃蒂進入他的思維
00:07:04:20 00:07:07:00 當莎娃斯娃蒂進入他的思維
00:07:07:09 00:07:10:24 他變得很自我，他甚至看也沒有看那些錢
00:07:11:08 00:07:12:13 便走開了
00:07:12:23 00:07:14:18 雖然他需要錢，他卻走開
00:07:15:05 00:07:20:10 這反映當人變得自我，他便開始
00:07:20:20 00:07:23:10 有自己的計畫
00:07:23:21 00:07:27:16 自己的提議，自己的形象
00:07:28:04 00:07:32:21 那麽，上天
00:07:33:05 00:07:36:07 提供給你的需要
00:07:36:17 00:07:41:11 你的要求，你的答案便會消失無蹤
00:07:42:21 00:07:44:02 結果是
00:07:44:08 00:07:48:15 我們不容許上天的戲劇上演
00:07:48:23 00:07:51:05 這不單適用於物質層面
00:07:51:15 00:07:53:22 也適用於感情層面
00:07:54:07 00:08:00:18 亦適用於肉身層面
00:08:02:08 00:08:04:13 而最適用的
00:08:04:20 00:08:07:15 要算是靈性層面
00:08:07:24 00:08:09:08 所以我們不要錯失重點
00:08:09:15 00:08:13:22 就讓上天扮演它的角色，我們必定能看到
00:08:14:07 00:08:16:19 就像克里希納曾經說︰” Karmanyevadikaraste”
00:08:17:04 00:08:19:02 「我們的工作就是要做這工作。」
00:08:19:13 00:08:22:20 現在我們做崇拜，做搖燈禮
00:08:23:09 00:08:26:19 我說︰「好吧，若我們能做，很好
00:08:27:02 00:08:28:24 若我們不能，我便乘黃昏的飛機走
00:08:29:10 00:08:32:04 我不介意，不論我坐早上的飛機
00:08:32:11 00:08:34:03 或黃昏的飛機都不要緊
00:08:34:13 00:08:35:24 我絕對很輕鬆自在
00:08:36:09 00:08:38:19 我們討論了一些重要事情
00:08:39:04 00:08:40:17 要花點時間
00:08:41:01 00:08:43:17 這是必須要做的，是我們生活的一部分
00:08:44:02 00:08:46:23 所以我並不記掛著我要乘一時起飛的飛機
00:08:47:06 00:08:49:01 沒問題，我可以乘晚機
00:08:49:07 00:08:50:06 這對我是毫無分別
00:08:50:14 00:08:55:12 就是要採取這種很放鬆的態度
00:08:55:22 00:08:58:20 去迎接甚麽會發生
00:08:59:07 00:09:00:15 人們不必要的…(馬拉地語)…所以…
00:09:19:22 00:09:21:24 當我們明白
00:09:22:06 00:09:26:15 上天有它完整的戲劇
00:09:26:23 00:09:31:07 它自己的運作方式
00:09:31:18 00:09:33:06 全部事情都是為我們
00:09:33:17 00:09:36:06 為你，為霎哈嘉瑜伽士而作的
00:09:36:19 00:09:38:07 一旦你意識到這樣
00:09:38:17 00:09:42:19 你便感到絕對的輕鬆自在，處於喜樂中
00:09:43:06 00:09:44:17 但一旦你開始︰
00:09:45:03 00:09:47:01 噢！這應該是這樣的
00:09:47:13 00:09:49:10 那應該是那樣的
00:09:49:21 00:09:53:15 一切都會違反喜樂
00:09:54:13 00:09:57:03 無論事情是以何種途徑來都不要緊
00:09:57:12 00:09:59:05 一旦你採取這種態度
00:09:59:13 00:10:02:13 你的喜樂便是完全的
00:10:03:07 00:10:05:03 我曾經見過人們在
00:10:05:14 00:10:07:17 感情上受很多苦
00:10:08:04 00:10:12:06 原因是你對一切都開始思考
00:10:13:05 00:10:16:23 現在在印度，結婚很簡單，你要明白
00:10:17:07 00:10:21:12 我們從小便被教導︰「你會結婚
00:10:21:23 00:10:24:20 所以你必須學習怎樣與丈夫相處
00:10:25:06 00:10:28:19 男人常常被告知該怎樣對待妻子
00:10:29:04 00:10:31:04 雖然他們不知道誰是他們的妻子或丈夫
00:10:31:13 00:10:35:24 丈夫和妻子只是某種記號
00:10:36:11 00:10:37:22 他們不知道是誰
00:10:38:06 00:10:40:01 可以是任何人
00:10:40:10 00:10:43:08 所以你一旦接受她為dharma
00:10:43:17 00:10:47:03 便會為你帶來驚喜，你只要去享受
00:10:47:14 00:10:49:23 事情要建立到某程度
00:10:50:08 00:10:53:00 某時刻，那必須也是祥瑞的
00:10:53:11 00:10:56:03 當然他們先占卜
00:10:56:13 00:10:57:10 這很重要
00:10:57:19 00:10:59:21 因為若你不占卜
00:11:00:05 00:11:01:08 後果會是頗災難性的
00:11:01:16 00:11:03:05 所以他們占卜
00:11:03:15 00:11:05:17 若占到很多點
00:11:06:01 00:11:07:24 他們說二十六點是最理想的
00:11:08:11 00:11:11:10 那麽他們便會結婚，不然便不會
00:11:11:22 00:11:17:20 他們見面或不見面都不要緊
00:11:18:05 00:11:21:12 有時人們會見面，大家交往一年
00:11:21:24 00:11:24:03 或許這樣他們的婚禮會延期
00:11:24:12 00:11:25:12 沒有吉祥的時刻
00:11:25:21 00:11:28:01 他們要花點時間一起
00:11:28:10 00:11:30:00 但不是單獨的
00:11:30:11 00:11:32:02 他們從不單獨見面
00:11:32:12 00:11:35:02 當你要見你的丈夫或妻子
00:11:35:13 00:11:37:23 這個時刻是很神聖的時刻
00:11:38:07 00:11:39:21 這是很神聖的時刻
00:11:40:05 00:11:43:09 你要集中精神
00:11:46:05 00:11:48:20 忽然下了決定
00:11:49:06 00:11:51:13 你要保持這神聖時刻
00:11:51:22 00:11:55:23 即使有時婚禮舉行前還有點時間
00:11:56:06 00:11:57:24 在決定後，還有頗多時間
00:11:58:08 00:12:01:10 你或許還繼續
00:12:01:22 00:12:04:02 有種感覺，想見這個人
00:12:04:10 00:12:06:16 但你不會分心
00:12:07:00 00:12:10:03 完全集中精神
00:12:10:15 00:12:14:14 決定了，便只要接受
00:12:15:07 00:12:17:21 在這裡，人們同居三年
00:12:18:08 00:12:19:17 接著他們結婚，然後離婚
00:12:20:02 00:12:22:14 我是說我不能理解。即使你們同居三年
00:12:22:21 00:12:24:08 七年，十年
00:12:24:17 00:12:25:15 他們仍會這樣做
00:12:25:23 00:12:28:15 那麽互相認識了解這麽多年有甚麽用呢？
00:12:28:22 00:12:29:19 仍要離婚
00:12:30:02 00:12:32:09 但若你靈光一閃，明白這是
00:12:32:17 00:12:34:02 專心濃縮的運動
00:12:34:12 00:12:37:07 你對一切都很集中
00:12:37:18 00:12:41:07 你遇見這個人，接受這個人
00:12:41:16 00:12:43:07 作為你的伴侶
00:12:43:18 00:12:47:22 或許有一兩個會失敗，若你不想及它
00:12:48:05 00:12:49:09 便不會那麽失敗
00:12:49:18 00:12:51:04 因為在婚後，你便開始想︰
00:12:51:13 00:12:54:22 噢！我期望這樣，我期望那樣
00:12:55:07 00:12:58:04 我以為是這樣的，但卻不是
00:12:58:14 00:13:01:04 常常找對方的錯處
00:13:01:11 00:13:04:13 不是找自己的錯處---這是最精彩的
00:13:05:00 00:13:08:00 不是看自己怎樣適應對方
00:13:08:14 00:13:10:13 一旦你開始對婚姻有要求
00:13:10:21 00:13:14:05 婚姻便會完蛋，完結了
00:13:15:07 00:13:19:13 就如你生小孩，你完全不會想
00:13:20:01 00:13:22:07 這是個怎麽樣的孩子，你只是愛這個孩子
00:13:22:16 00:13:24:07 同樣，婚姻也要
00:13:24:17 00:13:28:13 發展這種專心濃縮的感覺
00:13:29:00 00:13:30:17 這樣的婚姻才會成功
00:13:31:01 00:13:34:09 但這裡，你看，就像當你購買了一些物品
00:13:34:18 00:13:36:06 買了一些東西，好吧
00:13:36:15 00:13:38:18 你便想︰「噢！這個不好
00:13:39:01 00:13:40:10 我應買那個
00:13:40:19 00:13:42:22 那個會更好。」諸如此類
00:13:43:08 00:13:45:04 你因此拿另一件物品
00:13:45:14 00:13:49:02 物件是不同的，物件是物件
00:13:49:16 00:13:51:12 人是生物
00:13:51:23 00:13:53:11 不像死物那樣能
00:13:53:20 00:13:55:18 把這個換成那個
00:13:56:03 00:13:59:02 我可以要這個或那個
00:13:59:10 00:14:01:08 對人類你不能這樣---
00:14:01:16 00:14:04:15 不然你就是在玩弄上天
00:14:05:09 00:14:09:03 這是重點，你感到
00:14:09:12 00:14:13:17 霎哈嘉瑜伽士要學習接受
00:14:14:01 00:14:15:16 喜樂，接受快樂
00:14:16:00 00:14:19:15 而不是投射荒唐的想法念頭
00:14:21:02 00:14:24:09 這樣你的喜樂才會是完全的
00:14:24:18 00:14:26:07 不然是不行的
00:14:26:17 00:14:29:12 若你來，比如就肉身方面而言
00:14:29:22 00:14:32:21 就像在這裡，若婦女是很瘦的
00:14:33:05 00:14:35:24 她想有像這樣的腿，這樣的手
00:14:36:09 00:14:39:05 這樣的身體，為甚麽？
00:14:39:16 00:14:41:13 我是說試想像每個人
00:14:41:21 00:14:44:09 都嚴格控制成某一個特定的模式
00:14:44:17 00:14:46:18 這樣的腰，這樣的…這會是很可怕
00:14:47:02 00:14:49:08 我是說你會很討厭，很厭倦這樣
00:14:49:20 00:14:51:05 你是想要像這樣
00:14:51:15 00:14:54:11 現在的潮流是就外表而言
00:14:54:19 00:14:58:13 我們全是美國先生，又或你怎樣稱呼它也可以
00:14:58:22 00:15:02:06 每個人都練習慢跑，每個人都像瘋子般跑
00:15:02:17 00:15:06:09 為甚麽？你有自己的個性，要保持你的個性
00:15:06:18 00:15:10:04 你的身體有某些需要，你有自己的風格作風
00:15:10:14 00:15:12:10 當然，若你身體不適，
00:15:12:20 00:15:15:02 便要試試把輪穴治好
00:15:15:13 00:15:17:23 至於外表，你以為︰
00:15:18:09 00:15:20:06 我要像這樣，我要像那樣
00:15:20:14 00:15:22:05 完全沒有任何差別
00:15:22:17 00:15:26:04 所以另一種瘋癲開始，人們因此很不快樂
00:15:26:13 00:15:30:06 你要明白，你走到那些所謂精英優秀班
00:15:30:16 00:15:33:12 那裡大部分的男人都很高薪
00:15:33:19 00:15:36:09 受過高等教育，上等人
00:15:36:17 00:15:39:03 女人也受過教育
00:15:39:11 00:15:40:24 他們只談︰
00:15:41:08 00:15:43:19 你吃了多少卡路里的食物，只談這些話
00:15:44:02 00:15:46:03 你不能理解，這些人出了甚麽問題？
00:15:46:12 00:15:50:04 他們的層次是這麽低
00:15:50:23 00:15:53:11 這是很體面的說話，若他們說些不體面的話
00:15:53:18 00:15:55:23 也能說得很過分
00:15:56:05 00:15:58:23 這些都顯示
00:15:59:07 00:16:00:11 這些人沒有進化
00:16:00:19 00:16:02:22 他們只想著這些言詞
00:16:03:07 00:16:04:22 這就是為何他們變得那麽認真嚴肅
00:16:05:05 00:16:07:01 很認真的討論這些東西
00:16:07:11 00:16:10:22 你感到像恥笑他們，恥笑他們那麽愚蠢
00:16:11:07 00:16:12:24 這些事情在美國這樣的國家
00:16:13:07 00:16:15:14 被視為很重要
00:16:15:22 00:16:19:23 這能顯示他們是那類人
00:16:21:02 00:16:23:16 我是說在印度，沒有人會那麽介意身材
00:16:23:24 00:16:27:05 至少在我這把年紀的人，從不喜歡瘦的女孩
00:16:27:15 00:16:29:20 因為他們認為瘦女孩必定是很易發怒
00:16:30:04 00:16:32:08 脾氣差，常常胡思亂想
00:16:32:18 00:16:35:04 我告訴你，他們從不喜歡瘦女孩
00:16:35:13 00:16:36:19 即使現在我的丈夫也不喜歡
00:16:37:00 00:16:38:23 他說︰「你看，男人在愚弄女人
00:16:39:07 00:16:41:24 這就是為何女人會做著這些事情
00:16:42:10 00:16:43:14 你要明白，他是個單純的人
00:16:43:23 00:16:45:15 所以他認為男人愚弄她們
00:16:46:01 00:16:49:00 就像這樣，她們要腿像這樣
00:16:49:08 00:16:51:15 牙齒像這樣，鼻子像這樣
00:16:51:23 00:16:55:07 造一個假鼻，放上去，為甚麽？
00:16:55:16 00:16:59:24 當我們開始思考，肉身也會不平衡
00:17:00:08 00:17:03:07 因為當我們思考，會與另一個思緒相撞
00:17:03:18 00:17:05:20 我們形成了一般的思考
00:17:06:06 00:17:08:05 接受一般模式
00:17:08:13 00:17:12:03 當人們接受這種模式，說︰「好吧，讓我們也擁有它。」
00:17:12:13 00:17:14:22 首先他們習慣穿很窄的衣服
00:17:15:03 00:17:17:13 有個女孩向我自吹自擂
00:17:17:20 00:17:19:14 她穿上這些衣服八天了，現在她已不能把它脫下
00:17:19:22 00:17:20:23 我說︰「怎會這樣，你怎樣處理？」
00:17:21:07 00:17:23:09 她說︰「這些衣物，你能
00:17:23:17 00:17:26:03 穿上跳進桶裡
00:17:26:15 00:17:29:05 它便會收縮，你不能把它脫下
00:17:29:14 00:17:30:15 你可以與它一起沐浴
00:17:31:00 00:17:32:15 與它一起做任何事
00:17:33:01 00:17:34:02 我說︰「它很髒。」
00:17:34:12 00:17:36:19 不會，不會，你可以好好擦淨它
00:17:37:04 00:17:38:22 但我說︰「為甚麽，為甚麽要這樣做？
00:17:39:06 00:17:43:16 它會令你身體內的血完全凝固
00:17:44:00 00:17:45:08 現在他們開始受苦
00:17:45:17 00:17:48:01 所以他們現在都穿上寛鬆的衣服，你看
00:17:48:08 00:17:51:22 瘦長短褲，便裝，這種衣服
00:17:52:10 00:17:54:02 當你不停的想著它
00:17:54:10 00:17:56:05 他們便從這個跳到那個
00:17:56:13 00:17:59:15 設法想出新的方法
00:18:00:00 00:18:01:15 傳統卻不一樣
00:18:01:24 00:18:05:19 傳統是當人很傳統
00:18:06:03 00:18:08:16 實際上甚麽會發生，明智的人
00:18:08:24 00:18:10:06 才會變得傳統
00:18:10:17 00:18:13:06 因為他們明白甚麽該丟棄
00:18:13:15 00:18:14:20 甚麽不該丟棄
00:18:15:05 00:18:17:18 他們想明白我們該怎樣去昇進
00:18:18:04 00:18:19:22 不是只接受一面
00:18:20:08 00:18:22:04 而是兩面
00:18:22:15 00:18:25:00 我們要平衡自己，迎上前去
00:18:25:06 00:18:27:09 該丟棄的便要丟棄
00:18:27:19 00:18:31:05 好的便要接受
00:18:31:16 00:18:35:07 從錯誤中測試學習
00:18:35:16 00:18:38:03 你要明白，你犯錯，不要緊，放棄它吧
00:18:38:14 00:18:40:13 試別的---不要緊，放棄它
00:18:40:23 00:18:43:19 無論甚麽是好的，你們都要保留，還要繼續做
00:18:44:04 00:18:46:04 你就是這樣建立恰當的傳統
00:18:46:14 00:18:48:09 好讓其他人能跟隨
00:18:48:20 00:18:51:17 常常想著新事物
00:18:52:00 00:18:54:05 常常想有新事物的人
00:18:54:18 00:18:56:11 他們是大錯特錯
00:18:56:21 00:18:59:24 我們稱他們這種做法為愚蠢的舉止
00:19:00:09 00:19:02:16 因為新事物
00:19:03:02 00:19:05:20 令他們一團糟，這種情況正正發生在
00:19:06:06 00:19:08:20 大部分的西方國家
00:19:09:04 00:19:10:13 就是他們嘗試一切新事物
00:19:10:22 00:19:14:07 現在的時尚是可卡因(毒品)，沒錯，是可卡因
00:19:14:19 00:19:16:16 我是說即使菲臘王子
00:19:17:01 00:19:18:17 或任何人吸食這種毒品，
00:19:19:02 00:19:20:14 我也不會感到驚訝
00:19:20:24 00:19:22:16 我是說每個人都想嘗新
00:19:23:02 00:19:27:14 若你說你不要試，他們會說︰「為甚麽？為甚麽不？」
00:19:29:13 00:19:32:09 這是西方思維的一大問題
00:19:32:19 00:19:34:15 你們全部人都要明白
00:19:35:00 00:19:38:10 不要在霎哈嘉瑜伽試新事物
00:19:40:11 00:19:43:20 霎哈嘉瑜伽是從傳統建立而來的
00:19:44:06 00:19:47:18 不要在霎哈嘉瑜伽試任何新東西
00:19:48:05 00:19:50:19 我們擁有的已經足夠
00:19:51:05 00:19:52:07 不要試新東西
00:19:52:16 00:19:55:10 人們試新事物便會出問題
00:19:55:21 00:19:59:04 所以不要試新東西
00:19:59:19 00:20:03:07 就像有人說現在，你要明白
00:20:03:20 00:20:06:05 我聽到在倫敦
00:20:06:14 00:20:08:10 有些人開始授課
00:20:08:23 00:20:12:23 以新方法教授霎哈嘉瑜伽，忽然
00:20:13:09 00:20:14:10 他們全都瘋了
00:20:14:21 00:20:16:24 我是說他們的生命能量很古怪
00:20:17:08 00:20:18:21 我不知道對他們該怎麽辦
00:20:19:06 00:20:20:06 我很驚訝
00:20:20:14 00:20:22:21 我說︰「你們為甚麽要試這種新方法？
00:20:23:04 00:20:25:11 有何需要用新方法？
00:20:25:21 00:20:29:01 噢！」他們說︰「我們以為用這方法是最好的
00:20:29:11 00:20:31:06 但我說︰「我已經告訴你們所有的方法
00:20:31:14 00:20:33:03 你們有沒有嘗試，有沒有好好掌握這些方法？
00:20:33:13 00:20:35:14 最好還是用我告訴你的方法
00:20:36:01 00:20:39:17 你可以問我後才用新方法
00:20:40:02 00:20:42:02 你要明白自己在做著甚麽
00:20:42:12 00:20:45:11 我也看到平庸的霎哈嘉瑜伽士常常這樣做
00:20:45:21 00:20:49:10 嘗試新方法，結果是︰
00:20:49:19 00:20:52:15 我現在告訴你怎樣令你的呼吸循環
00:20:53:00 00:20:55:13 為甚麽要呼吸循環？
00:20:55:22 00:20:57:08 他們忽然發現新方法
00:20:57:16 00:21:00:14 這是很普通的事情，但有時
00:21:00:22 00:21:03:10 這些人是有惡意的，所以要小心
00:21:03:21 00:21:06:00 根本沒有需要試新方法
00:21:06:07 00:21:08:20 現在你已經跳進新的知覺
00:21:09:04 00:21:10:23 你只要在那裡安定下來
00:21:11:08 00:21:13:17 不要試新方法
00:21:14:04 00:21:17:18 只要穩定鞏固自己，令自己平衡穩定
00:21:18:04 00:21:20:19 這才是最重要
00:21:21:06 00:21:23:20 其二是每個人
00:21:24:03 00:21:26:16 都要在霎哈嘉瑜伽博學
00:21:27:02 00:21:29:17 但有些人很滑稽有趣的博學
00:21:30:02 00:21:32:07 我有時也很驚訝
00:21:32:19 00:21:35:22 就像有個同性戀
00:21:36:05 00:21:37:14 荒謬的傢伙
00:21:38:00 00:21:39:17 他告訴人︰
00:21:40:01 00:21:43:00 對，你看，母親說有時這樣也沒問題
00:21:43:11 00:21:46:15 我從沒有這樣說，我不會說這種話
00:21:47:03 00:21:49:18 有人說︰「喝酒，可以，母親說的。」
00:21:50:03 00:21:52:19 我怎會這樣說？這種事是不能妥協的
00:21:53:04 00:21:57:00 有人說︰「好吧，你可以做點生意。」
00:21:57:12 00:21:58:18 我從沒有這樣說
00:21:59:04 00:22:01:04 沒有，你不能，不能這樣
00:22:01:14 00:22:02:15 他們不是對你說的
00:22:03:01 00:22:05:11 你完全不需要這樣做，對嗎？
00:22:06:00 00:22:08:08 有這些想法的人
00:22:08:17 00:22:10:04 你告訴他們︰「不是這樣。」
00:22:10:16 00:22:11:17 沒甚麽是這樣
00:22:12:02 00:22:14:19 在霎哈嘉瑜伽是不能妥協，沒有妥協
00:22:15:05 00:22:16:19 無論我們學了甚麽方法
00:22:17:05 00:22:19:15 讓我們練習這些方法以鞏固自己
00:22:19:24 00:22:20:20 也鞏固別人
00:22:21:04 00:22:23:23 你要保持分際(maryadas)，保持界限
00:22:24:10 00:22:26:13 不要嘗試去飛
00:22:27:00 00:22:29:12 有人以為自己是很了不起的霎哈嘉瑜伽士
00:22:29:22 00:22:31:19 他們會這樣那樣做
00:22:32:03 00:22:33:21 要記著，這是錯的
00:22:34:07 00:22:36:04 你要謙卑下來
00:22:36:15 00:22:39:03 記著當你謙卑下來
00:22:39:14 00:22:42:05 你便知道只有謙卑的人
00:22:42:14 00:22:44:13 才是穩定的人
00:22:47:07 00:22:49:13 所以必須完全謙卑
00:22:50:01 00:22:53:05 嘗試學習更多霎哈嘉瑜伽的知識
00:22:53:17 00:22:55:00 有很多途徑
00:22:55:12 00:22:57:16 取得我的錄音帶
00:22:58:01 00:23:01:19 還有很多霎哈嘉瑜伽的書籍
00:23:02:04 00:23:04:06 "Nirmala Yoga”亦已經出版
00:23:04:16 00:23:07:19 有很多途徑讓你能明白理解霎哈嘉瑜伽
00:23:08:02 00:23:10:10 若有不明白，你們可以互相提問
00:23:10:20 00:23:14:01 試試去分析以令自己明白
00:23:14:13 00:23:17:12 母親在說甚麽，她是否這樣說
00:23:17:22 00:23:20:21 我是用非常簡單的語言來講話
00:23:21:06 00:23:23:18 極之簡單易明的言詞
00:23:24:04 00:23:28:01 盡量避免專門名詞，當然
00:23:28:10 00:23:31:13 有時我也要用艱深的字句，但通常
00:23:31:24 00:23:36:05 語言的背後是很精微的知識在流通
00:23:36:17 00:23:39:09 所以要明白有時或許有點困難
00:23:39:19 00:23:43:10 你或許嘗試從中建構某些東西
00:23:43:21 00:23:45:24 或許嘗試詮釋它
00:23:46:09 00:23:47:15 若有這種問題
00:23:47:24 00:23:50:04 最好詢問一些你認為
00:23:50:15 00:23:52:11 有能力給你意見的人
00:23:52:21 00:23:54:17 你要接受他的意見
00:23:55:02 00:23:57:06 不要提出你的見解
00:23:57:16 00:23:59:06 這會是很錯的
00:23:59:16 00:24:03:09 這樣你便會像出軌的火車
00:24:03:21 00:24:05:18 偏離軌道
00:24:06:05 00:24:07:23 在霎哈嘉瑜伽，我們有自己的軌道
00:24:08:07 00:24:10:01 你要知道，無論你喜不喜歡
00:24:10:12 00:24:13:21 不是自由的問題，而是昇進的軌道
00:24:14:07 00:24:15:22 你不能超越這個軌道
00:24:16:08 00:24:19:03 若你以為只是跨越了一點點
00:24:19:16 00:24:22:15 享受下流骯髒的事物一會兒
00:24:23:01 00:24:25:21 再回來霎哈嘉瑜伽，你不會被接受
00:24:26:08 00:24:28:21 若你這樣做，我便要
00:24:29:07 00:24:31:11 更加努力的潔淨自己，這樣那樣潔淨自己
00:24:31:23 00:24:34:20 要保持自己潔淨，你最好在軌道內
00:24:35:07 00:24:36:12 不要偏離它
00:24:36:23 00:24:42:03 不要嘗試做些不必要的新事情
00:24:42:13 00:24:44:14 為甚麽要這樣？
00:24:45:00 00:24:50:13 我是說，很簡單，你要明白這是浪費精力
00:24:51:03 00:24:52:14 我已經為你找到了
00:24:52:21 00:24:53:17 你為甚麽還要再找一次？
00:24:54:02 00:24:55:12 就像這個款式的襯衫
00:24:55:21 00:24:58:17 我已經最少穿了…我想
00:24:59:01 00:25:02:09 有五十年或更長，這個款式的襯衫
00:25:02:20 00:25:05:21 現在我的裁縫已經知道我要穿這款襯衫，是這樣那樣的
00:25:06:04 00:25:08:03 他有我的尺寸
00:25:08:12 00:25:10:06 我只要告訴他︰
00:25:10:15 00:25:13:01 你為我造一件衣服
00:25:13:13 00:25:15:12 造一件襯衫。」他便懂得怎樣造
00:25:15:24 00:25:17:12 在最近的很多年
00:25:17:22 00:25:20:22 大約二十五年，只有一個裁縫為我造衣服
00:25:21:08 00:25:23:06 他完全沒有頭痛，我也沒有頭痛，沒有問題
00:25:23:16 00:25:26:04 若每一天我都要轉換款式
00:25:26:17 00:25:29:02 造新的衣袖，新款的襯衣
00:25:29:11 00:25:32:06 我便會頭痛，我告訴你我是認真的
