00:00:35:12 00:00:37:22 靈將我們整合 ＂奧地利維也納
00:00:55:04 00:01:05:12 第四次公開講座 1982年9月30日
00:03:30:10 00:03:35:16 我向所有追求真理的人致敬
00:14:55:00 00:14:59:19 最重要的是他應該能帶給人喜樂，而非悲傷
00:15:01:15 00:15:05:08 通常我看到的聖人畫像或
00:15:05:20 00:15:12:24 雕像，他們看來都是十分悲傷不快
00:15:16:13 00:15:22:02 一些藝術家、建築師為教宗和
00:15:22:15 00:15:25:18 主教這些人物雕刻建造雕像，雕造出來的樣子都是很悲傷
00:15:26:04 00:15:30:17 因此沒有人想接替這些人物的位置
00:15:40:08 00:15:43:00 有時候，這些具侵略性的人
00:15:43:09 00:15:44:20 因為他們的侵略性
00:15:44:20 00:15:47:04 亦變得左脈
00:15:47:12 00:15:50:21 即使是他們與別人說話所採取的態度
00:15:57:17 00:16:00:01 他們也感到內疚
00:16:00:11 00:16:06:00 這樣你兩邊的能量中心都會出問題
00:16:06:07 00:16:09:17 若能量中心不平衡，
00:16:10:01 00:16:14:04 你會患上脊椎炎
00:16:20:22 00:16:24:21 內疚感或富侵略性
00:16:25:05 00:16:28:06 都能產生這種情況
00:16:32:17 00:16:36:11 特別是若你感到內疚，便會患上
00:16:36:20 00:16:41:01 心絞痛這種心臟毛病
00:16:45:03 00:16:50:10 你的左手亦會變得僵硬
00:16:54:01 00:16:57:19 我已簡短地向你們介紹了喉輪
00:16:58:04 00:16:59:18 今天我要講解三個輪穴
00:17:00:04 00:17:05:02 亦想告訴你有關靈
00:17:11:02 00:17:15:12 喉輪之上是額輪
00:17:20:01 00:17:25:24 額輪是位於
00:17:26:15 00:17:30:18 腦垂體和松果體的區域
00:17:38:19 00:17:44:07 也正正處於視覺神經叢
00:17:47:17 00:17:51:00 我額頭這個記號
00:17:51:20 00:17:56:14 顯示額輪的其中一扇窗
00:18:00:15 00:18:04:23 另一扇是在頭的後部
00:18:06:04 00:18:09:20 這個能量中心是極之重要
00:18:10:06 00:18:14:10 因為它控制你的自我和超我
00:18:18:16 00:18:25:05 耶穌基督，我們的主耶穌就是住在這能量中心
00:18:29:09 00:18:34:12 很多牧師聽到我這麼說都很震驚
00:18:37:06 00:18:41:03 基督的十字架是象徵自我和
00:18:41:12 00:18:47:10 超我在這兒交錯的十字架，它們極之接近
00:18:52:09 00:18:56:04 這就是耶穌基督被安置
00:18:56:15 00:19:00:10 被賜予的位置。這是要透過祂
00:19:00:21 00:19:04:03 被釘十字架來成就，藉此祂精微的身體
00:19:04:16 00:19:08:20 進入我們的意識
00:19:18:15 00:19:20:15 耶穌基督在十字架上說：
00:19:20:15 00:19:24:09 「現在它已經建立鞏固。」祂說的
00:19:25:05 00:19:30:21 成就是建立鞏固耶穌基督
00:19:31:10 00:19:33:21 在這個非常精微，非常
00:19:34:10 00:19:39:16 難進入的能量中心
00:19:56:10 00:20:01:15 祂是，祂的身體，祂的身體是
00:20:01:24 00:20:06:07 由你們感受到的生命能量所構成
00:20:09:03 00:20:13:08 這些生命能量在梵文被稱為
00:20:14:03 00:20:18:04 Om 或 Chaitanya
00:20:23:05 00:20:29:24 因為祂是生命能量所構成，所以祂能在水上行走
00:20:32:24 00:20:36:09 某天有人告訴我說
00:20:37:03 00:20:44:09 基督在某處誕生，現在祂要上電視
00:20:47:03 00:20:49:12 我說：「最好叫祂在水上行走
00:20:49:21 00:20:52:24 你便能找到祂。」
00:20:57:21 00:21:00:05 這個建立鞏固是很重要的
00:21:00:15 00:21:05:08 在釘上十字架的一刻，當祂在那狀態
00:21:05:19 00:21:08:22 祂只說了一句話，這表示
00:21:09:05 00:21:12:08 某件事情要通過祂被釘上十字架來成就完成。「它」
00:21:12:19 00:21:14:16 「祂沒有說一切都成就了」
00:21:14:22 00:21:19:15 祂只說：「它已經成就了」
00:21:32:04 00:21:36:16 祂談及未來的聖靈
00:21:37:00 00:21:39:06 祂會寛恕因為無知而
00:21:39:17 00:21:40:24 對祂所做的一切
00:21:41:11 00:21:47:12 可是，祂不會寛恕違抗反對聖靈的人
00:21:57:17 00:22:00:08 祂說：「我會派一位顧問
00:22:00:19 00:22:03:09 向你們解釋一切
00:22:03:19 00:22:09:19 我會派一位拯救者，來拯救你們
00:22:10:08 00:22:16:07 還會派一位安慰者，給你們安慰。」
00:22:25:04 00:22:26:19 第三件祂說的是：
00:22:27:04 00:22:30:15 「你們要重生。」
00:22:32:22 00:22:37:03 在整本聖經中，只有祂這樣說
00:22:37:11 00:22:40:06 摩西和這些人，是祂說：
00:22:40:14 00:22:44:16 「你們會重生。」
00:22:47:00 00:22:51:04 像我那天告訴過你，因為摩西和亞佰拉罕
00:22:51:14 00:22:56:14 忙於建立身體
00:22:56:21 00:22:59:12 這個綠色部分的平衡
00:23:07:07 00:23:09:22 只有基督說
00:23:10:07 00:23:15:10 喚醒你內在的基督，喚醒你的力量
00:23:15:17 00:23:19:13 就是重生
00:23:26:15 00:23:31:06 我們開始為人們施洗
00:23:33:18 00:23:35:17 你委派某人為牧師
00:23:36:03 00:23:38:01 找點水來
00:23:38:10 00:23:43:18 放在某人頭上說：「你已經受洗了。」
00:23:48:08 00:23:51:13 這樣做是那麼人為做作
00:23:52:11 00:23:54:18 因為什麼也沒發生
00:23:55:06 00:23:59:24 你只放點水，任何人都能做到
00:24:02:03 00:24:04:19 真正的洗禮是你要提昇靈量
00:24:05:05 00:24:08:18 要突破
00:24:13:10 00:24:15:17 基督沒有說：「你拿點水
00:24:16:01 00:24:20:01 放在人們的頭上」」，祂有這樣說過嗎？
00:24:21:15 00:24:25:15 第二次出生要發生
00:24:28:09 00:24:29:12 第二次的出生
00:24:29:19 00:24:32:05 出生即是進化的過程
00:24:32:13 00:24:36:10 或你可說是活生生的生命過程要發生
00:24:40:10 00:24:45:16 梵文鳥兒被叫作Dvijaha
00:24:47:11 00:24:51:04 覺醒的靈也被叫作Dvijaha
00:24:54:04 00:24:57:06 即重生
00:24:57:21 00:25:00:18 像鳥兒首先是蛋
00:25:01:02 00:25:03:02 它在蛋殼裡生長
00:25:03:13 00:25:06:02 成熟，最後破殼而出
00:25:06:11 00:25:09:06 鳥兒出生時個性已經轉化
00:25:09:19 00:25:15:12 變成另一種東西，絕對與蛋完全不同的另一種東西
00:25:25:24 00:25:31:16 在復活節我們送蛋給人
00:25:33:14 00:25:35:14 來提醒他們，你們現在是蛋
00:25:36:00 00:25:39:07 你們要變成鳥兒
00:25:43:02 00:25:46:05 我不認為人們了解這一點
00:25:48:10 00:25:52:07 因為復活是基督的訊息
00:25:54:16 00:25:57:14 釘十字架是完成實現
00:25:58:02 00:26:01:10 而復活則是祂的訊息
00:26:11:23 00:26:16:12 我就是不能了解，為何人們
00:26:16:19 00:26:20:18 令基督看來那麼悲慘哀傷
00:26:26:04 00:26:29:23 他們顯示基督皮包骨的
00:26:29:23 00:26:31:20 掛在十字架上
00:26:32:04 00:26:36:00 一副骨頭怎能背負那麼大的十字架？
00:26:44:15 00:26:47:23 米高安哲羅是繪畫基督
00:26:48:05 00:26:53:05 如其人的覺醒的靈，基督是個巨人
00:26:59:10 00:27:05:20 健康、充滿活力和喜樂
00:27:07:23 00:27:12:19 並非悲哀可憐的漫畫角色
00:27:16:04 00:27:19:10 我想只有虐待狂才喜愛
00:27:19:18 00:27:21:21 見到別人悲傷
00:27:22:04 00:27:25:02 或許這就是原因，因為我在下面見到一副
00:27:25:10 00:27:27:19 被視作是基督，可憐兮兮的
00:27:28:04 00:27:32:21 骨頭放在桌上
00:27:48:04 00:27:53:05 靈性生活絕不悲慘
00:27:56:24 00:28:04:15 基督來到世上是一件值得自豪的事
00:28:10:04 00:28:13:09 因為當祂在我們內裡被喚醒
00:28:13:17 00:28:17:15 祂吸掉自我和超我
00:28:23:24 00:28:26:05 即是祂帶走我們一切思想制約
00:28:26:15 00:28:29:18 我們的行動和業(karmas)
00:28:33:08 00:28:36:00 用基督徒的說法
00:28:36:08 00:28:40:03 祂吸掉我們的罪
00:28:41:05 00:28:43:09 祂為我們而死
00:28:44:17 00:28:47:09 祂經歷一切苦難
00:28:50:07 00:28:54:24 沒有留下任何苦難讓我們來經歷
00:28:56:09 00:29:01:24 現在沒有人需要悲傷
00:29:02:20 00:29:06:01 例如，猶太人說：「噢！我們... 
00:29:06:16 00:29:09:01 他們否定基督，因此他們說：
00:29:09:01 00:29:12:02 「噢！我們要有苦難
00:29:17:11 00:29:20:10 我們要受苦。」
00:29:21:02 00:29:23:10 所以他們好好地受苦
00:29:23:17 00:29:25:16 因此希特勒出現，讓他們能受苦
00:29:25:22 00:29:29:19 他們以為這是宗教虔敬的生活，對嗎？
00:29:37:17 00:29:40:01 今天，這一群曾受苦的人
00:29:40:11 00:29:43:12 走向另一端。他們做盡一切
00:29:43:20 00:29:49:20 跟他們的宗教沒有關係的事情
00:29:58:13 00:30:01:16 因為最重要的誡律中最重要的是：
00:30:02:00 00:30:06:24 「你不能殺人。」
00:30:10:00 00:30:13:11 你如何解釋這基督徒部隊
00:30:13:19 00:30:19:04 以基督的名義殺掉那麼多無助的人？
00:30:23:01 00:30:25:01 小孩子
00:30:25:21 00:30:31:19 天真的小孩子、婦女，他們並無犯任何罪
00:30:36:01 00:30:38:07 以神之名，以基督之名
00:30:38:19 00:30:43:06 以穆罕默德之名，這些人只是施展
00:30:43:13 00:30:47:05 他們的虐待狂
00:30:56:04 00:30:58:15 那些愛心和
00:30:58:23 00:31:03:21 神的憐憫的字眼在哪裡？
00:31:05:20 00:31:07:10 穆罕默德談及Rahamat
00:31:07:18 00:31:10:07 常常談及Rahamat，他稱神為Rahim
00:31:10:15 00:31:11:21 Rahamat即是慈悲
00:31:12:05 00:31:16:07 Rahim是慈悲的化身
00:31:23:08 00:31:27:05 人們難以理解這些國家
00:31:27:13 00:31:29:20 他們對神，對降世神祇做了些什麼
00:31:30:05 00:31:33:09 沒有人能解釋
00:31:40:07 00:31:44:12 佛陀的追隨者，像日本人和中國人
00:31:44:18 00:31:47:18 他們做著什麼？
00:31:52:07 00:31:54:22 摩訶維瓦(Mahavira)的追隨者，變成
00:31:55:05 00:31:59:10 極端的素食者。他們甚至連街上的蚊子
00:31:59:19 00:32:05:05 和小蟲也想拯救
00:32:12:03 00:32:14:19 他們愚蠢到讓一些蟲子
00:32:15:03 00:32:18:16 吸食覺醒的靈的血
00:32:18:23 00:32:23:11 只為讓蟲子能得到自覺
00:32:32:21 00:32:36:03 我們要知道，這種荒謬的素食主義
00:32:36:10 00:32:40:24 我們是否要給雞自覺？
00:32:47:19 00:32:51:22 我們對動物，對桌椅比對
00:32:52:07 00:32:55:22 自己的孩子更仁慈
00:33:01:00 00:33:06:11 人類走錯了方向
00:33:08:23 00:33:11:10 正確的方向是在中央
00:33:12:06 00:33:16:15 等待最後的昇進
00:33:23:12 00:33:25:09 當靈量上昇
00:33:25:18 00:33:28:17 它帶你通過這道基督之門
00:33:28:24 00:33:30:12 通過祂是唯一的途徑
00:33:30:20 00:33:33:06 因此我說人人都要通過祂
00:33:33:18 00:33:36:04 進入神的國度
00:33:36:13 00:33:40:05 那是你內在的邊緣系統
00:33:56:16 00:34:02:11 自我和超我代表你的過去和未來
00:34:05:06 00:34:07:21 一個思緒出現，離去，另一個思緒出現
00:34:08:06 00:34:10:23 再離去
00:34:12:20 00:34:16:12 一是過去，一是將來
00:34:17:04 00:34:22:15 我們的思維遊走於思緒之間
00:34:25:05 00:34:28:24 我們要在這兩個思緒中央
00:34:29:11 00:34:34:00 即現在
00:34:37:14 00:34:39:15 單單只在演講時說：
00:34:40:00 00:34:45:18 「你們要在中央」，是不能達到的
00:34:49:12 00:34:54:03 藉着演講、派襟章、成立組織
00:34:54:13 00:34:57:20 或張貼某些明信片
00:34:58:06 00:34:59:18 在頭上
00:34:59:24 00:35:03:22 是不能達到的
00:35:13:03 00:35:16:05 所有誠實的求道者要知道，這全是外在的
00:35:16:16 00:35:21:16 與內裡毫不相干
00:35:27:07 00:35:30:17 若你是真正的求道者，你便知道這些
00:35:31:03 00:35:34:19 都是縱容自我
00:35:39:17 00:35:43:13 也是十分誤導的
00:35:45:17 00:35:50:02 我們要以正確的觀點
00:35:50:18 00:35:56:16 以人類恰當的智慧去了解
00:36:01:16 00:36:04:00 當你穿越你的額輪
00:36:04:09 00:36:08:15 便會變得無思無慮
00:36:14:16 00:36:20:13 因為你把你的注意力建立鞏固在現在
00:36:27:11 00:36:29:15 我要重申一點
00:36:30:04 00:36:31:10 這並非人為虛構的
00:36:31:23 00:36:33:15 而是實現實踐要發生
00:36:34:03 00:36:37:18 它要在你們內裡發生
00:36:41:23 00:36:45:10 你的意識知覺要被啟發開悟。不是只說：
00:36:45:20 00:36:47:01 「我是個覺醒的存在體」
00:36:47:07 00:36:51:16 給自己發假證書
00:36:58:21 00:37:01:23 當靈量通過頂輪這個最後的輪穴
00:37:01:23 00:37:04:05 千塊花瓣
00:37:04:19 00:37:09:24 開啟進入神的精微力量
00:37:10:10 00:37:14:06 進入祂的愛和慈悲之中
00:37:25:07 00:37:28:14 此時，你變得無思無慮
00:37:29:02 00:37:35:06 處於完全喜悅，完全放鬆的狀態
00:37:43:23 00:37:47:04 透過涼風，你首次感受到
00:37:47:16 00:37:52:03 全能的力量
00:37:54:09 00:37:59:06 這是可蘭經中被描述為“Ruh”
00:38:00:06 00:38:04:10 在印度經典叫作
00:38:06:13 00:38:11:23 ”Chaitanya Lahari”的聖靈的涼風
00:38:13:23 00:38:18:12 即知覺的波浪
00:38:19:15 00:38:25:01 亦可說是開悟了的知覺的波浪
00:38:28:06 00:38:30:11 很多很多用梵文寫的書籍
00:38:30:21 00:38:32:15 有相關的記載
00:38:35:24 00:38:39:15 但它們並沒有翻譯出來
00:38:40:10 00:38:44:05 有些人到印度學習梵文
00:38:48:03 00:38:53:06 他們卻只對文化的漏洞感興趣
00:38:55:03 00:38:59:04 就像盜賊只對銀行的漏洞感興趣
00:38:59:17 00:39:01:14 他們去那裡學習了解，以印證他們
00:39:02:02 00:39:05:20 取得的銀行弱點漏洞
00:39:14:16 00:39:19:13 在印度六世紀後期
00:39:20:18 00:39:26:05 一場稱為性力派(tantrism)反神的大型起義發生
00:39:34:15 00:39:40:03 侮辱神祇，不神聖的行為被視為
00:39:40:23 00:39:46:03 性力派的象徵
00:39:50:11 00:39:54:03 他們的行為令神祇
00:39:55:02 00:40:01:20 感到嫌惡，因而消失
00:40:04:05 00:40:07:21 他們在周圍製造了一個地帶，把一切
00:40:08:03 00:40:12:07 邪惡負面的力量集合，以供他們使用
00:40:17:15 00:40:22:12 梵文稱這為bhoota vidya(魔鬼的知識)
00:40:22:21 00:40:26:14 preta vidya(邪惡的知識)等等，簡單地說
00:40:27:02 00:40:30:21 即是墳墓的知識
00:40:40:07 00:40:43:16 請不要騷擾他人
00:40:45:20 00:40:50:10 那些想誘騙催眠別人
00:40:50:22 00:40:54:02 想賺錢的人學習運用這些知識
00:40:54:11 00:40:57:18 這些科學
00:41:05:08 00:41:07:19 到那裡的人只學習
00:41:08:01 00:41:10:10 色情和骯髒的東西，這些污穢不堪的東西
00:41:11:04 00:41:14:16 對那裡的哲學是毫無意義
00:41:20:15 00:41:23:13 我與女兒到過尼泊爾兩次
00:41:23:21 00:41:27:19 我們沒見過有什麼不對勁
00:41:31:22 00:41:35:07 但有個霎哈嘉瑜伽士告訴我，尼泊爾是
00:41:35:16 00:41:41:12 充滿這些…色情的雕像
00:41:48:00 00:41:51:03 我問：「它們在哪裡？我看不到。」
00:41:52:23 00:41:58:06 他說：「看看那兒，在廟宇的屋頂。」
00:42:01:00 00:42:03:12 這些日本人都把對焦鏡頭
00:42:03:19 00:42:06:14 向着屋頂觀看
00:42:10:21 00:42:18:12 他們帶來專用的梯子
00:42:20:01 00:42:21:15 用來爬高專用的梯子
00:42:22:07 00:42:27:17 去拍攝特別的腦袋特別的照片
00:42:38:22 00:42:42:05 尼泊爾人告訴我，這些蠢人
00:42:42:15 00:42:48:02 在做着不神聖，神聖不可侵犯的事情
00:42:55:13 00:42:59:03 他們不知何謂神聖
00:43:00:15 00:43:02:03 我說：「並非如此
00:43:02:11 00:43:03:06 他們本來有的，但現在卻失去了
00:43:03:20 00:43:05:02 他們可以從中賺錢。」
00:43:13:14 00:43:15:08 他們感到驚訝，說：
00:43:17:21 00:43:18:00 「誰會購買這些不吉祥的東西回家？
00:43:18:00 00:43:20:19 它們會把邪靈帶回家。」
00:43:29:09 00:43:33:10 這些性力術士說服了可憐的藝術家
00:43:33:22 00:43:37:00 告訴他們把這些雕像放在廟宇的屋頂
00:43:37:10 00:43:43:24 好使是處女的雷神…
00:43:44:05 00:43:48:24 不會走近這兒
00:43:48:24 00:43:50:19 因為它是那麼骯髒，明白嗎
00:44:09:23 00:44:16:10 我們要明白，神是純潔
00:44:18:24 00:44:21:23 祂既聖潔
00:44:23:21 00:44:26:20 又神聖
00:44:27:07 00:44:29:12 祂是神聖
00:44:29:21 00:44:34:13 有了這個概念，我要告訴你們神聖
00:44:34:23 00:44:39:08 你們內在的聖潔
00:44:45:23 00:44:49:03 內在的美
00:44:51:06 00:44:54:15 內在的喜悅
00:44:56:15 00:45:00:20 看顧着你的光
00:45:03:15 00:45:06:18 就是你的靈
00:45:07:08 00:45:12:19 它是全能的神在你內心的反映
00:45:14:21 00:45:20:17 聖靈是全能的神的力量
00:45:25:13 00:45:30:10 神是靜觀聖靈這齣戲劇的旁觀者
00:45:32:14 00:45:36:18 基督的母親正是聖靈的化身
00:45:40:10 00:45:43:17 聖經卻沒有提及這些，因為若
00:45:43:24 00:45:46:06 羅馬人和猶太人知道她就是聖靈
00:45:46:20 00:45:51:24 他們會把她碎屍萬段
00:45:59:15 00:46:02:09 攻擊她
00:46:02:20 00:46:08:00 沒有提及是因為基督要
00:46:08:09 00:46:11:24 上演釘十字架這齣戲劇
00:46:16:24 00:46:20:11 在你獲得自覺後
00:46:20:19 00:46:23:08 可以通過感知能力發現我說的
00:46:23:20 00:46:28:08 都是絕對的真理
00:46:33:10 00:46:36:07 因為你的靈是絕對的
00:46:36:20 00:46:40:12 所以能給你絕對的答案
00:46:43:15 00:46:46:17 它不會給你相對的答案
00:46:49:16 00:46:53:20 它把你帶離相對的世界
00:46:56:07 00:47:00:14 通過你的新感知力
00:47:00:23 00:47:04:07 即是生命能量的感知
00:47:08:13 00:47:13:19 你知道絕對。我們可說是聖化的感知，神聖的感知
00:47:15:10 00:47:18:08 當靈量衝上這一點
00:47:22:24 00:47:25:00 她開悟了靈
00:47:25:10 00:47:30:11 因為靈的寶座就在這裡
00:47:33:05 00:47:39:07 我們的腦袋裡，所有七個能量中心
00:47:41:14 00:47:46:15 是這樣排列的，所有能量中心的寶座都在腦袋裡
00:47:47:21 00:47:51:21 所以當靈量在這個能量中心走出來
00:47:52:02 00:47:57:00 所有能量中心都得到整合
00:48:01:00 00:48:05:15 因為靈把你們整合
00:48:07:07 00:48:11:02 就像若這房間沒有燈
00:48:11:10 00:48:17:04 你便要四處摸黑
00:48:21:13 00:48:23:10 當有了燈，你便知道
00:48:23:18 00:48:27:16 自己身處何方
00:48:31:15 00:48:35:18 因此相對性消失了
00:48:39:19 00:48:43:08 當你成為靈
00:48:44:10 00:48:47:11 你的注意力被啟發
00:48:47:19 00:48:52:04 為集體意識：它成為
00:48:59:05 00:49:05:07 因為你內裡的靈是集體的存在體
00:49:07:14 00:49:12:15 每個人的靈都互相聯繫
00:49:15:00 00:49:19:09 它發放的訊息是集體訊息
00:49:25:12 00:49:30:03 現在，當你把手向着自己
00:49:30:11 00:49:35:18 為自己的能量場做保護
00:49:36:01 00:49:40:01 你便能找出自己的毛病
00:49:48:21 00:49:52:03 若是肉身和心理的不平衡
00:49:52:11 00:49:59:03 便會顯現在右手手指的不同能量中心
00:50:06:05 00:50:11:19 若是情緒出問題，便顯現在左手
00:50:14:12 00:50:18:17 你能解讀接收到的生命能量的感應
00:50:19:01 00:50:24:06 亦能驗證一切
00:50:28:20 00:50:30:10 坐在這裡
00:50:30:10 00:50:33:18 你能感應任何人的生命能量
00:50:40:01 00:50:45:05 某天我說莫札特是天生有自覺的人
00:50:49:04 00:50:53:16 他們說：「我們怎能知道？」
00:50:55:01 00:51:02:16 我說：「只是張開雙手，想着莫札特」
00:51:03:07 00:51:09:19 立即有很強的能量在流動
00:51:10:14 00:51:13:13 當這些覺醒的靈彈奏音樂
00:51:14:01 00:51:18:19 或繪畫圖畫，對覺醒了的人來說
00:51:19:03 00:51:23:04 這是喜樂最大的來源 
00:51:29:13 00:51:33:01 因為你不用思考
00:51:33:19 00:51:38:09 喜樂的創造者的精華
00:51:38:18 00:51:41:07 與你融合合一
00:51:47:24 00:51:52:11 你感到極樂在你內裡流動
00:51:54:06 00:51:59:24 因為喜樂所以你享受
00:52:02:00 00:52:06:05 因為靈是你內裡的喜樂
00:52:07:08 00:52:10:19 靈是喜樂，意思是它既不是快樂
00:52:10:19 00:52:17:00 也不是不快樂，它單純是喜樂
00:52:21:01 00:52:23:10 當自我被縱容，你便快樂
00:52:23:17 00:52:28:11 當超我受傷，你便不快樂
