00:01:46:10 00:01:49:06 我們今天聚集在
00:12:04:11 00:12:06:22 我們內在沒有光
00:12:07:07 00:12:09:08 現在光來自我們內在
00:12:09:17 00:12:11:24 我們看到光
00:12:12:08 00:12:15:17 那麽我們會成為甚麽？
00:12:16:02 00:12:19:14 我們要成為光
00:12:20:03 00:12:21:18 基督是光
00:12:22:03 00:12:23:16 祂不需要成為
00:12:24:00 00:12:26:00 我們卻要成為光
00:12:26:07 00:12:30:05 我們現在要好好守護這光
00:12:31:02 00:12:34:16 因為它可能受干擾
00:12:35:00 00:12:40:08 可能會減少，又或可能會完全熄滅
00:12:42:00 00:12:46:11 所以你要堅持，堅持這光
00:12:46:19 00:12:49:04 你先要知道，
00:12:49:14 00:12:51:20 若你看到光，就是不正常
00:12:52:04 00:12:53:12 即你不是光
00:12:53:21 00:12:57:08 你要成為光
00:12:58:15 00:13:00:04 當你是光
00:13:00:15 00:13:03:05 在這光中，你能輕易的看到
00:13:03:13 00:13:06:01 自己的思維是怎樣運作
00:13:06:13 00:13:08:15 它給你甚麽想法
00:13:09:00 00:13:15:13 當你在昇進，有甚麽
00:13:16:06 00:13:18:05 在影響你的思維
00:13:18:13 00:13:20:11 是這些擔憂
00:13:20:18 00:13:26:06 又或是這些責任？
00:13:26:15 00:13:30:21 或是阻礙你
00:13:31:07 00:13:33:01 成長為靈性的品格
00:13:33:10 00:13:38:13 的壞習慣？
00:13:39:06 00:13:41:24 你要每時每刻都要保衛守護自己
00:13:42:09 00:13:47:09 看著自己怎樣進步
00:13:48:21 00:13:51:21 這是一個很漂亮的旅程
00:13:52:06 00:13:53:23 非常非常漂亮的旅程
00:13:54:10 00:13:56:15 昨天我很高興的
00:13:56:24 00:14:01:15 聽到一首俄羅斯有關旅程
00:14:02:19 00:14:07:21 靈量的旅程的歌曲
00:14:09:23 00:14:17:14 這是事實，毋庸置疑，你是有自覺的靈
00:14:19:06 00:14:23:23 基本上，你過往並沒有自覺
00:14:24:13 00:14:27:05 但現在卻有自覺
00:14:27:17 00:14:29:14 你在已進化的階段
00:14:30:01 00:14:35:19 現在你沒有這些想法︰
00:14:36:06 00:14:41:05 「你絕對妥當」
00:14:41:17 00:14:46:00 「沒有甚麽能傷害你」，「沒有甚麽能把你拖下」
00:14:47:10 00:14:52:01 發展這種自我的想法
00:14:52:13 00:14:55:05 對你毫無幫助
00:14:55:17 00:14:58:17 你要做的是
00:14:59:12 00:15:01:08 時刻都內省
00:15:01:18 00:15:03:22 這就是為何要靜坐
00:15:04:07 00:15:05:20 是要看看自己
00:15:06:04 00:15:10:07 能怎樣保持
00:15:10:19 00:15:13:23 靈性上的昇進
00:15:14:11 00:15:15:21 其他人沒法做到
00:15:16:07 00:15:18:17 只有你自己獨自去做
00:15:18:24 00:15:20:23 當然，若你來集體，他們馬上知道
00:15:21:05 00:15:24:00 你那個輪穴有阻塞，毋庸置疑
00:15:24:09 00:15:28:03 他們或許不會說出，不會指出它
00:15:28:13 00:15:29:24 但他們肯定的知道
00:15:30:09 00:15:32:03 這個那個輪穴有阻塞
00:15:32:13 00:15:34:11 這個人有這個問題
00:15:34:21 00:15:39:14 對自己他們卻不知道有甚麽阻塞
00:15:41:03 00:15:44:02 有甚麽問題
00:15:44:15 00:15:46:13 所以若任何人告訴你︰
00:15:46:22 00:15:48:19 我想你這個輪穴有阻塞
00:15:49:02 00:15:51:19 你不用有任何壞感覺
00:15:52:03 00:15:54:20 因為若你保持這個輪穴原來的模樣
00:15:55:03 00:15:58:01 即是在摧毀自己的人生
00:15:58:13 00:16:00:24 你要做的是看看
00:16:01:09 00:16:03:03 有沒有人告訴你︰
00:16:03:12 00:16:07:10 我想這個輪穴是…是有點不妥
00:16:07:19 00:16:10:09 你要感謝這個人︰「感謝天你告訴我。」
00:16:10:19 00:16:13:09 像一面鏡子，若你在鏡子裡
00:16:13:18 00:16:15:22 看到自己的臉有點不妥
00:16:16:05 00:16:17:15 你能馬上改正它
00:16:17:24 00:16:21:15 同樣，若有人指出你的錯處
00:16:22:00 00:16:25:10 你要夠成熟的知道
00:16:25:18 00:16:27:10 有人向你指出
00:16:27:20 00:16:30:22 這些不妥是份極大的祝福
00:16:31:22 00:16:33:14 就像有天，二個領袖
00:16:33:22 00:16:35:08 常常在爭吵
00:16:35:17 00:16:38:04 有二個領袖常常都爭吵
00:16:38:11 00:16:39:18 不應該這樣
00:16:39:23 00:16:43:13 就像兩隻眼睛永遠不會爭鬥，兩隻手不會爭鬥
00:16:43:22 00:16:45:05 兩條腿不會爭鬥
00:16:45:14 00:16:48:12 但若有二個領袖，常常都會出問題
00:16:48:22 00:16:53:01 你必須只有一個領袖，不然便會出大問題
00:16:53:20 00:16:56:15 若他們在爭論，你要明白
00:16:56:24 00:17:01:14 兩個領袖在爭論，他們來找我
00:17:02:02 00:17:05:15 我馬上看到其中一個領袖有很嚴重的阻塞
00:17:06:02 00:17:08:07 我說︰「把你的手向著我。」
00:17:08:17 00:17:10:07 當他把手向著我
00:17:10:17 00:17:13:14 他馬上往後退。「甚麽事？」
00:17:13:22 00:17:16:03 他說︰「母親，我有火燒的感覺。」
00:17:16:12 00:17:20:08 我說︰「就是這樣。你現在知不知道自己那裡出錯？」
00:17:20:17 00:17:22:20 他說︰「我脾氣很差，我現在知道
00:17:23:04 00:17:26:21 我很自我中心，我不應有這樣的言行。」
00:17:27:17 00:17:32:23 但同時，我這樣說他
00:17:33:08 00:17:35:21 他應該感到很差
00:17:36:12 00:17:39:11 他卻沒有，因為他是霎哈嘉瑜伽士
00:17:39:23 00:17:41:19 他知道甚麽是他的福祉
00:17:42:05 00:17:43:06 甚麽是對他最好的
00:17:43:13 00:17:45:00 他完全沒有壞感覺
00:17:45:09 00:17:47:12 卻反過來感謝我︰
00:17:47:21 00:17:50:16 母親，因為你，我才發現我的缺點
00:17:51:01 00:17:55:10 不然它會隱藏在我心裡
00:18:02:10 00:18:06:00 現在的問題是
00:18:06:08 00:18:10:15 我們內在發展了很多
00:18:11:17 00:18:14:03 我們已經把它整合
00:18:14:15 00:18:16:15 我們也有很巨大的集體力量
00:18:17:00 00:18:19:12 我看到在每個國家
00:18:19:23 00:18:22:16 我們都能給很多人自覺
00:18:23:03 00:18:25:16 我們真的能在
00:18:26:02 00:18:30:19 人生裡建立所有這些偉大的真理
00:18:31:05 00:18:32:15 我們能做到
00:18:32:23 00:18:36:12 我們應該時刻都要鞏固它們
00:18:37:07 00:18:40:16 但有一點我不能確定
00:18:41:01 00:18:44:03 就是你是否
00:18:44:14 00:18:50:18 已經到達最終的真理
00:18:51:18 00:18:54:10 你們對此都要非常留意小心
00:18:54:20 00:19:00:15 我曾經見過有人在霎哈嘉瑜伽昇得很高，
00:19:01:00 00:19:05:17 走到很高，但忽然卻跌得很低
00:19:06:19 00:19:10:03 這令我很傷心，極之傷心
00:19:10:16 00:19:13:22 原因是他們沒有信心
00:19:14:07 00:19:20:21 對自己，對霎哈嘉瑜伽的那份信心
00:19:22:04 00:19:24:23 他們缺乏信心
00:19:25:13 00:19:30:04 你要對自己亦對霎哈嘉瑜伽有信心
00:19:30:18 00:19:35:03 霎哈嘉即有上天的力量
00:19:36:21 00:19:43:11 這個無所不在全能的上天力量照顧我們
00:19:46:09 00:19:51:04 能感覺到它，你能感覺到它
00:19:51:12 00:19:53:07 不單只是說它存在
00:19:53:15 00:19:55:17 你知道它就是這樣
00:19:56:01 00:19:57:17 但即使知道
00:19:58:01 00:20:01:13 你仍未對它有信心
00:20:02:00 00:20:05:19 那份基督所說的信心
00:20:06:05 00:20:08:16 一份來自開悟的心智的信心
00:20:08:24 00:20:10:12 不是盲目的信心
00:20:10:22 00:20:14:08 透過盲目的信心，你可能犯錯
00:20:14:21 00:20:18:21 若你有開悟的信心
00:20:19:04 00:20:24:03 你變得極之有力量，極之有力量
00:20:24:14 00:20:26:18 若你有開悟的信心，
00:20:27:03 00:20:30:14 你不會出任何問題
00:20:32:03 00:20:34:06 所以現在，你看到在霎哈嘉瑜伽
00:20:34:16 00:20:38:02 有很多人是很穩定
00:20:39:24 00:20:43:00 很公平正直
00:20:43:15 00:20:45:21 很有價值
00:20:46:10 00:20:48:05 他們就像
00:20:48:14 00:20:51:18 知道自己站在石頭上
00:20:52:07 00:20:56:08 那些仍未穩定的人
00:20:56:15 00:20:59:18 他們以為自己的人生
00:21:00:03 00:21:05:20 仍然躺在可笑的水中變小
00:21:07:23 00:21:12:01 石頭就在那裏，站在石頭上---
00:21:12:12 00:21:16:16 這也是來自信心
00:21:17:00 00:21:20:04 沒甚麽能干擾我們，這份信心
00:21:20:15 00:21:23:04 沒甚麽能麻煩我們
00:21:23:17 00:21:27:00 對基督而言，這是很自然的
00:21:27:10 00:21:29:02 我是說祂知道一切，
00:21:29:11 00:21:31:12 祂很肯定
00:21:31:24 00:21:35:16 所以祂從來不受干擾，也從來不會變小，亦從來不會懷疑
00:21:36:04 00:21:39:17 祂知道，祂知道自己是神的兒子
00:21:40:03 00:21:42:18 祂清楚的知道這個事實，所以對它
00:21:43:04 00:21:45:22 祂從不挑戰，也從不懷疑，不會這樣，
00:21:46:07 00:21:48:04 就是這樣
00:21:48:15 00:21:52:20 這就是為甚麽祂…是我說的…為甚麽祂能站在石頭上
00:21:53:07 00:21:56:16 而其他人
00:21:59:09 00:22:01:07 即使是霎哈嘉瑜伽士
00:22:01:16 00:22:04:23 也要有
00:22:05:07 00:22:08:05 基督這份信心
00:22:08:19 00:22:13:04 信心是要被理解
00:22:14:01 00:22:16:19 這是份開悟的信心
00:22:17:05 00:22:21:12 像基督，祂被釘上十字架
00:22:21:22 00:22:24:09 受著各種苦楚
00:22:24:20 00:22:28:19 只因為祂知道，這只是一齣戲劇
00:22:29:03 00:22:33:10 祂受一切的苦楚只因一齣正在上演的戲劇
00:22:33:21 00:22:37:04 沒有甚麽大不了，
00:22:38:03 00:22:39:08 都不要緊
00:22:39:16 00:22:41:04 祂要令自己復活
00:22:41:13 00:22:43:19 祂上演了一齣戲
00:22:44:07 00:22:47:18 對祂沒有甚麽大不了
00:22:50:04 00:22:53:24 祂看到人們開祂玩笑，嘲笑祂
00:22:54:15 00:22:58:18 在祂心裡，祂知道一切︰
00:22:59:03 00:23:03:03 嘲笑我的人不知道我是誰
00:23:03:20 00:23:07:24 與此同時
00:23:09:00 00:23:11:22 祂是信心的體現
00:23:12:10 00:23:16:22 對自己
00:23:17:06 00:23:20:24 對無所不在全能的力量的信心
00:23:22:10 00:23:24:17 這些事情都不會令你失望
00:23:25:04 00:23:30:02 但你必須有絕對的信心
00:23:30:19 00:23:35:13 就如我對某人有信心
00:23:36:19 00:23:40:21 很自然我會給他所有工作
00:23:41:11 00:23:43:19 我會相信他的一切
00:23:44:05 00:23:47:03 我會把鑰匙給他，又或把金錢給他
00:23:47:11 00:23:50:18 不會對他有任何懷疑
00:23:51:22 00:23:57:04 同樣，若你有信心，對自己
00:23:57:20 00:24:04:15 對霎哈嘉瑜伽建立好信心
00:24:05:10 00:24:09:13 你會很驚訝事情是怎樣得到成就
00:24:11:08 00:24:13:03 生活是怎樣得到改善
00:24:13:14 00:24:18:17 你會站在石頭上，你會感到這樣
00:24:19:06 00:24:21:13 毫無懷疑
00:24:21:22 00:24:26:16 不會有任何問題，任何疾病
00:24:29:07 00:24:33:11 就是這種狀態
00:24:33:24 00:24:35:17 只要有信心
00:24:36:05 00:24:38:23 但現在這份信心，你可以怎樣取得？
00:24:39:09 00:24:43:13 現在的問題是怎樣取得這份信心？
00:24:43:22 00:24:45:08 當然是沒有任何課程
00:24:45:18 00:24:47:13 任何文學作品
00:24:47:22 00:24:50:04 任何課堂教授它
00:24:50:14 00:24:56:01 當你內在得到喚醒
00:24:56:12 00:25:00:13 你便會問︰
00:25:01:03 00:25:03:14 「我是誰？」這個喚醒
00:25:03:23 00:25:06:09 「我是誰？我有甚麽成就？」
00:25:06:18 00:25:12:05 你要明白，這些提問︰
00:25:14:07 00:25:18:02 我有甚麽成就？
00:25:18:12 00:25:21:18 我在霎哈嘉瑜伽取得甚麽？
00:25:22:05 00:25:24:19 所有這些問題都會出現
00:25:25:07 00:25:27:08 若你有信心
00:25:27:19 00:25:30:04 不是盲目的信心，而是開悟的信心
00:25:30:15 00:25:33:03 開悟的信心是透過很多奇蹟
00:25:33:12 00:25:34:15 很多生活上的事情
00:25:34:24 00:25:37:19 你會發現生活上的瑣碎小事，有很多奇蹟
00:25:38:03 00:25:39:08 微細瑣碎的事情
00:25:39:16 00:25:41:18 即使是大事也有奇蹟
00:25:42:03 00:25:45:21 很多你從未期望會發生的事情卻發生了
00:25:46:07 00:25:47:22 所以你知道自己已經
00:25:48:08 00:25:51:20 好好安頓在霎哈嘉瑜伽裡
00:25:52:04 00:25:54:22 例如，當開始下雨
00:25:55:10 00:25:58:12 你們一半人會擔憂︰「為甚麽會下雨？」
00:25:58:22 00:26:01:13 他們會知道有一個很漂亮的屋頂
00:26:01:22 00:26:03:03 會沒事
00:26:03:12 00:26:05:16 雨隨便下多少就下多少
00:26:06:01 00:26:09:19 你有信心不會下雨
00:26:10:05 00:26:11:21 雨也不會弄濕我們
00:26:12:05 00:26:17:09 我們的這份信心同樣也
00:26:17:18 00:26:21:11 必須絕對堅固
00:26:22:05 00:26:26:03 令你極之堅強
00:26:26:14 00:26:29:00 令你對
00:26:29:09 00:26:31:15 成千上萬人
00:26:31:23 00:26:36:10 的復活負起責任
00:26:41:20 00:26:45:20 我們這種人生
00:26:47:06 00:26:52:22 只能透過鞏固自己
00:26:53:09 00:26:57:00 理解自己
00:26:57:11 00:27:03:01 觀察自己，把自己安頓下來
00:27:04:02 00:27:06:15 安頓在霎哈嘉瑜伽裡才會擁有
00:27:07:20 00:27:11:05 這是很了不起的事，但應該要，它已經發生，
00:27:11:15 00:27:15:19 正在發生，要在你們所有人身上發生
00:27:16:07 00:27:20:10 你們都有機會
00:27:20:24 00:27:24:14 了解自己的靈
00:27:25:01 00:27:29:05 了解真我
00:27:29:24 00:27:32:16 所以我們要對自己有信心
00:27:33:03 00:27:35:08 我曾經見過一些女霎哈嘉瑜伽士常常說︰
00:27:35:18 00:27:38:17 母親，我不好，我沒用，我甚麽也沒做
00:27:39:01 00:27:43:02 我絕對是懶骨頭。」不管如何
00:27:46:08 00:27:50:04 沒問題，你這樣想，你要提出要求
00:27:51:01 00:27:53:19 你想要甚麽？
00:27:54:05 00:27:58:11 即使你不要求，它也能成就
00:28:00:10 00:28:02:10 即使你沒有要求
00:28:02:21 00:28:08:09 即使…你只是想想它，也能成就到
00:28:08:23 00:28:12:07 即使你放注意力在它上，它亦能成就
00:28:12:19 00:28:15:08 因為這個無所不在全能的力量
00:28:15:21 00:28:17:11 是真正的力量
00:28:17:20 00:28:20:18 其他力量都是一無事處
00:28:21:14 00:28:28:08 它是很有效率，很慈悲
00:28:29:00 00:28:36:02 能在一瞬間成就事情
00:28:37:11 00:28:40:18 幾天前有個來自澳洲的人
00:28:41:04 00:28:42:20 他被騙以
00:28:43:06 00:28:45:16 很高的價錢購買
00:28:46:02 00:28:49:24 一塊地和一所房子，他沒有錢
00:28:50:11 00:28:51:09 那傢伙說︰
00:28:51:16 00:28:53:05 即使你沒錢也不要緊
00:28:53:14 00:28:55:07 他們不會說你甚麽
00:28:55:15 00:28:57:24 他相信他，我要說，這是錯的信心
00:28:58:07 00:29:02:00 接著他說︰「好吧。」
00:29:02:08 00:29:07:21 他付了所有他儲的錢，作為訂金
00:29:09:24 00:29:14:20 有人到哪裡，有崇拜在哪裡所以很多人來
00:29:17:15 00:29:21:08 有很多崇拜，你要明白，事情就是這樣發生
00:29:21:18 00:29:24:16 很多人來，看到這樣的情況
00:29:25:02 00:29:29:05 這傢伙感到很心煩，很心煩意亂
00:29:29:15 00:29:30:21 他不能明白
00:29:31:07 00:29:32:21 為甚麽這種事會發生在我身上
00:29:33:07 00:29:37:06 把我處於這樣困難的境況？
00:29:39:01 00:29:40:22 他被騙，是真的
00:29:41:14 00:29:43:22 我是說真是大吃一驚
00:29:44:08 00:29:48:02 他不知該怎樣收拾這個爛攤子
00:29:48:15 00:29:51:22 他把他所有的錢都付了，他的一切
00:29:52:07 00:29:58:12 若他不付錢便要進監獄
00:30:00:06 00:30:04:13 我寫信給他︰「要對自己有信心。」
00:30:04:23 00:30:08:01 就這樣，要有信心
00:30:08:16 00:30:10:18 奇妙的事情發生了
00:30:11:03 00:30:15:21 有人出更高的價錢
00:30:18:24 00:30:20:20 那傢伙說
00:30:21:07 00:30:24:06 當然，我會付你售價
00:30:24:17 00:30:27:16 你答應付的價錢我會還給你
00:30:28:02 00:30:31:22 我會付更多的錢
00:30:33:02 00:30:38:05 真是難以置信
00:30:40:10 00:30:43:20 很多人到哪裡，很多人想幫他解決這個問題
00:30:44:05 00:30:48:10 這樣那樣做，與那傢伙見面，告訴他他付不起錢
00:30:48:17 00:30:51:13 全都沒有用，完全沒用
00:30:52:01 00:30:54:01 只有他的信心
00:30:54:12 00:30:58:04 你能想像他現在會成為富翁
00:30:58:20 00:31:00:03 他本應要進監獄
00:31:00:12 00:31:01:19 現在卻會成為富翁
00:31:02:04 00:31:04:14 有很多像這樣的奇蹟已經發生了
00:31:05:02 00:31:06:14 這個奇蹟只是財務方面
00:31:06:23 00:31:07:19 我知道你們知道
00:31:08:03 00:31:10:01 很多奇蹟發生在你們身上
00:31:10:13 00:31:14:16 在得到自覺後，若你沒有信心，這顯示
00:31:15:02 00:31:18:12 我是說你的品格是很卑微的
00:31:18:24 00:31:22:14 得到自覺後，至少你要有信心
00:31:23:06 00:31:25:22 真的很令人驚訝
00:31:26:06 00:31:28:08 得到自覺後，他們仍對
00:31:28:19 00:31:33:02 自己沒信心
00:31:33:16 00:31:38:22 那些有信心的人真的成就了很多很多
00:31:39:17 00:31:44:07 現在，我們與基督的區別是信心
00:31:44:16 00:31:47:08 信心是基督存有的一部分
00:31:47:20 00:31:52:13 不是祂要有信心，而是祂就是信心
00:31:53:05 00:31:56:03 我們現在也要有這份信心
00:31:56:17 00:32:00:09 要相信自己
00:32:01:01 00:32:03:02 我能給你很多事件例子
00:32:03:15 00:32:05:23 你也可以告訴我很多例子
00:32:06:09 00:32:10:09 信心對很多事情都有用
00:32:11:15 00:32:14:03 若你在羅馬尼亞，我想已經發生了
00:32:14:15 00:32:16:19 有個女士走上台，她不能行走
00:32:17:04 00:32:19:09 他們要把坐在輪椅上的她帶到台上
00:32:19:21 00:32:23:13 她說︰「母親，我知道你能治好我
00:32:23:20 00:32:25:24 沒有人能治好我，我知道你能治好我
00:32:26:07 00:32:27:15 她說了三次
00:32:27:24 00:32:29:23 我說︰「那麽，你相信我能治好你。」
00:32:30:07 00:32:32:14 「是。」我說︰「起來吧！」
00:32:32:22 00:32:34:16 她站起來，走下台
00:32:35:01 00:32:37:13 跟著她開始跑
00:32:37:23 00:32:39:22 每個人都開始笑
00:32:40:06 00:32:41:23 他們說︰「母親，她不是霎哈嘉瑜伽士。」
00:32:42:08 00:32:44:14 我說︰「看看她的信心。」
00:32:45:06 00:32:51:03 因為若你有信心，所有神祇都要作出行動
00:32:52:02 00:32:58:11 因為祂們受挑戰，祂們要這樣做
00:32:59:15 00:33:02:04 祂們已經在這個人身上顯示信心
00:33:02:13 00:33:04:00 就如我常常告訴你
00:33:04:08 00:33:07:08 在霎哈嘉瑜伽，我們信任人，我們相信人
00:33:07:19 00:33:09:10 一百個人裡可能有一個欺騙你
00:33:09:17 00:33:11:05 不要緊，我們信任人
00:33:11:14 00:33:15:08 這份對人的信任在人的腦中亦起作用
