00:10:03:23 00:10:08:13 我向所有真理的追求者致敬
00:16:54:14 00:16:57:08 因為你可以用它來判斷saundarya
00:16:59:16 00:17:01:14 他把它描述得很美妙
00:17:01:23 00:17:04:01 可是他們卻不斷折磨他
00:17:06:06 00:17:07:17 想一想
00:17:08:01 00:17:10:07 像商羯羅大師這樣的人---我是說
00:17:11:03 00:17:12:16 我不知道要說甚麼
00:17:13:02 00:17:17:05 他說出母親這個秘密
00:17:17:19 00:17:20:09 還描述得那麽美妙
00:17:21:12 00:17:23:19 為何要折磨他？
00:17:24:08 00:17:27:09 他犯了甚麼錯要受這種折磨？
00:17:29:21 00:17:34:01 現在我們要捍衛真理
00:17:34:10 00:17:37:12 而且必須說：「母親，我們要擁有真理
00:17:37:18 00:17:39:15 只要真理，不要別的
00:17:41:02 00:17:44:16 昨天我告訴過你，Atma（真我、靈）
00:17:45:16 00:17:48:08 是全能的神在我們心裡的反映
00:17:48:19 00:17:50:22 除科學家
00:17:51:10 00:17:55:14 「甚麼都知道」
00:17:56:05 00:17:59:21 這個正統科學制約外，這是
00:18:00:02 00:18:01:00 現代科學制約的新型態
00:18:01:06 00:18:03:19 我跟你說，他們甚麼都不知道
00:18:07:01 00:18:08:13 真是荒唐
00:18:09:12 00:18:11:01 現在你看到有那麽多的科學家
00:18:11:09 00:18:12:23 踴躍地和你討論霎哈嘉瑜伽
00:18:13:09 00:18:16:17 因為他們體驗過了，所以才接受
00:18:17:15 00:18:21:09 我告訴他們根輪
00:18:21:15 00:18:23:12 這個第一個輪穴，根輪
00:18:24:07 00:18:26:07 是用碳原子造成的
00:18:26:13 00:18:28:16 因為它是用Prithvi（即土）元素造的…tattwa(原理)
00:18:29:07 00:18:33:22 如果你把碳原子拍下來
00:18:36:00 00:18:39:06 造一個模型
00:18:40:01 00:18:42:05 再拍下相片，如果你從左面看
00:18:42:13 00:18:44:04 往右邊
00:18:44:10 00:18:48:16 就會看到“Aum”(唵)
00:18:49:11 00:18:51:16 從右面看
00:18:51:22 00:18:54:16 在左面會看到swastika(卐)
00:18:55:03 00:18:57:08 如果你從下往上看
00:18:57:19 00:18:59:15 會看到十字架
00:19:00:19 00:19:04:13 對了，我真的要告訴你一位沃力克爾博士
00:19:04:21 00:19:05:24 他是位非常有名的醫生
00:19:06:05 00:19:12:05 或許因為他是印度人
00:19:12:13 00:19:13:22 才拿不到諾貝爾獎
00:19:14:12 00:19:16:10 他與三四個練習
00:19:16:18 00:19:21:03 霎哈嘉瑜伽的科學家一起做實驗，他們都這樣說
00:19:24:02 00:19:25:10 它就是這樣
00:19:26:00 00:19:32:00 這些科學家只有那麽一點兒知識
00:19:32:06 00:19:35:22 因為他們是從表面看事物
00:19:36:15 00:19:39:15 而你以霎哈嘉瑜伽則是從內在開始
00:19:40:14 00:19:43:07 每一個人都會說出同樣的話
00:19:45:07 00:19:48:02 因為…現在你看到我站在這裡
00:19:48:09 00:19:50:21 穿著一件有紅色飾邊的白色紗麗
00:19:51:04 00:19:52:18 每個人都知道，每個人都感受到
00:19:53:02 00:19:54:21 我不需要告訴你，你知道
00:19:55:08 00:19:57:21 你看到，你看到它，就是這樣
00:19:58:08 00:19:59:24 不過一旦你得到自覺
00:20:00:05 00:20:02:11 無論你在手上感受到甚麽
00:20:03:19 00:20:06:19 他人也有相同的感覺
00:20:07:02 00:20:10:11 即使你找來十個小孩，蒙上他們的眼睛
00:20:10:20 00:20:13:15 再問他們：「這位先生有甚麼病痛？」
00:20:14:01 00:20:15:21 他們不知道是位女士還是位先生
00:20:16:04 00:20:19:18 因為他們的眼睛都被蒙上，他們都會…比如說，伸出這根手指
00:20:20:00 00:20:21:12 這是說他的喉輪不好
00:20:21:20 00:20:23:08 你問那個人：「你的喉嚨有毛病嗎？」
00:20:23:17 00:20:25:12 你怎麽知道？
00:20:26:09 00:20:31:01 我們知道是因為這根手指是克里希納的手指
00:20:31:15 00:20:33:09 克里希納的位置
00:20:33:24 00:20:35:16 就是喉嚨
00:20:36:15 00:20:37:15 全部都有關連
00:20:37:23 00:20:42:18 神話並非全都是荒謬的
00:20:43:10 00:20:46:14 它有九成是確有其事
00:20:46:23 00:20:49:17 當然有人摻進了一些荒謬的東西
00:20:50:00 00:20:53:01 可是有九成的神話，所謂的神話
00:20:53:09 00:20:55:07 是確有其事
00:20:56:16 00:20:58:16 現在，我們到寺廟去
00:20:59:12 00:21:02:07 我們以為這是寺廟，到寺廟是很好的
00:21:02:13 00:21:04:10 可是我們不知道自己在做甚麼
00:21:04:22 00:21:07:10 膜拜甚麼，在膜拜誰
00:21:07:16 00:21:10:16 那些是甚麽神祇，祂們在我們身上如何運作
00:21:11:00 00:21:16:03 住在我們內在哪一處，祂們幹甚麼工作？
00:21:17:00 00:21:18:17 怎麽取悅祂們？
00:21:19:15 00:21:20:13 我們甚麼都不知道
00:21:20:21 00:21:23:00 可是你問那些外國人，他們甚麽都知道
00:21:25:15 00:21:28:06 首先，他們受夠了基督教
00:21:28:15 00:21:30:03 這是其一
00:21:30:18 00:21:34:01 他們就是受夠了所有無聊的事情
00:21:34:07 00:21:36:12 因為他們很聰明，你看得出
00:21:37:12 00:21:39:07 他們的制約少得多
00:21:39:16 00:21:40:20 他們開始想：
00:21:41:02 00:21:44:12 畢竟，我們不知道為甚麼他們這樣做
00:21:48:08 00:21:50:08 他們就是準備就緒
00:21:50:18 00:21:53:16 那時候，我們出口了很多假導師
00:21:54:02 00:21:56:08 向西方出口了很多假導師
00:21:56:17 00:22:00:16 感謝天，因為我們窮，我們才得救---這可是個祝福
00:22:02:06 00:22:04:24 很多假導師因此走到哪裡，賺了很多錢
00:22:05:06 00:22:07:04 我們在這裡也有很多這種人
00:22:07:10 00:22:10:20 我是說我們精於此道，制造了很多假導師
00:22:11:18 00:22:13:19 他們愚弄人，一個接一個
00:22:14:02 00:22:15:11 賺了很多錢
00:22:15:19 00:22:17:16 他們全是金錢導向的
00:22:20:00 00:22:21:23 開始的時候對我來說是很困難的
00:22:22:06 00:22:25:19 他們全都曾經很霸道地挑釁我
00:22:26:01 00:22:28:15 因為我說過你不可以用神的名義來賺錢
00:22:28:22 00:22:30:14 那樣做太過分了
00:22:31:06 00:22:34:03 她怎能說你不能賺錢？
00:22:34:24 00:22:36:18 不過現在好多了
00:22:37:09 00:22:39:21 他們一個接一個被揭發
00:22:40:02 00:22:41:12 還有更多人會被揭發
00:22:41:20 00:22:43:14 我不需要告訴你他們是誰
00:22:43:22 00:22:45:09 他們會被揭發，一個接一個
00:22:45:20 00:22:49:06 如果有光，黑暗便會消失
00:22:49:15 00:22:53:09 這裡的一切都要被揭發
00:22:54:13 00:22:56:24 每一個人都有相同的感受
00:22:57:24 00:22:59:21 沒有任何爭議
00:23:00:08 00:23:05:10 因為靈是全能神的反映
00:23:06:14 00:23:11:16 同一位神，祂反映至高濕婆神(Sadashiva)
00:23:12:20 00:23:15:05 至高濕婆神旁觀
00:23:15:11 00:23:17:01 見證原初的母親，即太初之母(Adi Shakti)的工作
00:23:17:12 00:23:19:05 祂只是這場戲劇的旁觀者
00:23:19:14 00:23:20:19 只是旁觀見證
00:23:21:01 00:23:23:00 在你之內，祂以Atma（靈）來旁觀見證 
00:23:23:06 00:23:26:12 但是祂並不會進入你的注意力之中，祂就在哪裏
00:23:28:04 00:23:32:13 祂的注意力
00:23:33:21 00:23:39:05 是有限制的，因為祂怎樣也
00:23:39:15 00:23:44:16 不想干涉你的自由
00:23:45:01 00:23:47:13 所以祂限制自己，只是靜觀
00:23:47:20 00:23:48:16 這就是「自主」
00:23:48:24 00:23:51:02 我們說的「自主神經系統」的「自主」 
00:23:51:09 00:23:52:12 就是靈
00:23:52:18 00:23:56:19 現在，它是同一位至高濕婆神的反映
00:23:57:05 00:24:00:07 因此，所有的反映很自然都應該是一樣的
00:24:00:21 00:24:03:00 他們的影響也應該是一樣的
00:24:03:13 00:24:07:13 當然，在得到自覺前，我們可以這樣說，它只是反映在石頭上
00:24:07:20 00:24:10:20 或者在牆上
00:24:11:05 00:24:14:05 也許在某些不透明的東西上
00:24:14:18 00:24:20:10 得到自覺後，你變成反映者
00:24:20:21 00:24:23:21 美麗的反映者，它反映你
00:24:24:07 00:24:26:14 每一個人都反映相同的東西
00:24:26:24 00:24:29:19 所以Atma sakshatkara（自覺）
00:24:30:02 00:24:31:22 在每個人身上都是相同的
00:24:32:05 00:24:35:05 就是一開始，他感到手上有涼風
00:24:35:12 00:24:38:09 涼風從他的腦囟滲出來
00:24:39:00 00:24:40:22 他們全都有相同的感覺
00:24:41:04 00:24:43:12 跟著他們感到能量中心
00:24:43:20 00:24:46:17 還能找出哪裡不妥當
00:24:47:10 00:24:52:23 還有，他們全部人都變得無思慮的覺醒
00:24:53:10 00:24:57:02 就是我們叫做nirvichara samadhi（無思慮的知覺）的第一階段
00:24:57:13 00:24:59:12 一下子就成就了
00:24:59:19 00:25:02:00 你可能會說：「母親，這是很困難的
00:25:02:08 00:25:03:15 這是怎會發生？
00:25:03:22 00:25:05:06 以前人們要去喜馬拉雅山才行
00:25:05:12 00:25:08:03 好吧，沒關係的，你不用去喜馬拉雅山
00:25:09:07 00:25:14:19 那些日子都過去了。畢竟，文明
00:25:15:10 00:25:18:11 這棵文明之樹已經長得這麽高大
00:25:18:17 00:25:20:09 它的根也必須生長
00:25:20:19 00:25:23:06 不然整個文明會垮掉
00:25:23:14 00:25:26:00 這是根源的知識
00:25:26:09 00:25:29:11 這就是為甚麽你必須變得
00:25:29:23 00:25:31:20 精微，sukshma，才能了解這個知識
00:25:32:20 00:25:35:10 這只能在靈量升起
00:25:35:18 00:25:37:17 穿透你的腦囟
00:25:37:24 00:25:42:12 把你連接到那無所不在
00:25:42:24 00:25:44:15 神的浩愛力量時，才得以成真
00:25:46:12 00:25:48:21 你第一個感受是
00:25:49:05 00:25:51:19 集體意識
00:25:52:11 00:25:54:17 因為每一個人都是靈
00:25:55:10 00:25:56:24 所以你能感受到另一個Atma(靈)
00:25:57:06 00:25:59:08 你能感受到另一個靈，感受到另一個
00:25:59:19 00:26:01:20 你能感受到他們的身體，他們的心智
00:26:02:03 00:26:03:20 你能感受到一切
00:26:06:13 00:26:09:00 這是你從神經系統
00:26:09:11 00:26:12:07 中樞神經系統
00:26:12:14 00:26:15:08 取得的第一個品質samuhik chetana 
00:26:17:13 00:26:20:05 你在進化中取得的一切都
00:26:20:11 00:26:23:24 顯現在你的中樞神經系統
00:26:24:11 00:26:25:20 舉個例子
00:26:26:02 00:26:28:09 如果你想帶一只狗或一匹馬
00:26:28:17 00:26:31:17 走過很骯臟的巷子
00:26:33:03 00:26:34:16 牠們會毫不介意的走過去
00:26:35:00 00:26:37:11 可是對人類人來說，要走過去就很困難了
00:26:38:00 00:26:40:17 因為在進化中，我們的中樞神經系統
00:26:41:00 00:26:45:06 發展了嗅覺，發展了對美麗的感覺
00:26:47:20 00:26:48:18 對了
00:26:49:07 00:26:50:20 他們發展了這種感官
00:26:51:04 00:26:52:15 一旦他們發展了這種感官
00:26:52:21 00:26:55:10 結果是在進化中
00:26:56:09 00:27:01:01 在精微感官上，人類
00:27:01:24 00:27:07:00 絕對是比動物優勝
00:27:07:20 00:27:10:02 對一只狗，你在這裡擺放甚麽都不要緊
00:27:10:10 00:27:13:16 你怎樣佈置，穿甚麽顏色的衣物，都不重要
00:27:14:07 00:27:16:15 但對我們這些卻是很重要
00:27:17:15 00:27:21:02 因為我們的感官已經改善
00:27:21:16 00:27:23:07 感官有所改進
00:27:24:02 00:27:26:10 是因為在進化過程中
00:27:26:19 00:27:29:02 我們已經成為了人類
00:27:31:06 00:27:35:00 可是在人類的階段，我們仍有一個問題
00:27:35:08 00:27:40:07 這個問題是我們的腦袋發展了兩個架構
00:27:40:15 00:27:44:04 被稱為自我和超我
00:27:44:12 00:27:48:01 你也可以稱它們為自我和制約
00:27:49:13 00:27:54:08 這兩個架構在我們的頭腦中交叉並且鈣化
00:27:54:18 00:27:58:10 使得我們變成封閉的人格
00:28:00:07 00:28:02:05 當靈量升起
00:28:02:13 00:28:04:11 她通過在視神經交叉床的額輪
00:28:04:19 00:28:08:14 把這兩個架構吸入 
00:28:09:00 00:28:12:11 打開頂輪，靈量才能走出來
00:28:13:19 00:28:18:03 這是一個活生生的過程，單憑你是不能做到
00:28:18:11 00:28:20:04 假設你要播種
00:28:20:12 00:28:22:18 你不能把胚芽，Ankura拔出來
00:28:23:00 00:28:24:14 再把它塞回去
00:28:24:21 00:28:29:20 你不能使種子發芽生長
00:28:30:01 00:28:32:21 這是個活生生的神
00:28:33:16 00:28:35:12 活生生的能量的活生生過程
00:28:35:18 00:28:38:11 請了解，當中有很大的區別
00:28:40:23 00:28:45:11 靈量升起是
00:28:46:10 00:28:49:07 自然而然地發生，她是你的母親， 
00:28:49:16 00:28:53:10 她很美妙地移動，不會干擾你
00:28:53:17 00:28:55:11 她非常了解她的孩子
00:28:55:21 00:28:58:22 這是她把自覺給你的機會
00:28:59:05 00:29:02:11 你的每一生她都一直愛你
00:29:02:20 00:29:05:01 她了解你的一切，知道你所有的問題
00:29:05:07 00:29:07:04 你曾經像個頑皮的男孩
00:29:07:12 00:29:08:19 「不要緊。」她說
00:29:09:01 00:29:10:21 這是把自覺給他們的機會
00:29:11:04 00:29:13:24 就是她，美好地升起
00:29:14:08 00:29:17:10 把事情成就，穿透
00:29:18:00 00:29:19:16 這全都發生了
00:29:21:13 00:29:24:07 當她觸碰到或
00:29:24:15 00:29:26:16 穿透梵穴( Brahmarandra)
00:29:27:15 00:29:31:07 至高濕婆神的寶座就在這裡
00:29:31:17 00:29:33:20 祂的反映在這裡，寶座卻在這裡
00:29:34:02 00:29:36:22 這是我們頭腦裡的peethas(寶座), 七個peethas 
00:29:37:20 00:29:40:06 輪穴則在下方
00:29:41:09 00:29:43:18 所以當她穿透它
00:29:44:13 00:29:47:16 實際上是我們觸碰了
00:29:47:22 00:29:48:21 至高濕婆神的蓮足
00:29:49:02 00:29:51:02 那就是為甚麽我們心裡
00:29:51:10 00:29:53:13 注意到靈
00:29:54:22 00:29:56:21 當我們注意到靈
00:29:57:02 00:29:59:10 我們就得到開悟，注意力得到開悟
00:30:00:15 00:30:03:01 這注意力
00:30:05:21 00:30:11:04 因此變得非常地警覺，它知道一切
00:30:12:08 00:30:14:06 只是坐在這裡，你便知道
00:30:14:14 00:30:16:14 其他人在他們的輪穴上做了些甚麼
00:30:16:23 00:30:19:03 你不會討論他們穿甚麼衣服
00:30:19:11 00:30:20:23 他們銀行裡有多少存款
00:30:21:07 00:30:23:17 他們會看到自己輪穴的狀態
00:30:23:23 00:30:26:20 出甚麼問題。你只要坐在這裡
00:30:27:12 00:30:29:15 就能治療他們，幫助他們
00:30:30:02 00:30:32:14 可是他們一定要和這個無所不在的力量結為一體
00:30:32:21 00:30:34:05 這才是重要的
00:30:34:16 00:30:37:13 如果他們不這樣，便要花點時間
00:30:41:08 00:30:46:16 你先變得nirvichar, nirvichar samadhi（無思慮的入靜狀態）
00:30:47:03 00:30:49:17 跟著你通過給予他人自覺
00:30:50:01 00:30:51:17 來成就你的集體意識
00:30:52:00 00:30:53:21 你有權提升靈量
00:30:54:03 00:30:55:24 用雙手你就能提升靈量
00:30:56:09 00:30:58:14 這些在這裡唱歌的人
00:30:58:24 00:31:02:02 他們有些人已經給上千人自覺
00:31:03:04 00:31:05:07 你也能這樣做
00:31:06:17 00:31:08:10 因為現在你擁有力量
00:31:08:17 00:31:10:13 問題是
00:31:11:23 00:31:13:20 皇位已經賜予你
00:31:14:07 00:31:16:15 你亦已安坐其上
00:31:17:02 00:31:21:19 也已經用漂亮的
00:31:22:04 00:31:23:02 mukuta（即皇冠）來裝飾你
00:31:23:10 00:31:24:22 可是你仍然不想相信
00:31:25:05 00:31:27:13 自己已經當上國王，要怎樣你才會相信？
00:31:28:15 00:31:33:04 所以第二點是自信，這是非常困難的
00:31:33:23 00:31:39:15 他們不相信自己已經得到自覺
00:31:40:08 00:31:42:22 然後「去做吧，去成就它吧
00:31:43:03 00:31:45:14 你已經成為自己的導師，去做吧
00:31:45:22 00:31:47:13 他們不能，他們害怕
00:31:47:21 00:31:51:14 這些可怕的騙子，他們沒有自覺
00:31:51:21 00:31:53:10 沒有知識，甚麼都沒有
00:31:53:19 00:31:55:03 他們成為死導師
00:31:55:11 00:31:57:05 卻有上千人追隨他們
00:31:57:13 00:32:00:16 他們愚弄他們，從中賺錢，還糟蹋他們的生命
00:32:01:09 00:32:04:00 而霎哈嘉瑜伽士
00:32:04:09 00:32:06:23 他們具有全部的知識，知曉一切
00:32:07:18 00:32:13:20 卻仍是很謙虛，很單純
00:32:16:13 00:32:18:20 他們了解每一個人
00:32:19:12 00:32:21:05 任何人來到，他們了解：
00:32:21:12 00:32:23:06 啊，我們了解這個人
00:32:23:20 00:32:26:03 他們不說出來，但卻了解所有人
00:32:26:09 00:32:28:12 他們本身
00:32:29:21 00:32:34:13 的科學，他們會告訴你：「這個是這樣的。」他們了解
00:32:35:02 00:32:38:10 他們會集體地為那個人服務
00:32:38:23 00:32:42:18 你不會知道他們做了些甚麼
00:32:43:16 00:32:45:11 它會成就到
00:32:49:17 00:32:55:17 靈的第二種本質是
00:32:56:00 00:32:58:23 它不單是集體的存在體
00:32:59:07 00:33:01:10 還是絕對的存在體
00:33:01:19 00:33:03:15 我們活在一個相對的世界裡
00:33:04:18 00:33:08:14 這是好的，這是壞的，這是這樣那樣的
00:33:09:13 00:33:12:06 它是絕對的存在體，像你把
00:33:12:19 00:33:16:08 雙手朝向一張照片：
00:33:17:08 00:33:20:17 馬上，如果那是由一個得到自覺的靈拍下的
00:33:20:23 00:33:22:22 你就會感到生命能量
00:33:23:11 00:33:26:11 想一想任何人，他是個得到自覺的靈嗎？
00:33:26:21 00:33:28:07 只要伸出雙手
00:33:28:15 00:33:31:20 有很多人…不相信神
00:33:32:01 00:33:35:01 如果祂是神，所謂的神，不相信有神
00:33:35:08 00:33:36:17 我是說，這是最不科學的
00:33:37:00 00:33:38:16 假設他們不相信神
00:33:39:00 00:33:42:19 他們只需要問：「母親，有神嗎？」行了
00:33:43:11 00:33:45:17 他們取得生命能量
00:33:46:09 00:33:49:21 一切都能夠被證實
00:33:50:04 00:33:52:11 任何事物都有Pramaan （即證據）
00:33:52:18 00:33:57:13 到目前為止所提過的事物都有Pramaan 
00:34:01:24 00:34:05:05 這是件發生在你身上的大事
00:34:05:16 00:34:09:14 就是你從生命能量(chaitanya)中取得 Pramaan(證據)
00:34:11:12 00:34:17:24 這個注意力(chitta)是那麽專注
00:34:18:13 00:34:21:22 那麽有活力、那麽有效率
00:34:23:07 00:34:25:10 它也潔凈你
00:34:25:22 00:34:27:22 它知道你哪裏出問題
00:34:28:03 00:34:31:03 哪個輪穴有阻塞，它都會告訴你
00:34:32:01 00:34:36:20 像我在德里的時候
00:34:37:16 00:34:40:06 他們帶來三個男孩。「母親，他們的額輪有阻塞
00:34:40:12 00:34:42:14 不知何故，我們怎樣都不能清理它。」
00:34:43:00 00:34:45:06 那是說他們都自我中心
00:34:45:17 00:34:47:21 他們也說：「對，母親，我們的額輪有阻塞
00:34:48:03 00:34:49:05 我們頭痛
00:34:49:13 00:34:52:05 他們是自我中心，卻不說自己是自我中心
00:34:52:14 00:34:53:14 他們只會說：
00:34:53:22 00:34:56:14 對，母親，我們的額輪有阻塞。請潔淨它吧
00:34:57:03 00:34:59:20 你自己在說：「我是自我中心。」
00:35:01:17 00:35:04:22 因為痛楚，是自我帶給你的痛楚
00:35:05:06 00:35:08:00 所以：「母親，幫我們潔淨額輪，我們清理不了。」
00:35:08:07 00:35:10:23 好的，來吧，我來潔淨它吧
00:35:12:12 00:35:14:20 你開始評價自己
00:35:15:15 00:35:18:04 你知道自己有甚麽地方不妥當
00:35:19:04 00:35:20:19 我的臍輪有阻塞
00:35:21:02 00:35:24:04 我這個輪穴有阻塞，那個輪穴有阻塞。」
00:35:25:22 00:35:27:14 他們知道自己的問題
00:35:27:20 00:35:30:09 他們都知道怎樣去淨化，怎樣去清理
00:35:30:21 00:35:34:01 怎樣去成就，那麽你便能潔淨自己
00:35:34:18 00:35:37:23 不過，最厲害的潔淨是當你與集體一起的時候才會發生
00:35:38:16 00:35:41:18 很多人用我的照片
00:35:42:05 00:35:45:15 母親，我們做崇拜，坐下靜坐
00:35:45:22 00:35:49:03 可是我還是有這個麻煩
00:35:50:07 00:35:52:03 你必須在集體裡
00:35:52:11 00:35:55:14 這是霎哈珈瑜伽很重要的部分
00:35:56:13 00:35:59:23 因為現在，你看，你不用到喜馬拉雅山
00:36:00:11 00:36:03:09 不用跳進恆河裡
00:36:03:20 00:36:06:01 不用斷食
00:36:06:24 00:36:09:05 不用唸誦任何Japaas (經文)，甚麽也不用做
00:36:09:13 00:36:11:13 唯一要做的是：要集體合群
00:36:12:05 00:36:16:13 集體是大能的注意力的海洋
00:36:17:02 00:36:19:16 一旦你處於集體中，便會得到潔凈
00:36:19:24 00:36:22:06 像我的手指，假設，本來是好好的
