00:05:23:07 00:05:32:13 今天是一个大日子，因为顶轮日和母亲节
00:09:05:20 00:09:12:00 在顶轮的层次，你们知道真理
00:09:13:04 00:09:20:22 各种的虚幻，各种的误解
00:09:20:22 00:09:30:20 各种自己附加的无明，全都必须消失
00:09:31:01 00:09:34:22 因为你知道的就是真理
00:09:36:14 00:09:43:14 真理并不尖锐，并不苛刻
00:09:43:23 00:09:50:12 也并不难以掌握
00:09:50:22 00:09:57:07 人们以为真理是非常具破坏性
00:09:57:23 00:10:02:20 或非常严苛，会在人类之间制造问题
00:10:02:20 00:10:08:18 我们不应这样想
00:10:09:01 00:10:13:09 真理并非这样
00:10:13:09 00:10:16:00 但当人们谈论真理
00:10:16:00 00:10:20:23 他们把真理用在错误的目的上
00:10:21:06 00:10:23:15 人类就是这样独特
00:10:23:21 00:10:34:18 他们以错误的态度，传达错误的信息
00:10:35:00 00:10:38:14 来运用事物，他们亦利用它以达到个人的目的
00:10:38:14 00:10:42:17 人类拥有权力来凌驾别人
00:10:42:17 00:10:46:15 这是非常普遍的
00:10:46:21 00:10:49:11 在我的国家中
00:10:49:11 00:10:53:18 我看到人们想拥有分拆出来的国家
00:10:54:03 00:10:59:00 那些想拥有分裂出来的国家的人
00:10:59:00 00:11:04:01 并不是要成就什么伟大的事情
00:11:04:10 00:11:07:07 只是想成为______只有少数人这样想
00:11:07:07 00:11:11:04 想在他们自己的国家中成为伟大的人
00:11:11:10 00:11:14:17 所以他们永远不会想留在一个
00:11:14:17 00:11:17:10 他们不能提升到这个高度的国家里
00:11:17:17 00:11:22:04 因此，他们分裂这个国家，在分裂中
00:11:22:04 00:11:27:03 我看到所有这些国家都在受苦，受很多苦
00:11:27:03 00:11:30:07 他们没有进步，有的是财务上的问题
00:11:30:07 00:11:32:12 各种问题都会出现
00:11:32:12 00:11:38:17 那个主体的国家也在受苦，因为它们
00:11:38:17 00:11:44:01 树立了敌人，所有这些敌人都正在对抗这个主体国家
00:11:44:01 00:11:49:24 分裂主意本身是违反霎哈嘉的
00:11:49:24 00:11:56:23 例如，一朵花在树上生长，它看来很美好
00:11:57:07 00:12:02:15 它在树上生长，在树上成熟，也在树上生产种子
00:12:02:15 00:12:09:17 但若你把花朵剪下拿走，什么会发生
00:12:09:17 00:12:12:08 树木毫无疑问失去了花朵
00:12:12:08 00:12:16:12 但最大的损失却是那花朵
00:12:16:12 00:12:20:09 现在他们全都这样做，当他们这样做时
00:12:20:15 00:12:22:17 你看看，结果会怎样？
00:12:22:17 00:12:32:22 那些想拥有自己的国家、自己的领域的人
00:12:33:03 00:12:40:14 他们被杀害，被谋杀、被虐待，有些人则被关进监狱
00:12:40:14 00:12:45:01 所以这种分裂的态度，甚至在霎哈嘉瑜伽外
00:12:45:01 00:12:48:08 也显示对事情于事无补
00:12:48:15 00:12:54:11 我们必须学习一体
00:12:54:11 00:12:59:04 若在你来到霎哈嘉瑜伽，得到自觉后
00:12:59:04 00:13:05:17 仍然不明白我们必须合一
00:13:05:17 00:13:09:12 成为一个单位，一个团体这信息
00:13:09:12 00:13:14:06 若你不能明白这个信息，仍然认同于其它的事物
00:13:14:06 00:13:19:18 那么你仍未成长，仍未成熟
00:13:19:18 00:13:23:17 我们必须在顶轮日明白非常重要的一点
00:13:23:17 00:13:29:01 就是每个轮穴在顶轮都有它的宝座
00:13:29:01 00:13:31:01 所有七个轮穴
00:13:31:01 00:13:35:23 都安坐在脑袋的中央
00:13:35:23 00:13:43:11 亦是藉由这个区域作出行动。无论它们
00:13:43:11 00:13:46:12 在哪个轮穴，都可以成就事情。
00:13:46:12 00:13:52:20 现在所有这七个轮穴变成一体。
00:13:52:20 00:13:55:09 我必须说，变得完全一致。
00:13:55:09 00:14:02:04 完全的整合在这些能量中心之中发生
00:14:02:04 00:14:10:03 因为它们都是被这七个主要轮穴所控制
00:14:10:03 00:14:12:23 我们可以这样称呼它们，你们也可以用任何名称称呼它们
00:14:12:23 00:14:16:00 它们控制你的所有其它轮穴
00:14:16:00 00:14:20:21 因为它们是一致的，完全得到整合
00:14:20:21 00:14:25:07 这就是为什么你的所有轮穴得到整合
00:14:25:07 00:14:34:24 当这些宝座被灵量所觉醒
00:14:35:06 00:14:44:06 以及被上天神圣的力量所祝福，便会立即整合
00:14:44:15 00:14:49:06 他们说这像珍珠串在一条绳子上
00:14:49:06 00:14:53:17 还不止此
00:14:53:24 00:15:00:05 所有在你内里的宝座毫无分别地展现
00:15:00:05 00:15:06:07 在你内里整合起来
00:15:06:07 00:15:13:10 假若你的某一个轮穴有任何不妥当
00:15:13:10 00:15:15:19 肉身上、思维上、情绪上或无论是什么的不妥当
00:15:15:19 00:15:18:16 其它的轮穴都会帮忙这个染病的轮穴
00:15:18:16 00:15:29:07 尝试以他是已经得到整合一样
00:15:29:07 00:15:34:01 去进化一位霎哈嘉瑜伽士的人格
00:15:34:01 00:15:37:24 现在，你内在的整合是非常重要的
00:15:37:24 00:15:41:05 除非你内在得到整合
00:15:41:12 00:15:44:04 否则你外在的层面也不能得到整合
00:15:44:04 00:15:46:15 这种内在真我的整合
00:15:46:15 00:15:50:05 是霎哈嘉瑜伽那么好的一个祝福
00:15:50:05 00:15:57:13 令一位已得自觉的人
00:15:57:13 00:16:02:10 的品格比普通人高
00:16:02:10 00:16:07:24 他不会执着于负面的力量
00:16:07:24 00:16:09:21 毁灭的力量
00:16:09:21 00:16:14:03 他会放弃很多
00:16:14:03 00:16:18:06 通常非常困难才能放弃的东西
00:16:18:06 00:16:22:09 所有我们内里的七个轮穴
00:16:22:09 00:16:28:21 都被这些合一的宝座所指引
00:16:29:10 00:16:33:23 这种合一帮助所有轮穴
00:16:33:23 00:16:38:13 得到完全的整合
00:16:38:13 00:16:41:07 我们仍未整合是因为
00:16:41:07 00:16:47:20 我们的脑袋想着这面，身体却走到另一面
00:16:48:01 00:16:52:07 心却又在另一面，而我们的情绪却又不同
00:16:52:07 00:16:56:13 我们不知道该做什么正确的事情
00:16:56:21 00:16:59:04 做什么事情是好的
00:16:59:04 00:17:02:15 在得到自觉后，在灵的光芒之下
00:17:02:21 00:17:07:01 你得到真理，你知道什么应该去做
00:17:07:07 00:17:10:13 例如，在得到自觉后
00:17:10:21 00:17:14:13 你可以以人们的生命能量来评价他们
00:17:14:20 00:17:16:17 你不再需要以你的思维去评价别人
00:17:16:17 00:17:18:06 只用生命能量
00:17:18:06 00:17:24:18 你便立即知道自已或别人有什么不妥
00:17:24:18 00:17:30:21 这是双方面的改正，一方面你看到自己
00:17:30:21 00:17:34:04 你的真我，真我的知识来到你那里
00:17:34:04 00:17:37:16 另一方面，你可以分辨别人
00:17:37:16 00:17:39:21 分辨他正在做怎样的事情
00:17:39:21 00:17:43:23 若某人不是霎哈嘉但却声称是霎哈嘉
00:17:44:04 00:17:47:12 你可以很容易分辨出他不是
00:17:47:12 00:17:49:12 他的言行不是霎哈嘉
00:17:49:12 00:17:53:13 所以我们还是最好能够
00:17:53:13 00:17:58:16 令这种整合绝对的在我们内里运作
00:17:58:16 00:18:03:04 我们不应逃避，要接受
00:18:03:04 00:18:07:21 自己的任何缺点，任何正在做的错事
00:18:07:21 00:18:14:12 任何正在思考的错事，任何具破坏性的事情
00:18:14:18 00:18:20:18 所有这些都必须消失。因为你们是霎哈嘉瑜伽士
00:18:20:18 00:18:26:09 霎哈嘉瑜伽士有特别的任务
00:18:26:09 00:18:31:01 他们不像其它人那样只为金钱
00:18:31:07 00:18:34:13 权力，宰制人而工作
00:18:34:13 00:18:35:15 你们不是
00:18:35:15 00:18:41:07 你们在霎哈嘉瑜伽是为解放人类而工作。
00:18:41:07 00:18:45:15 整体上，这顶轮
00:18:45:21 00:18:51:04 是一处我们进入的普世领域
00:18:51:10 00:18:58:01 我们进入了一处普世领域，当我们在那里
00:18:58:01 00:19:00:16 我们变成一种普世的人格
00:19:00:16 00:19:05:08 所有那些小事像你的种族、你的国家
00:19:05:15 00:19:09:04 你的宗教，所有那些在人类之间的表面
00:19:09:04 00:19:12:16 人工化的障碍
00:19:12:16 00:19:17:02 都会消失，你变成一位已得自觉的灵
00:19:17:02 00:19:22:02 你知道什么是人类，你明白人类
00:19:22:08 00:19:25:15 这必须在所有霎哈嘉瑜伽士
00:19:25:15 00:19:27:07 在一起时才会发生
00:19:27:13 00:19:29:11 他们必须明白自己
00:19:29:18 00:19:32:02 不再是普通的人类
00:19:32:02 00:19:35:19 我们是特别为着一个特别任务而拣选出来的特别人种
00:19:36:00 00:19:39:00 这特别的工作是今天最重要的事情
00:19:39:07 00:19:42:18 现在，你们都知道在斗争期(Kali Yuga)正发生什么事
00:19:42:24 00:19:45:08 我不用向你们全部描述它
00:19:45:08 00:19:50:10 灵的光正要向你显示
00:19:50:16 00:19:56:00 怎样可以清除这斗争期的弊端。
00:19:56:07 00:19:59:08 你从自己身上开始
00:19:59:16 00:20:02:22 因看到自己过往曾经做过
00:20:02:22 00:20:06:02 那么多愚蠢的事情而发笑
00:20:06:10 00:20:09:10 你不需要这样做但你却这样做了。
00:20:09:10 00:20:11:24 那样也好，你可以原谅那些做同样错事的人
00:20:11:24 00:20:15:22 你亦明白那些人是
00:20:15:22 00:20:18:21 出于无明才这样做。
00:20:18:21 00:20:22:18 现在你的顶轮已经打开。
00:20:22:18 00:20:25:19 当顶轮打开
00:20:26:01 00:20:31:01 上天的恩典倾泻在你身上，
00:20:31:08 00:20:37:05 在这样的状态，我们必须说
00:20:37:12 00:20:40:13 你已经得到顶轮的滋润
00:20:40:19 00:20:44:02 将会发生的将是某些真正伟大的。
00:20:44:02 00:20:48:13 首先发生的是你对自己毫不执着
00:20:48:13 00:20:51:24 你可以观看自己，你可以看到自己的过去
00:20:51:24 00:20:54:22 你可以明白自己，就是
00:20:54:22 00:21:01:05 你曾经做了那么多错事，误解了那么多人
00:21:01:13 00:21:07:04 这样的事情令你远离你的本性
00:21:07:04 00:21:11:13 但当这光芒来临，顶轮便得到滋润
00:21:11:13 00:21:14:08 在这光芒中，你清楚看到
00:21:14:15 00:21:17:05 你对自己做过的错事
00:21:17:12 00:21:21:01 你看到自己的错误
00:21:21:07 00:21:25:07 你亦看到在你生活中的社会的缺点
00:21:25:19 00:21:29:16 我曾经看到，当人们得到自觉后
00:21:29:16 00:21:31:01 他们会告诉我︰
00:21:31:01 00:21:35:04 「母亲，我曾是基督徒，但你看，这就是基督教。」
00:21:35:04 00:21:38:08 另一个人会说︰「我曾是非常爱国
00:21:38:16 00:21:41:05 但我现在看到什么才是爱国。」
00:21:41:05 00:21:47:03 就像每个人开始看到自己的背景
00:21:47:10 00:21:55:02 自己的行事作风，并能抽身而出
00:21:55:11 00:21:59:22 当你抽身，你不再认同自己
00:21:59:22 00:22:02:17 这都是在自自然然下发生
00:22:02:17 00:22:05:11 唯一的是你必须学习自然
00:22:05:17 00:22:10:08 我在霎哈嘉中发觉到，人们仍然
00:22:10:08 00:22:17:06 虽然他们已经脱离虚幻，虚幻的海洋
00:22:17:13 00:22:22:24 但他们的一条腿仍然放在虚幻的海洋中
00:22:22:24 00:22:26:13 他们仍然想把腿放入及抽离那海洋
00:22:26:19 00:22:28:19 不应这样
00:22:29:03 00:22:33:05 这全只因人们没有静坐
00:22:33:13 00:22:37:06 现在说你必须静坐，人们视这为某种仪式
00:22:37:14 00:22:43:05 或是霎哈嘉瑜伽的风格，不是
00:22:43:05 00:22:49:13 静坐是为了令你能深入自己
00:22:49:20 00:22:54:05 成就顶轮想给予你的一切
00:22:54:13 00:22:59:11 到达无执着及洞悉力的高度
00:22:59:20 00:23:06:11 这只能借着静坐才能做到
00:23:06:11 00:23:08:24 什么会发生在入静中
00:23:08:24 00:23:14:22 就是你的知觉超越额轮，升至更高
00:23:15:06 00:23:21:11 在无思虑的知觉状态下，安顿在顶轮
00:23:21:17 00:23:27:03 顶轮的实相，顶轮的漂亮
00:23:27:16 00:23:32:06 开始倾泻在你的性格中，你的本性中
00:23:32:13 00:23:36:14 除非你静坐，并非为了令自己感到好点
00:23:36:14 00:23:39:19 或只是感到我必须静坐才去静坐
00:23:39:19 00:23:43:11 静坐是非常重要的，对你们所有人来说
00:23:43:17 00:23:47:00 藉由入静，你发展顶轮
00:23:47:09 00:23:52:05 吸收了顶轮的漂亮
00:23:52:11 00:23:56:13 若你不是这样运用顶轮
00:23:56:20 00:24:00:19 一段时间后，你发现顶轮会关闭
00:24:00:19 00:24:02:09 你会没有生命能量
00:24:02:15 00:24:06:02 也不再理解自己
00:24:06:09 00:24:09:10 所以最重要最重要的是去入静
00:24:09:10 00:24:13:09 我可以立即知道谁有静坐
00:24:13:15 00:24:18:03 而谁没有
00:24:18:03 00:24:21:23 因为没有静坐的人仍然以为
00:24:21:23 00:24:25:02 这样做没有不妥，我正在做这些，做那些
00:24:25:02 00:24:28:17 入静是令你可以
00:24:28:17 00:24:35:06 以实相的美丽来充实自己的唯一途径
00:24:35:06 00:24:36:24 并无其它途径
00:24:36:24 00:24:41:01 我找不到其它途径
00:24:41:01 00:24:47:02 藉由入静，你升进至神圣的领域
00:24:47:09 00:24:50:20 以我为例，无论我做什么
00:24:50:20 00:24:53:15 都是为着这原因
00:24:53:15 00:24:55:21 我已经找到一个方法
00:24:55:21 00:24:59:02 可以大规模地给予人类自觉
00:24:59:02 00:25:02:04 但这并不代表若我大规模地给予人类自觉
00:25:02:04 00:25:04:23 他们全都是霎哈嘉瑜伽士，不是这样
00:25:05:04 00:25:07:20 你们必定见过，在我们的讲座里
00:25:08:04 00:25:10:02 若我在场，人们得到自觉
00:25:10:02 00:25:19:12 他们会参加静坐班一段时间，跟着便流失了
00:25:19:12 00:25:22:12 原因是他们没有静坐
00:25:22:20 00:25:26:01 若他们有静坐，他们会知道
00:25:26:07 00:25:32:01 自己拥有怎样的特质，他们是什么
00:25:32:09 00:25:40:12 没有静坐，你们不会明白什么是对你们最好的
00:25:40:12 00:25:43:24 今天你们必须向我承诺
00:25:44:05 00:25:47:05 每个晚上、每个黄昏
00:25:47:05 00:25:50:04 以及或许每个清晨，你们也要静坐
00:25:50:10 00:25:54:12 无论是任何时间，若你处于入静的状态
00:25:54:12 00:25:59:24 你便能与这神圣的力量联系
00:26:00:07 00:26:06:04 无论任何对你，你的社区
00:26:06:04 00:26:11:04 你的国家有好处的事情，全是这神圣力量所做就
00:26:11:10 00:26:15:09 你不需要控制这神圣力量
00:26:15:16 00:26:18:10 你不需要去命令它，去请求它
00:26:18:18 00:26:26:02 你只要静坐，便能与这无所不在的力量合而为一
00:26:26:02 00:26:31:02 这也是你另一样极大的祝福
00:26:32:19 00:26:36:10 除非你的顶轮打开
00:26:36:18 00:26:43:07 上天神圣的祝福不能降临在你身上
00:26:43:07 00:26:47:01 或许你得到一点金钱，或许你得到一些工作
00:26:47:01 00:26:48:24 或许你得到这些或那些
00:26:49:05 00:26:53:07 但你的进展只能在你入静
00:26:53:07 00:26:59:12 在你的顶轮完全打开，向真理打开时，才能成就
00:26:59:19 00:27:07:04 真理就是这神圣力量是慈悲，是爱心
00:27:07:13 00:27:09:18 它就是真理
00:27:09:24 00:27:12:12 人们说神是爱，神是真理
00:27:12:18 00:27:18:01 以此等同，真理就是爱心，爱心就是真理
00:27:18:07 00:27:21:18 但若你依恋执着于你的孩子
00:27:21:18 00:27:24:13 你的家庭，这并非真理
00:27:24:21 00:27:27:21 执着的爱不是真理
00:27:28:02 00:27:30:04 若你依恋执着于某人
00:27:30:04 00:27:34:02 你永远不能看到他的缺点
00:27:34:02 00:27:36:05 若你生某人气
00:27:36:05 00:27:39:13 你永远不能看到他的优点
00:27:39:13 00:27:43:19 这是一种完全不执着的爱
00:27:43:19 00:27:47:02 这爱极之有力量
00:27:47:11 00:27:51:24 若你把这爱投射在任何一个人身上
00:27:51:24 00:27:55:13 你会很惊讶，这个人的问题会得到解决
00:27:55:13 00:27:57:07 他的性格会改善
00:27:57:15 00:28:02:16 所有事物都得到大大的改善，他的人生也会改变
00:28:02:24 00:28:06:16 但若你执着于某些事物
00:28:07:01 00:28:19:07 这种执着会引起问题，令霎哈嘉瑜伽不能成长
00:28:19:15 00:28:24:05 这种执着可以是各式各样，例如
00:28:24:05 00:28:28:05 你可以执着于你的国家、你的社区
00:28:28:05 00:28:31:04 你的家庭，可以是各式各样的
00:28:31:13 00:28:36:16 当顶轮打开，你学懂不执着
00:28:36:22 00:28:38:19 这只会在你不再执着时才会发生
00:28:39:02 00:28:42:05 我的意思是你并不是跑掉
00:28:42:13 00:28:46:13 在霎哈嘉瑜伽中，我们不相信那些从社会中跑掉
00:28:46:21 00:28:52:02 或走到喜玛拉雅山的人，我们称这些人为逃避现实者
00:28:52:08 00:28:53:13 重点不在这里
00:28:53:13 00:28:58:00 重点是你处身在这里，你看到每一个人
00:28:58:00 00:29:02:04 你观望着每一个人，你认识每一个人
00:29:02:10 00:29:07:11 你与每一个人都很接近，但你是一个毫不执着的人
00:29:07:18 00:29:12:13 这种状态在你的顶轮打开后才可到达
00:29:12:21 00:29:16:18 在这状态中，你如常与人相处
00:29:17:18 00:29:22:14 如常处理问题，如常处理所有事情
00:29:22:14 00:29:28:00 但你并无牵涉其中，完全抽离
00:29:28:10 00:29:31:00 过往你每事每物必牵涉其中的情况
00:29:31:10 00:29:36:13 无法令你在任何境况下知道事情的全貌，令你不能知道
00:29:36:19 00:29:39:05 什么正在发生，什么是真理
00:29:39:13 00:29:42:14 这种不执着能够帮助你
00:29:42:21 00:29:47:19 不执着的最伟大之处是你不受影响
00:29:48:14 00:29:52:23 再不用这样说︰「若你没有受影响
00:29:52:23 00:29:58:14 母亲，你怎能感受别人的感受
00:29:58:23 00:30:03:01 你怎能对其他人有爱心？
00:30:03:09 00:30:07:08 因为若你能感受别人的感受
00:30:07:17 00:30:10:20 你才能为他解决问题。」
00:30:11:01 00:30:16:03 这种感受别人的感受是一种执着
00:30:16:09 00:30:21:22 不是真正的感受，它对你没有任何帮助
00:30:23:03 00:30:25:09 某人哭泣，你也哭泣
00:30:25:19 00:30:28:06 某人有麻烦，你也有麻烦
00:30:28:06 00:30:33:11 这样对那人没有帮助，对你也没有帮助
00:30:33:19 00:30:37:11 所以不执着并不代表
00:30:37:19 00:30:42:12 你不能感受别人的感受
00:30:42:12 00:30:43:15 你也感受到
00:30:43:15 00:30:48:20 你能感受到别人的痛苦，别人的麻烦
00:30:49:01 00:30:54:01 感受整个社区和整个国家
00:30:54:09 00:30:56:20 只是你的感觉是那么抽离
00:30:57:20 00:31:02:22 好让上天无所不在的力量去接管
00:31:03:03 00:31:05:00 首先我们必须对上天的
00:31:05:06 00:31:09:09 能力有绝对的信心
00:31:09:17 00:31:11:17 当你已经不再执着
00:31:12:03 00:31:16:04 你说，你做吧，就可以了
00:31:16:04 00:31:18:03 当你这样说，你正要去做
00:31:18:09 00:31:20:12 你就去做
00:31:20:19 00:31:22:20 事情才会完全改变
00:31:22:20 00:31:27:17 因为你把你的责任，你的问题
00:31:27:17 00:31:31:03 转移到非常强大，非常有能力
00:31:31:03 00:31:35:20 可以成就任何事情的神圣的力量那里
00:31:36:01 00:31:41:11 若你认为是你要解决这个问题
00:31:41:17 00:31:44:08 是你去解决它
00:31:44:08 00:31:49:12 那么，上天神圣的力量会说︰「好吧，试试你的运气吧。」
00:31:50:00 00:31:54:04 但若你真的把这个问题交给上天神圣的力量
00:31:54:04 00:31:55:14 它自会把问题解决
00:31:55:14 00:31:58:17 我们在霎哈嘉瑜伽有各式各样的问题
00:31:59:01 00:32:02:00 特别是我们发觉人们
00:32:02:00 00:32:04:22 并不怎样喜欢霎哈嘉瑜伽
00:32:05:05 00:32:08:15 虽然他们只是少数，但你还是感觉很坏
00:32:08:22 00:32:12:01 你有否尝试为此而静坐？
00:32:12:01 00:32:17:03 你有否把这个问题交托予上天的大能？
00:32:17:09 00:32:18:20 我们为什么要担忧？
00:32:18:20 00:32:21:20 当我们借着顶轮拥有上天的力量
00:32:22:01 00:32:23:03 我们为何还要担忧？
00:32:23:03 00:32:25:09 还要想它呢？
00:32:25:09 00:32:28:12 把问题交给上天的力量吧
00:32:28:20 00:32:33:00 若你可以做到，若你可以成就到
00:32:33:09 00:32:35:22 但你明白，对人类这是很困难的
00:32:36:06 00:32:38:04 因为他们与自己的自我
00:32:38:14 00:32:40:09 自己的思想制约活在一起
00:32:40:17 00:32:45:09 若想所有这些执着都消失
00:32:45:15 00:32:50:23 你需要做的只是把所有事情交给这上天的力量
00:32:51:20 00:32:53:14 克里希纳在《薄伽梵歌》曾经说︰
00:32:53:22 00:32:57:15 Sarva dharmanam parityajya mamekam sharanam vraja - 
00:32:57:22 00:32:59:17 忘记所有正法。」
00:32:59:17 00:33:04:08 正法的意思，他的意思是，我们拥有正法的妻子
00:33:04:17 00:33:08:15 正法的丈夫，或是正法的社会成员
00:33:08:23 00:33:10:22 他们全都有自己的正法
00:33:11:06 00:33:16:12 但他说︰「把他们交托，把他们交托给我，我自会处理。」
00:33:16:20 00:33:20:01 我们必须学习的，就是去说
00:33:20:08 00:33:24:15 「上天的力量会解决我们的问题。」
00:33:24:23 00:33:28:06 对人类来说，要到达这种状态是非常困难的
00:33:28:14 00:33:32:12 只能藉由静坐才能做到
00:33:32:18 00:33:36:15 我并不是说你不停的静坐
00:33:36:15 00:33:37:17 不需要这样
00:33:37:23 00:33:43:17 要对自己和上天的力量充满信心
00:33:43:17 00:33:47:01 若你能成就到，我可以肯定，要提升到这种
00:33:47:01 00:33:51:06 知觉状态并不困难
00:33:51:12 00:33:53:12 这是我们必须成就到的
00:33:53:20 00:33:57:17 男女都能做到。
00:33:58:09 00:34:01:15 他们不需要想︰「母亲，我们怎能做到？」
00:34:02:00 00:34:05:06 无论如何，你看，这些人对霎哈嘉瑜伽没有任何好处
00:34:05:14 00:34:11:09 那些缺乏自信的人，什么也成就不了
00:34:11:15 00:34:15:15 但那些委身和认为自己可以做到的人
00:34:16:03 00:34:25:09 能把他们的力量转移到上天的力量
00:34:25:23 00:34:27:20 只是把它交托给上天的力量
00:34:27:20 00:34:32:11 就如我有一辆车可以把我载到这里
00:34:32:19 00:34:37:00 若我有这样的一辆车，我不会把小公牛放在上面
00:34:37:09 00:34:43:08 我也不会推它，我只会坐在车内和运用它
00:34:43:08 00:34:47:00 同样，若你被这伟大的力量围绕着
00:34:47:20 00:34:52:19 若你的顶轮是绝对的，完全的被它淹没
00:34:53:04 00:34:58:21 你会很惊讶事情是怎样可以成就到
00:35:00:14 00:35:04:07 让我以一个霎哈嘉瑜伽士为例，他现在已经不在了
00:35:04:20 00:35:09:06 他是一个渔民，一个平凡的渔民，他也受过教育
00:35:09:14 00:35:13:00 所以他在银行工作
00:35:13:00 00:35:16:14 有一天，他要为霎哈嘉瑜伽办点事
00:35:16:20 00:35:19:01 必须乘船去的
00:35:19:11 00:35:22:21 当他外出，他发觉整个天气都乌云密布
00:35:22:21 00:35:26:14 风暴将会来临
00:35:26:14 00:35:33:04 他因此感到很不安︰「什么会发生？」
00:35:33:17 00:35:37:18 立即，他的顶轮完全开启，感觉很好，他立即说︰
00:35:38:00 00:35:41:15 我现在交给上天的力量
00:35:41:15 00:35:44:15 去停止这些事情发生
00:35:44:23 00:35:48:03 直到我回到家里和上床睡觉前
00:35:48:10 00:35:51:18 我也不想下雨和出任何问题。」
00:35:52:01 00:35:55:15 这是很令人惊讶，有人告诉我︰
00:35:55:15 00:35:58:21 「母亲，雨云和所有这些始终都在天空上
00:35:59:06 00:36:04:23 没有下雨，什么也没有
00:36:05:06 00:36:08:04 没有出任何乱子。」
00:36:08:14 00:36:11:10 他走到另一个岛
00:36:11:17 00:36:13:15 为霎哈嘉瑜伽办了点事
00:36:13:21 00:36:16:18 再回来，当他睡觉时
00:36:17:00 00:36:19:04 便开始倾盆大雨
00:36:19:10 00:36:23:21 所以大自然，每事每物，每一片叶子，每一朵花朵，所有的一切
00:36:24:06 00:36:27:04 都是藉由上天的力量成就
00:36:27:17 00:36:31:18 所以我们不应有自我，以为自己可以做任何事情
00:36:32:00 00:36:33:09 可以管理自己
00:36:33:15 00:36:35:24 当你有这些念头
00:36:35:24 00:36:37:17 你还未完全发展
00:36:37:17 00:36:41:15 你还未完全在霎哈嘉瑜伽中成长
00:36:41:15 00:36:45:12 要在霎哈嘉瑜伽中成长，对你来说并不困难
00:36:45:12 00:36:47:13 因为你已经有指引
00:36:47:23 00:36:52:17 那些已经得到自觉的人，他们的数量很少
00:36:52:24 00:36:57:04 像稣菲派和一些在印度的圣人，他们所有人
00:36:57:12 00:36:59:04 他们必须要有多少挣扎
00:36:59:10 00:37:01:13 没有人指引他们，没有人帮助他们
00:37:01:23 00:37:05:06 没有人告诉他们可以有怎样的成就
00:37:05:12 00:37:10:02 虽然如此，他们却是非常满足
00:37:10:17 00:37:13:24 非常快乐的人，他们是成就得那么好
00:37:14:07 00:37:19:15 他们如你们一样，以另一个角度来看这个世界
00:37:19:23 00:37:23:10 他们却没有失望，充满自信
00:37:23:17 00:37:28:24 拥有对自己的知识
00:37:29:06 00:37:33:15 这是藉由入静而成就到
00:37:33:23 00:37:35:17 他们撰写书籍的方式
00:37:35:17 00:37:38:18 他们有些是很伟大的，这是很令人惊讶
00:37:38:24 00:37:46:24 他们怎可以写出这些伟大的诗篇，这样充满知识
00:37:47:10 00:37:51:20 我们不能明白，他们没有任何指引
00:37:52:02 00:37:54:18 没有人告诉他们
00:37:54:24 00:37:57:02 但有一点
00:37:57:15 00:38:02:16 就是他们常常都好好照顾自己的顶轮
00:38:03:12 00:38:07:01 有一种东西在阻碍着顶轮
00:38:07:07 00:38:13:02 就是你的额轮移向思绪
00:38:13:02 00:38:17:02 这就是唯一
