00:02:26:14 00:02:28:09 問題是
00:19:14:22 00:19:17:16 哪裏的一切都有香氣，每個人都嗅到
00:19:18:01 00:19:20:15 原因是我享受一切
00:19:20:23 00:19:24:04 享受為別人辦事
00:19:24:15 00:19:26:01 不是別人，誰是別人
00:19:26:07 00:19:28:04 對我來說，霎哈嘉瑜伽士不是別人
00:19:28:10 00:19:31:06 我是為自己而做，我的更大的存在體
00:19:31:17 00:19:33:20 更高的存在體
00:19:34:18 00:19:37:12 你就是要這樣看待事物，對嗎？
00:19:37:20 00:19:39:24 那麽你便會享受
00:19:44:18 00:19:46:23 我現在要對Sangli人說
00:19:48:06 00:19:50:02 我們很久以前曾在這裏作過一個崇拜
00:19:50:17 00:19:51:21 最近也有一個崇拜
00:19:52:13 00:19:55:16 在Sangli 的報章裏有很多報導
00:19:55:24 00:19:57:11 因此有很多工作已經做了
00:19:58:05 00:20:00:11 霎哈嘉瑜伽能在這裏確立
00:20:00:20 00:20:04:06 因為氛圍很美好，很寧靜
00:20:04:12 00:20:06:16 這裏所有人都準備幫忙
00:20:07:08 00:20:10:17 所以我想給Sangli人一份小禮物
00:20:11:02 00:20:13:11 請他們要接受，這是我的請求
00:20:19:11 00:20:23:12 還有另一份禮物，但仍在市集裏
00:20:31:11 00:20:34:07 當禮物到達，我也會送出，誰想要它？
00:20:40:01 00:20:43:19 我買了很多東西，但仍未送到
00:20:44:02 00:20:45:19 所以我先給他們一件東西
00:20:46:19 00:20:48:02 把它帶來，現在吧
00:20:48:10 00:20:50:07 這位霎哈嘉瑜伽士是他達先生
00:20:50:13 00:20:54:13 他是這裏一位高級官員。是他做的
00:21:03:08 00:21:06:14 這位是馬力先生，他是區域…
00:21:07:05 00:21:09:05 我能說區域嗎？
00:21:10:08 00:21:13:06 他是這裏的區域農業部長
00:21:13:14 00:21:16:20 管理整個區域的農業
00:21:17:03 00:21:19:09 他在1975年得到自覺
00:21:19:16 00:21:22:05 被派來這裏，因此他參加了崇拜
00:21:22:11 00:21:23:17 他的家人也在這裏
00:21:24:02 00:21:26:22 他達先生為我們做了很多好事
00:21:27:03 00:21:29:05 請為他鼓掌
00:21:32:13 00:21:33:15 還有 
00:21:37:04 00:21:39:21 耶達先生
00:21:40:04 00:21:44:20 他是出版
00:21:45:04 00:21:47:09 報章的
00:21:47:18 00:21:50:13 耶達先生，請為他鼓掌
00:22:16:18 00:22:20:06 他們都位處高位但卻仍很謙虛，只看看
00:22:20:15 00:22:23:04 他是這裏的總管
00:22:23:13 00:22:24:12 他是工程師
00:22:24:21 00:22:26:21 管理這個
00:22:27:03 00:22:28:17 地區的所有農業活動
00:22:29:00 00:22:31:03 他是負責的官員
00:22:31:12 00:22:36:06 另一位是報章的編輯
00:22:38:10 00:22:41:20 當人有自我，他們沒法
00:22:42:04 00:22:43:10 與周遭有任何聯繫
00:22:43:20 00:22:45:12 他們不明白自己的程度
00:22:45:20 00:22:48:20 就如你推一個氣球
00:22:49:03 00:22:50:10 它會升上天空
00:22:50:17 00:22:54:04 完全不知道自己只是一個充滿空氣的氣球
00:22:55:04 00:22:57:10 這就是為甚麽稱呼這為自大，明白嗎
00:22:57:17 00:23:02:19 所以有實力的人
00:23:03:02 00:23:07:11 經過實質的訓練，實實在在的成長
00:23:07:22 00:23:09:21 他們不會跌進自我的陷阱
00:23:10:03 00:23:12:16 他們不會跌進自我的陷阱
00:23:13:00 00:23:16:10 他們先變得很謙虛
00:23:16:19 00:23:19:13 學習，更謙虛
00:23:19:22 00:23:22:14 再學習然後更加謙虛
00:23:25:16 00:23:27:24 就如牛頓曾經說
00:23:28:08 00:23:31:14 我像個小孩子
00:23:31:22 00:23:34:17 在知識的海岸收集小卵石
00:23:35:05 00:23:38:13 連牛頓這樣的人也這樣說
00:23:38:24 00:23:42:03 現在我發現
00:23:42:14 00:23:45:10 很難找到像牛頓這樣的人
00:23:45:21 00:23:48:03 那些在西方很有學問的人
00:23:48:19 00:23:51:19 在他們的作品裏，我看到他們的
00:23:52:05 00:23:56:16 言行舉言都很謙卑
00:23:56:24 00:23:59:05 你可以看到他們是很謙卑的人
00:23:59:14 00:24:03:13 謙卑是知識的徵兆
00:24:05:16 00:24:08:10 當樹木負重，它會垂下
00:24:08:19 00:24:12:00 當它負滿果實，它會垂下
00:24:12:16 00:24:17:05 同樣，有知識的人會垂下
00:24:17:16 00:24:19:18 會很謙卑
00:24:26:21 00:24:29:15 今天的崇拜真的很重要
00:24:29:20 00:24:32:15 因為今天要敬拜摩訶拉希什米
00:24:32:20 00:24:36:03 在霎哈嘉瑜伽，摩訶拉希什米的重要性
00:24:36:09 00:24:39:09 是其他力量沒法相比的，因為摩訶拉希什米是
00:24:39:16 00:24:42:06 我們稱為中脈的力量
00:24:42:13 00:24:45:24 她在中脈裡
00:24:46:04 00:24:49:04 透過她副交感神經得以啟動
00:24:49:11 00:24:51:22 要令摩訶拉希什米力量強壯，在我們的進化裡
00:24:52:02 00:24:55:23 發生了很多事
00:24:56:03 00:24:59:15 當中重要的事件是摩訶拉希什米的降世
00:24:59:20 00:25:02:12 摩訶拉希什米曾多次降世
00:25:02:19 00:25:05:14 她很有勇氣
00:25:05:21 00:25:08:18 以人類的形相在這個宇宙出生
00:25:08:18 00:25:11:22 做了很多工作
00:25:12:04 00:25:14:21 很令人驚訝，沒有資料是
00:25:15:01 00:25:17:20 關於摩訶拉希什米的這些降世神祇
00:25:18:01 00:25:22:09 沒有人曾深入而詳細的描述她
00:25:22:14 00:25:25:14 摩訶拉希什米原理是
00:25:25:19 00:25:29:23 建基於拉希什米原理，即是說
00:25:30:04 00:25:32:05 拉希什米的母親是摩訶拉希什米
00:25:32:15 00:25:35:09 應是說，拉希什米的母親
00:25:35:16 00:25:38:06 意思是當拉希什米降世為人類
00:25:38:12 00:25:41:06 她很平衡
00:25:41:13 00:25:44:08 女神的形相的一位女士
00:25:44:15 00:25:48:17 她是那麽平衡，因此她能站在蓮花上
00:25:48:24 00:25:51:09 手上拿著兩枝蓮花
00:25:51:18 00:25:54:09 一枝是粉紅色的
00:25:54:15 00:25:58:04 蓮花代表溫柔，粉紅色的蓮花
00:25:58:10 00:26:01:24 代表這個人是lakshmipati，他會擁有
00:26:02:08 00:26:05:16 拉希什米，這個人的性格
00:26:05:24 00:26:09:17 會有這種粉紅色，意思是他性格
00:26:09:22 00:26:12:12 很可愛，他不是個乾巴巴的人
00:26:12:19 00:26:16:12 其二是若你看到蓮花
00:26:16:17 00:26:19:19 即使蜜蜂來到，牠也能在蓮花裡
00:26:20:00 00:26:23:16 找到安身之所。蜜蜂有很多刺
00:26:23:24 00:26:26:23 即使是這樣，牠也能在蓮花裡找到安頓的地方
00:26:27:05 00:26:30:05 即蓮花也歡迎牠。因此，擁有
00:26:30:13 00:26:34:06 拉希什米的人會歡迎每一個人，無論是怎樣的客人
00:26:34:13 00:26:36:23 他要讓每一個人感到舒適
00:26:37:03 00:26:39:05 不論是大人物或小人物，他們按照
00:26:39:05 00:26:41:24 每一個人的社會地位照顧他
00:26:41:24 00:26:45:05 平等的招待每一個人
00:26:45:12 00:26:48:12 其三是
00:26:48:19 00:26:53:07 意思是我們要慷慨
00:26:53:13 00:26:56:23 若他不慷慨，
00:26:57:05 00:27:00:16 他就不是lakshmipati。Danat(慷慨的品質)
00:27:00:22 00:27:03:03 是一種很令人喜樂的品質
00:27:03:10 00:27:07:00 這種喜樂不能與購物帶來的喜樂相比
00:27:07:08 00:27:10:03 任何達到慷慨力量的人
00:27:10:10 00:27:13:00 我想這個人是最了不起的
00:27:13:08 00:27:16:04 因為他已經到達
00:27:16:11 00:27:18:21 人類進化的頂點
00:27:19:04 00:27:21:23 我們必須能慷慨。因為拉希什米
00:27:22:04 00:27:25:15 以左手給予，同樣
00:27:25:22 00:27:29:02 一個lakshmiputra(擁有拉希什米原理的人)
00:27:29:09 00:27:33:00 的人也要以左手慷慨的給予
00:27:33:07 00:27:36:20 即使右手不知道
00:27:37:02 00:27:40:23 以左手給予表示毫不費力，很霎哈嘉
00:27:41:05 00:27:45:02 (自然而然)的給予。一切欲望
00:27:45:11 00:27:49:10 必須只是慷慨。這個世界
00:27:49:17 00:27:53:01 真的有很多物質的事物，我認為
00:27:53:07 00:27:56:02 一切事物唯一重要的
00:27:56:09 00:27:59:06 就是我們能給予別人甚麽
00:27:59:15 00:28:03:04 透過慷慨，我們能表達
00:28:03:11 00:28:07:12 我們偉大的心，能表達我們的感情，我們的溫暖
00:28:07:19 00:28:11:02 這就是為甚麽物質是那麽重要
00:28:11:09 00:28:14:04 不然，一切物質都毫不重要
00:28:14:11 00:28:17:11 天然聖石(swayambhus)有很多身份
00:28:17:18 00:28:21:03 在霎哈嘉瑜伽，最重要的是
00:28:21:11 00:28:25:15 摩訶拉希什米的身份。藉由她的恩典，
00:28:25:22 00:28:29:06 我們的靈量能有通道上升
00:28:29:15 00:28:32:21 這渠道，摩訶拉希什米的渠道是高於拉希什米原理
00:28:33:03 00:28:36:17 右手，就像這樣
00:28:37:01 00:28:41:02 這隻手是保護的徵兆
00:28:41:09 00:28:45:10 它有雙重意義︰庇護，庇護每一個人
00:28:45:18 00:28:48:19 這隻手保護每一個人。在現實裡
00:28:49:01 00:28:53:00 我們看到的卻是相反。Lakshmipatis令每個人
00:28:53:06 00:28:56:23 感到有壓力和恐懼，相反
00:28:57:05 00:29:00:08 拉希什米只是安靜的站在蓮花上
00:29:00:18 00:29:03:17 完全沒有賣弄自己。否則
00:29:04:01 00:29:07:10 人們會要求汽車，要求這個那個，去炫耀他們
00:29:07:17 00:29:10:17 很富有，高人一等
00:29:11:00 00:29:14:12 另一方面，她沒有給人重量或
00:29:14:19 00:29:18:17 壓力，她很輕巧的站著，那麽優雅
00:29:18:17 00:29:21:07 沒有給任何人帶來麻煩
00:29:21:13 00:29:25:03 真正的lakshmipari只會坐在某個角落
00:29:25:08 00:29:28:21 充滿自信安靜的坐著，安靜的離去
00:29:29:02 00:29:32:00 即使他想付出甚麽，
00:29:32:07 00:29:35:09 他也只會付出後說︰「錫呂‧瑪塔吉，這是我的捐款，
00:29:35:16 00:29:38:11 請不要透露
00:29:38:11 00:29:40:22 我的名字，無論如何你也要接受
00:29:41:05 00:29:43:18 我在你蓮足下給予我的捐款，就是這樣，這再與我
00:29:43:24 00:29:47:01 沒有任何關係。」當我告訴他
00:29:47:08 00:29:49:19 我不接受捐款，捐款是給信托基金
00:29:50:00 00:29:52:16 (因此捐款者名字必須透露)
