00:10:03:23 00:10:08:13 我向所有真理的追求者致敬
00:12:41:12 00:12:43:10 我会制造它们，这是毋庸置疑的
00:12:43:21 00:12:46:20 不过，就是因为混乱
00:12:47:09 00:12:52:02 这些寻常百姓才会寻找真理
00:12:53:20 00:12:55:11 这是为什么
00:12:55:23 00:12:59:17 他们就在这个时刻取得自觉(Atma sakshatkara)
00:13:00:24 00:13:06:04 我们的经书(shastras)里
00:13:06:15 00:13:09:21 有很多关於这些时刻的预言
00:13:12:00 00:13:14:02 Bhrigumuni特别在
00:13:15:02 00:13:19:08 "Nadigranth”描述这些时刻
00:13:19:22 00:13:24:13 如果你数算一下日子
00:13:24:13 00:13:27:12 它正正就是现在
00:13:28:22 00:13:33:03 这些预言会在Raghwindra Swami死后发生
00:13:33:15 00:13:35:21 亦即是现在正在发生的事情
00:13:36:18 00:13:39:09 对你们来说，了解到
00:13:39:17 00:13:44:13 Raghwindra Swami在这个领域做了大量的工作是非常重要的
00:13:44:23 00:13:48:12 现在是时候要完成他的工作
00:13:50:07 00:13:53:00 Ramana Maharshi也是
00:13:53:18 00:13:55:07 他们不知道怎样解释
00:13:55:13 00:13:57:19 所以他们就要maunavart
00:13:58:08 00:14:01:02 像格尼殊哇(Gyaneshwara)，他在二十三岁时
00:14:01:10 00:14:03:10 写下这种美妙的作品
00:14:04:00 00:14:05:17 像“Amruta anubhavi …”这本书
00:14:06:00 00:14:09:08 我认为是灵性的遗言
00:14:10:08 00:14:13:02 他在二十三岁这么年轻
00:14:13:09 00:14:14:22 就要进入samadhis(三摩地，即境界)
00:14:15:08 00:14:18:09 因为没有人想去了解他们
00:14:18:17 00:14:19:23 太多的仪式
00:14:20:06 00:14:21:07 太多的制约
00:14:21:14 00:14:24:03 过度的阅读，没有人想去
00:14:24:10 00:14:25:10 了解他们在说什么
00:14:25:18 00:14:28:02 每个人都以为：「我们了解一切。」
00:14:28:12 00:14:32:24 他们就这样满足了
00:14:34:11 00:14:35:14 伽比尔(Kabira) 说过︰ 
00:14:35:21 00:14:38:06 Kaise samjhaun, sab jag andhaa
00:14:38:16 00:14:41:19 全世界都瞎了眼，我要怎样去解释呢
00:14:42:12 00:14:47:14 这就是我们在进化中要达成
00:14:47:23 00:14:50:20 要跳进去的
00:14:51:07 00:14:55:07 所有的经典都说你要成为灵
00:14:55:24 00:14:58:09 不单是印度，每个地方都是
00:14:58:18 00:15:01:02 如果你学习「道」，如果你学习「禅」
00:15:01:10 00:15:07:24 如果你学习犹太或基督教哲学
00:15:08:07 00:15:10:22 或是伊斯兰，每一处都说
00:15:11:07 00:15:13:10 你要成为真我(Self)
00:15:13:21 00:15:15:19 你要取得真我的知识
00:15:16:08 00:15:18:11 当然，若有任何人这样说
00:15:18:19 00:15:22:14 那些掌管宗教的人
00:15:22:22 00:15:25:05 事务的掌舵人，他们从中赚取金钱
00:15:25:15 00:15:27:20 或制造权势
00:15:28:03 00:15:30:20 利用宗教来取得权力或钱财
00:15:31:07 00:15:34:06 他们不喜欢这种说法，他们就会说：「他们是异端
00:15:34:17 00:15:37:20 这是亵渎罪。他们不具备特别的知识。」
00:15:38:04 00:15:40:18 这就是他们惩罚人
00:15:41:01 00:15:43:18 烦扰人、折磨人的方式
00:15:46:01 00:15:49:00 不过，现在是时候让所有求道者
00:15:49:16 00:15:54:18 得到自觉---Atma sakshatkara
00:15:55:12 00:15:57:06 昨天我告诉你它是怎样
00:15:57:12 00:15:59:06 透过唤醒灵量来成就
00:16:00:10 00:16:02:02 人们写下各种各样关於灵量
00:16:02:08 00:16:04:22 不实的荒唐事情
00:16:05:08 00:16:07:07 我是你的母亲，我会把真理告诉你
00:16:07:13 00:16:10:00 我不会告诉你虚假的东西
00:16:10:22 00:16:13:08 即使你不喜欢，就让我告诉你吧
00:16:13:19 00:16:16:00 因为这是为了你的福祉
00:16:16:09 00:16:18:20 为了你的好处，为了你的hita
00:16:21:22 00:16:24:23 当灵量升起
00:16:25:23 00:16:28:01 她穿过你
00:16:28:08 00:16:30:19 不同的能量中心，即精微的中心
00:16:31:12 00:16:32:22 并滋养它们
00:16:33:03 00:16:35:03 灵量穿透你的脑囟
00:16:35:09 00:16:38:00 把你与无所不在的力量
00:16:38:06 00:16:40:03 这个我们不知道的力量连上
00:16:41:15 00:16:45:07 跟着你从手上感受到
00:16:45:21 00:16:47:24 我们叫作Chaitanya lahari的生命能量
00:16:49:12 00:16:53:05 商羯罗大师(Adi Shankaracharya)把它叫作“Saundarya lahari”
00:16:54:14 00:16:57:08 因为你可以用它来判断saundarya
00:16:59:16 00:17:01:14 他把它描述得很美妙
00:17:01:23 00:17:04:01 可是他们却不断折磨他
00:17:06:06 00:17:07:17 想一想
00:17:08:01 00:17:10:07 像商羯罗大师这样的人---我是说
00:17:11:03 00:17:12:16 我不知道要说什么
00:17:13:02 00:17:17:05 他说出母亲这个秘密
00:17:17:19 00:17:20:09 还描述得那么美妙
00:17:21:12 00:17:23:19 为何要折磨他？
00:17:24:08 00:17:27:09 他犯了什么错要受这种折磨？
00:17:29:21 00:17:34:01 现在我们要捍卫真理
00:17:34:10 00:17:37:12 而且必须说：「母亲，我们要拥有真理
00:17:37:18 00:17:39:15 只要真理，不要别的
00:17:41:02 00:17:44:16 昨天我告诉过你，Atma（真我、灵）
00:17:45:16 00:17:48:08 是全能的神在我们心里的反映
00:17:48:19 00:17:50:22 除科学家
00:17:51:10 00:17:55:14 「什么都知道」
00:17:56:05 00:17:59:21 这个正统科学制约外，这是
00:18:00:02 00:18:01:00 现代科学制约的新型态
00:18:01:06 00:18:03:19 我跟你说，他们什么都不知道
00:18:07:01 00:18:08:13 真是荒唐
00:18:09:12 00:18:11:01 现在你看到有那么多的科学家
00:18:11:09 00:18:12:23 踊跃地和你讨论霎哈嘉瑜伽
00:18:13:09 00:18:16:17 因为他们体验过了，所以才接受
00:18:17:15 00:18:21:09 我告诉他们根轮
00:18:21:15 00:18:23:12 这个第一个轮穴，根轮
00:18:24:07 00:18:26:07 是用碳原子造成的
00:18:26:13 00:18:28:16 因为它是用Prithvi（即土）元素造的…tattwa(原理)
00:18:29:07 00:18:33:22 如果你把碳原子拍下来
00:18:36:00 00:18:39:06 造一个模型
00:18:40:01 00:18:42:05 再拍下相片，如果你从左面看
00:18:42:13 00:18:44:04 往右边
00:18:44:10 00:18:48:16 就会看到“Aum”(唵)
00:18:49:11 00:18:51:16 从右面看
00:18:51:22 00:18:54:16 在左面会看到swastika(卐)
00:18:55:03 00:18:57:08 如果你从下往上看
00:18:57:19 00:18:59:15 会看到十字架
00:19:00:19 00:19:04:13 对了，我真的要告诉你一位沃力克尔博士
00:19:04:21 00:19:05:24 他是位非常有名的医生
00:19:06:05 00:19:12:05 或许因为他是印度人
00:19:12:13 00:19:13:22 才拿不到诺贝尔奖
00:19:14:12 00:19:16:10 他与三四个练习
00:19:16:18 00:19:21:03 霎哈嘉瑜伽的科学家一起做实验，他们都这样说
00:19:24:02 00:19:25:10 它就是这样
00:19:26:00 00:19:32:00 这些科学家只有那么一点儿知识
00:19:32:06 00:19:35:22 因为他们是从表面看事物
00:19:36:15 00:19:39:15 而你以霎哈嘉瑜伽则是从内在开始
00:19:40:14 00:19:43:07 每一个人都会说出同样的话
00:19:45:07 00:19:48:02 因为…现在你看到我站在这里
00:19:48:09 00:19:50:21 穿着一件有红色饰边的白色纱丽
00:19:51:04 00:19:52:18 每个人都知道，每个人都感受到
00:19:53:02 00:19:54:21 我不需要告诉你，你知道
00:19:55:08 00:19:57:21 你看到，你看到它，就是这样
00:19:58:08 00:19:59:24 不过一旦你得到自觉
00:20:00:05 00:20:02:11 无论你在手上感受到什么
00:20:03:19 00:20:06:19 他人也有相同的感觉
00:20:07:02 00:20:10:11 即使你找来十个小孩，蒙上他们的眼睛
00:20:10:20 00:20:13:15 再问他们：「这位先生有什么病痛？」
00:20:14:01 00:20:15:21 他们不知道是位女士还是位先生
00:20:16:04 00:20:19:18 因为他们的眼睛都被蒙上，他们都会…比如说，伸出这根手指
00:20:20:00 00:20:21:12 这是说他的喉轮不好
00:20:21:20 00:20:23:08 你问那个人：「你的喉咙有毛病吗？」
00:20:23:17 00:20:25:12 你怎么知道？
00:20:26:09 00:20:31:01 我们知道是因为这根手指是克里希纳的手指
00:20:31:15 00:20:33:09 克里希纳的位置
00:20:33:24 00:20:35:16 就是喉咙
00:20:36:15 00:20:37:15 全部都有关连
00:20:37:23 00:20:42:18 神话并非全都是荒谬的
00:20:43:10 00:20:46:14 它有九成是确有其事
00:20:46:23 00:20:49:17 当然有人掺进了一些荒谬的东西
00:20:50:00 00:20:53:01 可是有九成的神话，所谓的神话
00:20:53:09 00:20:55:07 是确有其事
00:20:56:16 00:20:58:16 现在，我们到寺庙去
00:20:59:12 00:21:02:07 我们以为这是寺庙，到寺庙是很好的
00:21:02:13 00:21:04:10 可是我们不知道自己在做什么
00:21:04:22 00:21:07:10 膜拜什么，在膜拜谁
00:21:07:16 00:21:10:16 那些是什么神祇，祂们在我们身上如何运作
00:21:11:00 00:21:16:03 住在我们内在哪一处，祂们干什么工作？
00:21:17:00 00:21:18:17 怎么取悦祂们？
00:21:19:15 00:21:20:13 我们什么都不知道
00:21:20:21 00:21:23:00 可是你问那些外国人，他们什么都知道
00:21:25:15 00:21:28:06 首先，他们受够了基督教
00:21:28:15 00:21:30:03 这是其一
00:21:30:18 00:21:34:01 他们就是受够了所有无聊的事情
00:21:34:07 00:21:36:12 因为他们很聪明，你看得出
00:21:37:12 00:21:39:07 他们的制约少得多
00:21:39:16 00:21:40:20 他们开始想：
00:21:41:02 00:21:44:12 毕竟，我们不知道为什么他们这样做
00:21:48:08 00:21:50:08 他们就是准备就绪
00:21:50:18 00:21:53:16 那时候，我们出口了很多假导师
00:21:54:02 00:21:56:08 向西方出口了很多假导师
00:21:56:17 00:22:00:16 感谢天，因为我们穷，我们才得救---这可是个祝福
00:22:02:06 00:22:04:24 很多假导师因此走到哪里，赚了很多钱
00:22:05:06 00:22:07:04 我们在这里也有很多这种人
00:22:07:10 00:22:10:20 我是说我们精於此道，制造了很多假导师
00:22:11:18 00:22:13:19 他们愚弄人，一个接一个
00:22:14:02 00:22:15:11 赚了很多钱
00:22:15:19 00:22:17:16 他们全是金钱导向的
00:22:20:00 00:22:21:23 开始的时候对我来说是很困难的
00:22:22:06 00:22:25:19 他们全都曾经很霸道地挑衅我
00:22:26:01 00:22:28:15 因为我说过你不可以用神的名义来赚钱
00:22:28:22 00:22:30:14 那样做太过分了
00:22:31:06 00:22:34:03 她怎能说你不能赚钱？
00:22:34:24 00:22:36:18 不过现在好多了
00:22:37:09 00:22:39:21 他们一个接一个被揭发
00:22:40:02 00:22:41:12 还有更多人会被揭发
00:22:41:20 00:22:43:14 我不需要告诉你他们是谁
00:22:43:22 00:22:45:09 他们会被揭发，一个接一个
00:22:45:20 00:22:49:06 如果有光，黑暗便会消失
00:22:49:15 00:22:53:09 这里的一切都要被揭发
00:22:54:13 00:22:56:24 每一个人都有相同的感受
00:22:57:24 00:22:59:21 没有任何争议
00:23:00:08 00:23:05:10 因为灵是全能神的反映
00:23:06:14 00:23:11:16 同一位神，祂反映至高湿婆神(Sadashiva)
00:23:12:20 00:23:15:05 至高湿婆神旁观
00:23:15:11 00:23:17:01 见证原初的母亲，即太初之母(Adi Shakti)的工作
00:23:17:12 00:23:19:05 祂只是这场戏剧的旁观者
00:23:19:14 00:23:20:19 只是旁观见证
00:23:21:01 00:23:23:00 在你之内，祂以Atma（灵）来旁观见证 
00:23:23:06 00:23:26:12 但是祂并不会进入你的注意力之中，祂就在哪里
00:23:28:04 00:23:32:13 祂的注意力
00:23:33:21 00:23:39:05 是有限制的，因为祂怎样也
00:23:39:15 00:23:44:16 不想干涉你的自由
00:23:45:01 00:23:47:13 所以祂限制自己，只是静观
00:23:47:20 00:23:48:16 这就是「自主」
00:23:48:24 00:23:51:02 我们说的「自主神经系统」的「自主」 
00:23:51:09 00:23:52:12 就是灵
00:23:52:18 00:23:56:19 现在，它是同一位至高湿婆神的反映
00:23:57:05 00:24:00:07 因此，所有的反映很自然都应该是一样的
00:24:00:21 00:24:03:00 他们的影响也应该是一样的
00:24:03:13 00:24:07:13 当然，在得到自觉前，我们可以这样说，它只是反映在石头上
00:24:07:20 00:24:10:20 或者在墙上
00:24:11:05 00:24:14:05 也许在某些不透明的东西上
00:24:14:18 00:24:20:10 得到自觉后，你变成反映者
00:24:20:21 00:24:23:21 美丽的反映者，它反映你
00:24:24:07 00:24:26:14 每一个人都反映相同的东西
00:24:26:24 00:24:29:19 所以Atma sakshatkara（自觉）
00:24:30:02 00:24:31:22 在每个人身上都是相同的
00:24:32:05 00:24:35:05 就是一开始，他感到手上有凉风
00:24:35:12 00:24:38:09 凉风从他的脑囟渗出来
00:24:39:00 00:24:40:22 他们全都有相同的感觉
00:24:41:04 00:24:43:12 跟着他们感到能量中心
00:24:43:20 00:24:46:17 还能找出哪里不妥当
00:24:47:10 00:24:52:23 还有，他们全部人都变得无思虑的觉醒
00:24:53:10 00:24:57:02 就是我们叫做nirvichara samadhi（无思虑的知觉）的第一阶段
00:24:57:13 00:24:59:12 一下子就成就了
00:24:59:19 00:25:02:00 你可能会说：「母亲，这是很困难的
00:25:02:08 00:25:03:15 这是怎会发生？
00:25:03:22 00:25:05:06 以前人们要去喜马拉雅山才行
00:25:05:12 00:25:08:03 好吧，没关系的，你不用去喜马拉雅山
00:25:09:07 00:25:14:19 那些日子都过去了。毕竟，文明
00:25:15:10 00:25:18:11 这棵文明之树已经长得这么高大
00:25:18:17 00:25:20:09 它的根也必须生长
00:25:20:19 00:25:23:06 不然整个文明会垮掉
00:25:23:14 00:25:26:00 这是根源的知识
00:25:26:09 00:25:29:11 这就是为什么你必须变得
00:25:29:23 00:25:31:20 精微，sukshma，才能了解这个知识
00:25:32:20 00:25:35:10 这只能在灵量升起
00:25:35:18 00:25:37:17 穿透你的脑囟
00:25:37:24 00:25:42:12 把你连接到那无所不在
00:25:42:24 00:25:44:15 神的浩爱力量时，才得以成真
00:25:46:12 00:25:48:21 你第一个感受是
00:25:49:05 00:25:51:19 集体意识
00:25:52:11 00:25:54:17 因为每一个人都是灵
00:25:55:10 00:25:56:24 所以你能感受到另一个Atma(灵)
00:25:57:06 00:25:59:08 你能感受到另一个灵，感受到另一个
00:25:59:19 00:26:01:20 你能感受到他们的身体，他们的心智
00:26:02:03 00:26:03:20 你能感受到一切
00:26:06:13 00:26:09:00 这是你从神经系统
00:26:09:11 00:26:12:07 中枢神经系统
00:26:12:14 00:26:15:08 取得的第一个品质samuhik chetana 
00:26:17:13 00:26:20:05 你在进化中取得的一切都
00:26:20:11 00:26:23:24 显现在你的中枢神经系统
00:26:24:11 00:26:25:20 举个例子
00:26:26:02 00:26:28:09 如果你想带一只狗或一匹马
00:26:28:17 00:26:31:17 走过很肮脏的巷子
00:26:33:03 00:26:34:16 牠们会毫不介意的走过去
00:26:35:00 00:26:37:11 可是对人类人来说，要走过去就很困难了
00:26:38:00 00:26:40:17 因为在进化中，我们的中枢神经系统
00:26:41:00 00:26:45:06 发展了嗅觉，发展了对美丽的感觉
00:26:47:20 00:26:48:18 对了
00:26:49:07 00:26:50:20 他们发展了这种感官
00:26:51:04 00:26:52:15 一旦他们发展了这种感官
00:26:52:21 00:26:55:10 结果是在进化中
00:26:56:09 00:27:01:01 在精微感官上，人类
00:27:01:24 00:27:07:00 绝对是比动物优胜
00:27:07:20 00:27:10:02 对一只狗，你在这里摆放什么都不要紧
00:27:10:10 00:27:13:16 你怎样佈置，穿什么颜色的衣物，都不重要
00:27:14:07 00:27:16:15 但对我们这些却是很重要
00:27:17:15 00:27:21:02 因为我们的感官已经改善
00:27:21:16 00:27:23:07 感官有所改进
00:27:24:02 00:27:26:10 是因为在进化过程中
00:27:26:19 00:27:29:02 我们已经成为了人类
00:27:31:06 00:27:35:00 可是在人类的阶段，我们仍有一个问题
00:27:35:08 00:27:40:07 这个问题是我们的脑袋发展了两个架构
00:27:40:15 00:27:44:04 被称为自我和超我
00:27:44:12 00:27:48:01 你也可以称它们为自我和制约
00:27:49:13 00:27:54:08 这两个架构在我们的头脑中交叉并且钙化
00:27:54:18 00:27:58:10 使得我们变成封闭的人格
00:28:00:07 00:28:02:05 当灵量升起
00:28:02:13 00:28:04:11 她通过在视神经交叉床的额轮
00:28:04:19 00:28:08:14 把这两个架构吸入 
00:28:09:00 00:28:12:11 打开顶轮，灵量才能走出来
00:28:13:19 00:28:18:03 这是一个活生生的过程，单凭你是不能做到
00:28:18:11 00:28:20:04 假设你要播种
00:28:20:12 00:28:22:18 你不能把胚芽，Ankura拔出来
00:28:23:00 00:28:24:14 再把它塞回去
00:28:24:21 00:28:29:20 你不能使种子发芽生长
00:28:30:01 00:28:32:21 这是个活生生的神
00:28:33:16 00:28:35:12 活生生的能量的活生生过程
00:28:35:18 00:28:38:11 请了解，当中有很大的区别
00:28:40:23 00:28:45:11 灵量升起是
00:28:46:10 00:28:49:07 自然而然地发生，她是你的母亲， 
00:28:49:16 00:28:53:10 她很美妙地移动，不会干扰你
00:28:53:17 00:28:55:11 她非常了解她的孩子
00:28:55:21 00:28:58:22 这是她把自觉给你的机会
00:28:59:05 00:29:02:11 你的每一生她都一直爱你
00:29:02:20 00:29:05:01 她了解你的一切，知道你所有的问题
00:29:05:07 00:29:07:04 你曾经像个顽皮的男孩
00:29:07:12 00:29:08:19 「不要紧。」她说
00:29:09:01 00:29:10:21 这是把自觉给他们的机会
00:29:11:04 00:29:13:24 就是她，美好地升起
00:29:14:08 00:29:17:10 把事情成就，穿透
00:29:18:00 00:29:19:16 这全都发生了
00:29:21:13 00:29:24:07 当她触碰到或
00:29:24:15 00:29:26:16 穿透梵穴( Brahmarandra)
00:29:27:15 00:29:31:07 至高湿婆神的宝座就在这里
00:29:31:17 00:29:33:20 祂的反映在这里，宝座却在这里
00:29:34:02 00:29:36:22 这是我们头脑里的peethas(宝座), 七个peethas 
00:29:37:20 00:29:40:06 轮穴则在下方
00:29:41:09 00:29:43:18 所以当她穿透它
00:29:44:13 00:29:47:16 实际上是我们触碰了
00:29:47:22 00:29:48:21 至高湿婆神的莲足
00:29:49:02 00:29:51:02 那就是为什么我们心里
00:29:51:10 00:29:53:13 注意到灵
00:29:54:22 00:29:56:21 当我们注意到灵
00:29:57:02 00:29:59:10 我们就得到开悟，注意力得到开悟
00:30:00:15 00:30:03:01 这注意力
00:30:05:21 00:30:11:04 因此变得非常地警觉，它知道一切
00:30:12:08 00:30:14:06 只是坐在这里，你便知道
00:30:14:14 00:30:16:14 其他人在他们的轮穴上做了些什么
00:30:16:23 00:30:19:03 你不会讨论他们穿什么衣服
00:30:19:11 00:30:20:23 他们银行里有多少存款
00:30:21:07 00:30:23:17 他们会看到自己轮穴的状态
00:30:23:23 00:30:26:20 出什么问题。你只要坐在这里
00:30:27:12 00:30:29:15 就能治疗他们，帮助他们
00:30:30:02 00:30:32:14 可是他们一定要和这个无所不在的力量结为一体
00:30:32:21 00:30:34:05 这才是重要的
00:30:34:16 00:30:37:13 如果他们不这样，便要花点时间
00:30:41:08 00:30:46:16 你先变得nirvichar, nirvichar samadhi（无思虑的入静状态）
00:30:47:03 00:30:49:17 跟着你通过给予他人自觉
00:30:50:01 00:30:51:17 来成就你的集体意识
00:30:52:00 00:30:53:21 你有权提升灵量
00:30:54:03 00:30:55:24 用双手你就能提升灵量
00:30:56:09 00:30:58:14 这些在这里唱歌的人
00:30:58:24 00:31:02:02 他们有些人已经给上千人自觉
00:31:03:04 00:31:05:07 你也能这样做
00:31:06:17 00:31:08:10 因为现在你拥有力量
00:31:08:17 00:31:10:13 问题是
00:31:11:23 00:31:13:20 皇位已经赐予你
00:31:14:07 00:31:16:15 你亦已安坐其上
00:31:17:02 00:31:21:19 也已经用漂亮的
00:31:22:04 00:31:23:02 mukuta（即皇冠）来装饰你
00:31:23:10 00:31:24:22 可是你仍然不想相信
00:31:25:05 00:31:27:13 自己已经当上国王，要怎样你才会相信？
00:31:28:15 00:31:33:04 所以第二点是自信，这是非常困难的
00:31:33:23 00:31:39:15 他们不相信自己已经得到自觉
00:31:40:08 00:31:42:22 然后「去做吧，去成就它吧
00:31:43:03 00:31:45:14 你已经成为自己的导师，去做吧
00:31:45:22 00:31:47:13 他们不能，他们害怕
00:31:47:21 00:31:51:14 这些可怕的骗子，他们没有自觉
00:31:51:21 00:31:53:10 没有知识，什么都没有
00:31:53:19 00:31:55:03 他们成为死导师
00:31:55:11 00:31:57:05 却有上千人追随他们
00:31:57:13 00:32:00:16 他们愚弄他们，从中赚钱，还糟蹋他们的生命
00:32:01:09 00:32:04:00 而霎哈嘉瑜伽士
00:32:04:09 00:32:06:23 他们具有全部的知识，知晓一切
00:32:07:18 00:32:13:20 却仍是很谦虚，很单纯
00:32:16:13 00:32:18:20 他们了解每一个人
00:32:19:12 00:32:21:05 任何人来到，他们了解：
00:32:21:12 00:32:23:06 啊，我们了解这个人
00:32:23:20 00:32:26:03 他们不说出来，但却了解所有人
00:32:26:09 00:32:28:12 他们本身
00:32:29:21 00:32:34:13 的科学，他们会告诉你：「这个是这样的。」他们了解
00:32:35:02 00:32:38:10 他们会集体地为那个人服务
00:32:38:23 00:32:42:18 你不会知道他们做了些什么
00:32:43:16 00:32:45:11 它会成就到
00:32:49:17 00:32:55:17 灵的第二种本质是
00:32:56:00 00:32:58:23 它不单是集体的存在体
00:32:59:07 00:33:01:10 还是绝对的存在体
00:33:01:19 00:33:03:15 我们活在一个相对的世界里
00:33:04:18 00:33:08:14 这是好的，这是坏的，这是这样那样的
00:33:09:13 00:33:12:06 它是绝对的存在体，像你把
00:33:12:19 00:33:16:08 双手朝向一张照片：
00:33:17:08 00:33:20:17 马上，如果那是由一个得到自觉的灵拍下的
00:33:20:23 00:33:22:22 你就会感到生命能量
00:33:23:11 00:33:26:11 想一想任何人，他是个得到自觉的灵吗？
00:33:26:21 00:33:28:07 只要伸出双手
00:33:28:15 00:33:31:20 有很多人…不相信神
00:33:32:01 00:33:35:01 如果祂是神，所谓的神，不相信有神
00:33:35:08 00:33:36:17 我是说，这是最不科学的
00:33:37:00 00:33:38:16 假设他们不相信神
00:33:39:00 00:33:42:19 他们只需要问：「母亲，有神吗？」行了
00:33:43:11 00:33:45:17 他们取得生命能量
00:33:46:09 00:33:49:21 一切都能够被证实
00:33:50:04 00:33:52:11 任何事物都有Pramaan （即证据）
00:33:52:18 00:33:57:13 到目前为止所提过的事物都有Pramaan 
00:34:01:24 00:34:05:05 这是件发生在你身上的大事
00:34:05:16 00:34:09:14 就是你从生命能量(chaitanya)中取得 Pramaan(证据)
00:34:11:12 00:34:17:24 这个注意力(chitta)是那么专注
00:34:18:13 00:34:21:22 那么有活力、那么有效率
00:34:23:07 00:34:25:10 它也洁净你
00:34:25:22 00:34:27:22 它知道你哪里出问题
00:34:28:03 00:34:31:03 哪个轮穴有阻塞，它都会告诉你
00:34:32:01 00:34:36:20 像我在德里的时候
00:34:37:16 00:34:40:06 他们带来三个男孩。「母亲，他们的额轮有阻塞
00:34:40:12 00:34:42:14 不知何故，我们怎样都不能清理它。」
00:34:43:00 00:34:45:06 那是说他们都自我中心
00:34:45:17 00:34:47:21 他们也说：「对，母亲，我们的额轮有阻塞
00:34:48:03 00:34:49:05 我们头痛
00:34:49:13 00:34:52:05 他们是自我中心，却不说自己是自我中心
00:34:52:14 00:34:53:14 他们只会说：
00:34:53:22 00:34:56:14 对，母亲，我们的额轮有阻塞。请洁淨它吧
00:34:57:03 00:34:59:20 你自己在说：「我是自我中心。」
00:35:01:17 00:35:04:22 因为痛楚，是自我带给你的痛楚
00:35:05:06 00:35:08:00 所以：「母亲，帮我们洁淨额轮，我们清理不了。」
00:35:08:07 00:35:10:23 好的，来吧，我来洁淨它吧
00:35:12:12 00:35:14:20 你开始评价自己
00:35:15:15 00:35:18:04 你知道自己有什么地方不妥当
00:35:19:04 00:35:20:19 我的脐轮有阻塞
00:35:21:02 00:35:24:04 我这个轮穴有阻塞，那个轮穴有阻塞。」
00:35:25:22 00:35:27:14 他们知道自己的问题
00:35:27:20 00:35:30:09 他们都知道怎样去淨化，怎样去清理
00:35:30:21 00:35:34:01 怎样去成就，那么你便能洁淨自己
00:35:34:18 00:35:37:23 不过，最厉害的洁淨是当你与集体一起的时候才会发生
00:35:38:16 00:35:41:18 很多人用我的照片
00:35:42:05 00:35:45:15 母亲，我们做崇拜，坐下静坐
00:35:45:22 00:35:49:03 可是我还是有这个麻烦
00:35:50:07 00:35:52:03 你必须在集体里
00:35:52:11 00:35:55:14 这是霎哈珈瑜伽很重要的部分
00:35:56:13 00:35:59:23 因为现在，你看，你不用到喜马拉雅山
00:36:00:11 00:36:03:09 不用跳进恒河里
00:36:03:20 00:36:06:01 不用断食
00:36:06:24 00:36:09:05 不用唸诵任何Japaas (经文)，什么也不用做
00:36:09:13 00:36:11:13 唯一要做的是：要集体合群
00:36:12:05 00:36:16:13 集体是大能的注意力的海洋
00:36:17:02 00:36:19:16 一旦你处於集体中，便会得到洁净
00:36:19:24 00:36:22:06 像我的手指，假设，本来是好好的
00:36:22:14 00:36:24:12 假设有片指甲被剪下来丢掉
00:36:24:20 00:36:27:22 它就不会再生长，没人会再注意它
00:36:28:06 00:36:30:23 所以你必须来集体
00:36:32:03 00:36:33:19 就这样，自我出现
00:36:34:05 00:36:37:13 有些人是大人物，很富有
00:36:37:21 00:36:39:10 受过高深教育
