00:02:26:14 00:02:28:09 问题是
00:07:43:19 00:07:48:10 不恰当的，所以你们要避免极端的行为
00:07:48:22 00:07:51:21 做得过分
00:07:52:14 00:07:54:17 实际上是偏向右边或偏向左边
00:07:55:00 00:07:57:14 所以请你们做任何事也不要过分
00:07:57:22 00:07:59:14 就如你们或许很喜欢
00:07:59:22 00:08:03:21 在Bhima河沐浴
00:08:04:24 00:08:08:03 在浅水的地方沐浴是很好的
00:08:08:10 00:08:10:16 但你们不应到深水的地方
00:08:10:22 00:08:14:11 我因此有些担忧因为它是静止的
00:08:14:19 00:08:17:05 你们仍要明白
00:08:17:14 00:08:20:14 怎样控制自己，不要到
00:08:20:22 00:08:22:13 危险的地方
00:08:22:21 00:08:24:23 除此之外，对你
00:08:25:04 00:08:27:18 对整个霎哈嘉瑜伽运动
00:08:28:01 00:08:30:02 也对我是非常危险的
00:08:30:09 00:08:32:15 因为若你出事，我会既担忧又失望
00:08:35:23 00:08:38:21 主要是
00:08:39:10 00:08:44:01 你要保持在中央
00:08:44:12 00:08:48:18 任何事也不要走向极端
00:08:49:04 00:08:52:02 若你在中央，每个人都会尊重你
00:08:52:10 00:08:54:09 若你走向极端，他们会以为
00:08:54:17 00:08:57:15 你有些不对劲，基本上是你不对劲
00:08:57:24 00:09:00:16 整个讲座也会被你弄糟
00:09:01:01 00:09:03:23 我的意见是你要保持在中央
00:09:04:04 00:09:06:09 任何事也不要做得过分
00:09:06:18 00:09:11:01 一切都要保持正常的状态
00:09:14:01 00:09:18:00 因为像这样出门远游，你们都要大费周章
00:09:18:07 00:09:19:15 面向太阳
00:09:19:23 00:09:22:00 现在是马哈拉施特拉邦最寒冷的时候
00:09:22:06 00:09:25:08 所以你可以想象我们还能做些什么？
00:09:25:14 00:09:27:04 我是说我们要以
00:09:27:11 00:09:31:09 最理想的组合取得成效
00:09:33:14 00:09:36:12 很抱歉那些被晒伤的人
00:09:36:21 00:09:40:10 因为要医治他们
00:09:40:18 00:09:41:18 所以我迟到了
00:09:42:03 00:09:45:18 讲座也因此要延迟、延迟、延迟。我是说
00:09:46:09 00:09:49:15 太过分了，不要再这样了
00:09:49:15 00:09:51:18 请不要再走在太阳下，没必要这样
00:09:52:01 00:09:53:17 你已有足够的太阳
00:09:53:24 00:09:55:24 太阳融化了你的脑袋
00:09:56:09 00:09:58:10 令这个国家的人疯癫
00:09:58:18 00:10:01:17 若你们走在太阳下，最终都会变成疯子
00:10:02:01 00:10:04:15 脑袋也必定有某些事情发生
00:10:04:24 00:10:08:09 所以还是完全不要走在太阳下比较好
00:10:08:17 00:10:11:09 就像现在这样就可以了，只一会儿就行
00:10:11:17 00:10:12:18 不要坐在太阳下
00:10:13:01 00:10:15:15 这是很吸引，我知道，因为你不能取得阳光
00:10:15:23 00:10:18:23 但这房间每一处都充满阳光
00:10:19:06 00:10:21:15 所以你完全不需要坐在太阳下
00:10:21:23 00:10:24:09 坐在太阳下可能为你带来麻烦
00:10:24:21 00:10:27:13 因为Akluj的太阳是太猛烈了
00:10:27:22 00:10:30:20 我告诉你这些是因为我未必能与你们同行
00:10:31:05 00:10:32:17 所以请好好照顾自己
00:10:32:24 00:10:34:11 这是你们唯一可以为我做的事情。
00:10:34:20 00:10:37:24 你必须要静坐
00:10:38:05 00:10:39:22 必须为升进而忧心
00:10:40:05 00:10:44:17 不要随便把自己的东西四处放，要小心
00:10:47:05 00:10:50:03 我很高兴他们
00:10:50:13 00:10:52:19 在摩诃拉希什米庙宇里对你们那么欣赏
00:10:53:06 00:10:55:06 他们尊重你们
00:10:55:14 00:10:57:18 给你们oti
00:10:58:01 00:11:00:22 他们真的很可爱的
00:11:01:03 00:11:04:08 接受你们，接受你的个人风格
00:11:04:14 00:11:06:03 接受你进入他们的小区
00:11:06:09 00:11:08:01 他们还说︰「我们分辨不出谁是印度人
00:11:08:09 00:11:11:03 谁不是。」因为我想在格纳帕提普蕾
00:11:11:11 00:11:13:23 或许你们的皮肤变得
00:11:14:08 00:11:17:00 没有那么苍白，他们说︰
00:11:17:06 00:11:19:01 我们分辨不出谁是谁
00:11:19:09 00:11:23:20 那很好，现在事情正在成就
00:11:24:02 00:11:28:11 我们的性情品性越来越相似
00:11:30:11 00:11:35:11 至于崇拜，之前已有三个崇拜
00:11:35:19 00:11:37:20 第四个是在格纳帕提普蕾
00:11:38:03 00:11:40:03 这里也有三个崇拜
00:11:40:09 00:11:42:24 这三个崇拜，我可以肯定
00:11:43:06 00:11:46:20 会是更安静
00:11:47:02 00:11:48:16 成就得更多
00:11:48:22 00:11:51:06 事情会更好
00:11:52:22 00:11:56:00 若你有任何问题，可以告诉我
00:11:56:08 00:11:57:17 我们可以安排
00:11:58:00 00:12:02:14 但是要紧记，不要让自己疲惫不堪
00:12:02:22 00:12:05:19 不要挨饿也不要过饱
00:12:06:03 00:12:10:24 任何极端的行为对这个旅程都是不好的
00:12:11:06 00:12:12:19 因为我想第二组人
00:12:13:00 00:12:14:14 会比我们之前
00:12:14:22 00:12:17:03 成就得更多
00:12:17:13 00:12:19:14 所以第二组人要尝试
00:12:19:22 00:12:24:11 保持正常的生活，多放注意力在灵
00:12:24:19 00:12:26:24 在升进上
00:12:28:13 00:12:31:16 最后，好消息是
00:12:31:22 00:12:33:18 你们很多人都想订婚
00:12:34:02 00:12:36:02 我很高兴他们可以
00:12:36:08 00:12:38:13 在浦尼或Rahuri订婚
00:12:38:22 00:12:41:12 对想订婚的人来说，这会是个好主意
00:12:41:21 00:12:45:04 若有任何人仍想结婚
00:12:47:01 00:12:50:21 请告诉我，我们或许
00:12:51:07 00:12:52:14 能在Rahuri作一点安排
00:12:52:24 00:12:55:24 但最好还是那些想订婚的人
00:12:56:07 00:12:57:10 这是很容易办到
00:12:57:19 00:12:59:02 这会是个好主意
00:12:59:10 00:13:02:08 任何人想订婚，在离开浦尼前
00:13:02:21 00:13:04:13 请让我知道
00:13:04:21 00:13:07:04 现在若有任何问题，或你想说些什么
00:13:07:10 00:13:08:04 请说吧
00:13:08:11 00:13:10:05 因为我不会再有机会与你们交谈
00:13:10:15 00:13:13:02 现在这里很少人
00:13:13:11 00:13:14:19 否则，在崇拜里常常…
00:13:15:02 00:13:16:10 在浦尼，人数最少有
00:13:16:16 00:13:19:05 这里的五倍
00:13:32:07 00:13:34:12 她说什么？
00:13:38:07 00:13:41:07 注意力不妥当？什么
00:13:50:01 00:13:52:02 什么？
00:13:55:10 00:13:58:01 (问题︰她想知道怎样令注意力安顿下来
00:13:58:08 00:14:00:16 怎能进入深层的入静)
00:14:01:17 00:14:05:01 重点是你放注意力在哪里
00:14:05:22 00:14:08:09 你要多放注意力在周遭…
00:14:22:14 00:14:25:11 你要明白，在静坐中，你先要讨论这些
00:14:25:20 00:14:27:17 还有很多人可以告诉你
00:14:27:23 00:14:29:00 他们会把它成就
00:14:29:07 00:14:31:18 第二
00:14:32:00 00:14:34:15 你的双眼最好是看着大地之母
00:14:35:20 00:14:38:12 最好是全神贯注在大地之母上
00:14:38:22 00:14:40:09 当你走路
00:14:40:20 00:14:42:14 要看着大地之母
00:14:42:23 00:14:44:06 当你与任何人交谈
00:14:44:15 00:14:46:11 也要看着大地之母
00:14:46:22 00:14:49:00 你自会明白，你所吸收的一切都会比较好
00:14:49:09 00:14:52:22 你的专注力也较好，对吗
00:14:56:01 00:14:58:12 想想
00:14:58:20 00:15:02:00 我们不要浪费我们的注意力是很好的
00:15:04:08 00:15:05:22 你渐渐的安顿下来
00:15:06:04 00:15:09:12 我想大部分第一次来的人
00:15:09:20 00:15:12:15 都会感到，在开始时把注意力稳定下来是有点困难
00:15:12:23 00:15:14:08 但你慢慢会做到
00:15:14:14 00:15:17:11 因为我们的注意力先放在一些小事上
00:15:17:19 00:15:21:19 琐碎的事情上，例如我要坐在地上
00:15:22:04 00:15:24:11 或你要坐巴士来
00:15:24:17 00:15:26:20 或是某些你在某处看到的不洁的事情
00:15:27:01 00:15:29:08 我们的注意力常常放在别人的缺点
00:15:29:15 00:15:31:11 漏洞或不洁的事情上
00:15:31:20 00:15:33:12 因为注意力本来就是这样
00:15:33:20 00:15:36:17 跟着注意力开始放在漂亮的地方
00:15:37:00 00:15:38:19 小小的事情你开始看到它漂亮之处
00:15:39:00 00:15:42:06 一些琐碎细微的事情你开始看到上天
00:15:42:14 00:15:44:11 这个时候你便知道
00:15:44:17 00:15:47:19 你的注意力享受一切
00:15:48:01 00:15:49:22 通常我们的注意力
00:15:50:04 00:15:51:23 特别是当我们把注意力
00:15:52:06 00:15:53:09 放在错误的事情上
00:15:53:17 00:15:55:19 这里有任何漏洞？我们开始批判每一个人
00:15:56:01 00:15:57:11 批判每一处地方
00:15:57:20 00:16:01:00 看看这里，若你坐在这里，对我来说，这地方真的很美妙
00:16:01:08 00:16:04:12 对你，可能这些只是一些劣等的事情
00:16:04:19 00:16:07:08 你们只会想着这些事情
00:16:07:15 00:16:09:17 对我来说，它是很漂亮
00:16:10:04 00:16:13:11 因为我看到这件漂亮的纱丽在这里张开
00:16:13:18 00:16:16:17 花朵安排得很漂亮，很美丽的花艺
00:16:16:23 00:16:18:01 是那么的特别
00:16:18:10 00:16:21:01 还有这个背景，一切都是做得那么仔细小心
00:16:21:08 00:16:22:12 他们怎样来到这里
00:16:22:18 00:16:24:19 他们怎样把这些东西系上
00:16:25:02 00:16:26:01 这是很不凡的
00:16:26:09 00:16:27:23 我一想到所有这些事情
00:16:28:06 00:16:30:20 会感到极之喜悦
00:16:31:03 00:16:33:15 我的孩子很辛勤的工作，把这里装饰得很好
00:16:34:00 00:16:36:01 这是非常好，他们是怎能安排得那样好
00:16:36:09 00:16:39:14 我满脑袋都想着这些，令我感到很振奋
00:16:39:22 00:16:42:12 我看不到劣等的事物，看不到其他
00:16:42:20 00:16:45:15 你看到什么，你的注意力便在那里
00:16:46:01 00:16:49:00 所以尝试看一些美丽的事物
00:16:49:19 00:16:52:08 有那么多漂亮的东西我们可以去看
00:16:52:14 00:16:55:12 我现在看到的是我的孩子的心
00:16:55:20 00:16:58:11 他们真心实意的做这些事情，不是吗
00:16:58:19 00:17:00:06 若你有深度，你便能看到
00:17:00:12 00:17:02:03 他们是怎样甜美的张开纱丽
00:17:02:11 00:17:04:17 怎样把花朵撒开，怎样做这些事情
00:17:05:01 00:17:08:09 是注意力，注意力放在哪里
00:17:08:19 00:17:11:17 当你看到自己是︰「我怎样可以舒适点？
00:17:11:23 00:17:13:15 我要拥有这些，我要拥有那些
00:17:13:23 00:17:16:01 你便没有喜乐
00:17:16:15 00:17:19:08 喜乐是来自你深层的
00:17:19:14 00:17:20:17 看到他们为我们做了些什么
00:17:20:23 00:17:21:23 他们是怎样为我们工作
00:17:22:08 00:17:23:17 怎样为我们带来物品
00:17:24:00 00:17:25:09 怎样以爱心为我们烹调食物
00:17:25:17 00:17:26:17 毫无疑问
00:17:26:23 00:17:28:20 相比他们，你什么也没有做
00:17:29:03 00:17:32:20 你真的像王室人员那样走动…
00:17:33:15 00:17:35:09 他们必须要这样做
00:17:35:15 00:17:39:06 特别是格纳帕提普蕾是一处很艰苦的地方
00:17:39:12 00:17:41:09 人们要老远从那格浦尔来
00:17:41:17 00:17:44:03 五十人来这里为你们煮食
00:17:46:03 00:17:47:15 钱不是万能的
00:17:48:00 00:17:50:23 即使你想付钱，也办不到。是爱心
00:17:51:08 00:17:53:18 是感情，是注意力
00:17:54:01 00:17:58:03 是慷慨的照顾客人
00:18:04:19 00:18:07:02 我们必须享受
00:18:07:11 00:18:10:13 他们为我们做的一切，我们是那么享受
00:18:10:21 00:18:13:08 这就是你的心怎样变得越来越有深度
00:18:13:15 00:18:15:00 但若你的心是扭曲的
00:18:15:07 00:18:18:14 只看到错事、坏事
00:18:18:21 00:18:20:15 或类似的事情，或对一些事情︰
00:18:20:23 00:18:22:12 我该买些什么？我该买些什么？
00:18:22:20 00:18:24:14 只是这样，你便是昏了头
00:18:24:21 00:18:28:15 若你真心的想买些好东西
00:18:28:23 00:18:31:03 你便能找到你想买的
00:18:31:20 00:18:33:23 也可以很快的买到
00:18:34:06 00:18:37:23 当我昨天为所有中心购物时
00:18:38:04 00:18:39:11 我想这个价值的东西
00:18:39:17 00:18:42:20 只需一个卢比
00:18:43:01 00:18:45:14 我很快就能为所有印度的中心购买到需要的物品
00:18:46:21 00:18:49:17 因为是为他们购买，我会更好
00:18:49:23 00:18:53:20 若是为我自己，我想我不会办得那么好
00:18:54:21 00:18:58:00 你会很惊讶，我从不为自己购买什么
00:18:58:17 00:19:00:18 我没有时间
00:19:03:01 00:19:06:21 你们已经给我很多东西，我不用再购买什么
00:19:07:12 00:19:10:03 这是你怎样对待事物，怎样办事
00:19:10:09 00:19:11:16 怎样把事情成就的方式
00:19:11:23 00:19:14:16 昨天我到过的商店是充满芬芳
00:19:14:22 00:19:17:16 那里的一切都有香气，每个人都嗅到
00:19:18:01 00:19:20:15 原因是我享受一切
00:19:20:23 00:19:24:04 享受为别人办事
00:19:24:15 00:19:26:01 不是别人，谁是别人
00:19:26:07 00:19:28:04 对我来说，霎哈嘉瑜伽士不是别人
00:19:28:10 00:19:31:06 我是为自己而做，我的更大的存在体
00:19:31:17 00:19:33:20 更高的存在体
00:19:34:18 00:19:37:12 你就是要这样看待事物，对吗？
00:19:37:20 00:19:39:24 那么你便会享受
00:19:44:18 00:19:46:23 我现在要对Sangli人说
00:19:48:06 00:19:50:02 我们很久以前曾在这里作过一个崇拜
00:19:50:17 00:19:51:21 最近也有一个崇拜
00:19:52:13 00:19:55:16 在Sangli 的报章里有很多报导
00:19:55:24 00:19:57:11 因此有很多工作已经做了
00:19:58:05 00:20:00:11 霎哈嘉瑜伽能在这里确立
00:20:00:20 00:20:04:06 因为氛围很美好，很宁静
00:20:04:12 00:20:06:16 这里所有人都准备帮忙
00:20:07:08 00:20:10:17 所以我想给Sangli人一份小礼物
00:20:11:02 00:20:13:11 请他们要接受，这是我的请求
00:20:19:11 00:20:23:12 还有另一份礼物，但仍在市集里
00:20:31:11 00:20:34:07 当礼物到达，我也会送出，谁想要它？
00:20:40:01 00:20:43:19 我买了很多东西，但仍未送到
00:20:44:02 00:20:45:19 所以我先给他们一件东西
00:20:46:19 00:20:48:02 把它带来，现在吧
00:20:48:10 00:20:50:07 这位霎哈嘉瑜伽士是他达先生
00:20:50:13 00:20:54:13 他是这里一位高级官员。是他做的
00:21:03:08 00:21:06:14 这位是马力先生，他是区域…
00:21:07:05 00:21:09:05 我能说区域吗？
00:21:10:08 00:21:13:06 他是这里的区域农业部长
00:21:13:14 00:21:16:20 管理整个区域的农业
00:21:17:03 00:21:19:09 他在1975年得到自觉
00:21:19:16 00:21:22:05 被派来这里，因此他参加了崇拜
00:21:22:11 00:21:23:17 他的家人也在这里
00:21:24:02 00:21:26:22 他达先生为我们做了很多好事
00:21:27:03 00:21:29:05 请为他鼓掌
00:21:32:13 00:21:33:15 还有 
00:21:37:04 00:21:39:21 耶达先生
00:21:40:04 00:21:44:20 他是出版
00:21:45:04 00:21:47:09 报章的
00:21:47:18 00:21:50:13 耶达先生，请为他鼓掌
00:22:16:18 00:22:20:06 他们都位处高位但却仍很谦虚，只看看
00:22:20:15 00:22:23:04 他是这里的总管
00:22:23:13 00:22:24:12 他是工程师
00:22:24:21 00:22:26:21 管理这个
00:22:27:03 00:22:28:17 地区的所有农业活动
00:22:29:00 00:22:31:03 他是负责的官员
00:22:31:12 00:22:36:06 另一位是报章的编辑
00:22:38:10 00:22:41:20 当人有自我，他们没法
00:22:42:04 00:22:43:10 与周遭有任何联系
00:22:43:20 00:22:45:12 他们不明白自己的程度
00:22:45:20 00:22:48:20 就如你推一个气球
00:22:49:03 00:22:50:10 它会升上天空
00:22:50:17 00:22:54:04 完全不知道自己只是一个充满空气的气球
00:22:55:04 00:22:57:10 这就是为什么称呼这为自大，明白吗
00:22:57:17 00:23:02:19 所以有实力的人
00:23:03:02 00:23:07:11 经过实质的训练，实实在在的成长
00:23:07:22 00:23:09:21 他们不会跌进自我的陷阱
00:23:10:03 00:23:12:16 他们不会跌进自我的陷阱
00:23:13:00 00:23:16:10 他们先变得很谦虚
00:23:16:19 00:23:19:13 学习，更谦虚
00:23:19:22 00:23:22:14 再学习然后更加谦虚
00:23:25:16 00:23:27:24 就如牛顿曾经说
00:23:28:08 00:23:31:14 我像个小孩子
00:23:31:22 00:23:34:17 在知识的海岸收集小卵石
00:23:35:05 00:23:38:13 连牛顿这样的人也这样说
00:23:38:24 00:23:42:03 现在我发现
00:23:42:14 00:23:45:10 很难找到像牛顿这样的人
00:23:45:21 00:23:48:03 那些在西方很有学问的人
00:23:48:19 00:23:51:19 在他们的作品里，我看到他们的
00:23:52:05 00:23:56:16 言行举言都很谦卑
00:23:56:24 00:23:59:05 你可以看到他们是很谦卑的人
00:23:59:14 00:24:03:13 谦卑是知识的征兆
00:24:05:16 00:24:08:10 当树木负重，它会垂下
00:24:08:19 00:24:12:00 当它负满果实，它会垂下
00:24:12:16 00:24:17:05 同样，有知识的人会垂下
00:24:17:16 00:24:19:18 会很谦卑
00:24:26:21 00:24:29:15 今天的崇拜真的很重要
00:24:29:20 00:24:32:15 因为今天要敬拜摩诃拉希什米
00:24:32:20 00:24:36:03 在霎哈嘉瑜伽，摩诃拉希什米的重要性
00:24:36:09 00:24:39:09 是其他力量没法相比的，因为摩诃拉希什米是
00:24:39:16 00:24:42:06 我们称为中脉的力量
00:24:42:13 00:24:45:24 她在中脉里
00:24:46:04 00:24:49:04 透过她副交感神经得以启动
00:24:49:11 00:24:51:22 要令摩诃拉希什米力量强壮，在我们的进化里
00:24:52:02 00:24:55:23 发生了很多事
00:24:56:03 00:24:59:15 当中重要的事件是摩诃拉希什米的降世
00:24:59:20 00:25:02:12 摩诃拉希什米曾多次降世
00:25:02:19 00:25:05:14 她很有勇气
00:25:05:21 00:25:08:18 以人类的形相在这个宇宙出生
00:25:08:18 00:25:11:22 做了很多工作
00:25:12:04 00:25:14:21 很令人惊讶，没有资料是
00:25:15:01 00:25:17:20 关于摩诃拉希什米的这些降世神祇
00:25:18:01 00:25:22:09 没有人曾深入而详细的描述她
00:25:22:14 00:25:25:14 摩诃拉希什米原理是
00:25:25:19 00:25:29:23 建基于拉希什米原理，即是说
00:25:30:04 00:25:32:05 拉希什米的母亲是摩诃拉希什米
00:25:32:15 00:25:35:09 应该说，拉希什米的母亲
00:25:35:16 00:25:38:06 意思是当拉希什米降世为人类
00:25:38:12 00:25:41:06 她很平衡
00:25:41:13 00:25:44:08 女神的形相的一位女士
00:25:44:15 00:25:48:17 她是那么平衡，因此她能站在莲花上
00:25:48:24 00:25:51:09 手上拿着两枝莲花
00:25:51:18 00:25:54:09 一枝是粉红色的
00:25:54:15 00:25:58:04 莲花代表温柔，粉红色的莲花
00:25:58:10 00:26:01:24 代表这个人是lakshmipati，他会拥有
00:26:02:08 00:26:05:16 拉希什米，这个人的性格
00:26:05:24 00:26:09:17 会有这种粉红色，意思是他性格
00:26:09:22 00:26:12:12 很可爱，他不是个干巴巴的人
00:26:12:19 00:26:16:12 其二是若你看到莲花
00:26:16:17 00:26:19:19 即使蜜蜂来到，它也能在莲花里
00:26:20:00 00:26:23:16 找到安身之所。蜜蜂有很多刺
00:26:23:24 00:26:26:23 即使是这样，它也能在莲花里找到安顿的地方
00:26:27:05 00:26:30:05 即莲花也欢迎它。因此，拥有
00:26:30:13 00:26:34:06 拉希什米的人会欢迎每一个人，无论是怎样的客人
00:26:34:13 00:26:36:23 他要让每一个人感到舒适
00:26:37:03 00:26:39:05 不论是大人物或小人物，他们按照
00:26:39:05 00:26:41:24 每一个人的社会地位照顾他
00:26:41:24 00:26:45:05 平等的招待每一个人
00:26:45:12 00:26:48:12 其三是
00:26:48:19 00:26:53:07 意思是我们要慷慨
00:26:53:13 00:26:56:23 若他不慷慨，
00:26:57:05 00:27:00:16 他就不是lakshmipati。Danat(慷慨的品质)
00:27:00:22 00:27:03:03 是一种很令人喜乐的品质
00:27:03:10 00:27:07:00 这种喜乐不能与购物带来的喜乐相比
00:27:07:08 00:27:10:03 任何达到慷慨力量的人
00:27:10:10 00:27:13:00 我想这个人是最了不起的
00:27:13:08 00:27:16:04 因为他已经到达
00:27:16:11 00:27:18:21 人类进化的顶点
00:27:19:04 00:27:21:23 我们必须能慷慨。因为拉希什米
00:27:22:04 00:27:25:15 以左手给予，同样
00:27:25:22 00:27:29:02 一个lakshmiputra(拥有拉希什米原理的人)
00:27:29:09 00:27:33:00 的人也要以左手慷慨的给予
00:27:33:07 00:27:36:20 即使右手不知道
00:27:37:02 00:27:40:23 以左手给予表示毫不费力，很霎哈嘉
00:27:41:05 00:27:45:02 (自然而然)的给予。一切欲望
00:27:45:11 00:27:49:10 必须只是慷慨。这个世界
00:27:49:17 00:27:53:01 真的有很多物质的事物，我认为
00:27:53:07 00:27:56:02 一切事物唯一重要的
00:27:56:09 00:27:59:06 就是我们能给予别人什么
00:27:59:15 00:28:03:04 透过慷慨，我们能表达
00:28:03:11 00:28:07:12 我们伟大的心，能表达我们的感情，我们的温暖
00:28:07:19 00:28:11:02 这就是为什么物质是那么重要
00:28:11:09 00:28:14:04 不然，一切物质都毫不重要
00:28:14:11 00:28:17:11 天然圣石(swayambhus)有很多身份
00:28:17:18 00:28:21:03 在霎哈嘉瑜伽，最重要的是
00:28:21:11 00:28:25:15 摩诃拉希什米的身份。藉由她的恩典，
00:28:25:22 00:28:29:06 我们的灵量能有通道上升
00:28:29:15 00:28:32:21 这渠道，摩诃拉希什米的渠道是高于拉希什米原理
00:28:33:03 00:28:36:17 右手，就像这样
00:28:37:01 00:28:41:02 这只手是保护的征兆
00:28:41:09 00:28:45:10 它有双重意义︰庇护，庇护每一个人
00:28:45:18 00:28:48:19 这只手保护每一个人。在现实里
00:28:49:01 00:28:53:00 我们看到的却是相反。Lakshmipatis令每个人
00:28:53:06 00:28:56:23 感到有压力和恐惧，相反
00:28:57:05 00:29:00:08 拉希什米只是安静的站在莲花上
00:29:00:18 00:29:03:17 完全没有卖弄自己。否则
00:29:04:01 00:29:07:10 人们会要求汽车，要求这个那个，去炫耀他们
00:29:07:17 00:29:10:17 很富有，高人一等
00:29:11:00 00:29:14:12 另一方面，她没有给人重量或
00:29:14:19 00:29:18:17 压力，她很轻巧的站着，那么优雅
00:29:18:17 00:29:21:07 没有给任何人带来麻烦
00:29:21:13 00:29:25:03 真正的lakshmipari只会坐在某个角落
00:29:25:08 00:29:28:21 充满自信安静的坐着，安静的离去
00:29:29:02 00:29:32:00 即使他想付出什么，
00:29:32:07 00:29:35:09 他也只会付出后说︰「锡吕‧玛塔吉，这是我的捐款，
00:29:35:16 00:29:38:11 请不要透露
00:29:38:11 00:29:40:22 我的名字，无论如何你也要接受
00:29:41:05 00:29:43:18 我在你莲足下给予我的捐款，就是这样，这再与我
00:29:43:24 00:29:47:01 没有任何关系。」当我告诉他
00:29:47:08 00:29:49:19 我不接受捐款，捐款是给信托基金
00:29:50:00 00:29:52:16 (因此捐款者名字必须透露)
00:29:52:23 00:29:55:15 他会说︰「你可以以任何名义捐赠
00:29:56:00 00:29:58:20 我不会反对，我把捐款给你
00:29:59:00 00:30:02:09 我不想透露我的名字
00:30:02:14 00:30:05:20 我不介意你向税务局透露我的名字
00:30:05:20 00:30:09:08 不然，我不想透露我的名字
00:30:09:14 00:30:13:17 他谦卑地请求不要透露他的名字
00:30:13:22 00:30:17:04 这个人才能称得上为真正的lakshmipati
00:30:17:11 00:30:20:14 拉希什米的右手是像这样向上指的
