00:17:18:22 00:17:26:01 今天是在奧地利
00:32:14:11 00:32:18:07 大家都稱它們為Surasari，意思是諸神的河流
00:32:18:07 00:32:21:00 沒有人再以
00:32:21:00 00:32:24:11 別的名字稱呼它們
00:32:24:11 00:32:27:08 同樣，霎哈嘉瑜伽就是海洋
00:32:27:15 00:32:28:19 你不能為它命名
00:32:29:02 00:32:33:10 不要嘗試從其他事物中找出它的身分
00:32:33:10 00:32:35:16 若你這樣做，你的腦袋便會
00:32:35:24 00:32:40:16 變得像小杯子
00:32:41:04 00:32:44:23 而且，若你是來自某些有組織的宗教
00:32:44:23 00:32:47:21 明白有組織的宗教
00:32:48:03 00:32:50:20 令你的杯子更堅固是很重要的，它不會溶解
00:32:51:03 00:32:52:11 若這是沒有組織的宗教，
00:32:52:11 00:32:55:15 就如用陶土做的杯子
00:32:55:21 00:32:57:11 會在海洋中溶解
00:32:57:17 00:33:00:04 但若它是堅固的好瓷器
00:33:01:14 00:33:04:21 「Meissen」(德國出產的瓷器)杯子，便沒有可能會溶解了
00:33:05:04 00:33:08:01 你依附著所有這些思想制約
00:33:08:17 00:33:12:07 這些牢不可破之處，那就非常困難了
00:33:12:14 00:33:14:21 你要常常把基督引入
00:33:15:04 00:33:17:03 把穆罕默德引入
00:33:17:09 00:33:19:00 把瑣羅亞斯德(祆教始創人)引入
00:33:19:07 00:33:23:03 必須有這樣的人來指引你
00:33:23:20 00:33:26:04 現在指引你的是你的靈
00:33:26:04 00:33:27:18 靈是無限的
00:33:27:18 00:33:29:23 所以你不再需要把這些人引入
00:33:29:23 00:33:31:09 他們全都在你內裡，
00:33:31:15 00:33:33:10 是你的一部分
00:33:33:16 00:33:36:13 若你仍只黏附著他們任何一位
00:33:36:13 00:33:39:13 這便是你仍未擴展前進的徵兆
00:33:39:24 00:33:42:09 你知道你就是全部
00:33:42:09 00:33:44:18 你內裡有錫呂‧克里希納，祂已經被喚醒
00:33:45:00 00:33:46:11 你內裡有基督
00:33:46:20 00:33:49:04 你內裡有格涅沙
00:33:49:12 00:33:51:09 你內裡有梵天婆羅摩
00:33:51:17 00:33:53:17 你內裡有穆罕默德
00:33:54:00 00:33:55:08 你內裡有祂們每一位
00:33:55:15 00:33:57:11 摩西，每一位都在你內裡
00:33:57:18 00:34:00:12 你怎能只認同於他們其中一位？
00:34:00:22 00:34:03:09 原因是你仍有思想制約
00:34:03:17 00:34:07:08 你仍想把他拖入你的制約內
00:34:08:17 00:34:14:22 所以請嘗試把他帶到一個完全沒有制約的位置
00:34:14:22 00:34:17:18 我們可以看到，我們的思想制約
00:34:18:12 00:34:20:23 對我們的個人風格起了很差很大的作用
00:34:21:07 00:34:31:05 人類習慣把自己封閉在某個派別裡
00:34:31:13 00:34:32:19 無論這派別是否是屬於我們的
00:34:33:02 00:34:37:02 首先我們以「我」來封閉自己。「我是甲乙丙」
00:34:37:10 00:34:40:05 跟著我們聯成一黨
00:34:40:15 00:34:46:05 就像︰「我們是屬於用刀叉的類別。」
00:34:46:05 00:34:48:18 以同樣方式
00:34:48:18 00:34:51:03 用刀叉的人可能聯合起來
00:34:51:03 00:34:54:07 另一些以另一種方式用刀叉的人也可能聯合起來
00:34:54:14 00:34:55:24 你們看看，這種情況持續著
00:34:56:06 00:34:57:20 各式各樣人類的荒唐
00:34:58:01 00:34:59:18 就是這樣聯合起來
00:34:59:18 00:35:02:08 好吧，就以你喜歡的方式去做吧，沒有甚麽分別了
00:35:02:14 00:35:06:03 你們吃著相同的食物，以同樣的方式消化食物，以同樣的方式運作
00:35:06:09 00:35:08:12 不過，說到外表
00:35:08:18 00:35:10:09 說到人類的活動
00:35:10:09 00:35:12:10 他們以不同方式來用叉和匙
00:35:12:10 00:35:14:15 有人用手，用手指
00:35:14:21 00:35:17:20 有人會…我也不知道，或許用小刀
00:35:17:20 00:35:20:23 我也不知道他們可以到怎樣的程度
00:35:21:09 00:35:22:15 就是這樣，
00:35:22:15 00:35:27:16 在做某些事情時，任何活動
00:35:27:24 00:35:32:01 只有人類會建立封閉的循環
00:35:32:08 00:35:34:21 「這是我們的做事方式，這是他們的。」
00:35:35:04 00:35:41:12 怎會是這樣，另一些人們的方法
00:35:41:18 00:35:44:04 這種聯群結黨是最差勁的
00:35:44:12 00:35:47:24 違反大自然的規律
00:35:47:24 00:35:53:03 你是獨立的個體，你的外表
00:35:53:09 00:36:01:00 你的頭髪顏色
00:36:01:06 00:36:03:01 你的眼睛顏色
00:36:03:08 00:36:05:09 神就是創造你成為這個模樣
00:36:05:09 00:36:10:00 所有你創造的事物都是死的
00:36:10:00 00:36:14:00 所有你創造的群黨方法
00:36:14:00 00:36:17:16 是絶對毫無價值
00:36:17:22 00:36:19:09 都是虛構
00:36:19:17 00:36:21:17 不真實
00:36:21:17 00:36:24:05 沒有參考價值
00:36:24:11 00:36:26:06 全都是虛構的
00:36:26:16 00:36:30:12 所以我們必須明白
00:36:30:20 00:36:33:14 在霎哈嘉瑜伽，沒有甚麽是基督教霎哈嘉瑜伽
00:36:33:22 00:36:36:14 新教霎哈嘉瑜伽
00:36:36:22 00:36:38:12 或天主教霎哈嘉瑜伽
00:36:38:19 00:36:42:05 我發現在很精微的層面
00:36:42:11 00:36:44:17 當人們談論合群
00:36:44:24 00:36:47:21 他們不明白自己並不合群(collective)
00:36:48:02 00:36:50:16 因為我們有太多標籤
00:36:50:24 00:36:52:13 黏附著我們
00:36:52:19 00:36:58:24 就如我們言行舉止的制約
00:36:59:05 00:37:01:00 可以是在瑞士
00:37:01:06 00:37:02:16 可以是在奧地利
00:37:02:16 00:37:06:17 可以是在羅馬，又或是在印度，或是在任何地方
00:37:06:24 00:37:08:24 這些制約，我們必須擺脫。
00:37:08:24 00:37:11:21 我們必須知道我們是人類，是神創造的
00:37:12:04 00:37:17:17 無論甚麽在我們內裡，都是真實的，是神創造的
00:37:18:03 00:37:22:04 是唯一我們需要變成的
00:37:22:10 00:37:24:03 所有其他的制約，
00:37:24:09 00:37:25:24 都必須把它們擺脫
00:37:26:20 00:37:28:23 各種事物都是互相補足
00:37:29:04 00:37:31:07 你這裡學一點
00:37:31:15 00:37:33:09 那裡學一點
00:37:34:15 00:37:37:06 每一處都有值得學習和
00:37:37:17 00:37:39:10 和理解的事物
00:37:39:21 00:37:44:02 沒有甚麽是可以
00:37:44:13 00:37:47:22 因為它比較高或比較低而能留住
00:37:48:04 00:37:51:12 當然，當自我越發展
00:37:51:24 00:37:54:10 原罪也越發展
00:37:54:24 00:37:56:18 這類人有可能
00:37:56:18 00:38:03:02 創造出越來越多的思想制約
00:38:04:02 00:38:06:17 很自然制約也越來越多
00:38:06:17 00:38:10:03 又或他們完全沒有
00:38:11:00 00:38:12:04 移往宗教，
00:38:12:04 00:38:15:06 移往神，只是黏附著…
00:38:15:13 00:38:17:24 就像，你可以說，在非洲和很多地方
00:38:18:08 00:38:21:06 制約可能
00:38:21:17 00:38:24:17 來自其他力量
00:38:24:24 00:38:27:24 被稱為Adibhautik
00:38:28:05 00:38:31:14 意思是從神的創造中
00:38:32:00 00:38:34:14 再創造出來
00:38:34:22 00:38:36:11 就像當他們看見月亮
00:38:36:17 00:38:38:11 他們害怕月亮
00:38:38:19 00:38:39:19 當他們看見樹木
00:38:40:00 00:38:41:19 他們害怕樹木
00:38:42:02 00:38:46:17 這些都是對大自然虛構(神話mythical)的念頭
00:38:47:03 00:38:49:14 有兩種形式，
00:38:49:21 00:38:51:03 你們都知道
00:38:51:10 00:38:55:20 其中一種是他們從大自然
00:38:56:02 00:38:57:11 創造出一些虛構的想法
00:38:57:17 00:38:59:20 大自然神話的一面
00:39:00:03 00:39:02:02 這是Adibhautik和
00:39:02:09 00:39:04:22 Adidaivik，都是你製造的
00:39:05:03 00:39:07:00 虛擬念頭
00:39:07:00 00:39:13:02 你是神，你是仙人(Devas)
00:39:13:08 00:39:14:17 你想創造︰
00:39:14:17 00:39:16:08 「我是這樣，我是那樣。」
00:39:16:08 00:39:20:02 就這樣有兩種思想制約在運作
00:39:20:15 00:39:23:10 現代是那麽混亂
00:39:23:18 00:39:25:12 有兩方面
00:39:25:12 00:39:27:13 我也不知道他們在哪裡運作
00:39:27:20 00:39:30:02 例如，某天我走近
00:39:30:23 00:39:36:09 維也納的一處墳地
00:39:36:16 00:39:38:24 我很驚訝的是，在墳地
00:39:39:06 00:39:42:04 我感到右腹輪有感染
00:39:42:04 00:39:44:20 我因此說︰「所有亡靈必定正在行動
00:39:44:20 00:39:47:07 我真的不明白在墳地裡，
00:39:47:20 00:39:51:14 怎會是右腹輪感染？」
00:39:52:09 00:39:54:03 是這樣解釋的
00:39:54:11 00:39:56:07 現在所有的亡靈都很活躍
00:39:56:15 00:39:58:15 或許他們再次出生。明白嘛，
00:39:58:21 00:40:00:17 他們必定已經死過千百次
00:40:00:23 00:40:02:14 製造一個又一個墓穴
00:40:02:14 00:40:05:18 只是現在墓穴都是空的，他們又再活躍
00:40:05:18 00:40:08:01 或許這些亡靈現在很活躍，
00:40:08:01 00:40:09:02 但他們不在這裡
00:40:09:02 00:40:11:18 全都消失了，可能是這樣吧
00:40:12:01 00:40:14:07 因此我們要以生命能量來評價事物
00:40:14:07 00:40:15:24 不要以我們的理解
00:40:16:07 00:40:20:01 我們認為的，或是藉由我們
00:40:20:01 00:40:21:07 這個頭腦去理解
00:40:21:13 00:40:25:10 藉由提問，說話太多
00:40:25:10 00:40:27:07 是不能明白霎哈嘉瑜伽
00:40:27:13 00:40:28:24 對霎哈嘉瑜伽，你必須擁有
00:40:29:05 00:40:30:19 超級狀態的頭腦
00:40:31:02 00:40:32:19 藉此你可以接收生命能量
00:40:33:01 00:40:35:10 感覺生命能量
00:40:35:16 00:40:38:07 完全認同於生命能量
00:40:38:07 00:40:43:09 若你仍然有自我的標籤
00:40:43:09 00:40:45:08 仍然質疑霎哈嘉瑜伽
00:40:45:17 00:40:47:11 仍然不停的只想著自己
00:40:47:11 00:40:49:01 這類人還是不要
00:40:49:01 00:40:50:23 參加崇拜
00:40:51:05 00:40:53:19 不參加崇拜對他們是最好的
00:40:54:00 00:40:55:20 有懷疑的人也
00:40:55:20 00:40:58:20 不應參加崇拜
00:40:59:03 00:41:00:22 因為崇拜只為已經到達
00:41:01:03 00:41:03:15 被稱為nirvikalpa(無疑惑)
00:41:03:15 00:41:05:20 的知覺狀態的人而設
00:41:05:20 00:41:08:16 沒有vikalpa，腦海中沒有懷疑。
00:41:08:22 00:41:10:13 若你仍有懷疑
00:41:10:21 00:41:13:14 思維仍然很有力量
00:41:13:14 00:41:15:13 它會把你拉下
00:41:15:21 00:41:18:18 所以在崇拜前，請告訴你的思維要安靜
00:41:18:18 00:41:21:01 告訴它不要說話
00:41:21:08 00:41:24:15 「最好保持安靜，我現在要昇進
00:41:25:06 00:41:27:17 我要接受上天的祝福，
00:41:27:23 00:41:31:01 請保持安靜，若你不能安靜，
00:41:31:23 00:41:34:07 我便不能昇進。」
00:41:34:15 00:41:37:09 我曾經告訴你很多次，就像一隻驢子
00:41:37:18 00:41:40:03 思維就像驢子
00:41:40:16 00:41:43:09 若你走在驢子的後面，牠踢你
00:41:43:22 00:41:45:00 牠會告訴你，
00:41:45:06 00:41:48:00 你是壞人，你是最差勁的人
00:41:48:06 00:41:50:00 所有自嘆自憐都會出現
00:41:50:06 00:41:52:19 若你走在驢子的前面
00:41:53:00 00:41:56:12 牠會把牠的耳朵向著你，你可以像抓著自我一樣抓住牠
00:41:56:12 00:41:59:11 你可以走到任何你想到的地方，做任何你喜歡的事情，「有甚麽不對？」
00:41:59:19 00:42:01:08 牠不會控制你
00:42:01:08 00:42:03:10 若你坐在驢子上
00:42:03:16 00:42:07:10 牠仍會開你玩笑，看你怎樣解決
00:42:08:06 00:42:12:06 所以若你容許你的思維
00:42:12:17 00:42:15:17 藉由你的雙眼，你的注意力，
00:42:16:01 00:42:19:03 你的舌頭或你的感官往這樣那樣走，它會說︰「好吧。」
00:42:19:03 00:42:21:09 牠只會吃在旁邊的草，牠不會移動
00:42:21:09 00:42:23:19 只會移向這邊，吃一點草，再移向那邊
00:42:24:01 00:42:25:17 葛雷瓜︰這時候，我可否很快
00:42:25:23 00:42:27:18 你剛才說的，
00:42:27:18 00:42:29:02 為不懂英文的法國人翻譯？
00:42:29:02 00:42:30:13 啊！你想把我說的全部都翻譯？
00:42:30:13 00:42:32:01 葛雷瓜︰只花二分鐘
00:42:32:01 00:42:34:06 葛雷瓜，遲一點才翻譯吧
00:42:34:12 00:42:38:17 這樣會比較好，現在很流暢，好嗎？
00:42:40:13 00:42:47:04 這隻驢子，牠想吃草
00:42:47:04 00:42:49:20 牠知道你不介意牠吃草
00:42:49:20 00:42:51:15 好吧，牠四處走，吃青草
00:42:51:21 00:42:53:23 各種污垢的，骯髒的，無論是甚麽
00:42:53:23 00:42:56:18 無論牠吃甚麽你都淮許，繼續的吃
00:42:56:18 00:42:58:15 所有骯髒的東西，所有骯髒的思想
00:42:58:21 00:43:00:19 所有污垢的思維，所有這類的東西
00:43:00:19 00:43:02:10 沒有任何疑問，你看？
00:43:02:10 00:43:04:13 只有在霎哈嘉瑜伽，他們才有疑問
00:43:04:13 00:43:07:07 而不是當他們吃污穢，骯髒，
00:43:07:13 00:43:11:23 各種不神聖和罪孽的東西，那時他們卻沒有任何質疑
00:43:12:13 00:43:14:04 他們只會說︰「有甚麽不對呢？」
00:43:14:04 00:43:17:02 但當他們來到霎哈嘉瑜伽，便會質疑。
00:43:17:15 00:43:19:09 霎哈嘉瑜伽是神聖中最神聖的
00:43:20:09 00:43:22:02 偉大中最偉大的，
00:43:22:10 00:43:24:02 只有這些大門是為你們開啟
00:43:24:02 00:43:27:04 這就是你怎能得到，不然是不可以的
00:43:27:10 00:43:30:16 是禁止所有人到達的。
00:43:33:19 00:43:39:23 清洗我雙腳的水是神聖的甘露
00:43:41:05 00:43:43:04 是tirtha
00:43:43:12 00:43:46:24 在古時，甚至醫生也禁止使用
00:43:46:24 00:43:50:05 是不容許的，你們必須爭取
00:43:50:12 00:43:52:13 本來只容許天神喝的
00:43:53:10 00:43:55:05 本來只容許天神喝的
00:43:55:12 00:43:57:15 今天，你安置在天神的位置，
00:43:57:15 00:44:00:02 你有否這個能耐？
00:44:00:10 00:44:03:01 你是否配得上？
00:44:03:09 00:44:04:18 又或你仍然在質疑
00:44:04:24 00:44:07:04 仍然有問題？
00:44:07:13 00:44:10:02 所以還是禁止你比較好
00:44:10:09 00:44:14:15 這是很罕有的你能拿取這些神聖甘露
00:44:15:17 00:44:17:11 若你曾閱讀Devi Purana Bhagavatam
00:44:17:11 00:44:20:14 人們禁止去拿取它
00:44:20:22 00:44:21:23 就是這樣
00:44:22:05 00:44:25:02 思維像驢子一般走
00:44:25:08 00:44:30:12 若驢子知道誰騎著牠
00:44:31:20 00:44:33:06 知道他想往何處去
00:44:34:02 00:44:36:05 而騎驢的人也知道怎樣控制思維
00:44:36:05 00:44:38:21 知道在那裡可以成就到
00:44:38:21 00:44:41:23 同一隻驢子，同樣的器具
00:44:41:23 00:44:43:04 同樣的機構
00:44:43:04 00:44:46:01 同樣的東西在你週遭，
00:44:46:15 00:44:50:02 卻能以更快的速度
00:44:51:04 00:44:53:10 更舒適的把你帶到這裡
00:44:53:10 00:44:56:04 所以今天告訴你的思維
00:44:56:12 00:44:59:04 我們已經受夠了
00:44:59:10 00:45:00:12 與你的思維開玩笑
00:45:00:18 00:45:05:23 我現在想在神的領域裡
00:45:39:10 00:45:41:09 告訴你的腦袋，告訴你的思維
00:45:41:09 00:45:42:12 這是很重要的
00:45:42:12 00:45:45:01 思維把你帶往各種事物裡
00:45:45:09 00:45:47:23 給你污穢和骯髒的東西
00:45:48:06 00:45:50:14 所以要告訴你的思維
00:46:10:09 00:46:12:04 願神祝福你們
00:46:13:03 00:46:14:22 所以，今天的主題是
00:46:14:22 00:46:17:12 我們必須到達我們
