00:00:38:23 00:00:41:17 很抱歉我迟到了
00:13:40:18 00:13:42:15 这砖窑是我的名下了。
00:13:42:24 00:13:45:24 我从他那处买下了整个砖窑，一整个砖窑
00:13:49:08 00:13:54:07 是一种他们把所有砖块放进去的东西
00:13:54:10 00:13:58:07 跟着用泥把它遮盖，在下面点火
00:13:58:10 00:14:01:20 有时整个砖窑会完全浪费掉
00:14:02:20 00:14:05:20 或完全粉碎
00:14:05:23 00:14:08:14 我说︰「若这样真的发生了，也只花五千卢比
00:14:11:24 00:14:14:02 但当它好好地起火
00:14:14:05 00:14:17:05 它的价值比五万卢比还要高
00:14:20:00 00:14:25:01 跟着我到达河边说
00:14:25:05 00:14:31:00 一份要多少钱？他们称呼一个大面积的沙粒为一份
00:14:31:23 00:14:37:13 他们说︰「在这个时候，在夏天，只需要用很少钱
00:14:37:24 00:14:40:24 但在冬天，要的钱就相当多
00:14:41:13 00:14:45:22 一个男人走来说「好吧！现在你需这么多，把它带走吧
00:14:45:24 00:14:48:10 跟着你会需要更多，你可以再带走它
00:14:48:12 00:14:52:07 我不是这样做，我说︰「夏天是很好的时光
00:14:52:08 00:14:54:15 可以便宜点，为什么不把整份买下？
00:14:54:17 00:14:59:24 我把整份买下，整个面积的沙粒
00:15:02:03 00:15:05:13 跟着我去找五金商。
00:15:05:15 00:15:07:17 我说︰「钢筋又怎么样？
00:15:07:24 00:15:10:10 他们说︰「你必须订购
00:15:10:24 00:15:15:24 若你大量购买，我们可以算便宜点
00:15:16:18 00:15:19:02 你需要支付大量现金。我说︰「好吧
00:15:19:03 00:15:24:03 我订购。」全都准备好，就像我们准备烹调食物
00:15:24:05 00:15:27:00 所有材料都准备好
00:15:27:02 00:15:29:13 跟着我们需要木材
00:15:29:15 00:15:31:12 他们说︰「木材是来自尼泊尔。」
00:15:31:15 00:15:35:12 我说︰「有没有来自其它地方？」
00:15:35:15 00:15:37:20 他们说︰「也可以来自其它森林
00:15:37:24 00:15:45:18 我走到一处在印度中部名为Jabalpur的森林
00:15:45:20 00:15:48:20 在那里订购木材
00:15:48:24 00:15:52:10 整块木材被切割，被好好地切割
00:15:52:22 00:15:57:07 在一处拍买会，我购买了大量木材
00:15:58:07 00:16:03:00 我全部都在那里购买的，我还在那里购买大理石
00:16:03:03 00:16:06:12 这些大理石从未在任何地方用过
00:16:08:03 00:16:12:08 我说︰「很简单，这些大理石我可以作任何用途
00:16:12:10 00:16:17:20 我在同一地方购买了林材和大理石
00:16:19:02 00:16:24:15 跟着是劳工，我问我的朋友
00:16:24:17 00:16:30:18 有没有好的石工技艺的工人
00:16:30:20 00:16:33:12 他们说︰「有，这位很好，那位也很好。
00:16:33:14 00:16:36:15 我召集了他们所有人。我说︰「现在你们可以
00:16:36:16 00:16:40:00 与我一起在这所房子，我会好好的喂食你们
00:16:40:02 00:16:42:10 给你们食物，好好照顾你们
00:16:42:23 00:16:46:12 他们与他们的家庭都安顿好
00:16:47:00 00:16:50:00 我常常都为他们煮食
00:16:50:13 00:16:55:23 因为为他们煮食，我赢得他们的信任，因此他们乐意为我做任何事
00:16:58:13 00:17:02:10 他们对我很仁慈
00:17:02:12 00:17:07:16 他们会制造新的…他们所知道新的技术
00:17:07:24 00:17:14:07 他们会做一些效果在水泥中的大理石
00:17:15:07 00:17:19:10 他们把各式各样的工艺都放在那里
00:17:21:00 00:17:25:11 这所有二十间睡房，五个客厅饭厅的大屋
00:17:25:24 00:17:29:10 只一年时间便建成
00:17:30:12 00:17:34:18 不单这样，没有人相信这所房子的造价
00:17:35:24 00:17:40:19 只是建筑师所要求的十分之一
00:17:43:00 00:17:45:12 那是好好的被记录下来，每样事情都做得那么好
00:17:45:13 00:17:48:08 因为我不懂会计帐目，所以我是这样做的
00:17:49:00 00:17:53:12 每一天我会说︰「好吧，今天我拿出这个数额的金钱
00:17:54:10 00:17:58:00 这个金额已经用完了，每天我都把数目记下
00:17:59:00 00:18:02:24 没有缺少任何一个卢比
00:18:03:24 00:18:07:03 所以没有人能控告我，也没有任何问题
00:18:07:05 00:18:10:07 所有建造房子的官员
00:18:10:09 00:18:12:12 都经历很多问题
00:18:12:15 00:18:16:15 他们的收入要缴税，这些问题，不曾发生，没有什么发生
00:18:17:23 00:18:21:10 我可以以这样少的金钱
00:18:21:13 00:18:23:13 去建造一所这样大的房子
00:18:23:15 00:18:27:00 人们说就算泰姬陵倒塌，这所房子也不会倒塌
00:18:28:10 00:18:30:17 因为我建的地基很好
00:18:30:18 00:18:32:21 我购买的砖块是那么便宜，我以很便宜的价钱
00:18:33:00 00:18:37:04 购买了整个砖窑，因为剩下的太多
00:18:37:07 00:18:40:24 我把剩下一半的砖块出售
00:18:42:20 00:18:45:05 我购买的沙粒
00:18:45:07 00:18:47:24 有一半要出售，因为我不再需要它们
00:18:48:00 00:18:51:20 我以双倍的价钱出售，因此我用的沙粒是免费的
00:18:54:05 00:18:56:06 在那里购买的木材
00:18:56:08 00:18:59:03 恰当地凿刻
00:18:59:09 00:19:01:08 我有一个小水箱
00:19:01:10 00:19:08:15 我把木材放在里面，令它完全的防水
00:19:08:24 00:19:14:15 我把它拿出来，只用了一半来建造数以百个窗
00:19:14:24 00:19:20:00 以及六十扇门，余下的我把它们出售
00:19:20:02 00:19:24:20 甚至木屑我也出售，作为木材的燃料
00:19:24:22 00:19:27:24 你看到燃烧的木，你们怎样称呼它？
00:19:28:10 00:19:30:19 你可以想象一些木材用来出售
00:19:30:24 00:19:33:02 一些则用来做小屋
00:19:35:12 00:19:37:20 我必须为他们煮食
00:19:37:24 00:19:40:05 我必须照顾他们的舒适
00:19:40:10 00:19:45:20 我为他们准备好毛毯和睡床
00:19:45:24 00:19:47:24 这样和那样，所以他们都很快乐
00:19:48:13 00:19:52:00 这就是为什么女人可以做到
00:19:52:02 00:19:54:23 每一个人都感到很惊讶，他们找不到我任何错处
00:19:54:24 00:19:57:00 我的帐目也没有任何错处，任何事情都找不到错处
00:19:57:02 00:20:01:23 我告诉我丈夫的所有朋友，要远离我五里之外
00:20:06:12 00:20:08:17 因为我丈夫是为首相工作
00:20:09:13 00:20:13:16 人们会说︰「好吧！她必定收了贿赂。」
00:20:13:24 00:20:17:00 事情就是这样。还有另外一个问题
00:20:17:02 00:20:21:03 他们会走来告诉我︰「这样不好，那样不好。」
00:20:21:04 00:20:25:24 我远离他们，因为他们好争辩，男人只会争辩
00:20:27:12 00:20:29:10 女人则会生产成果
00:20:33:00 00:20:36:06 没有讨论，什么也没有,
00:20:36:08 00:20:38:10 我说︰「不需要做什么，就让我来做这工作。」
00:20:38:12 00:20:43:17 与这些人愉快地一起把房子建好
00:20:43:18 00:20:48:22 一所漂亮的房子，我想他们会把它拍下
00:20:49:15 00:20:53:05 你或许可以看到我建的这所房子
00:20:56:03 00:20:59:14 作为一位女霎哈嘉瑜伽士，必须发展自己
00:20:59:15 00:21:02:14 发展这些特别的特质。
00:21:02:20 00:21:05:22 因为她非常富直觉，女人是非常富有直觉
00:21:05:23 00:21:09:07 若她是真正的女人，她常常都很快达至正确的结论
00:21:09:08 00:21:14:08 但若她一半是男人和少部分是女人
00:21:14:10 00:21:17:24 我就不知道她是什么种类的人
00:21:19:12 00:21:22:23 所以女人必须是女人，她是很有力量
00:21:23:00 00:21:26:17 像母亲大地那样有力量，母亲大地可以容忍各种事物
00:21:27:13 00:21:33:02 她可以付出她最好的
00:21:34:00 00:21:43:00 极之牺牲，极之付出，宽容，有爱心，懂原谅人
00:21:43:23 00:21:49:00 当男人发展了女人的特质，他们便会成为圣人
00:21:52:00 00:21:57:23 不是因为女人这些特质而去追逐她们
00:21:58:08 00:22:00:17 这种荒谬并不存在。
00:22:00:18 00:22:03:13 他们必须是合格的虔敬者(viras)，
00:22:03:15 00:22:07:00 他们必须是直正的人，勇敢的人，
00:22:07:02 00:22:14:24 为此他们必须发展慈悲，宽恕
00:22:19:20 00:22:22:22 在德国却是相反
00:22:22:24 00:22:25:12 我发觉在西方的霎哈嘉瑜伽士
00:22:25:14 00:22:27:20 也非常普遍的是这样
00:22:27:22 00:22:31:08 女人发展了可怕的自我
00:22:33:15 00:22:38:03 在印度，妇女工作，她们做各样的事情
00:22:39:13 00:22:44:05 长久以来，我们都有很伟大，很有名的演说家
00:22:45:10 00:22:50:22 他们没有自我。我的母亲是一位优秀生
00:22:51:00 00:22:53:10 那个年代，只有二至三位女士
00:22:53:12 00:22:55:10 可以做到这个程度
00:22:55:12 00:22:58:24 我从来也没有见过她有任何自我
00:23:01:00 00:23:04:17 我的女儿，其中一位是从事建筑
00:23:06:07 00:23:09:03 也从事室内设计，她现在没有工作
00:23:09:05 00:23:11:03 因为她的丈夫工作
00:23:11:05 00:23:13:22 但她为别人建房子，为别人画图
00:23:13:23 00:23:19:17 自由地帮助别人。她有这样的朋友
00:23:21:02 00:23:24:00 所以一位女士该有怎样的成就？
00:23:24:05 00:23:28:06 很多人围绕着她
00:23:31:10 00:23:33:00 人类的力量
00:23:34:03 00:23:37:07 她有更多人围绕着她
00:23:38:08 00:23:40:05 男人有怎样的能耐？
00:23:40:08 00:23:42:23 他们要支付全屋的账单
00:23:43:00 00:23:49:10 支付保险费，要修理汽车
00:23:49:12 00:23:53:10 就让他们做这些烦厌的工作
00:23:56:07 00:24:00:03 女人则只去接收来自孩子
00:24:00:05 00:24:02:13 来自丈夫，来自每一个人的爱的信件
00:24:03:00 00:24:07:12 她们被爱护，被照顾
00:24:09:13 00:24:11:12 但因为她们现在变得很男性化
00:24:11:23 00:24:14:02 所以不再拥有这些好处
00:24:14:05 00:24:18:18 就像以前，若她们在巴士上，别人会让座给她
00:24:18:20 00:24:20:07 现在没有人会这样做了
00:24:20:17 00:24:25:09 一次，一位年长的女士旅游
00:24:25:10 00:24:28:00 有一位年轻人就坐在这里
00:24:28:03 00:24:30:10 我说︰「你为什么不让座给这位女士？」
00:24:30:12 00:24:31:10 他说︰「为什么？
00:24:31:12 00:24:33:22 她穿裤子，我也穿裤子
00:24:33:23 00:24:37:07 她是…一位穿裤子的年长的女士
00:24:37:08 00:24:40:20 他说︰「我为什么要让座给她，她穿裤子
00:24:40:24 00:24:43:20 我也穿裤子，有什么分别？
00:24:47:07 00:24:50:00 因为要变成男人，我们失去这些好处和特权
00:24:50:10 00:24:53:15 我们成为男人失去什么？
00:24:55:00 00:25:01:00 我们又得到些什么？
00:25:01:10 00:25:04:20 实际上相反，我认为在现代
00:25:04:22 00:25:08:17 妇女比过去更加是男人的奴隶
00:25:10:05 00:25:14:00 她们感到很失望。例如一位女霎哈嘉瑜伽士
00:25:15:00 00:25:18:21 当她阻塞得很严重，她必定有些问题
00:25:18:24 00:25:21:00 她首先会想
00:25:21:02 00:25:23:08 神啊！我的丈夫会离开我
00:25:23:10 00:25:27:05 他会把孩子带走，我该怎么办？
00:25:27:07 00:25:29:02 她永远也不会想及霎哈嘉瑜伽。
00:25:30:08 00:25:33:18 我曾经遇见一位不凡的女士，我必须说她是一位真正的女人
00:25:34:13 00:25:37:18 她说︰「母亲，因为我有精神分裂症
00:25:37:20 00:25:42:02 所以我要离开霎哈嘉瑜伽，与我的丈夫离婚
00:25:42:20 00:25:44:02 我不想再见我的孩子
00:25:44:03 00:25:47:02 霎哈嘉瑜伽比我，我的丈夫
00:25:47:05 00:25:51:21 我的孩子重要。」
00:25:51:24 00:25:53:14 我说︰「这才是女人
00:25:53:15 00:25:55:22 她说︰「我从小已经有精神分裂症
00:25:56:00 00:25:58:17 现在我发现这病症又再复发
00:25:58:20 00:26:01:03 大部分的妇女都只担心自己
00:26:01:05 00:26:03:05 「神啊！我必须离开我的丈夫！
00:26:04:08 00:26:07:18 代表她们很依赖她们的丈夫
00:26:08:18 00:26:11:18 我会离开我的孩子
00:26:13:22 00:26:16:24 但离开霎哈嘉瑜伽又怎样？
00:26:17:18 00:26:20:10 若你认为霎哈嘉瑜伽是最重要的
00:26:20:15 00:26:22:22 也可以把你的精神分裂症治好
00:26:22:23 00:26:26:05 为什么神要帮助你？我们都像普通妇女一样思考
00:26:26:07 00:26:28:15 只担心自己
00:26:31:02 00:26:34:00 并不担心霎哈嘉瑜伽
00:26:37:07 00:26:41:07 一些男人也一样，但男人并不怎样惧怕
00:26:42:22 00:26:45:18 因为他们以为自己可以独立
00:26:46:17 00:26:49:00 女人必须知道，她们是霎哈嘉瑜伽士
00:26:49:02 00:26:52:00 作为霎哈嘉瑜伽士，母亲会照顾她们
00:26:52:20 00:26:55:12 但若你只担心自己，只担心你的丈夫
00:26:55:14 00:27:01:08 你的房子，你的孩子，那么你便无可救药
00:27:01:10 00:27:04:10 你不再是女人了，这不是一位好女人的征兆
00:27:06:05 00:27:10:08 真正的女人爱所有的孩子
00:27:13:05 00:27:16:22 她爱的能耐很大。若她变得吝惜
00:27:18:00 00:27:21:15 变得眼光狭小，她就不是一位真正的女人
00:27:22:23 00:27:24:10 我告诉你有关我的外孙女的事情
00:27:24:12 00:27:27:05 我问她们︰「你们想做些什么？」她们还很小
00:27:27:17 00:27:33:24 她们说︰「我们想成为护士或空中服务员
00:27:34:18 00:27:37:02 我问︰「为什么？这些职业有何伟大之处？
00:27:38:03 00:27:41:20 她们说︰「祖母，只有这两种职业可以喂食人。」
00:27:44:10 00:27:47:02 没有其它职业是可以真正的喂食人
00:27:47:04 00:27:53:00 喂食人的喜乐比在办公室书写档案大得多
00:27:55:15 00:28:00:05 我可以肯定的告诉你，在办公室书写档案是可怕的工作
00:28:05:15 00:28:07:17 还是做一些可爱的烹调工作好
00:28:07:19 00:28:13:00 只要想到有很多人可以喜乐地进食和享受食物
00:28:13:02 00:28:16:10 比做这些厌恶的工作好
00:28:17:17 00:28:20:22 但妇女丧失了她们的头脑
00:28:20:24 00:28:23:24 她们现在不再头脑冷静，变得愚蠢
00:28:26:03 00:28:30:07 在德国，你们必须非常小心
00:28:30:08 00:28:32:00 在奥地利，你们必须非常小心
00:28:32:02 00:28:35:03 奥地利妇女是很伟大的，但我必须向德国妇女说
00:28:35:05 00:28:37:05 不要想成为男人
00:28:37:07 00:28:42:05 首先最佳停止这种想法的方法是不要说太多话
00:28:45:10 00:28:49:18 若你开始像男人一样说话，所有亡灵便会进入你
00:28:49:20 00:28:52:12 令你像男人一样说话
00:28:52:18 00:28:55:07 跟着你会看到男人是怎样被控制
00:28:55:09 00:28:59:17 我们印度妇女比你们更加懂得怎样控制男人
00:29:02:23 00:29:06:18 但为什么我们没有离婚？为什么我们没有问题？
00:29:06:20 00:29:08:18 我们会吵架，这没有关系
00:29:08:20 00:29:11:07 我们的男人不会追逐别的女人
00:29:13:13 00:29:17:23 我们不会穿得像…我的意思是不会过份
00:29:18:00 00:29:21:07 我们没有走到理发店，我们没有这些美容辅助
00:29:23:08 00:29:25:22 没有这些，所以要发展你的自尊
00:29:25:24 00:29:30:07 你们是Shakti，你们是力量
00:29:32:03 00:29:35:20 若你令你的男人漠不关心，你们可以有怎样的孩子？
00:29:35:22 00:29:40:08 同样是漠不关心。尊敬他们
00:29:41:03 00:29:43:22 令他们成为真正的男人，享受他们的男子气概
00:29:45:13 00:29:49:00 那么他们便永远不会离弃你
00:29:50:07 00:29:52:15 两者之间并没有任何竞争
00:29:54:07 00:29:57:18 我发现德国现在的主要问题是
00:29:57:20 00:30:00:17 妇女失去了她们的意识
00:30:00:19 00:30:04:22 我完全感到德国妇女是这样的
00:30:07:00 00:30:13:15 就像在音乐方面，在艺术方面，在很多其它范畴上
00:30:13:17 00:30:19:12 但在今天，谁人仍会被记着？就像在这里，谁人还会被人记着？
00:30:19:13 00:30:24:02 一位音乐家，莫扎特，每一个人都记得莫扎特
00:30:24:04 00:30:28:10 甚至是一片巧克力，你也可以找到莫扎特
00:30:30:05 00:30:33:22 我不知道这可怜的家伙有没有吃过巧克力
00:30:37:03 00:30:43:00 又或他们还记得，他们有米开朗基罗
00:30:43:02 00:30:48:13 或他们有Leonardo da Vinci，或类似的人物
00:30:52:00 00:30:56:00 没有人还记得那时有哪位官员
00:30:57:05 00:30:59:07 上上下下的拿着档案跑
00:31:06:02 00:31:10:22 妇女拥有一些永恒的价值
00:31:11:07 00:31:12:17 她们必须发展这些价值
00:31:12:19 00:31:16:12 妇女最伟大的是爱心，爱心和爱心
00:31:16:14 00:31:18:18 当她变得自私，自我中心
00:31:18:20 00:31:23:02 开始担心自己，她的爱便毫不漂亮
00:31:25:22 00:31:28:00 今天，我特别说出这些事情
00:31:28:02 00:31:31:00 因为今天你向我的卡提凯亚形相敬拜
00:31:33:18 00:31:37:00 卡提凯亚是帕娃蒂(Parvati Umar)的儿子
00:31:44:13 00:31:50:12 她是两位孩子，格涅沙和卡提凯亚，的母亲
00:31:53:15 00:32:04:08 一天，作为父母的商揭罗(Shankara)和帕娃蒂说︰
00:32:04:10 00:32:13:17 你们两人谁可以最先绕着母亲大地走一圈
00:32:14:00 00:32:17:24 便可以得到一份特别的奖品。」，
00:32:20:00 00:32:27:05 卡提凯亚完全拥有，男子的力量
00:32:27:07 00:32:32:13 他说︰「好吧，我以我的坐骑开始。」
00:32:32:24 00:32:36:03 那是一只孔雀。格涅沙则对自己说︰
00:32:36:05 00:32:38:17 看看我，我是一个小孩
00:32:39:10 00:32:44:17 我不像他，我的坐骑是一只小老鼠
00:32:44:18 00:32:48:22 我可以怎么样？」跟着他想
00:32:50:03 00:32:54:10 我的母亲是高于全宇宙
00:32:54:15 00:32:57:13 这母亲大地又算什么呢？」
00:32:57:24 00:33:02:07 卡提凯亚跑出去，围绕着母亲大地走
00:33:03:10 00:33:06:08 而格涅沙则围绕着他的母亲转了三圈
00:33:07:03 00:33:10:10 得到了奖品
00:33:12:03 00:33:16:05 对他来说，母性的特质是最高的
00:33:16:07 00:33:19:03 甚至高于至高湿婆神
00:33:21:17 00:33:24:24 但很惊讶，至高湿婆神也很喜爱他这样
00:33:25:07 00:33:28:20 他很喜欢你尊敬你的母亲
00:33:29:22 00:33:31:24 尊敬在你之内的母性
00:33:32:18 00:33:39:10 神只会住在一处妇女值得尊重
00:33:39:12 00:33:41:17 和被尊敬的地方
00:33:42:15 00:33:44:10 女人是非常重要的
00:33:44:11 00:33:46:19 当然，我必须谴责西方的男人
00:33:46:20 00:33:49:00 他们不好好对待妇女，
00:33:49:10 00:33:53:02 令她们远离宗教，还常常羞辱她们
00:33:53:04 00:33:55:00 在印度，有些穆斯林也是这样
00:33:55:05 00:33:58:20 他们是非常世故的侵略者
00:33:58:21 00:34:02:15 他们都很坏，他们羞辱所有人
00:34:02:16 00:34:04:24 没有关系，
00:34:06:00 00:34:13:00 你们仍然要宽恕他们，尝试成为一位真正的女人
00:34:13:05 00:34:20:20 非常有力量，妇女的力量是爱
00:34:21:00 00:34:27:15 是神的力量，要运用这爱的力量
00:34:27:18 00:34:31:20 比运用其它好争辩的理性主义好，那些全是谬误
00:34:32:17 00:34:34:15 不要这样浪费你的精力。
00:34:34:24 00:34:38:15 我希望，特别是在德国的女霎哈嘉瑜伽士
00:34:40:02 00:34:43:00 变得越来越像贵妇般雍容
00:34:43:23 00:34:48:07 这不单指有好的厨艺，而是指对生命的态度
00:34:50:00 00:34:53:00 以更阔的层面去想
00:34:54:10 00:34:58:08 整个霎哈嘉瑜伽依靠我们爱的容量
00:34:58:10 00:35:02:03 我们要极之有爱心，极之仁慈
00:35:02:05 00:35:05:16 去照顾霎哈嘉瑜伽士
00:35:07:24 00:35:10:10 给予他们喜乐
00:35:13:07 00:35:17:24 否则，在这个国家，她们可能会变成吸血鬼
00:35:19:00 00:35:23:07 所以必须小心，对男人我会说
00:35:23:08 00:35:26:24 若有这样的妇女，你们必须尊重
00:35:27:13 00:35:32:00 必须给她们所有的特权，好好照顾她们
00:35:33:03 00:35:35:20 她们照顾孩子，给她们所有需要的帮助
00:35:35:22 00:35:39:03 所需要的金钱
