00:01:29:11 00:01:32:04 今天非常高兴的看到
00:17:22:05 00:17:24:11 即使在印度的市区都见到
00:17:24:19 00:17:26:01 你让他们成为信托人
00:17:26:09 00:17:27:15 他们突然跳上马
00:17:27:21 00:17:29:11 我说：「他们从哪儿跳上马
00:17:29:19 00:17:31:07 这个自我从哪儿来？
00:17:31:15 00:17:32:24 它们全都积存在这里
00:17:33:06 00:17:35:13 一旦他们成为信托人，全都回来了
00:17:35:22 00:17:38:10 他们像骑着马的John Gilpin
00:17:38:17 00:17:40:17 跑得很快。我望着他们
00:17:40:24 00:17:42:08 他们往哪里去？
00:17:42:14 00:17:45:13 他们就在那里，不见了
00:17:45:24 00:17:48:19 玩把戏消失了
00:17:49:02 00:17:51:16 我就是不明白为什么会发生这种事
00:17:51:23 00:17:55:07 当深入了解问题后
00:17:55:14 00:17:57:11 我明白到单是走进会堂
00:17:57:19 00:17:59:08 你的左喉轮便受感染
00:17:59:15 00:18:00:22 看看小孩子，你要明白
00:18:01:05 00:18:03:03 从他们孩童开始，不要教
00:18:03:11 00:18:07:00 他们时常说：「对不起、对不起。」
00:18:08:03 00:18:09:17 印度的帕西人（印度拜火教徒）
00:18:10:02 00:18:12:17 对你们很装模作样
00:18:13:00 00:18:15:01 所以我们在早上都不想遇见帕西人
00:18:15:10 00:18:18:07 因为一大清早他们会来说：
00:18:18:13 00:18:21:24 「对不起、对不起。」这是不吉祥的
00:18:22:10 00:18:24:15 「Maafkaro、 Maafkaro。」你看到人们说：
00:18:24:20 00:18:27:24 「巴巴，你下午才来，现在不是时候
00:18:28:07 00:18:30:10 早上不要这样开始
00:18:30:19 00:18:34:03 我们不会这么说，这是不吉祥的
00:18:34:15 00:18:35:22 你一开门就看到有人站着说：
00:18:36:04 00:18:39:19 「Maafkaro。」为了什么，我做了什么事？
00:18:40:05 00:18:41:23 你做了什么事要这样说话
00:18:42:05 00:18:45:06 时常抱着歉意的心情，为了什么？
00:18:45:13 00:18:47:16 你不想在早上见到
00:18:47:22 00:18:49:01 有歉意的面容，对吗？
00:18:49:07 00:18:52:01 只想见到有人愉快友善地跟你打招呼
00:18:52:07 00:18:56:21 这个「Maafkaro, maafkaro， 对不起、对不起、对不起。」
00:18:58:01 00:18:59:04 通常我们
00:18:59:11 00:19:00:24 在早上都不想遇见帕西人
00:19:01:06 00:19:03:00 就是这个原因：你看，如果你在早上遇见他们
00:19:03:07 00:19:05:14 整天心情状态都会不好
00:19:05:21 00:19:07:06 你曾经遇见抱着歉意的人
00:19:07:14 00:19:11:03 这不是歉意，他们的自我极之大
00:19:11:10 00:19:15:17 如果你们研究他们的性格，他们是非常自我中心的
00:19:18:10 00:19:20:09 所以我们要明白
00:19:21:15 00:19:26:01 当我们开始处理我们的自我
00:19:26:09 00:19:28:02 要直截了当。
00:19:28:10 00:19:30:15 我们不是自我，而是灵。直截了当的说
00:19:30:23 00:19:37:03 噢﹗我明白。这是错的，这不是我做的
00:19:37:10 00:19:40:08 是这个身体做的。现在来吧，不，不，没事了
00:19:40:14 00:19:44:10 你告诉自己：「不，不，没事了。」
00:19:45:14 00:19:46:23 我们就是要这样处理它
00:19:47:05 00:19:49:20 因为那令我害怕的
00:19:50:03 00:19:51:16 是左喉轮
00:19:52:00 00:19:54:00 因为当我想起这疾病
00:19:54:09 00:19:56:07 我的注意力便会走往左喉轮
00:19:56:16 00:19:59:03 试想像人们变疯了
00:19:59:13 00:20:02:07 我发觉大部分自我的人
00:20:02:14 00:20:04:23 都是因为这样才变蠢
00:20:05:07 00:20:09:00 他们是蠢人，表现得愚蠢，言行也愚蠢
00:20:09:09 00:20:12:03 只有自我的人吸毒酗酒
00:20:12:11 00:20:15:20 因为只有他们才能承受
00:20:16:05 00:20:19:17 若某人超我很大
00:20:20:01 00:20:22:08 或某人被鬼附而酗酒
00:20:22:13 00:20:24:07 他很快会死，活不了
00:20:24:14 00:20:25:19 因为他更会被抛向这一面
00:20:26:02 00:20:28:09 但自我的人却能承受
00:20:28:24 00:20:31:24 我是说一个不自我的人，就如
00:20:32:06 00:20:35:20 若印度人饮伏特加酒，他会被抛到海岸
00:20:36:04 00:20:39:01 再找不到他，失踪了
00:20:39:11 00:20:43:07 即使在失物认领处也找不到他
00:20:46:00 00:20:49:19 是你的自我在
00:20:50:04 00:20:53:20 抗衡着超我
00:20:54:05 00:20:55:12 令你能应付
00:20:55:20 00:20:57:01 你要明白这就是为何人们能喝酒
00:20:57:08 00:20:59:24 这与天气冷或其他无关
00:21:00:07 00:21:02:08 是与你的自我更有关
00:21:02:20 00:21:05:14 你以为自己是偏左脉
00:21:05:20 00:21:08:02 有时是大错特错
00:21:08:10 00:21:11:12 你不是
00:21:12:05 00:21:13:16 你活在幻象里
00:21:13:24 00:21:17:09 这样你才能为你的自我找借口
00:21:17:19 00:21:20:15 西方人基本上是自我中心的
00:21:20:23 00:21:22:01 我们要接受这事实
00:21:22:08 00:21:25:18 我们并非西方人，我们是属于神的国度
00:21:26:02 00:21:29:08 因此不要内疚
00:21:29:16 00:21:32:12 你们不再是西方人。对我而言，你们既不是印度人
00:21:32:20 00:21:36:23 也不是英国人或澳洲人，你们是我的孩子
00:21:47:24 00:21:50:18 这些事物却仍然在你们四周徘徊
00:21:50:24 00:21:52:21 所以你们要留意我告诉你们的事情
00:21:53:03 00:21:56:05 这些事情会一点一滴的在你们身上发生，不会太多
00:21:56:12 00:21:58:09 所以要小心，它是外在的
00:21:58:17 00:22:02:18 你发现自己轻微的走出分际
00:22:04:06 00:22:06:17 那些以为自己偏左脉的人只是被亡灵附着
00:22:07:00 00:22:10:10 他们被亡灵附着
00:22:10:18 00:22:12:12 所以才会偏左脉
00:22:12:18 00:22:14:21 否则他们不会这样。他们的性情不是这样
00:22:15:04 00:22:16:11 因为这里没有传统
00:22:16:19 00:22:18:19 没有公认的制约，没有这些
00:22:19:01 00:22:22:16 任何形式的制约这里也没有
00:22:22:24 00:22:27:09 因此在西方很难找到tamasikas(虐待自己的人)
00:22:27:23 00:22:29:16 极难找到
00:22:29:23 00:22:31:11 这里只会找到
00:22:31:19 00:22:34:10 又自大又被亡灵附着的人
00:22:34:17 00:22:38:09 这些亡灵宰制你的自我
00:22:38:17 00:22:39:21 透过你的自我运作
00:22:40:03 00:22:43:04 因此他们比一般tamasikas更危险
00:22:43:13 00:22:46:19 你要明白，一般tamasikas即使被亡灵附着 
00:22:47:03 00:22:51:04 也死得很早；不然他只会麻烦自己
00:22:51:11 00:22:55:09 身体还生出各种痛症，只会麻烦自己
00:22:57:13 00:23:01:22 但一个既自大又被亡灵附着的人
00:23:02:06 00:23:05:10 却很令人头痛
00:23:05:21 00:23:08:02 在印度，你们会很惊奇，酗酒的人
00:23:08:09 00:23:11:18 变得很友善，非常平和
00:23:12:03 00:23:14:03 很文静，很好
00:23:14:12 00:23:16:03 有些女士跟我说：
00:23:16:10 00:23:19:10 我们想让他们喝酒，这样他们会好一点
00:23:20:12 00:23:23:00 但这里却不是，他们变得暴力，为什么？
00:23:23:07 00:23:25:18 因为自我在这里已经有基础
00:23:26:01 00:23:29:16 这些家伙从左
00:23:29:24 00:23:33:13 或右跳进来取代了自我
00:23:33:21 00:23:35:16 接着他们透过自我运作
00:23:35:23 00:23:39:22 所以这些人变得凶残，变得武断
00:23:40:05 00:23:44:19 我是说所有德国人都是这样子
00:23:45:05 00:23:48:16 他们全都被超意识的亡灵附着
00:23:48:23 00:23:51:01 因此他们的行为都是残暴的
00:23:51:08 00:23:54:07 试想像一下任何人类，人类
00:23:54:17 00:23:58:12 把数以百万计的人放进毒气室杀掉
00:23:58:20 00:23:59:16 你能想象吗？
00:23:59:23 00:24:01:21 我是说你连在你面前
00:24:02:04 00:24:03:20 杀掉一只小鸡也不敢看
00:24:04:04 00:24:08:08 竟然看到这么多人
00:24:08:16 00:24:10:00 要被毒气杀掉？
00:24:10:09 00:24:12:02 看到他们想逃离毒气室
00:24:12:11 00:24:16:04 你能清清楚楚的看到他们
00:24:16:13 00:24:19:02 你要明白这种残暴的程度，怎会这样？
00:24:19:09 00:24:24:18 他们被亡灵附着，自我的性情附着他们
00:24:25:00 00:24:28:22 所以亡灵利用他们的自我来做这种事
00:24:32:15 00:24:35:19 我们是在中央
00:24:37:06 00:24:40:17 我们升进至神的层次
00:24:41:00 00:24:45:17 我们与左喉轮毫不相干
00:24:46:04 00:24:49:14 我们没有自我。自我在哪儿？消失了
00:24:49:22 00:24:52:10 超我在哪儿？消失了
00:24:52:18 00:24:56:12 即使它仍潜伏着
00:24:56:20 00:24:59:16 只管面对它吧。你为什么要内疚？
00:25:00:00 00:25:01:13 为什么？
00:25:01:21 00:25:04:10 真荒谬
00:25:04:20 00:25:06:14 你就是要这样去除它
00:25:06:22 00:25:08:20 因为我见过霎哈嘉瑜伽士
00:25:09:04 00:25:12:09 会忽然眉飞色舞
00:25:12:18 00:25:15:01 忽然像这样说话，吓了我一大跳
00:25:15:07 00:25:16:16 我说：「怎么了？他是正常人
00:25:16:24 00:25:19:05 为什么会这样说话？
00:25:19:13 00:25:24:14 原因是隐藏的自我突然跳出来表演
00:25:24:22 00:25:26:02 很多印度人也有这种表现
00:25:26:11 00:25:29:09 那些城市人自我大得很可怕
00:25:29:17 00:25:31:01 我说过，你曾经祝福他们
00:25:31:09 00:25:33:18 所以他们也有同样的行为
00:25:35:04 00:25:38:12 因为有些国家，像中国
00:25:38:19 00:25:41:03 有保持在中央的传统
00:25:41:10 00:25:44:07 我见过，中国也一样
00:25:44:23 00:25:46:09 我不曾见过他们说：
00:25:46:17 00:25:50:10 对不起、对不起、对不起
00:25:53:14 00:25:54:23 他们甚至不讨论
00:25:55:06 00:25:57:07 俄罗斯人对他们那么差
00:25:57:17 00:25:59:16 我们却告诉他们︰「不要紧。」我们问他们：
00:25:59:24 00:26:02:00 「为什么不与俄罗斯绝交？」「忘记它吧。」
00:26:02:09 00:26:05:00 他们从不批评，从不坐下来批评：
00:26:05:09 00:26:08:11 「他们是这样做的。」或为此生闷气或思考，没有
00:26:08:19 00:26:10:24 像印度人，你会很惊讶
00:26:11:07 00:26:13:07 我们竟然有法例
00:26:13:14 00:26:17:21 不能制作反对英国的电影。你能想象吗？
00:26:18:03 00:26:21:12 因为他们有尊严地离开我国
00:26:22:24 00:26:25:05 即使湿婆神的照片也不准放
00:26:25:12 00:26:29:07 因为它或许会显示穆斯林是坏的
00:26:29:23 00:26:33:06 就是到达这种程度
00:26:33:17 00:26:36:12 忘记它、忘记它、忘记它
00:26:36:21 00:26:38:19 当你开始想及这个人
00:26:39:04 00:26:44:07 自我便会受打击
00:26:44:24 00:26:47:09 是自我受伤害
00:26:47:18 00:26:51:07 你或许也知道
00:26:53:15 00:26:56:18 这个气球可以用两种方法吹胀
00:26:57:02 00:27:01:18 把它吹胀或从外边除掉所有空气
00:27:02:04 00:27:05:07 或甚至打它
00:27:06:12 00:27:10:16 受伤的自我是
00:27:11:07 00:27:15:21 当外边腾空了，气球便胀大
00:27:16:22 00:27:18:21 另一个自我，自我胀大是
00:27:19:04 00:27:22:04 当气球充满了气
00:27:22:13 00:27:23:19 两者都是一样
00:27:24:01 00:27:24:24 我是说无论你用这种或那种方法
00:27:25:08 00:27:28:08 结果都是一样的
00:27:28:18 00:27:32:16 当你明白这是自然法则的表现
00:27:33:00 00:27:35:22 你不单会患上所有这些疾病
00:27:36:05 00:27:39:14 还会在很年轻时精神失常
00:27:39:23 00:27:43:13 因为你不懂怎样面对自己
00:27:43:22 00:27:46:16 如果你做错事，最佳方法是
00:27:46:23 00:27:48:04 马上原谅自己：
00:27:48:11 00:27:50:06 马上原谅自己，不要紧
00:27:50:15 00:27:54:10 是因为这样我才会这样做 – 不要紧
00:27:54:17 00:27:56:05 我不应这样做
00:27:56:12 00:27:58:19 我不会再这样做了
00:27:59:00 00:28:01:20 只要这么说便能完全中和
00:28:02:03 00:28:03:17 除非你中和它
00:28:03:24 00:28:07:15 你仍会在这里储存着它，就是这意思
00:28:08:21 00:28:14:23 第二件我要告诉你们的是西方的女性
00:28:15:23 00:28:20:11 改变了她们的行事作风，这样对她们的
00:28:20:19 00:28:23:18 社会十分危险的，因为她们也学了男士
00:28:24:02 00:28:26:04 那自我的一套
00:28:26:13 00:28:29:15 如果男人走了十尺
00:28:30:00 00:28:31:17 她们追上了八尺
00:28:32:01 00:28:35:20 把男人拉下来
00:28:36:03 00:28:38:21 走得比他们更远
00:28:39:08 00:28:43:00 这完全超越了自我
00:28:43:10 00:28:49:03 因为女性通常都不会有这种自我
00:28:49:14 00:28:52:01 跟男士比试自我
00:28:52:10 00:28:55:08 女性便完全丧失了作为女性的分际
00:28:55:17 00:28:57:13 没有了女性的分际
00:28:57:22 00:28:59:23 男人有男人的分际
