00:00:38:23 00:00:41:17 很抱歉我遲到了
00:08:31:10 00:08:34:17 首先他們說
00:08:37:18 00:08:42:03 我們偏向受壓迫的人，像印度
00:08:43:07 00:08:44:23 印度人是雅利安人(Aryans)，我們是雅利安人
00:08:46:23 00:08:54:17 我們同情雅利安人
00:08:57:13 00:08:59:10 印度人是有靈性的人
00:09:00:00 00:09:05:15 他們感到他們像印度人，你相信嗎？
00:09:08:12 00:09:13:10 一是生活的質素必須改善
00:09:15:12 00:09:20:20 我曾經告訴你們很多次
00:09:20:24 00:09:23:02 男人的品質與女人不同
00:09:24:17 00:09:29:17 若女人想像男人
00:09:30:22 00:09:33:18 她們便不能恰如其分的有任何成就
00:09:33:24 00:09:36:00 我們有很多這樣的例子
00:09:36:10 00:09:40:00 你們都見過毛澤東的妻子
00:09:41:22 00:09:45:00 也見過蔣介石太太
00:09:45:13 00:09:49:20 以及現在那位名為Carlos的第一夫人
00:09:49:22 00:09:53:13 她的名字是馬可斯(Marcos)
00:09:54:17 00:09:56:20 很多女人都是這樣
00:09:58:07 00:10:02:03 當她們想像男人，事情都變得一團糟
00:10:04:12 00:10:06:24 歷史上，我們有很多婦女
00:10:07:10 00:10:11:15 印度的婦女都裝備完善
00:10:11:16 00:10:14:03 我們有像Jhansi Ki Rani的女士，
00:10:14:05 00:10:18:07 她對抗英國 她是一位寡婦
00:10:18:08 00:10:24:18 她背著她的孩子與英國抗爭
00:10:27:00 00:10:33:08 他們說她的馬從180呎的
00:10:33:24 00:10:37:00 堡壘中的炮塔跳下
00:10:38:15 00:10:40:23 英國人也有把這記錄下來
00:10:41:00 00:10:45:10 雖然他們捉拿到Jhansi，得到勝利
00:10:45:12 00:10:48:17 但榮耀卻歸於Jhansi Ki Rani
00:10:48:24 00:10:50:18 印度有很多偉大的女士
00:10:50:19 00:10:52:23 像Nur Jahan，她是另一位偉大的女人
00:10:53:02 00:10:56:00 我們還有Chand Bibi和Ahalyabai
00:10:56:05 00:11:00:00 她們全都是女人，她們沒有男人的自我
00:11:02:13 00:11:08:20 她們可以工作，在辦公室與男人一起工作
00:11:08:22 00:11:11:18 但並無需要變得像男人一樣
00:11:11:20 00:11:14:23 我以自己為例告訴你
00:11:16:07 00:11:19:12 我必須在勒克腦(印度北部城市)建造一所房子
00:11:21:22 00:11:27:10 我以女人的作事方式建造這所房子
00:11:27:24 00:11:29:24 一所很好的房子
00:11:30:00 00:11:37:24 比任何男人建的好，以非常非常便宜的價錢建成
00:11:39:13 00:11:43:00 若是男人，他們通常
00:11:44:07 00:11:46:00 會找一位建築師先去量度
00:11:46:24 00:11:49:24 跟著他會預先把所有東西裝配下去
00:11:50:10 00:11:55:08 他的自我令他到一些昂貴的地方購買需要的物品
00:11:55:15 00:11:59:00 所有要買的東西都很昂貴，他被這些所欺騙
00:12:02:23 00:12:08:05 同樣因為他的自我，令他支付昂貴的工資以及
00:12:09:05 00:12:13:10 顧用某些人。他主管每事每物，他是主管
00:12:16:00 00:12:18:05 我則以完全不同的方式去做，
00:12:20:00 00:12:25:00 我有錢，我會找最好的人
00:12:25:20 00:12:30:06 擁有最好磚塊的人
00:12:30:24 00:12:34:00 房子是由磚塊所建成
00:12:35:10 00:12:37:23 那麽你還需要甚麽？
00:12:37:24 00:12:41:20 就如女人烹調食物
00:12:42:12 00:12:44:20 你也需要沙粒
00:12:45:20 00:12:52:23 跟著你需要水泥，鐵枝和勞工
00:12:54:17 00:12:58:00 我不會像男人那樣
00:13:00:02 00:13:06:24 我只要找出誰人出售最好的磚塊
00:13:09:22 00:13:13:13 他說︰「我沒有錢，因為我做了這個磚窯
00:13:13:24 00:13:16:06 把它填滿磚塊
00:13:16:08 00:13:20:20 因此你需要付訂金
00:13:21:17 00:13:25:12 我說︰「好吧！我要購買一整個磚窯
00:13:27:02 00:13:29:02 需要付多少錢？
00:13:29:10 00:13:31:03 他說︰「五千盧比就夠了。」
00:13:32:00 00:13:34:15 但他說︰「若這磚窯告吹
00:13:34:20 00:13:37:08 或它有任何不妥，或它不發火
00:13:37:10 00:13:39:15 這是你需要小心的。我說︰「沒有關係
00:13:40:18 00:13:42:15 這磚窯是我的名下了。
00:13:42:24 00:13:45:24 我從他那處買下了整個磚窯，一整個磚窯
00:13:49:08 00:13:54:07 是一種他們把所有磚塊放進去的東西
00:13:54:10 00:13:58:07 跟著用泥把它遮蓋，在下面點火
00:13:58:10 00:14:01:20 有時整個磚窯會完全浪費掉
00:14:02:20 00:14:05:20 或完全粉碎
00:14:05:23 00:14:08:14 我說︰「若這樣真的發生了，也只花五千盧比
00:14:11:24 00:14:14:02 但當它好好地起火
00:14:14:05 00:14:17:05 它的價值比五萬盧比還要高
00:14:20:00 00:14:25:01 跟著我到達河邊說
00:14:25:05 00:14:31:00 一份要多少錢？他們稱呼一個大面積的沙粒為一份
00:14:31:23 00:14:37:13 他們說︰「在這個時候，在夏天，只需要用很小錢
00:14:37:24 00:14:40:24 但在冬天，要的錢就相當多
00:14:41:13 00:14:45:22 一個男人走來說「好吧！現在你需這麽多，把它帶走吧
00:14:45:24 00:14:48:10 跟著你會需要更多，你可以再帶走它
00:14:48:12 00:14:52:07 我不是這樣做，我說︰「夏天是很好的時光
00:14:52:08 00:14:54:15 可以便宜點，為甚麽不把整份買下？
00:14:54:17 00:14:59:24 我把整份買下，整個面積的沙粒
00:15:02:03 00:15:05:13 跟著我去找五金商。
00:15:05:15 00:15:07:17 我說︰「鐵枝又怎麽樣？
00:15:07:24 00:15:10:10 他們說︰「你必須訂購
00:15:10:24 00:15:15:24 若你大量購買，我們可以算便宜點
00:15:16:18 00:15:19:02 你需要支付大量現金。我說︰「好吧
00:15:19:03 00:15:24:03 我訂購。」全都準備好，就像我們準備烹調食物
00:15:24:05 00:15:27:00 所有材料都準備好
00:15:27:02 00:15:29:13 跟著我們需要木材
00:15:29:15 00:15:31:12 他們說︰「木材是來自尼泊爾。」
00:15:31:15 00:15:35:12 我說︰「有沒有來自其他地方？」
00:15:35:15 00:15:37:20 他們說︰「也可以來自其他森林
00:15:37:24 00:15:45:18 我走到一處在印度中部名為Jabalpur的森林
00:15:45:20 00:15:48:20 在那裏訂購木材
00:15:48:24 00:15:52:10 整塊木材被切割，被好好地切割
00:15:52:22 00:15:57:07 在一處拍買會，我購買了大量木材
00:15:58:07 00:16:03:00 我全部都在那裏購買的，我還在那裏購買大理石
00:16:03:03 00:16:06:12 這些大理石從未在任何地方用過
00:16:08:03 00:16:12:08 我說︰「很簡單，這些大理石我可以作任何用途
00:16:12:10 00:16:17:20 我在同一地方購買了林材和大理石
00:16:19:02 00:16:24:15 跟著是勞工，我問我的朋友
00:16:24:17 00:16:30:18 有沒有好的石工技藝的工人
00:16:30:20 00:16:33:12 他們說︰「有，這位很好，那位也很好。
00:16:33:14 00:16:36:15 我召集了他們所有人。我說︰「現在你們可以
00:16:36:16 00:16:40:00 與我一起在這所房子，我會好好的餵食你們
00:16:40:02 00:16:42:10 給你們食物，好好照顧你們
00:16:42:23 00:16:46:12 他們與他們的家庭都安頓好
00:16:47:00 00:16:50:00 我常常都為他們煮食
00:16:50:13 00:16:55:23 因為為他們煮食，我贏得彵們的信任，因此他們樂意為我做任何事
00:16:58:13 00:17:02:10 他們對我很仁慈
00:17:02:12 00:17:07:16 他們會製造新的…他們所知道新的技術
00:17:07:24 00:17:14:07 他們會做一些效果在水泥中的大理石
00:17:15:07 00:17:19:10 他們把各式各樣的工藝都放在那裏
00:17:21:00 00:17:25:11 這所有二十間睡房，五個客廰飯廰的大屋
00:17:25:24 00:17:29:10 只一年時間便建成
00:17:30:12 00:17:34:18 不單這樣，沒有人相信這所房子的造價
00:17:35:24 00:17:40:19 只是建築師所要求的十分之一
00:17:43:00 00:17:45:12 那是好好的被記錄下來，每樣事情都做得那麽好
00:17:45:13 00:17:48:08 因為我不懂會計帳目，所以我是這樣做的
00:17:49:00 00:17:53:12 每一天我會說︰「好吧，今天我拿出這個數額的金錢
00:17:54:10 00:17:58:00 這個金額已經用完了，每天我都把數目記下
00:17:59:00 00:18:02:24 沒有缺少任何一個盧比
00:18:03:24 00:18:07:03 所以沒有人能控告我，也沒有任何問題
00:18:07:05 00:18:10:07 所有建造房子的官員
00:18:10:09 00:18:12:12 都經歷很多問題
00:18:12:15 00:18:16:15 他們的收入要繳稅，這些問題，不曾發生，沒有甚麽發生
00:18:17:23 00:18:21:10 我可以以這樣小的金錢
00:18:21:13 00:18:23:13 去建造一所這樣大的房子
00:18:23:15 00:18:27:00 人們說就算泰姬陵倒塌，這所房子也不會倒塌
00:18:28:10 00:18:30:17 因為我建的地基很好
00:18:30:18 00:18:32:21 我購買的磚塊是那麽便宜，我以很便宜的價錢
00:18:33:00 00:18:37:04 購買了整個磚窯，因為剩下的太多
00:18:37:07 00:18:40:24 我把剩下一半的磚塊出售
00:18:42:20 00:18:45:05 我購買的沙粒
00:18:45:07 00:18:47:24 有一半要出售，因為我不再需要它們
00:18:48:00 00:18:51:20 我以雙倍的價錢出售，因此我用的沙粒是免費的
00:18:54:05 00:18:56:06 在那裏購買的木材
00:18:56:08 00:18:59:03 恰當地鑿刻
00:18:59:09 00:19:01:08 我有一個小水箱
00:19:01:10 00:19:08:15 我把木材放在裏面，令它完全的防水
00:19:08:24 00:19:14:15 我把它拿出來，只用了一半來建造數以百個窗
00:19:14:24 00:19:20:00 以及六十隻門，餘下的我把它們出售
00:19:20:02 00:19:24:20 甚至木屑我也出售，作為木材的燃料
00:19:24:22 00:19:27:24 你看到燃燒的木，你們怎樣稱呼它？
00:19:28:10 00:19:30:19 你可以想像一些木材用來出售
00:19:30:24 00:19:33:02 一些則用來做小屋
00:19:35:12 00:19:37:20 我必須為他們煮食
00:19:37:24 00:19:40:05 我必須照顧他們的舒適
00:19:40:10 00:19:45:20 我為他們準備好毛毯和睡床
00:19:45:24 00:19:47:24 這樣和那樣，所以他們都很快樂
00:19:48:13 00:19:52:00 這就是為甚麽女人可以做到
00:19:52:02 00:19:54:23 每一個人都感到很驚訝，他們找不到我任何錯處
00:19:54:24 00:19:57:00 我的帳目也沒有任何錯處，任何事情都找不到錯處
00:19:57:02 00:20:01:23 我告訴我丈夫的所有朋友，要遠離我五里之外
00:20:06:12 00:20:08:17 因為我丈夫是為首相工作
00:20:09:13 00:20:13:16 人們會說︰「好吧！她必定收了賄賂。」
00:20:13:24 00:20:17:00 事情就是這樣。還有另外一個問題
00:20:17:02 00:20:21:03 他們會走來告訴我︰「這樣不好，那樣不好。」
00:20:21:04 00:20:25:24 我遠離他們，因為他們好爭辯，男人只會爭辯
00:20:27:12 00:20:29:10 女人則會生產成果
00:20:33:00 00:20:36:06 沒有討論，甚麽也沒有,
00:20:36:08 00:20:38:10 我說︰「不需要做甚麽，就讓我來做這工作。」
00:20:38:12 00:20:43:17 與這些人愉快地一起把房子建好
00:20:43:18 00:20:48:22 一所漂亮的房子，我想他們會把它拍下
00:20:49:15 00:20:53:05 你或許可以看到我建的這所房子
00:20:56:03 00:20:59:14 作為一位女霎哈嘉瑜伽士，必須發展自己
00:20:59:15 00:21:02:14 發展這些特別的特質。
00:21:02:20 00:21:05:22 因為她非常富直覺，女人是非常富有直覺
00:21:05:23 00:21:09:07 若她是真正的女人，她常常都很快達至正確的結論
00:21:09:08 00:21:14:08 但若她一半是男人和少部分是女人
00:21:14:10 00:21:17:24 我就不知道她是甚麽種類的人
00:21:19:12 00:21:22:23 所以女人必須是女人，她是很有力量
00:21:23:00 00:21:26:17 像母親大地那樣有力量，母親大地可以容忍各種事物
00:21:27:13 00:21:33:02 她可以付出她最好的
00:21:34:00 00:21:43:00 極之犧牲，極之付出，寛容，有愛心，懂原諒人
00:21:43:23 00:21:49:00 當男人發展了女人的特質，他們便會成為聖人
00:21:52:00 00:21:57:23 不是因為女人這些特質而去追逐她們
00:21:58:08 00:22:00:17 這種荒謬並不存在。
00:22:00:18 00:22:03:13 他們必須是合格的虔敬者(viras)，
00:22:03:15 00:22:07:00 他們必須是直正的人，勇敢的人，
00:22:07:02 00:22:14:24 為此他們必須發展慈悲，寛恕
00:22:19:20 00:22:22:22 在德國卻是相反
00:22:22:24 00:22:25:12 我發覺在西方的霎哈嘉瑜伽士
00:22:25:14 00:22:27:20 也非常普遍的是這樣
00:22:27:22 00:22:31:08 女人發展了可怕的自我
00:22:33:15 00:22:38:03 在印度，婦女工作，她們做各樣的事情
00:22:39:13 00:22:44:05 長久以來，我們都有很偉大，很有名的演說家
00:22:45:10 00:22:50:22 他們沒有自我。我的母親是一位優秀生
00:22:51:00 00:22:53:10 那個年代，只有二至三位女士
00:22:53:12 00:22:55:10 可以做到這個程度
00:22:55:12 00:22:58:24 我從來也沒有見過她有任何自我
00:23:01:00 00:23:04:17 我的女兒，其中一位是從事建築
00:23:06:07 00:23:09:03 也從事室內設計，她現在沒有工作
00:23:09:05 00:23:11:03 因為她的丈夫工作
00:23:11:05 00:23:13:22 但她為別人建房子，為別人畫圖
00:23:13:23 00:23:19:17 自由地幫助別人。她有這樣的朋友
00:23:21:02 00:23:24:00 所以一位女士該有怎樣的成就？
00:23:24:05 00:23:28:06 很多人圍繞著她
00:23:31:10 00:23:33:00 人類的力量
00:23:34:03 00:23:37:07 她有更多人圍繞著她
00:23:38:08 00:23:40:05 男人有怎樣的能耐？
00:23:40:08 00:23:42:23 他們要支付全屋的帳單
00:23:43:00 00:23:49:10 支付保險費，要修理氣車
00:23:49:12 00:23:53:10 就讓他們做這些煩厭的工作
00:23:56:07 00:24:00:03 女人則只去接收來自孩子
00:24:00:05 00:24:02:13 來自丈夫，來自每一個人的愛的信件
00:24:03:00 00:24:07:12 她們被愛護，被照顧
00:24:09:13 00:24:11:12 但因為她們現在變得很男性化
00:24:11:23 00:24:14:02 所以不再擁有這些好處
00:24:14:05 00:24:18:18 就像以前，若她們在巴士上，別人會讓座給她
00:24:18:20 00:24:20:07 現在沒有人會這樣做了
00:24:20:17 00:24:25:09 一次，一位年長的女士旅遊
00:24:25:10 00:24:28:00 有一位年輕人就坐在這裏
00:24:28:03 00:24:30:10 我說︰「你為甚麽不讓座給這位女士？」
00:24:30:12 00:24:31:10 他說︰「為甚麽？
00:24:31:12 00:24:33:22 她穿褲子，我也穿褲子
00:24:33:23 00:24:37:07 她是…一位穿褲子的年長的女士
00:24:37:08 00:24:40:20 他說︰「我為甚麽要讓座給她，她穿褲子
00:24:40:24 00:24:43:20 我也穿褲子，有甚麽分別？
00:24:47:07 00:24:50:00 因為要變成男人，我們失去這些好處和特權
00:24:50:10 00:24:53:15 我們成為男人失去甚麽？
00:24:55:00 00:25:01:00 我們又得到些甚麽？
00:25:01:10 00:25:04:20 實際上相反，我認為在現代
00:25:04:22 00:25:08:17 婦女比過去更加是男人的奴隸
00:25:10:05 00:25:14:00 她們感到很失望。例如一位女霎哈嘉瑜伽士
00:25:15:00 00:25:18:21 當她阻塞得很嚴重，她必定有些問題
00:25:18:24 00:25:21:00 她首先會想
00:25:21:02 00:25:23:08 神啊！我的丈夫會離開我
00:25:23:10 00:25:27:05 他會把孩子帶走，我該怎麽辦？
00:25:27:07 00:25:29:02 她永遠也不會想及霎哈嘉瑜伽。
00:25:30:08 00:25:33:18 我曾經遇見一位不凡的女士，我必須說她是一位真正的女人
00:25:34:13 00:25:37:18 她說︰「母親，因為我有精神分裂症
00:25:37:20 00:25:42:02 所以我要離開霎哈嘉瑜伽，與我的丈夫離婚
00:25:42:20 00:25:44:02 我不想再見我的孩子
00:25:44:03 00:25:47:02 霎哈嘉瑜伽比我，我的丈夫
00:25:47:05 00:25:51:21 我的孩子重要。」
00:25:51:24 00:25:53:14 我說︰「這才是女人。」
00:25:53:15 00:25:55:22 她說︰「我從小已經有精神分裂症，
00:25:56:00 00:25:58:17 現在我發現這病症又再復發
00:25:58:20 00:26:01:03 大部分的婦女都只擔心自己
00:26:01:05 00:26:03:05 「神啊！我必須離開我的丈夫！
00:26:04:08 00:26:07:18 代表她們很依賴她們的丈夫
00:26:08:18 00:26:11:18 我會離開我的孩子
00:26:13:22 00:26:16:24 但離開霎哈嘉瑜伽又怎樣？
00:26:17:18 00:26:20:10 若你認為霎哈嘉瑜伽是最重要的
00:26:20:15 00:26:22:22 也可以把你的精神分裂症治好
00:26:22:23 00:26:26:05 為甚麽神要幫助你？我們都像普通婦女一樣思考
00:26:26:07 00:26:28:15 只擔心自己
00:26:31:02 00:26:34:00 並不擔心霎哈嘉瑜伽
00:26:37:07 00:26:41:07 一些男人也一樣，但男人並不怎樣懼怕
00:26:42:22 00:26:45:18 因為他們以為自己可以獨立
00:26:46:17 00:26:49:00 女人必須知道，她們是霎哈嘉瑜伽士
00:26:49:02 00:26:52:00 作為霎哈嘉瑜伽士，母親會照顧她們
00:26:52:20 00:26:55:12 但若你只擔心自己，只擔心你的丈夫
00:26:55:14 00:27:01:08 你的房子，你的孩子，那麽你便無可救藥
00:27:01:10 00:27:04:10 你不再是女人了，這不是一位好女人的徵兆
00:27:06:05 00:27:10:08 真正的女人愛所有的孩子
00:27:13:05 00:27:16:22 她愛的能耐很大。若她變得吝惜
00:27:18:00 00:27:21:15 變得眼光狹小，她就不是一位真正的女人
00:27:22:23 00:27:24:10 我告訴你有關我的外孫女的事情
00:27:24:12 00:27:27:05 我問她們︰「你們想做些甚麽？」她們還很小
00:27:27:17 00:27:33:24 她們說︰「我們想成為護士或空中服務員
00:27:34:18 00:27:37:02 我問︰「為甚麽？這些職業有何偉大之處？
00:27:38:03 00:27:41:20 她們說︰「祖母，只有這兩種職業可以餵食人。」
00:27:44:10 00:27:47:02 沒有其他職業是可以真正的餵食人
00:27:47:04 00:27:53:00 餵食人的喜樂比在辦公室書寫檔案大得多
00:27:55:15 00:28:00:05 我可以肯定的告訴你，在辦公室書寫檔案是可怕的工作
00:28:05:15 00:28:07:17 還是做一些可愛的烹調工作好
00:28:07:19 00:28:13:00 只要想到有很多人可以喜樂地進食和享受食物
00:28:13:02 00:28:16:10 比做這些厭惡的工作好
00:28:17:17 00:28:20:22 但婦女喪失了她們的頭腦
00:28:20:24 00:28:23:24 她們現在不再頭腦冷靜，變得愚蠢
00:28:26:03 00:28:30:07 在德國，你們必須非常小心
00:28:30:08 00:28:32:00 在奧地利，你們必須非常小心
00:28:32:02 00:28:35:03 奧地利婦女是很偉大的，但我必須向德國婦女說
00:28:35:05 00:28:37:05 不要想成為男人
00:28:37:07 00:28:42:05 首先最佳停止這種想法的方法是不要說太多話
00:28:45:10 00:28:49:18 若你開始像男人一樣說話，所有亡靈便會進入你
00:28:49:20 00:28:52:12 令你像男人一樣說話
00:28:52:18 00:28:55:07 跟著你會看到男人是怎樣被控制
00:28:55:09 00:28:59:17 我們印度婦女比你們更加懂得怎樣控制男人
00:29:02:23 00:29:06:18 但為甚麽我們沒有離婚？為甚麽我們沒有問題？
00:29:06:20 00:29:08:18 我們會吵架，這沒有關係
00:29:08:20 00:29:11:07 我們的男人不會追逐別的女人
00:29:13:13 00:29:17:23 我們不會穿得像…我的意思是不會過份
00:29:18:00 00:29:21:07 我們沒有走到理髮店，我們沒有這些美容輔助
00:29:23:08 00:29:25:22 沒有這些，所以要發展你的自尊
00:29:25:24 00:29:30:07 你們是Shakti，你們是力量
00:29:32:03 00:29:35:20 若你令你的男人漠不關心，你們可以有怎樣的孩子？
00:29:35:22 00:29:40:08 同樣是漠不關心。尊敬他們
00:29:41:03 00:29:43:22 令他們成為真正的男人，享受他們的男子氣概
00:29:45:13 00:29:49:00 那麽他們便永遠不會離棄你
00:29:50:07 00:29:52:15 兩者之間並沒有任何競爭
00:29:54:07 00:29:57:18 我發現德國現在的主要問題是
00:29:57:20 00:30:00:17 婦女失去了她們的意識
00:30:00:19 00:30:04:22 我完全感到德國婦女是這樣的
00:30:07:00 00:30:13:15 就像在音樂方面，在藝術方面，在很多其他範疇上
00:30:13:17 00:30:19:12 但在今天，誰人仍會被記著？就像在這裏，誰人還會被人記著？
00:30:19:13 00:30:24:02 一位音樂家，莫札特，每一個人都記得莫札特
00:30:24:04 00:30:28:10 甚至是一片巧克力，你也可以找到莫札特
00:30:30:05 00:30:33:22 我不知道這可憐的傢伙有沒有吃過巧克力
00:30:37:03 00:30:43:00 又或他們還記得，他們有米開朗基羅
00:30:43:02 00:30:48:13 或他們有Leonardo da Vinci，或類似的人物
00:30:52:00 00:30:56:00 沒有人還記得那時有那位官員
00:30:57:05 00:30:59:07 上上下下的拿著檔案跑
00:31:06:02 00:31:10:22 婦女擁有一些永恆的價值
00:31:11:07 00:31:12:17 她們必須發展這些價值
00:31:12:19 00:31:16:12 婦女最偉大的是愛心，愛心和愛心
00:31:16:14 00:31:18:18 當她變得自私，自我中心
00:31:18:20 00:31:23:02 開始擔心自己，她的愛便毫不漂亮
00:31:25:22 00:31:28:00 今天，我特別說出這些事情
00:31:28:02 00:31:31:00 因為今天你向我的卡提凱基形相敬拜
00:31:33:18 00:31:37:00 卡提凱亞是帕娃蒂(Parvati Umar)的兒子
00:31:44:13 00:31:50:12 她是兩位孩子，格涅沙和卡提凱亞，的母親
00:31:53:15 00:32:04:08 一天，作為父母的商揭羅(Shankara)和帕娃蒂說︰
00:32:04:10 00:32:13:17 你們兩人誰可以最先繞著母親大地走一圈
00:32:14:00 00:32:17:24 便可以得到一份特別的獎品。」，
00:32:20:00 00:32:27:05 卡提凱亞完全擁有，男子的力量
00:32:27:07 00:32:32:13 祂說︰「好吧，我以我的坐騎開始。」
00:32:32:24 00:32:36:03 那是一隻孔雀。格涅沙則對自己說︰
00:32:36:05 00:32:38:17 看看我，我是一個小孩
00:32:39:10 00:32:44:17 我不像祂，我的坐騎是一隻小老鼠
00:32:44:18 00:32:48:22 我可以怎麽樣？」跟著祂想
00:32:50:03 00:32:54:10 我的母親是高於全宇宙
00:32:54:15 00:32:57:13 這母親大地又算甚麽呢？」
00:32:57:24 00:33:02:07 卡提凱亞跑出去，圍繞著母親大地走
00:33:03:10 00:33:06:08 而格涅沙則圍繞著祂的母親轉了三圈
00:33:07:03 00:33:10:10 得到了獎品
00:33:12:03 00:33:16:05 對祂來說，母性的特質是最高的
00:33:16:07 00:33:19:03 甚至高於至高濕婆神
00:33:21:17 00:33:24:24 但很驚訝，至高濕婆神也很喜愛祂這樣
00:33:25:07 00:33:28:20 祂很喜歡你尊敬你的母親
00:33:29:22 00:33:31:24 尊敬在你之內的母性
00:33:32:18 00:33:39:10 神只會住在一處婦女值得尊重
00:33:39:12 00:33:41:17 和被尊敬的地方
00:33:42:15 00:33:44:10 女人是非常重要的
00:33:44:11 00:33:46:19 當然，我必須譴責西方的男人
00:33:46:20 00:33:49:00 他們不好好對待婦女，
00:33:49:10 00:33:53:02 令她們遠離宗教，還常常羞辱她們
00:33:53:04 00:33:55:00 在印度，有些穆斯林也是這樣
00:33:55:05 00:33:58:20 他們是非常世故的侵略者
00:33:58:21 00:34:02:15 他們都很壞，他們羞辱所有人
00:34:02:16 00:34:04:24 沒有關係，
00:34:06:00 00:34:13:00 你們仍然要寛恕他們，嘗試成為一位真正的女人
00:34:13:05 00:34:20:20 非常有力量，婦女的力量是愛
00:34:21:00 00:34:27:15 是神的力量，要運用這愛的力量
00:34:27:18 00:34:31:20 比運用其他好爭辯的理性主義好，那些全是謬誤
00:34:32:17 00:34:34:15 不要這樣浪費你的精力。
00:34:34:24 00:34:38:15 我希望，特別是在德國的女霎哈嘉瑜伽士
00:34:40:02 00:34:43:00 變得越來越像貴婦般雍容
00:34:43:23 00:34:48:07 這不單指有好的廚藝，而是指對生命的態度
00:34:50:00 00:34:53:00 以更闊的層面去想
00:34:54:10 00:34:58:08 整個霎哈嘉瑜伽依靠我們愛的容量
00:34:58:10 00:35:02:03 我們要極之有愛心，極之仁慈
