00:02:22:23 00:02:27:06 今天我們敬拜的毗濕奴摩耶
00:07:35:20 00:07:40:15 要明白我們內裏貞操的意義
00:07:41:01 00:07:44:03 我們必須知道貞操是所有
00:07:44:09 00:07:46:00 正法的根基
00:07:46:09 00:07:48:18 除非你有貞操這觀念
00:07:49:01 00:07:50:15 你不能有正法
00:07:51:03 00:07:54:04 不可能有正法，因為這就是根基
00:07:54:12 00:07:56:18 就像用紙牌搭成的房子
00:07:57:01 00:08:00:17 若沒有貞操為根基
00:08:01:00 00:08:03:23 便會馬上倒塌
00:08:04:18 00:08:07:12 所以貞操是非常重要的
00:08:07:18 00:08:10:03 但在西方，貞操卻受挑戰
00:08:10:07 00:08:12:09 這就是我為甚麽說
00:08:12:14 00:08:14:18 要把貞操的種子栽種在這國國家是非常困難的
00:08:15:00 00:08:16:06 這是必然發生的
00:08:16:12 00:08:19:14 我視必定有某些上天的計劃
00:08:19:18 00:08:23:01 所以這個偉大的崇拜
00:08:23:06 00:08:24:06 現在就在這裏進行
00:08:24:12 00:08:26:03 這不是容易的崇拜
00:08:26:07 00:08:28:09 必須由純真的
00:08:28:20 00:08:31:20 過著很虔誠的生活
00:08:32:01 00:08:33:15 非常貞潔
00:08:33:22 00:08:35:14 尊重自己的貞操的人所作的
00:08:35:18 00:08:37:01 現在，因為你們都是聖人
00:08:37:07 00:08:41:08 在你們面前的所有事物都是純真和美好的
00:08:41:12 00:08:44:14 因為你們現在都過著聖潔的生活
00:08:44:18 00:08:48:15 你的貞操因此被喚醒
00:08:48:20 00:08:52:09 貞操以哥維的形相，即你的靈量在你身上運作
00:08:52:21 00:08:57:22 說到聖潔人生的精粹
00:08:58:04 00:09:02:06 聖潔的人生，霎哈嘉瑜伽的人生都是貞潔
00:09:04:17 00:09:06:06 你不能把它多樣化
00:09:07:03 00:09:10:14 貞潔給你分際maryadas
00:09:10:20 00:09:12:04 即界限
00:09:17:20 00:09:19:09 (那些坐在旁邊的
00:09:19:12 00:09:21:09 為甚麽不坐下來？往前走，前面比較好
00:09:21:12 00:09:23:06 你不是在做崇拜，
00:09:23:12 00:09:25:09 若你在做崇拜，你應該坐在這裏
00:09:25:12 00:09:27:04 不然，坐下來
00:09:27:09 00:09:29:00 在這裏接受我的生命能量
00:09:29:04 00:09:31:12 在前面，這裏，來吧。)
00:09:34:00 00:09:39:24 貞潔令你有分際(maryadas)，
00:09:40:07 00:09:41:21 有界線
00:09:42:05 00:09:43:22 它是怎樣給你界線？
00:09:44:14 00:09:48:10 就像…天空中有閃電
00:09:49:01 00:09:52:15 當兩片雲相遇
00:09:53:01 00:09:55:03 我們可以說像霎哈嘉瑜伽士
00:09:55:10 00:09:59:14 來自海洋
00:10:00:12 00:10:07:01 純潔的水在雲內
00:10:09:12 00:10:12:01 它們必須
00:10:12:09 00:10:14:24 傾瀉而下
00:10:16:06 00:10:20:10 當雲越來越接近，
00:10:21:03 00:10:23:17 超越了它們的自我的界限
00:10:23:21 00:10:27:21 或互相爭鬥，或互相碰撞
00:10:28:06 00:10:31:18 這貞潔
00:10:32:00 00:10:34:07 閃電便會發生
00:10:34:17 00:10:38:11 閃電說︰
00:10:38:14 00:10:41:18 你錯了，你們為甚麽爭鬥？
00:10:42:00 00:10:44:06 為甚麽超越彼此自我的界線？」
00:10:44:12 00:10:46:01 這是姊妹的工作
00:10:46:09 00:10:48:14 昨天我們有很多姊妹
00:10:48:21 00:10:51:12 姊妹的工作不是偏袒任何一方
00:10:52:01 00:10:54:18 而是要顯示若你超越了
00:10:55:00 00:10:56:06 手足之情的界線
00:10:56:14 00:10:59:10 便會有閃電
00:11:00:01 00:11:03:04 閃電是
00:11:03:20 00:11:07:06 錫呂‧克里希納其中一種力量
00:11:07:14 00:11:09:20 但祂卻把祂這個力量拿走
00:11:10:20 00:11:13:18 這就是為甚麽祂變成那麽甜美
00:11:15:15 00:11:18:06 那麽溫和的一位降世神祇
00:11:18:12 00:11:19:12 祂把這力量拿走
00:11:19:17 00:11:21:07 祂說︰「現在你已經成為我的姊妹
00:11:21:12 00:11:25:23 每一次若他們行為不當，你就要去解決
00:11:26:06 00:11:31:03 這就是錫呂‧克里希納為何變得這樣溫和
00:11:31:12 00:11:34:17 正如他們所說的，祂是一位浪漫的降世神祇
00:11:35:17 00:11:38:07 因為祂把祂姊妹的力量拿走
00:11:38:20 00:11:40:01 祂已經解決了
00:11:40:01 00:11:42:19 她常常都與祂一起
00:11:42:23 00:11:43:24 與祂一起工作
00:11:44:07 00:11:46:02 因為在家庭中
00:11:46:09 00:11:48:19 姊妹要看到兄弟不會互相對抗
00:11:49:05 00:11:50:21 姊妹照顧得他們很好
00:11:51:04 00:11:53:16 讓他們不受任何人挑戰
00:11:53:21 00:11:55:23 她令他們有分際
00:11:56:02 00:12:00:01 令他們知道自己的言行舉止的界線
00:12:00:05 00:12:02:01 這是非常重要的我們要明白
00:12:02:07 00:12:05:16 佛洛依德和所有荒唐的人
00:12:06:07 00:12:10:16 帶來甚麽理論
00:12:10:23 00:12:17:16 去挑戰毗濕奴摩耶
00:12:19:05 00:12:26:05 我們因此有著各種各樣的可笑關係
00:12:26:10 00:12:28:13 那是不可能的，
00:12:28:23 00:12:30:04 是錯誤的
00:12:30:10 00:12:33:18 現在，若兄弟姊妹之間
00:12:34:21 00:12:38:10 有著這種關係
00:12:38:21 00:12:43:02 一個家庭的七代
00:12:43:08 00:12:46:12 都會受可怕的疾病折磨，七代！
00:12:49:24 00:12:53:19 但若有像佛洛依德類型的關係發生
00:12:53:24 00:12:58:04 那麽，十四代的人便會受苦
00:12:59:09 00:13:03:18 因此，毗濕奴摩耶的限制的力量是這樣的
00:13:03:24 00:13:07:17 在你們內裏的毗濕奴摩耶
00:13:08:07 00:13:10:09 純潔力量的指引下
00:13:10:17 00:13:12:18 你的自我受控制，你的超我受控制，
00:13:12:24 00:13:17:15 你的家庭受控制，
00:13:18:07 00:13:20:18 每一個人都受控制
00:13:22:04 00:13:24:06 最傷感的是
00:13:24:10 00:13:25:23 在所有西方國家，
00:13:26:03 00:13:29:15 毗濕奴摩耶病倒了，絕對是病倒了
00:13:30:01 00:13:32:04 我的意思是我失去了聽覺
00:13:32:10 00:13:34:13 直至這一點，
00:13:34:23 00:13:36:04 它來到左邊
00:13:36:09 00:13:41:15 因為完全缺乏貞潔的觀念
00:13:42:23 00:13:44:23 我們要忘記那些
00:13:45:07 00:13:49:02 完全沒有這觀念的人，但我們是霎哈嘉瑜伽士
00:13:49:12 00:13:52:09 在正確的事情上，我們必須說
00:13:52:16 00:13:56:18 很多人仍然有一些揮之不去的荒唐念頭
00:13:57:01 00:14:00:02 像「我與這個男士有份很好的友情。」
00:14:00:12 00:14:03:01 或「我與某個男士很友好。」
00:14:03:07 00:14:04:07 所有這些
00:14:04:12 00:14:06:05 都沒有分際
00:14:06:24 00:14:12:13 你不能…男女之間不能有友情
00:14:12:16 00:14:16:06 你們不能，這是絕對荒謬的
00:14:16:10 00:14:18:12 在西方，整個文化都是很滑稽可笑的
00:14:18:15 00:14:20:09 因為若你到晚宴，
00:14:20:12 00:14:22:06 你會被安排坐在
00:14:22:13 00:14:24:15 別人的丈夫中間,很可怕
00:14:25:09 00:14:28:07 在東方，不會這樣
00:14:29:15 00:14:32:15 因為毗濕奴摩耶是反對這些事情，
00:14:32:21 00:14:36:10 她要看到丈夫與妻子是坐在一起
00:14:38:15 00:14:41:15 你們都知道在這裏，
00:14:41:23 00:14:43:04 貞潔遺失了
00:14:43:07 00:14:45:07 因此我們的左喉輪有阻塞
00:14:45:16 00:14:48:09 當我越談論它，它阻塞得越多
00:14:49:13 00:14:51:04 現在當你說你沒有內疚
00:14:51:09 00:14:54:04 你實際是向毗濕奴摩耶承認
00:14:54:10 00:14:55:10 向你自己的姊妹說︰
00:14:55:16 00:14:58:23 我沒有內疚
00:14:59:02 00:15:02:04 因為祂不喜歡你有內疚
00:15:02:09 00:15:04:15 妻子或許希望你有內疚
00:15:04:18 00:15:06:16 她或許希望你必須有內疚
00:15:06:24 00:15:09:07 因為她以為她的力量受挑戰
00:15:09:13 00:15:13:06 有人是她的對手
00:15:13:13 00:15:17:04 但不是，不是毗濕奴摩耶
00:15:17:09 00:15:19:23 姊妹沒有這樣說
00:15:20:06 00:15:24:01 但兄弟與姊妹永遠都不是朋友
00:15:25:02 00:15:27:01 現在我們一起坐在這裏，
00:15:27:06 00:15:31:09 像這樣，在任何團體他們是兄弟姊妹
00:15:31:20 00:15:35:01 他們知道他們是兄弟姊妹，
00:15:35:10 00:15:37:04 他們不會纏著任何一個人
00:15:37:09 00:15:38:15 他們不會只與一個人交談
00:15:38:20 00:15:41:13 也不會只與一個姊妹友好
00:15:42:02 00:15:45:18 就像有一次，我們與這些基督徒有一個遊樂會
00:15:45:24 00:15:48:10 我記得我那時
00:15:48:16 00:15:52:18 有最少三十位表兄和四五位兄弟
00:15:53:21 00:15:55:21 我們到達會場
00:15:56:01 00:15:57:12 在印度基督徒中
00:15:57:18 00:16:01:21 我們有來自不同階層的基督徒
00:16:02:04 00:16:06:09 有一些聲名狼藉的人
00:16:06:13 00:16:08:20 對我們有些評語
00:16:09:01 00:16:10:21 我的意思是對姊妹們
00:16:11:24 00:16:13:15 我們不知道我們有這麽多表兄弟
00:16:13:23 00:16:17:01 他們全都走出來，就像魔術盒
00:16:17:10 00:16:21:09 他們接管，開始揍打這些男孩
00:16:21:15 00:16:24:03 那時我們才知道我們擁有這麽多表兄弟
00:16:24:07 00:16:25:15 不然，我們永遠不會知道
00:16:25:18 00:16:28:01 他們在某處，並沒有與我們說太多話
00:16:28:06 00:16:30:10 我們在自己之間，在朋友之間交談
00:16:30:15 00:16:32:04 我們女孩子也互相說話
00:16:32:09 00:16:34:07 忽然我們發覺我們有那麽多表兄弟
00:16:34:12 00:16:36:24 和兄弟，那是很驚訝的
00:16:37:07 00:16:39:10 我們應該有很多表兄弟，
00:16:39:17 00:16:40:12 他們立即跳出來
00:16:40:17 00:16:43:07 保護他們的
00:16:43:17 00:16:45:20 姊妹的貞潔
00:16:45:23 00:16:48:24 因為她是他們貞潔的根基
00:16:50:09 00:16:54:20 通常你們不會與兄弟說太多話
00:16:55:09 00:16:58:20 又或你的兄弟與你說太多話
00:16:59:07 00:17:00:10 你不會與他們太友善
00:17:00:13 00:17:03:18 當有困難時，當在分際上
00:17:03:24 00:17:09:01 當要詢問
00:17:09:07 00:17:11:23 有關家庭中需要珍惜的事情時,姊妹便會來
00:17:12:18 00:17:14:14 最近我的弟弟，最小的弟弟
00:17:14:18 00:17:15:15 寫了一封信給我
00:17:15:20 00:17:17:14 因為家中出了些問題
00:17:17:20 00:17:22:00 現在我母親不在，通常姊妹處理較好
00:17:22:06 00:17:26:20 因為她比母親較有空
00:17:26:23 00:17:28:14 母親為家庭很忙碌
00:17:28:17 00:17:30:04 工作得很忙碌，你也知道她在做甚麽
00:17:30:09 00:17:33:08 所以有這種姊妹的感覺是非常重要的
00:17:33:15 00:17:37:23 現在試想像我們的左喉輪是很差
00:17:43:22 00:17:45:11 當然
00:17:45:17 00:17:47:20 因為我們從不關心我們的貞操
00:17:48:03 00:17:50:17 不尊重我們的貞操
00:17:51:05 00:17:53:05 在印度不是這樣
00:17:53:11 00:17:58:00 男女都非常尊重他們的貞操
00:17:58:10 00:18:01:03 我曾經問過那些到外國的男孩
00:18:01:10 00:18:03:19 他們說︰「我們雖然像他們一樣做著錯事
00:18:03:24 00:18:06:14 但我們卻都知道
00:18:06:24 00:18:08:10 自己在做著錯事
00:18:08:13 00:18:09:10 我說︰「怎會這樣？」
00:18:09:14 00:18:12:08 他們說︰「這就像姊妹般的關係。」
00:18:15:13 00:18:19:02 但現在我可以說，印度的男子
00:18:19:06 00:18:20:13 已經變得像你們一樣
00:18:20:19 00:18:23:20 他們已經喪失了保持貞操的力量
00:18:24:05 00:18:26:16 男人必須尊重他們的貞操
00:18:27:06 00:18:31:13 因為他們以為自己不欠甚麽貞操
00:18:32:05 00:18:38:16 若你的靈性存在的根基
00:18:39:02 00:18:41:20 不再存在，你便會很快垮倒
00:18:43:08 00:18:45:06 為此我曾多次說︰
00:18:45:11 00:18:49:10 把你的注意力放在大地之母，那青綠的
00:18:49:19 00:18:50:24 青綠是那顏色
00:18:51:03 00:18:53:02 若你把注意力放在這裏
00:18:53:08 00:18:57:05 你便可以
00:18:57:16 00:19:01:10 從這些錯誤中抽身而出
00:19:01:13 00:19:03:03 你們常犯通姦罪
00:19:03:22 00:19:05:10 常看著別人的姊妹，
00:19:05:16 00:19:08:14 別人的妻子，別人的女兒
00:19:09:22 00:19:11:02 所以現在要
00:19:11:07 00:19:13:19 表達的關係，你們都知道
00:19:13:24 00:19:18:10 作為女兒、
00:19:19:07 00:19:22:24 姊妹和母親都是非常
00:19:23:10 00:19:27:02 非常純潔的關係
00:19:28:23 00:19:33:12 那麽…例如你用腦過多
00:19:33:18 00:19:36:20 為甚麽是心輪有阻塞？你有沒有想過怎會這樣？
00:19:37:03 00:19:42:00 為甚麽在你運用右脈過多時，你的心輪會阻塞？
00:19:47:01 00:19:50:09 甚麽原因你的心輪會有阻塞？
00:19:50:17 00:19:53:04 你們必須明白這些，同樣
00:19:53:20 00:19:59:18 就如濕婆神與毗濕奴的關係
00:20:01:03 00:20:07:01 首先，毗濕奴的妻子是濕婆神的妹妹
00:20:09:00 00:20:09:23 那麽
00:20:10:04 00:20:13:18 誰是濕婆神的妺妹？
00:20:15:00 00:20:17:11 濕婆神的妹妹是莎娃斯娃蒂
00:20:17:21 00:20:21:01 若你運用莎娃斯娃蒂過多
00:20:21:15 00:20:22:23 因為分際心輪便有阻塞
00:20:27:04 00:20:29:14 這就是近親通婚
00:20:29:20 00:20:31:20 怎樣藉由姊妹的關係
00:20:32:03 00:20:37:04 而保持你們輪穴的分際
00:20:38:12 00:20:39:18 若你超越它
00:20:40:00 00:20:41:22 你會忽然偏左或偏右
00:20:42:01 00:20:44:15 因為你超越了分際
00:20:45:24 00:20:48:17 這種姊妹親密的關係
00:20:48:24 00:20:51:20 在其他降世神祇也有
00:20:51:24 00:20:53:18 像穆罕默德與
00:20:54:10 00:20:56:17 實際上
00:20:57:14 00:21:04:09 我們要說的是
00:21:04:22 00:21:07:15 祂的姊妹是阿里(Ali)的妻子
00:21:07:19 00:21:10:23 但她卻以祂的女兒的身分出生
00:21:12:06 00:21:16:22 所以她們可以以女兒或姊妹的身分出生
00:21:17:09 00:21:20:11 她以那納克(Nanaka)的妹妹，即Nanaki的身分出生
00:21:21:22 00:21:25:06 她以穆罕默德的女兒的身分出生
00:21:25:12 00:21:31:08 所以她可以是
00:21:32:14 00:21:36:15 降世神祇的姊妹或女兒
00:21:36:23 00:21:43:05 因為女兒或姊妹是純真的，純潔的貞操
00:21:44:17 00:21:47:09 現在試想想
00:21:47:14 00:21:53:23 那些不能明白貞潔的重要的人
00:21:54:15 00:21:59:09 他們怎能談論任何法律？
00:22:02:06 00:22:05:09 因為法律即分際
00:22:06:17 00:22:10:23 藉由毗濕奴摩耶的力量
00:22:11:23 00:22:14:11 法律才有正當的意義
00:22:15:17 00:22:19:22 你或許會說，偷竊是不正當的
00:22:22:12 00:22:27:08 因為那是別人的東西
00:22:27:23 00:22:29:23 是誰告訴你？
00:22:30:09 00:22:33:15 誰告訴你這是錯的？
00:22:33:19 00:22:35:21 當然，有警察，
00:22:36:02 00:22:37:15 但誰這樣告訴你？
00:22:37:23 00:22:39:09 是制訂法律的人
00:22:40:04 00:22:43:15 但扮演無意識的這一部分卻是毗濕奴摩耶
00:22:44:09 00:22:47:24 因為當你偷竊，你感到內疚(guilty)
00:22:49:16 00:22:52:15 法律也有「有罪」(guilty)這字句
00:22:53:05 00:22:57:19 內疚來自左脈，來自毗濕奴摩訶
00:23:02:05 00:23:06:07 所以有貞操的觀念是何等重要
00:23:06:24 00:23:08:24 我們都是分裂的人
00:23:09:04 00:23:11:24 道德上貞潔的人
00:23:12:04 00:23:14:09 未必在物質上貞潔
00:23:15:16 00:23:18:01 物質上貞潔的人
00:23:18:07 00:23:20:13 也未必道德上貞潔
00:23:22:12 00:23:24:09 首先要有道德上的貞潔
00:23:24:13 00:23:25:19 這是非常重要的
00:23:25:21 00:23:27:04 因為那是天生的
00:23:27:12 00:23:35:18 若你道德上的貞潔得到完美的滋潤
00:23:36:12 00:23:41:24 那麽物質上的貞操便自動會來
00:23:42:18 00:23:44:13 但兩者的意義都是相同的
00:23:45:02 00:23:49:02 在霎哈嘉瑜伽，無論你是金錢上欺騙別人
00:23:49:12 00:23:51:12 或是道德上欺騙別人
00:23:51:16 00:23:53:05 你的左喉輪都會有阻塞
00:23:53:12 00:23:57:09 問題從左喉輪開始
00:23:57:20 00:24:01:09 例如某人想在霎哈嘉瑜伽作出欺騙行為
00:24:01:16 00:24:04:07 想拿走霎哈嘉瑜伽的錢財或
00:24:04:13 00:24:05:12 做些類似的事情
00:24:05:19 00:24:08:24 他的左喉輪馬上便會有阻塞
00:24:09:10 00:24:11:24 當他的左喉輪有阻塞
00:24:12:15 00:24:14:13 他的行為便開始古怪
00:24:14:20 00:24:16:05 他的阻塞便會顯現出來
00:24:16:15 00:24:18:14 若你不道德，
00:24:18:19 00:24:20:17 你的左喉輪也會有阻塞
00:24:20:23 00:24:25:03 內疚是來自這裏
00:24:26:00 00:24:29:19 對母親犯下的罪孽(sin)可能也是一種侮辱
00:24:30:00 00:24:32:01 無論如何也會回報給母親
00:24:32:08 00:24:35:23 很多人有一個習慣，我曾經見過，他們說︰
00:24:36:11 00:24:37:11 不，母親
00:24:37:20 00:24:40:14 「不」是永遠不能說的
00:24:41:00 00:24:42:06 因為若你說「不」
00:24:42:11 00:24:44:15 代表你偏向左喉輪
00:24:45:01 00:24:49:17 毗濕奴摩訶力量不會容忍你
00:24:49:20 00:24:51:00 對任何事情的「不」
00:24:51:03 00:24:54:09 很多人習慣這樣說︰「不，母親。」
00:24:55:08 00:24:56:14 不可以這樣做
00:24:56:19 00:25:00:17 當你的左喉輪有阻塞
00:25:01:01 00:25:03:15 你的左邊的所有輪穴便會變弱
00:25:03:20 00:25:07:14 因為貞潔變得衰弱，
00:25:08:09 00:25:10:00 貞潔是所有輪穴的根基
00:25:10:19 00:25:12:17 所以要明白左喉輪的價值
00:25:13:00 00:25:18:15 是非常重要的
00:25:19:08 00:25:20:20 你們全部人的左喉輪都有阻塞
00:25:21:01 00:25:25:00 我們卻不認為這有何重要
00:25:25:04 00:25:26:15 我們說︰「啊！左喉輪有阻塞。」
00:25:26:20 00:25:27:17 代表「我感到內疚。」
00:25:27:22 00:25:30:19 我們不明白，「我做了些甚麽？
00:25:30:22 00:25:33:23 我超越了界限，這就是為甚麽這樣顯示出來
00:25:35:14 00:25:38:12 我忽視了某種道德規範
00:25:38:19 00:25:42:01 我走入了一條對抗父母的道路
00:25:42:08 00:25:45:22 我的左喉輪因此有阻塞
00:25:46:01 00:25:50:14 左喉輪是過失
00:25:51:01 00:25:53:14 錯誤和罪孽的指標
00:25:53:22 00:25:56:05 我們負擔不起左喉輪有阻塞
00:25:56:14 00:25:59:12 霎哈嘉瑜伽士負擔不起左喉輪有阻塞
00:25:59:19 00:26:02:08 他們還吸煙，吸食各式各樣的東西
00:26:02:19 00:26:04:08 來增添自己的麻煩
00:26:05:09 00:26:10:06 在印度，他們吸食一種稱為tamakhu的植物
00:26:10:14 00:26:14:20 那是一種葉子，一種煙葉
00:26:15:06 00:26:19:17 他們以為自己並無犯錯
00:26:19:23 00:26:22:00 但他們的左喉輪卻有阻塞
00:26:22:06 00:26:26:05 左喉輪是你
00:26:26:15 00:26:30:09 各種問題的門戶
00:26:30:22 00:26:34:17 所以要小心，不要對任何事感到內疚
00:26:35:24 00:26:38:16 此外，那是非常的惡毒…很大的惡毒的循環
00:26:38:22 00:26:41:15 例如，某人做了一些錯事
00:26:42:18 00:26:47:10 我已經決定
00:26:47:14 00:26:49:19 無論他喜不喜歡，我都會當面對他說
00:26:50:00 00:26:51:22 「這是錯的。」當然
00:26:52:02 00:26:55:10 若他們不明白我說甚麽
00:26:55:16 00:26:58:22 我亦會玩一些把戲，到了某一程度
00:26:59:08 00:27:02:22 我會告訴他們︰「現在你們還是離去吧
00:27:03:02 00:27:05:02 你不能再在我的身體裏
00:27:05:10 00:27:07:02 我把他們拋離霎哈嘉瑜伽
00:27:07:06 00:27:08:13 當他們離開霎哈嘉瑜伽
00:27:08:20 00:27:10:04 至少我不會再頭痛
00:27:11:06 00:27:13:04 現在我看到的是
00:27:13:10 00:27:18:12 當這負面力量開始行動
00:27:18:23 00:27:22:10 人們不單不是面對它，面對這些錯誤，「我是錯的
00:27:22:15 00:27:24:23 我不應這樣做，我做了這些錯事
00:27:25:06 00:27:27:06 還作出辯解
00:27:27:13 00:27:28:24 當你開始辯解
00:27:29:07 00:27:35:24 你的左喉輪變得膨脹，大大的腫塊
00:27:36:13 00:27:39:10 不可能得到醫治
00:27:39:15 00:27:41:13 得到清潔
00:27:41:21 00:27:43:14 所以人們開始辯解︰
00:27:43:21 00:27:45:24 我為甚麽這樣做，為甚麽那樣做
00:27:46:05 00:27:48:16 一旦說︰「這是錯的」就是錯的
00:27:49:02 00:27:49:24 要接受
00:27:50:05 00:27:51:24 好吧，下一次我不會這樣做，我非常非常抱歉
00:27:52:05 00:27:54:03 說抱歉看來對霎哈嘉瑜伽士
00:27:54:08 00:27:58:03 特別是西方的霎哈嘉瑜伽士
00:27:59:00 00:28:00:03 是非常困難的字句
00:28:00:08 00:28:02:14 一些印度的霎哈嘉瑜伽士也會說
00:28:02:19 00:28:05:00 對不起，我深感抱歉
00:28:05:08 00:28:08:07 印度霎哈嘉瑜伽士從不感到內疚是好的
00:28:08:14 00:28:13:14 但他們卻從不說「對不起」，所以都是一樣
00:28:17:22 00:28:19:22 我們現在要明白
00:28:20:01 00:28:22:06 當你犯錯
00:28:22:12 00:28:25:01 你是人類，人類會犯錯
00:28:25:08 00:28:27:00 上天則只會原諒
00:28:27:08 00:28:29:12 你必須知道你犯了錯
00:28:29:20 00:28:33:08 若你不停的辯解，但肯定的是
00:28:33:11 00:28:36:01 你不明白神知道一切
00:28:38:08 00:28:41:12 若祂說︰「你犯了錯。」這就是錯的
00:28:42:23 00:28:44:17 你怎能挑戰，怎能說︰
00:28:44:23 00:28:46:18 這是我這樣做的原因，這就是原因
00:28:46:23 00:28:49:00 這是人們需要明白的
00:28:49:12 00:28:51:15 因為這是電磁的力量
00:28:51:18 00:28:53:18 你必須明白，它令你震盪
00:28:54:11 00:28:56:07 它震動你
00:28:56:22 00:28:59:22 跟著你知道︰「我犯錯了。」
00:29:00:00 00:29:02:20 所以不要為自己製造震盪
00:29:03:12 00:29:04:23 不要作出
00:29:05:03 00:29:07:23 最終令你震動的言行
00:29:08:11 00:29:11:12 當然，母親的力量是那麽寛恕
00:29:11:23 00:29:15:00 至高濕婆神的力量是那麽寛恕
00:29:15:04 00:29:17:00 你獲准，再獲准
00:29:17:06 00:29:20:22 再獲准一段時間內，繼續做你正在做的錯事
00:29:21:03 00:29:23:14 但已經告訴了你
00:29:23:19 00:29:25:23 已經向你解釋了這是錯的
