00:03:31:03 00:03:36:22 我認為這是一個很難得的機會
00:14:13:24 00:14:14:22 除此之外
00:14:14:22 00:14:19:16 這個軸心令
00:14:19:16 00:14:24:07 各星球和各個在宇宙間移動的物體保持恰當的距離
00:14:24:16 00:14:29:00 這個軸心是母親大地的聰明才智
00:14:30:16 00:14:35:02 不單是聰明，還是芬芳
00:14:35:13 00:14:39:22 除此之外，它是中脈(sushumna nadi)
00:14:39:22 00:14:42:00 你可以說，母親大地的中脈
00:14:42:11 00:14:46:11 透過這個軸心，一切的天然聖石(swayambhus)
00:14:46:19 00:14:51:13 一切的地震
00:14:51:13 00:14:53:11 因此發生
00:14:53:19 00:14:56:05 軸心在移動
00:14:56:11 00:14:59:07 它是能量，我們可以稱這軸心為能量
00:14:59:21 00:15:04:04 它令熔岩流向不同方向
00:15:04:20 00:15:12:05 穿越不同區域令地震產生
00:15:12:12 00:15:15:01 也令
00:15:19:20 00:15:22:17 火山，火山
00:15:23:01 00:15:28:17 所有這一切的發生都是因為軸心
00:15:28:17 00:15:29:23 知道甚麽該做
00:15:30:07 00:15:33:01 這軸心愛我們
00:15:33:12 00:15:36:12 因為這軸心
00:15:36:20 00:15:38:17 我們有四季
00:15:38:17 00:15:42:09 它創造漂亮的季節令我們有多樣化
00:15:42:09 00:15:45:11 不同種類的食物
00:15:45:11 00:15:47:23 多樣化的事物
00:15:48:18 00:15:52:23 若母親大地的熱力消失
00:15:53:04 00:15:56:12 地球便甚麽也沒有
00:15:56:12 00:16:01:04 全都凍結了，大雪紛飛
00:16:01:18 00:16:04:01 我們便沒有食物，甚麽也沒有
00:16:04:08 00:16:07:00 就像居住在月球一樣
00:16:07:20 00:16:10:04 特別被創造的是
00:16:11:01 00:16:14:03 首先是母親大地
00:16:14:15 00:16:17:01 當它透過太陽的熱力被創造
00:16:18:09 00:16:21:20 我們因此可以說太陽是母親大地的父親
00:16:22:06 00:16:26:01 跟著太陽被帶到接近月球
00:16:26:14 00:16:29:03 它因此冷卻，完全的冷卻
00:16:29:03 00:16:30:17 並鋪滿了雪
00:16:30:23 00:16:34:15 之後它被帶到接近太陽
00:16:34:22 00:16:37:12 帶到生命可以開始
00:16:37:12 00:16:40:06 運作的位置
00:16:40:12 00:16:43:17 這就是整個事件怎樣的漂亮的統籌
00:16:44:00 00:16:46:22 令生命可以在這區域生長
00:16:47:03 00:16:49:03 當生命開始生長
00:16:49:03 00:16:53:20 我們漸漸知道碳如何形成
00:16:53:20 00:16:57:10 碳是由同一個軸心所構成
00:16:57:10 00:16:59:15 因為軸心內有熱力
00:16:59:15 00:17:02:18 那熱力把
00:17:06:15 00:17:10:24 植物轉化為碳
00:17:11:09 00:17:13:21 遲一些時候，
00:17:14:03 00:17:16:17 我們
00:17:16:17 00:17:19:10 可以說
00:17:19:10 00:17:25:24 生產碳水化合物的根基
00:17:25:24 00:17:27:06 你也可以說
00:17:27:06 00:17:29:20 構成所有的有機物的根基
00:17:30:07 00:17:34:04 要創造生命，我們必須有其他的幫忙
00:17:34:04 00:17:35:18 是氮
00:17:35:24 00:17:39:07 你會很驚訝，氮也是由同一個軸心
00:17:39:07 00:17:43:10 同一個移動所創造
00:17:43:20 00:17:46:07 當它創造了氮
00:17:46:07 00:17:49:00 氮令我們有氨基酸
00:17:49:07 00:17:52:17 當氨基酸在我們內裏被創造
00:17:53:03 00:18:00:01 我們的生命便從亞米巴原蟲開始
00:18:00:01 00:18:04:13 當然，這是在海洋裏創造的
00:18:04:20 00:18:07:14 因為海洋裏的移動
00:18:07:21 00:18:10:24 氮被創造，生命也被創造
00:18:11:06 00:18:14:04 跟著透過海洋它擴散開去
00:18:14:10 00:18:17:10 這就是怎樣有氨基酸
00:18:17:18 00:18:21:03 氨基酸的形成
00:18:21:12 00:18:24:03 令我們有組合和排列
00:18:24:09 00:18:25:10 不同的物種
00:18:26:04 00:18:28:17 在整個進化過程
00:18:28:17 00:18:32:17 母親大地透過它的軸心扮演著很重要的角色
00:18:33:01 00:18:35:04 同樣對人類
00:18:35:10 00:18:38:07 軸心是最重要的
00:18:38:14 00:18:42:18 我們生命主要的原則，是我們的軸心
00:18:43:01 00:18:45:10 我們要依賴軸心
00:18:45:20 00:18:48:06 不依靠軸心的人
00:18:48:06 00:18:51:15 不是偏向左就是偏向右
00:18:51:21 00:18:56:04 都是步向完全的毀滅
00:18:56:14 00:18:59:07 因為他們會
00:18:59:07 00:19:03:01 因過分偏右或偏左而被毀滅
00:19:03:07 00:19:07:21 所以我們的軸心必須妥善的處理
00:19:08:04 00:19:11:03 沒有妥當軸心的人
00:19:11:17 00:19:14:12 他們不同的輪穴
00:19:14:21 00:19:20:06 不同的品質都可能會出問題
00:19:21:12 00:19:24:11 過分伸展自己的軸心
00:19:24:11 00:19:26:12 把他的頭像這樣放的人
00:19:26:12 00:19:28:18 是非常偏右脈
00:19:28:18 00:19:31:11 他是藉由他的自我製造問題
00:19:31:11 00:19:33:20 完全屈曲自己
00:19:33:20 00:19:38:18 卑屈的人
00:19:38:18 00:19:41:07 也是向著毀滅
00:19:41:07 00:19:46:04 這兩類人有一個大問題
00:19:46:12 00:19:48:12 一個想控制另一個
00:19:48:12 00:19:52:18 當他們想控制別人
00:19:52:18 00:19:54:21 實際是在摧毀自己
00:19:54:21 00:19:57:22 也摧毀受他支配的人
00:19:57:22 00:19:59:06 例如
00:19:59:06 00:20:03:18 我們曾經見過
00:20:04:12 00:20:06:20 統治我們的英國人
00:20:07:01 00:20:10:09 我們也見過法國人走到一些地方
00:20:10:09 00:20:12:05 統治哪裏的人，跟著是葡萄牙人
00:20:12:05 00:20:13:11 走到一些地方，統治哪裏的人
00:20:13:23 00:20:16:09 一切他們想支配的都會有
00:20:16:09 00:20:18:11 雙倍的反效果
00:20:18:17 00:20:21:01 首先，因為受他們的控制
00:20:21:01 00:20:23:03 例如，印度人變很卑屈
00:20:23:15 00:20:26:17 印度人…就算是現在他們也是極之卑屈
00:20:27:00 00:20:29:14 他們沒有應有的
00:20:29:14 00:20:30:20 獨立軸心
00:20:30:20 00:20:33:03 他們是極之卑屈的人
00:20:33:09 00:20:35:08 我的意思是，特別是我在西方見到
00:20:35:08 00:20:37:15 我很驚訝從這裏來的印度人
00:20:37:15 00:20:39:17 我發覺他們都是極之卑屈
00:20:39:17 00:20:44:04 他們做盡各種
00:20:44:04 00:20:46:22 取悅白種人卑屈的行為
00:20:48:01 00:20:53:00 在印度，白皮膚的人變成很值得敬重的人
00:20:54:12 00:20:58:09 這樣令白人的
00:20:58:22 00:21:00:17 自我更加膨脹
00:21:00:17 00:21:02:22 今天你看到甚麽在發生
00:21:03:03 00:21:05:00 這個自我在摧毀他們
00:21:05:11 00:21:08:11 因為自我，他們處於毀滅的邊緣
00:21:08:17 00:21:12:01 所以這是很不自然，很表面
00:21:12:09 00:21:15:15 我們要明白人類內在最佳
00:21:15:15 00:21:18:00 的是他的軸心
00:21:18:00 00:21:19:23 每一個人都有軸心
00:21:20:04 00:21:23:15 我們必須尊重每一個人的軸心
00:21:24:01 00:21:28:00 在霎哈嘉瑜伽，我不太認得你們的樣貌
00:21:28:12 00:21:30:17 我只知道你們的輪穴
00:21:30:17 00:21:31:23 你們的中脈
00:21:31:23 00:21:33:14 你擁有怎樣的中脈
00:21:33:20 00:21:36:23 若你擁有深層的中脈，我便知道你是有深度的人
00:21:37:04 00:21:39:09 若你擁有表面的中脈，
00:21:39:09 00:21:42:19 我便知道你是個很
00:21:42:19 00:21:45:00 表面的人
00:21:45:12 00:21:49:11 就算你想裝扮成
00:21:49:11 00:21:52:22 非常友善非常好
00:21:53:04 00:21:55:03 談論霎哈嘉瑜伽
00:21:55:03 00:21:57:09 對霎哈嘉瑜伽很認識
00:21:57:09 00:22:01:14 說一些通常令人困惑的話
00:22:01:20 00:22:03:23 就像你是霎哈嘉瑜伽的導師
00:22:03:23 00:22:06:00 但我知道你的程度
00:22:07:09 00:22:09:01 所以軸心的深度
00:22:09:01 00:22:11:09 比任何都重要
00:22:11:15 00:22:15:03 你的軸心必須非常有深度
00:22:15:03 00:22:16:21 你會說︰「母親，
00:22:16:21 00:22:21:04 軸心就是這樣，怎樣可以令它變得有深度？」
00:22:21:11 00:22:25:15 人類的軸心，像一張
00:22:25:21 00:22:31:09 捲曲成三圈半的紙
00:22:32:01 00:22:35:12 內在的是Brahma Nadi(梵天脈)
00:22:36:12 00:22:39:00 梵天脈是非常非常細小
00:22:39:07 00:22:43:09 我們可以說它像頭髮般非常微細
00:22:43:09 00:22:48:09 只有像頭髮般的靈量才能通過
00:22:48:15 00:22:52:11 有深度的人，他的梵天脈會大一點
00:22:52:17 00:22:54:04 其餘互相捲曲的部分
00:22:54:04 00:22:59:03 都是很細小的
00:22:59:03 00:23:02:01 沒有深度的人，他們外在
00:23:04:17 00:23:08:04 我們稱為可摺疊的
00:23:08:04 00:23:11:01 比內在細小的東西大
00:23:11:07 00:23:14:23 這類人表面可能精力充沛
00:23:14:23 00:23:17:20 看來很聰明，很精明
00:23:18:01 00:23:20:00 外表漂亮
00:23:20:00 00:23:22:06 不管他們的外在是怎樣
00:23:23:01 00:23:25:15 他們的內在卻沒有深度
00:23:26:01 00:23:28:00 若他們內在有深度
00:23:28:06 00:23:31:21 他們的態度是很漂亮
00:23:32:04 00:23:34:04 是給人喜樂的人
00:23:34:17 00:23:36:07 能給人喜樂
00:23:36:14 00:23:41:00 若你遇見另一類看來很喜樂的人
00:23:41:09 00:23:44:11 他可能想給你喜樂
00:23:44:11 00:23:47:20 但這種喜樂並非真的那麽深入
00:23:48:01 00:23:50:14 只能像是喜樂的屠殺者
00:23:52:14 00:23:57:00 所以要令我們的軸心有深度是非常重要的
00:23:57:11 00:24:01:20 我們就是缺少了適當的刻苦
00:24:02:01 00:24:06:12 適當的努力
00:24:07:04 00:24:12:04 現在有些人自動擁有很有深度的軸心
00:24:12:18 00:24:17:20 另一些人則擁有
00:24:18:03 00:24:22:20 你所說非常非常…狹隘型的軸心
00:24:23:06 00:24:25:12 軸心必須生長
00:24:25:12 00:24:27:21 當你來我的崇拜
00:24:27:21 00:24:29:18 我所做的就是擴展它，我同意
00:24:29:18 00:24:33:12 這只能是短暫的
00:24:33:20 00:24:38:14 要保持它在這一點上，我們必須在家裏
00:24:38:20 00:24:40:20 在集體裏做點工作
00:24:40:20 00:24:46:01 必須在家裏多靜坐
00:24:46:18 00:24:49:01 認真的去做
00:24:49:07 00:24:51:06 不能當是玩笑
00:24:51:15 00:24:52:20 不能輕挑
00:24:53:01 00:24:55:12 不能愚蠢，不能這樣
00:24:55:12 00:24:59:09 必須很認真的去做，意思是
00:24:59:09 00:25:02:04 這是一種虔誠的工作
00:25:02:14 00:25:05:09 要入靜
00:25:05:18 00:25:08:15 可以說是對神的禱告
00:25:08:21 00:25:10:15 對神的崇拜
00:25:12:07 00:25:15:00 要以崇敬的態度去做
00:25:15:14 00:25:22:06 因為崇敬是成功的鑰匙
00:25:23:11 00:25:26:12 若你對自己
00:25:26:12 00:25:28:07 對別人都不尊敬
00:25:28:07 00:25:30:06 便不能去做
00:25:30:06 00:25:33:18 首先你必須對你的生命有尊敬
00:25:34:00 00:25:35:14 我對我的人生做了些甚麽？
00:25:35:14 00:25:36:21 我在哪裏浪費它？
00:25:36:21 00:25:38:00 我為甚麽要浪費它？
00:25:38:00 00:25:40:04 我為甚麽不能有深度？
00:25:40:04 00:25:42:06 無論如何，我的人生必須有目標
00:25:42:06 00:25:45:00 我是否向著這目標，我有否這樣做？」
00:25:45:09 00:25:48:19 若所有這些突然出現在你的腦海中
00:25:48:19 00:25:52:19 你便知道你是很容易與你的自我鬥爭到底
00:25:53:00 00:25:56:05 因為人們通常都為一些小事爭吵
00:25:56:05 00:26:00:09 我曾經在霎哈嘉瑜伽見過
00:26:00:09 00:26:04:03 人們為一些無用的，完全沒用的東西爭吵
00:26:04:03 00:26:08:02 就算提及他們怎樣為一些小事爭吵，
00:26:08:02 00:26:11:00 我也會感到很愚蠢
00:26:11:09 00:26:14:19 一個有深度的人，就算他說話不多
00:26:15:00 00:26:17:23 就算他不大炫耀
00:26:18:05 00:26:20:19 就算他不坐在前面
00:26:21:03 00:26:23:16 他會透過他的深度表達自己
00:26:23:16 00:26:26:14 因為我更能藉由這樣成就事情
00:26:28:15 00:26:31:00 要發展這些品質，我們必須靜坐
00:26:31:00 00:26:33:00 靜坐是最重要的
00:26:33:00 00:26:35:18 每一天，每一天，每一天
00:26:35:18 00:26:37:18 你或許不吃一天
00:26:37:18 00:26:39:06 或許不睡一天
00:26:39:06 00:26:42:07 或許不上班一天
00:26:42:14 00:26:45:11 或許不做一天你每天都做的事情
00:26:45:11 00:26:47:15 但你卻必須每天靜坐
00:26:47:15 00:26:49:06 這是很重要的
00:26:49:06 00:26:55:23 要把中間狹窄的部分發展成更大的區域
00:26:57:18 00:27:04:06 當這樣發生，你開始發展它
00:27:04:14 00:27:06:22 你首先發現的是你
00:27:06:22 00:27:10:00 不再介意任何舒適
00:27:10:23 00:27:13:09 不再受任何
00:27:15:13 00:27:17:10 物質困擾
00:27:17:21 00:27:20:04 無論如何，你已超越它
00:27:20:04 00:27:22:10 你就是不受你的思維困擾，讓它去吧
00:27:22:10 00:27:25:01 你只是不想把你的脖子
00:27:25:01 00:27:28:07 放在不再屬於你的東西上
00:27:28:21 00:27:30:03 你抽身而出
00:27:30:03 00:27:31:16 你想︰
00:27:32:10 00:27:35:22 天啊！這對我太過了，我不再介意它了
00:27:36:08 00:27:39:11 你的態度現在向內移
00:27:39:17 00:27:41:21 當注意力開始向內移
00:27:42:02 00:27:43:21 它擴展得更多
00:27:44:02 00:27:47:08 這是內在的，被稱為梵天脈(Brahma Nadi)
00:27:48:13 00:27:52:05 它開始擴展，再擴展
00:27:52:19 00:27:55:00 微細的事物也一樣
00:27:55:11 00:27:56:22 就如
00:27:57:20 00:28:01:01 若我沒有
00:28:01:23 00:28:03:23 提及某些人
00:28:05:09 00:28:06:12 他們便感到
00:28:06:12 00:28:08:21 「啊！為甚麽母親沒有提及我？」
00:28:08:21 00:28:12:12 這都是不要緊的小事
00:28:13:12 00:28:17:17 只要你擁有深度的軸心，你就與我同在
00:28:17:17 00:28:21:01 我也與你同在，完全的在一起
00:28:21:08 00:28:23:16 這些外在的事物
00:28:23:16 00:28:25:22 啊！我把一件很漂亮的紗麗給了別人
00:28:25:22 00:28:28:06 她從不給我們紗麗，她沒有這樣做
00:28:28:06 00:28:29:12 沒有那樣做
00:28:29:12 00:28:32:00 若你的腦海裏有這些事情
00:28:32:00 00:28:34:20 代表你有
00:28:35:02 00:28:38:12 某些缺失
00:28:39:06 00:28:41:02 又或若你想投訴
00:28:41:02 00:28:43:19 啊！我到哪裏去，必須坐巴士
00:28:43:19 00:28:45:19 我必須依靠這東西
00:28:45:19 00:28:48:11 這顯示你不感到舒適
00:28:50:19 00:28:53:06 這擴展令你感到舒適
00:28:53:17 00:28:55:22 這是舒適的東西
00:28:56:08 00:28:59:11 它真的令你
00:28:59:11 00:29:04:22 在任何境況，任何位置，任何生活模式下都感到舒適
00:29:05:09 00:29:11:03 你不想有任何其他的舒適
00:29:13:20 00:29:16:08 你必須透過靜坐
00:29:16:14 00:29:18:08 發展這些
00:29:18:17 00:29:22:13 第二，我們必須知道霎哈嘉瑜伽
00:29:22:13 00:29:25:03 到今天是集體的事件
00:29:25:23 00:29:28:20 我發覺，特別是印度男子
00:29:28:20 00:29:31:01 他們從不用雙手做任何事
00:29:31:01 00:29:32:11 這是錯的
00:29:32:11 00:29:35:06 因為他們完全沒有運用雙手
00:29:35:12 00:29:37:12 因此他們的集體很窮，非常窮
00:29:37:12 00:29:39:20 印度人有最糟的集體
00:29:40:17 00:29:42:00 若你擁有集體靜室
00:29:42:00 00:29:43:16 我不知道我們為甚麽要建造一所集體靜室
00:29:43:16 00:29:45:08 沒有人會留在哪裏
00:29:46:16 00:29:48:16 他們想有自己的房子
00:29:48:22 00:29:49:24 自己的家庭
00:29:49:24 00:29:51:14 自己的孩子
00:29:51:20 00:29:54:08 對集體他們是最差勁的
00:29:54:08 00:29:58:08 原因是印度男子從不用雙手做任何工作
00:29:58:19 00:30:02:19 他們不懂怎樣釘釘子---很多人都是這樣
00:30:03:06 00:30:05:13 更不要說其他維修的工作
00:30:05:20 00:30:09:16 他們只會把雙手放在臀旁
00:30:09:16 00:30:13:16 告訴別人該做甚麽，你明白嗎
00:30:14:00 00:30:15:14 馬拉塔有這樣的一個說法
00:30:15:20 00:30:18:09 非常有趣的
00:30:18:23 00:30:25:23 就是︰「坐在駱駝上，駕著山羊。」
00:30:27:17 00:30:30:01 這就是典型印度男子
00:30:30:07 00:30:31:17 他們不懂修理
00:30:31:17 00:30:33:06 不懂做任何事
00:30:33:06 00:30:35:20 若現在有人散播某些東西
00:30:35:20 00:30:37:09 他們只會站著，只在看
00:30:37:09 00:30:39:09 從不動手去做
00:30:39:09 00:30:42:15 所以對每一位霎哈嘉瑜伽士，這是很重要的
00:30:42:15 00:30:45:04 我們稱為shramadaan
00:30:46:15 00:30:48:20 他們必須做一點shramadaan
00:30:49:01 00:30:52:21 "Shramadaan”的意思是付出一點勞動
00:30:54:20 00:30:57:09 這是我們缺乏的
00:30:57:18 00:31:02:24 就算是要清潔你的房子
00:31:02:24 00:31:05:04 你最好也清潔房子的外面
00:31:05:04 00:31:07:15 嘗試在房子周圍種一點植物
00:31:07:21 00:31:09:10 把房子重新刷上油漆
00:31:09:10 00:31:11:21 用雙手做點事
00:31:12:02 00:31:15:01 就算你沒有房子
00:31:15:01 00:31:19:04 你也可以整理一下頭髮或做類似的事情
00:31:19:04 00:31:23:15 只要你認為是最容易做的,就從容易的事情開始吧
00:31:23:15 00:31:25:18 因為我不認為有人會這樣做
00:31:26:06 00:31:27:21 他們甚至不刮鬍子
00:31:27:21 00:31:30:09 要別人代勞，我的意思是
00:31:30:09 00:31:33:07 他們絕對是懶惰的物體
00:31:33:13 00:31:36:07 現在卻相反
