00:01:29:11 00:01:32:04 今天非常高興的看到
00:05:47:08 00:05:48:17 就等如在上面
00:05:48:23 00:05:51:08 放巧克力，對嗎？
00:05:51:16 00:05:54:02 我們要知道這是偽善
00:05:54:11 00:05:56:02 我們是要面對自己
00:05:56:09 00:05:59:07 不是面對其他
00:05:59:17 00:06:02:05 這正正就是老於世故的表現
00:06:02:12 00:06:06:06 我們逃避面對自己
00:06:08:09 00:06:12:13 今天是慶祝的日子
00:06:12:23 00:06:14:20 我們要以幽默的態度
00:06:15:03 00:06:18:02 來了解這個叫自我的笨蛋
00:06:18:12 00:06:20:07 要採取幽默的態度是而不是嚴肅的態度
00:06:20:15 00:06:23:00 因為我不想你們再感到內疚
00:06:26:14 00:06:31:00 我今早闡述了
00:06:31:12 00:06:34:24 自我怎會變成左喉輪
00:06:35:08 00:06:38:17 我是說即使在我進場前
00:06:39:00 00:06:43:14 當我放注意力在會場，我這兒會腫起一大塊
00:06:44:02 00:06:47:00 很痛苦，很可怕，極難受
00:06:47:06 00:06:48:13 從我來西方開始
00:06:48:20 00:06:50:18 腫塊從未消退過，你能想像嗎？
00:06:51:00 00:06:52:18 腫塊從未消退
00:06:53:02 00:06:55:02 因此這輪穴要每時每刻都在工作
00:06:55:09 00:06:59:15 這個可憐的傢伙已經疲憊不堪--Vishnumaya(毗濕奴摩耶)輪穴
00:07:01:09 00:07:02:16 實際發生了甚麽
00:07:02:24 00:07:04:09 我們應該看看它的生理方面
00:07:04:16 00:07:06:18 了解它是非常重要的
00:07:07:00 00:07:10:04 從小開始，如果我們
00:07:10:12 00:07:13:19 在這樣的社會受教育︰你要外向
00:07:14:03 00:07:15:08 要有成就
00:07:15:15 00:07:17:06 要取得成功等等
00:07:17:13 00:07:21:03 你被灌輸了這種強者的概念
00:07:21:15 00:07:25:15 容忍是被視為軟弱
00:07:25:24 00:07:29:06 試想像在基督教國家，最精彩的是：
00:07:29:13 00:07:31:11 「很抱歉我要殺掉你」或類似的言行舉止
00:07:31:20 00:07:35:02 在基督教國家，他們的理論是：
00:07:35:10 00:07:41:06 容忍是軟弱
00:07:42:10 00:07:47:06 受人操控是弱點
00:07:47:20 00:07:51:13 如果你是這樣，永遠都不會成功
00:07:51:23 00:07:53:19 除非有鬼附著你
00:07:54:03 00:07:57:05 否則你不會服從
00:07:57:24 00:07:59:02 就是如此
00:07:59:10 00:08:01:00 要有人附着你
00:08:01:08 00:08:04:12 完全附着你，像希特勒
00:08:04:22 00:08:06:20 那麽你才會服從
00:08:07:03 00:08:09:10 否則每一個人的自我都很大
00:08:09:17 00:08:13:03 就如我告訴過你一個倒垃圾工人的故事
00:08:13:15 00:08:15:24 每個人都有很大，很大的自我
00:08:16:07 00:08:19:23 每個人都想用自己的方法
00:08:20:15 00:08:25:04 你們在孩子還小時就已經太縱容他們
00:08:25:13 00:08:27:16 你們縱容他們，把他們寵壞
00:08:27:24 00:08:30:04 你們時常擁抱他們，抱著他們
00:08:30:10 00:08:34:06 做得太過分了，孩子因此被寵壞
00:08:35:01 00:08:37:01 他們自以為是，更甚的是
00:08:37:08 00:08:40:22 如果你告訴他們，不要容忍任何事情
00:08:41:07 00:08:44:00 他們便會變得不服從
00:08:44:10 00:08:47:19 你因此不懂怎樣服從他人
00:08:48:01 00:08:50:16 自我不懂怎樣服從，因為這是缺點
00:08:51:00 00:08:54:08 服從是缺點
00:08:55:21 00:09:02:19 這個可憐的自我是局限的，局限的傢伙
00:09:03:03 00:09:08:06 自我像一個汽球，那是局限的
00:09:08:14 00:09:10:23 當它爆破，你便會癱瘓或
00:09:11:04 00:09:12:18 出類似的毛病
00:09:13:01 00:09:16:10 但它同時也是有彈性的
00:09:16:16 00:09:22:13 當自我在超我之上膨脹得太多
00:09:22:22 00:09:28:03 超我可以
00:09:28:24 00:09:32:23 到達某一限度，它仍然存在
00:09:38:06 00:09:41:19 為了擺脫自我，人們酗酒
00:09:42:03 00:09:44:13 吸毒，只為令自我減退
00:09:44:20 00:09:50:14 增加超我來壓制自我
00:09:50:23 00:09:54:18 你遊走在兩者之間，你生悶氣
00:09:55:04 00:09:57:14 日復一日，解決了
00:09:57:23 00:10:02:17 這是人們對付自我所採用的現代方法，對吧
00:10:03:02 00:10:06:18 否則自我會太大
00:10:07:09 00:10:11:05 當某人對你說了某些話
00:10:12:06 00:10:14:07 你不單沒有面對它 
00:10:14:15 00:10:18:08 你發覺自己不能…例如
00:10:18:17 00:10:23:02 為我找個杯子，簡單如這樣的事情，接受它吧
00:10:23:23 00:10:28:01 你卻生悶氣，為什麼？為什麼你要生悶氣？
00:10:28:11 00:10:30:08 因為當你消氣了
00:10:30:16 00:10:35:07 自我可以走往另一處地方
00:10:35:19 00:10:39:05 你看這裡，它在喉輪交叉
00:10:39:13 00:10:41:20 當自我在另一面被壓迫
00:10:42:03 00:10:44:19 它便會走往喉輪
00:10:45:03 00:10:49:14 那麽，你的左喉輪便會有阻塞
00:10:50:13 00:10:54:00 那純粹是自我。相信我吧，純粹是自我
00:10:54:09 00:10:58:01 因為它沒處走，便走往那裡
00:11:02:03 00:11:05:06 這就是為何你又生氣又思考
00:11:05:13 00:11:08:00 思考令你的自我更大
00:11:08:08 00:11:13:05 把你的左脈充滿了，你只是生氣，不肯去面對
00:11:17:21 00:11:19:13 鞏固中脈
00:11:19:21 00:11:25:15 最務實的途徑就是在實相中
00:11:27:19 00:11:30:06 你要養成習慣：
00:11:30:14 00:11:33:15 假設某些事情出錯
00:11:33:24 00:11:36:08 告訴自己：「是的，出錯了
00:11:36:16 00:11:38:00 因為我犯錯
00:11:38:07 00:11:39:19 好吧，為什麼我會犯錯？
00:11:40:02 00:11:42:24 因為這樣那樣，下次不要再犯了
00:11:43:14 00:11:45:08 這樣做輕易而舉，你逃避一切
00:11:45:17 00:11:49:16 就這樣，享受你的自我，感到悲傷
00:11:49:24 00:11:52:08 這是種縱容放縱
00:11:52:17 00:11:54:16 其他人也感到：
00:11:54:22 00:11:58:06 「噢﹗他感到『很抱歉我殺掉你。』
00:11:59:04 00:12:01:11 他為此而內疚
00:12:01:23 00:12:04:06 沒錯，我見過這種情況
00:12:04:12 00:12:06:16 西方人的腦袋
00:12:06:24 00:12:10:20 走向太極端，竟然有些法例原諒一些
00:12:11:01 00:12:13:05 不該原諒的人
00:12:13:15 00:12:15:06 因為沈迷於左脈的
00:12:15:13 00:12:17:11 這個荒唐的
00:12:17:20 00:12:20:23 左喉輪
00:12:21:05 00:12:24:02 他們試著原諒同情
00:12:24:13 00:12:26:18 一些不該原諒的人
00:12:27:02 00:12:30:24 就如有個傢伙殺了很多人
00:12:31:06 00:12:32:24 他把很多人放進毒氣室殺掉，做了很多類似的事情
00:12:33:06 00:12:34:22 現時他被拘捕了，他是個負累
00:12:35:06 00:12:37:08 很大的負累，因為他是囚犯
00:12:37:15 00:12:39:19 所以他們要很嚴密的把
00:12:40:02 00:12:40:24 一切都封閉來監管他
00:12:41:05 00:12:42:14 對英國人來說
00:12:42:21 00:12:45:00 供養這頭狗是很困難的
00:12:45:08 00:12:47:01 但他們卻要供養這個囚犯
00:12:47:07 00:12:49:23 我忘了他的名字，總之是個可怕的傢伙
00:12:50:04 00:12:52:05 他現在老了
00:12:52:13 00:12:54:12 讓他死在那裡吧，他有什麼值得憐憫同情？
00:12:54:19 00:12:58:10 把他上吊就完了。他殺了那麼多人
00:12:58:20 00:13:00:13 不，你們怎能這麼做 
00:13:00:23 00:13:02:18 雖然他花掉我們那麼多錢
00:13:03:00 00:13:06:03 雖然他在毒氣室內
00:13:06:12 00:13:08:21 殺了數以千計的人
00:13:09:04 00:13:11:06 我們仍然必須供養這頭狗
00:13:11:15 00:13:15:09 對這種可怕的傢伙不應有任何憐憫同情
00:13:15:18 00:13:19:11 上天的律法是應該即時把他了結
00:13:19:23 00:13:21:12 他在隨時日消散
00:13:21:22 00:13:25:02 即使到今天，我還讀到同情他的文章
00:13:25:10 00:13:29:12 他還能做什麼錯事？為何不放過他？
00:13:31:05 00:13:33:12 這就是可怕的人
00:13:33:21 00:13:38:03 怎樣透過左喉輪玩弄誤導你，此其一
00:13:38:21 00:13:41:18 左喉輪純粹是自我
00:13:42:01 00:13:45:14 你像這樣垂下頭
00:13:45:22 00:13:48:09 像這樣走路
00:13:49:02 00:13:51:19 雖然左喉輪令你出
00:13:52:02 00:13:55:05 很多很多生理毛病
00:13:55:22 00:13:59:17 但最差勁的要算是瘋癲
00:14:00:03 00:14:02:00 那天有人告訴我
00:14:02:09 00:14:06:00 在美國，四十歲的人
00:14:06:09 00:14:09:19 會突然變得瘋癲
00:14:11:20 00:14:14:03 那是很嚴重的疾病
00:14:14:10 00:14:18:06 就像他們那個可怕的
00:14:18:23 00:14:21:08 叫作愛滋病的疾病
00:14:21:17 00:14:24:19 就那樣傳播開去
00:14:25:05 00:14:27:20 作為你的母親，我要清楚的告訴你
00:14:28:03 00:14:34:09 是可怕的左喉輪在玩打戲
00:14:36:11 00:14:38:08 不要沉迷下去
00:14:38:15 00:14:41:04 如果你有自我，就是左喉輪
00:14:41:11 00:14:42:14 面對自己吧
00:14:42:21 00:14:47:13 像今天華倫來告訴我他的想法：
00:14:47:20 00:14:50:08 無論我們到印度任何地方，無論我們建議什麼
00:14:50:17 00:14:54:01 人們第一個反應都是『不、不』
00:14:54:11 00:14:56:01 其實那「不、不」
00:14:56:10 00:14:58:05 是因為我們在不同的環境下成長
00:14:58:15 00:15:00:08 面對它吧，我們就是這樣成長
00:15:00:15 00:15:03:05 因此印度人從來沒有內疚感
00:15:03:15 00:15:06:23 如果任何印度人有內疚感，他一定是西化了
00:15:07:10 00:15:08:09 他們從來沒有內疚感
00:15:08:17 00:15:12:22 當他們對任何事說「不」
00:15:13:13 00:15:15:22 百分之九十九---不是城市人
00:15:16:05 00:15:18:02 他們與這裡的人是同一模式
00:15:18:10 00:15:22:21 因為他們得到你好好祝福---而是鄉村的人
00:15:23:06 00:15:24:09 你看他們告訴自己
00:15:24:16 00:15:25:22 不，不，我怎會這樣做？
00:15:26:04 00:15:27:16 好吧，如果是我做的，我最好把它糾正
00:15:27:24 00:15:31:09 「不、不」，以「不、不」開始
00:15:32:11 00:15:34:07 西方人或許聽過「不、不」
00:15:34:15 00:15:37:18 之後會想：「他在打擊我的自我。」
00:15:38:10 00:15:41:17 因為自我仍然操控人
00:15:42:02 00:15:46:02 仍然認為他們是最佳的組識者
00:15:46:19 00:15:50:00 仍然認為他們比其他人清潔
00:15:50:07 00:15:52:14 比其他人高尚
00:15:52:21 00:15:55:13 自我就是這麼想
00:15:55:21 00:16:00:04 抬高你使你活在頂峰
00:16:00:10 00:16:04:05 就像吹脹了的氣球或環形物
00:16:04:13 00:16:07:03 你浮在表面
00:16:07:12 00:16:09:04 因此你不想讓空氣釋放出來
00:16:09:12 00:16:12:22 因為你知道，這樣你便會打回原形
00:16:13:12 00:16:15:06 就這樣
00:16:15:16 00:16:18:06 你開始感到你對它認識多一點
00:16:18:14 00:16:21:24 任何人對你說了些話，你便感到受傷害
00:16:22:06 00:16:23:23 這是因為左喉輪
00:16:24:07 00:16:26:15 如果母親說了一些話，再次源自左喉輪
00:16:26:22 00:16:31:09 你們在西方已為自己這裡製造了一個小袋
00:16:31:18 00:16:34:00 我們要面對自己
00:16:34:09 00:16:38:02 這個袋就在這兒，我說的任何話
00:16:38:09 00:16:42:20 即使我現在說的話，你也不應感到內疚
00:16:43:08 00:16:45:20 讓我們看看，不感到內疚
00:16:46:04 00:16:48:09 依靠你的靈去面對自己
00:16:48:16 00:16:49:21 你能潔淨它
00:16:50:03 00:16:52:18 如果你從靈的角度來看，你能潔淨
00:16:53:00 00:16:56:08 積壓多年的毛病
00:16:57:00 00:17:00:14 我告訴你，西方現在的問題是左喉輪
00:17:01:00 00:17:03:15 所有這些問題都源自左喉輪
00:17:03:22 00:17:07:18 但並代表它有減輕緩和
00:17:07:24 00:17:11:02 相反左喉輪
00:17:11:24 00:17:16:04 隨時會脹大成為自我
00:17:16:13 00:17:19:04 你要明白，我在西方常常見到這種情況
00:17:19:13 00:17:21:23 人們端正往前走，一切正常妥當
00:17:22:05 00:17:24:11 即使在印度的市區都見到
00:17:24:19 00:17:26:01 你讓他們成為信託人
00:17:26:09 00:17:27:15 他們突然跳上馬
00:17:27:21 00:17:29:11 我說：「他們從那兒跳上馬
00:17:29:19 00:17:31:07 這個自我從那兒來？
00:17:31:15 00:17:32:24 它們全都積存在這裡
00:17:33:06 00:17:35:13 一旦他們成為信託人，全都回來了
00:17:35:22 00:17:38:10 他們像騎着馬的John Gilpin
00:17:38:17 00:17:40:17 跑得很快。我望着他們
00:17:40:24 00:17:42:08 他們往哪裡去？
00:17:42:14 00:17:45:13 他們就在那裡，不見了
00:17:45:24 00:17:48:19 玩把戲消失了
00:17:49:02 00:17:51:16 我就是不明白為什麼會發生這種事
00:17:51:23 00:17:55:07 當深入了解問題後
00:17:55:14 00:17:57:11 我明白到單是走進會堂
00:17:57:19 00:17:59:08 你的左喉輪便受感染
00:17:59:15 00:18:00:22 看看小孩子，你要明白
00:18:01:05 00:18:03:03 從他們孩童開始，不要教
00:18:03:11 00:18:07:00 他們時常說：「對不起、對不起。」
00:18:08:03 00:18:09:17 印度的帕西人（印度拜火教徒）
00:18:10:02 00:18:12:17 對你們很裝模作樣
00:18:13:00 00:18:15:01 所以我們在早上都不想遇見帕西人
00:18:15:10 00:18:18:07 因為一大清早他們會來說：
00:18:18:13 00:18:21:24 「對不起、對不起。」這是不吉祥的
00:18:22:10 00:18:24:15 「Maafkaro、 Maafkaro。」你看到人們說：
00:18:24:20 00:18:27:24 「巴巴，你下午才來，現在不是時候
00:18:28:07 00:18:30:10 早上不要這樣開始
00:18:30:19 00:18:34:03 我們不會這麼說，這是不吉祥的
00:18:34:15 00:18:35:22 你一開門就看到有人站着說：
00:18:36:04 00:18:39:19 「Maafkaro。」為了什麼，我做了什麼事？
00:18:40:05 00:18:41:23 你做了什麼事要這樣說話
00:18:42:05 00:18:45:06 時常抱着歉意的心情，為了什麼？
00:18:45:13 00:18:47:16 你不想在早上見到
00:18:47:22 00:18:49:01 有歉意的面容，對嗎？
00:18:49:07 00:18:52:01 只想見到有人愉快友善地跟你打招呼
00:18:52:07 00:18:56:21 這個「Maafkaro, maafkaro， 對不起、對不起、對不起。」
00:18:58:01 00:18:59:04 通常我們
00:18:59:11 00:19:00:24 在早上都不想遇見帕西人
00:19:01:06 00:19:03:00 就是這個原因：你看，如果你在早上遇見他們
00:19:03:07 00:19:05:14 整天心情狀態都會不好
00:19:05:21 00:19:07:06 你曾經遇見抱着歉意的人
00:19:07:14 00:19:11:03 這不是歉意，他們的自我極之大
00:19:11:10 00:19:15:17 如果你們研究他們的性格，他們是非常自我中心的
00:19:18:10 00:19:20:09 所以我們要明白
00:19:21:15 00:19:26:01 當我們開始處理我們的自我
00:19:26:09 00:19:28:02 要直截了當
00:19:28:10 00:19:30:15 我們不是自我，而是靈。直截了當的說
00:19:30:23 00:19:37:03 噢﹗我明白。這是錯的，這不是我做的
00:19:37:10 00:19:40:08 是這個身體做的。現在來吧，不，不，沒事了
00:19:40:14 00:19:44:10 你告訴自己：「不，不，沒事了。」
00:19:45:14 00:19:46:23 我們就是要這樣處理它
00:19:47:05 00:19:49:20 因為那令我害怕的
00:19:50:03 00:19:51:16 是左喉輪
00:19:52:00 00:19:54:00 因為當我想起這疾病，
00:19:54:09 00:19:56:07 我的注意力便會走往左喉輪
00:19:56:16 00:19:59:03 試想像人們變瘋了
00:19:59:13 00:20:02:07 我發覺大部分自我的人
00:20:02:14 00:20:04:23 都是因為這樣才變蠢
00:20:05:07 00:20:09:00 他們是蠢人，表現得愚蠢，言行也愚蠢
00:20:09:09 00:20:12:03 只有自我的人吸毒酗酒
00:20:12:11 00:20:15:20 因為只有他們才能承受
00:20:16:05 00:20:19:17 若某人超我很大
00:20:20:01 00:20:22:08 或某人被鬼附而酗酒
00:20:22:13 00:20:24:07 他很快會死，活不了
00:20:24:14 00:20:25:19 因為他更會被拋向這一面
00:20:26:02 00:20:28:09 但自我的人卻能承受
00:20:28:24 00:20:31:24 我是說一個不自我的人，就如
00:20:32:06 00:20:35:20 若印度人飲伏特加酒，他會被拋到海岸
00:20:36:04 00:20:39:01 再找不到他，失蹤了
00:20:39:11 00:20:43:07 即使在失物認領處也找不到他
00:20:46:00 00:20:49:19 是你的自我在
00:20:50:04 00:20:53:20 抗衡著超我
00:20:54:05 00:20:55:12 令你能應付
00:20:55:20 00:20:57:01 你要明白這就是為何人們能喝酒
00:20:57:08 00:20:59:24 這與天氣冷或其他無關
00:21:00:07 00:21:02:08 是與你的自我更有關
00:21:02:20 00:21:05:14 你以為自己是偏左脈
00:21:05:20 00:21:08:02 有時是大錯特錯
00:21:08:10 00:21:11:12 你不是
00:21:12:05 00:21:13:16 你活在幻象裡
00:21:13:24 00:21:17:09 這樣你才能為你的自我找藉口
00:21:17:19 00:21:20:15 西方人基本上是自我中心的
00:21:20:23 00:21:22:01 我們要接受這事實
00:21:22:08 00:21:25:18 我們並非西方人，我們是屬於神的國度
00:21:26:02 00:21:29:08 因此不要內疚
00:21:29:16 00:21:32:12 你們不再是西方人。對我而言，你們既不是印度人
00:21:32:20 00:21:36:23 也不是英國人或澳洲人，你們是我的孩子
00:21:47:24 00:21:50:18 這些事物卻仍然在你們四周徘徊
00:21:50:24 00:21:52:21 所以你們要留意我告訴你們的事情
00:21:53:03 00:21:56:05 這些事情會一點一滴的在你們身上發生，不會太多
00:21:56:12 00:21:58:09 所以要小心，它是外在的
00:21:58:17 00:22:02:18 你發現自己輕微的走出分際
00:22:04:06 00:22:06:17 那些以為自己偏左脈的人只是被亡靈附著
00:22:07:00 00:22:10:10 他們被亡靈附著
00:22:10:18 00:22:12:12 所以才會偏左脈
00:22:12:18 00:22:14:21 否則他們不會這樣。他們的性情不是這樣
00:22:15:04 00:22:16:11 因為這裡沒有傳統
00:22:16:19 00:22:18:19 沒有公認的制約，沒有這些
00:22:19:01 00:22:22:16 任何形式的制約這裡也沒有
00:22:22:24 00:22:27:09 因此在西方很難找到tamasikas(虐待自己的人)
00:22:27:23 00:22:29:16 極難找到
00:22:29:23 00:22:31:11 這裡只會找到
00:22:31:19 00:22:34:10 又自大又被亡靈附著的人
00:22:34:17 00:22:38:09 這些亡靈宰制你的自我
00:22:38:17 00:22:39:21 透過你的自我運作
00:22:40:03 00:22:43:04 因此他們比一般tamasikas更危險
00:22:43:13 00:22:46:19 你要明白，一般tamasikas即使被亡靈附著 
00:22:47:03 00:22:51:04 也死得很早；不然他只會麻煩自己
00:22:51:11 00:22:55:09 身體還出各種痛症，只會麻煩自己
00:22:57:13 00:23:01:22 但一個既自大又被亡靈附著的人
00:23:02:06 00:23:05:10 卻很令人頭痛
00:23:05:21 00:23:08:02 在印度，你們會很驚奇，酗酒的人
00:23:08:09 00:23:11:18 變得很友善，非常平和
00:23:12:03 00:23:14:03 很文靜，很好
00:23:14:12 00:23:16:03 有些女士跟我說：
00:23:16:10 00:23:19:10 我們想他們喝酒，這樣他們會好一點
00:23:20:12 00:23:23:00 但這裡卻不是，他們變得暴力，為什麽？
00:23:23:07 00:23:25:18 因為自我在這裡已經有基礎
00:23:26:01 00:23:29:16 這些傢伙從左
00:23:29:24 00:23:33:13 或右跳進來取代了自我
00:23:33:21 00:23:35:16 接著他們透過自我運作
00:23:35:23 00:23:39:22 所以這些人變得兇殘，變得武斷
00:23:40:05 00:23:44:19 我是說所有德國人都是這樣子
00:23:45:05 00:23:48:16 他們全都被超意識的亡靈附着
00:23:48:23 00:23:51:01 因此他們的行為都是殘暴的
00:23:51:08 00:23:54:07 試想像一下任何人類，人類
00:23:54:17 00:23:58:12 把數以百萬計的人放進毒氣室殺掉
00:23:58:20 00:23:59:16 你能想像嗎？
00:23:59:23 00:24:01:21 我是說你連在你面前
00:24:02:04 00:24:03:20 殺掉一只小雞也不敢看
00:24:04:04 00:24:08:08 竟然看到這麽多人
00:24:08:16 00:24:10:00 要被毒氣殺掉？
00:24:10:09 00:24:12:02 看到他們想逃離毒氣室
00:24:12:11 00:24:16:04 你能清清楚楚的看到他們
00:24:16:13 00:24:19:02 你要明白這種殘暴的程度，怎會這樣？
00:24:19:09 00:24:24:18 他們被亡靈附着，自我的性情附着他們
00:24:25:00 00:24:28:22 所以亡靈利用他們的自我來做這種事
00:24:32:15 00:24:35:19 我們是在中央
00:24:37:06 00:24:40:17 我們昇進至神的層次
00:24:41:00 00:24:45:17 我們與左喉輪毫不相干
00:24:46:04 00:24:49:14 我們沒有自我。自我在哪兒？消失了
00:24:49:22 00:24:52:10 超我在哪兒？消失了
00:24:52:18 00:24:56:12 即使它仍潛伏着
00:24:56:20 00:24:59:16 只管面對它吧。你為什麼要內疚？
00:25:00:00 00:25:01:13 為什麼？
00:25:01:21 00:25:04:10 真荒謬
00:25:04:20 00:25:06:14 你就是要這樣去除它
00:25:06:22 00:25:08:20 因為我見過霎哈嘉瑜伽士
00:25:09:04 00:25:12:09 會忽然眉飛色舞
00:25:12:18 00:25:15:01 忽然像這樣說話，嚇了我一大跳
00:25:15:07 00:25:16:16 我說：「怎麼了？他是正常人
00:25:16:24 00:25:19:05 為什麼會這樣說話？
00:25:19:13 00:25:24:14 原因是隱藏的自我突然跳出來表演
00:25:24:22 00:25:26:02 很多印度人也有這種表現
00:25:26:11 00:25:29:09 那些城市人自我大得很可怕
00:25:29:17 00:25:31:01 我說過，你曾經祝福他們
00:25:31:09 00:25:33:18 所以他們也有同樣的行為
00:25:35:04 00:25:38:12 因為有些國家，像中國
00:25:38:19 00:25:41:03 有保持在中央的傳統
00:25:41:10 00:25:44:07 我見過，中國也一樣
00:25:44:23 00:25:46:09 我不曾見過他們說：
00:25:46:17 00:25:50:10 對不起、對不起、對不起
00:25:53:14 00:25:54:23 他們甚至不討論
00:25:55:06 00:25:57:07 俄羅斯人對他們那麼差
00:25:57:17 00:25:59:16 我們卻告訴他們︰「不要緊。」我們問他們：
00:25:59:24 00:26:02:00 「為什麼不與俄羅斯絕交？」「忘記它吧。」
00:26:02:09 00:26:05:00 他們從不批評，從不坐下來批評：
00:26:05:09 00:26:08:11 「他們是這樣做的。」或為此生悶氣或思考，沒有
00:26:08:19 00:26:10:24 像印度人，你會很驚訝
00:26:11:07 00:26:13:07 我們竟然有法例
00:26:13:14 00:26:17:21 不能製作反對英國的電影。你能想像嗎？
00:26:18:03 00:26:21:12 因為他們有尊嚴地離開我國
00:26:22:24 00:26:25:05 即使濕婆神的照片也不准放
00:26:25:12 00:26:29:07 因為它或許會顯示穆斯林是壞的
00:26:29:23 00:26:33:06 就是到達這種程度
00:26:33:17 00:26:36:12 忘記它、忘記它、忘記它
00:26:36:21 00:26:38:19 當你開始想及這個人
00:26:39:04 00:26:44:07 自我便會受打擊
00:26:44:24 00:26:47:09 是自我受傷害
00:26:47:18 00:26:51:07 你或許也知道
00:26:53:15 00:26:56:18 這個氣球可以用兩種方法吹脹
00:26:57:02 00:27:01:18 把它吹脹或從外邊除掉所有空氣
00:27:02:04 00:27:05:07 或甚至打它
00:27:06:12 00:27:10:16 受傷的自我是
00:27:11:07 00:27:15:21 當外邊騰空了，氣球便脹大
00:27:16:22 00:27:18:21 另一個自我，自我脹大是
00:27:19:04 00:27:22:04 當氣球充滿了氣
00:27:22:13 00:27:23:19 兩者都是一樣
00:27:24:01 00:27:24:24 我是說無論你用這種或那種方法
00:27:25:08 00:27:28:08 結果都是一樣的
00:27:28:18 00:27:32:16 當你明白這是自然法則的表現
00:27:33:00 00:27:35:22 你不單會患上所有這些疾病
00:27:36:05 00:27:39:14 還會在很年輕時精神失常
00:27:39:23 00:27:43:13 因為你不懂怎樣面對自己
00:27:43:22 00:27:46:16 如果你做錯事，最佳方法是
00:27:46:23 00:27:48:04 馬上原諒自己：
00:27:48:11 00:27:50:06 馬上原諒自己，不要緊
00:27:50:15 00:27:54:10 是因為這樣我才會這樣做 – 不要緊
00:27:54:17 00:27:56:05 我不應這樣做
00:27:56:12 00:27:58:19 我不會再這樣做了
00:27:59:00 00:28:01:20 只要這麼說便能完全中和
00:28:02:03 00:28:03:17 除非你中和它
00:28:03:24 00:28:07:15 你仍會在這裡儲存着它，就是這意思
00:28:08:21 00:28:14:23 第二件我要告訴你們的是西方的女性
00:28:15:23 00:28:20:11 改變了她們的行事作風，這樣對她們的
00:28:20:19 00:28:23:18 社會十分危險的，因為她們也學了男士
00:28:24:02 00:28:26:04 那自我的一套
00:28:26:13 00:28:29:15 如果男人走了十尺
