00:17:18:22 00:17:26:01 今天是在奥地利
00:21:14:12 00:21:17:15 也可以运用它们来保护
00:21:17:15 00:21:19:20 和滋润人类
00:21:25:07 00:21:28:20 同样的武器可以用于错误的用途
00:21:29:13 00:21:31:07 但若能正确运用
00:21:33:15 00:21:41:10 则可以被奉献用于神的工作
00:21:44:04 00:21:46:23 所有人类创造的
00:21:51:09 00:21:53:23 外面好像是
00:21:55:20 00:22:01:09 专供毁灭的工具
00:22:02:14 00:22:06:17 若人类运用他们的智慧
00:22:08:12 00:22:10:15 会发现
00:22:11:04 00:22:16:10 这些发明
00:22:17:15 00:22:23:13 这些受无意识启发而发明的工具，
00:22:24:07 00:22:27:14 都是为了神的工作而创造的
00:22:28:15 00:22:30:17 所有科学的研究
00:22:30:24 00:22:33:04 所有这些工作
00:22:33:18 00:22:36:15 所有你制造的工具
00:22:37:07 00:22:40:04 都是为神能使用而出现
00:22:41:02 00:22:43:01 我们可以说，
00:22:43:01 00:22:46:22 人类的任务是去
00:22:48:16 00:22:54:04 创造方法，藉由工具，
00:22:57:07 00:23:03:02 社交，经济，政治机构
00:23:07:16 00:23:12:24 提升神的工作的机制
00:23:14:14 00:23:17:14 无意识是藉由人类运作
00:23:19:14 00:23:22:06 所有这些机构
00:23:22:14 00:23:24:20 若它们是向着正确方向
00:23:27:04 00:23:33:05 而不是地狱的方向
00:23:36:03 00:23:39:14 全都可以团结一致
00:23:42:15 00:23:46:15 去完成上天的工作
00:23:49:05 00:23:56:00 就如在东方，人们相信
00:23:56:17 00:24:01:10 人类漂亮的躯体是神创造的
00:24:01:22 00:24:04:14 而人类要做的
00:24:05:14 00:24:14:03 只是创造漂亮的，充满美感的衣服
00:24:14:14 00:24:16:15 增添神创造的美丽
00:24:16:15 00:24:20:04 荣耀神创造的美丽
00:24:22:11 00:24:26:08 尊重神创造的美丽
00:24:30:06 00:24:33:08 这些事情
00:24:34:08 00:24:37:17 在很多生命的领域，
00:24:37:17 00:24:40:22 很多人类的活动里都在发生
00:24:41:08 00:24:43:17 若他们能好好地运用他们的智慧
00:24:50:14 00:24:54:17 我之前曾经
00:24:56:16 00:24:58:20 讨论过的知识
00:24:59:02 00:25:01:19 要理解知识是非常重要的
00:25:04:06 00:25:07:08 这些知识曾经被禁止，
00:25:07:08 00:25:10:10 就如亚当和夏娃
00:25:11:02 00:25:14:13 要人类理解他们是一个大问题
00:25:16:05 00:25:19:12 是这样的，
00:25:19:12 00:25:23:09 当神创造人类
00:25:25:01 00:25:28:09 因为上天的存有是完美的
00:25:31:04 00:25:32:12 祂想看看
00:25:32:12 00:25:35:01 这些人类可否
00:25:35:13 00:25:40:09 在数量，在意识，
00:25:40:21 00:25:42:20 在纯真都成长
00:25:45:23 00:25:50:20 他们能否变得有自觉
00:25:53:20 00:25:56:23 这是一个实验
00:25:57:20 00:26:01:01 那时候的人类在这实验中令神很失望
00:26:01:23 00:26:06:01 因为他们听信了卑劣的
00:26:06:07 00:26:07:05 怂恿和提示
00:26:16:15 00:26:18:20 因此他们失败了，
00:26:19:02 00:26:21:02 失去了纯真
00:26:21:04 00:26:28:18 失去纯真是人类犯的
00:26:29:20 00:26:32:01 第一个罪过(sin)
00:26:32:10 00:26:36:23 这罪过
00:26:39:04 00:26:40:23 令人类转向
00:26:41:12 00:26:45:01 现在，这不是真正的知识
00:26:45:01 00:26:47:16 不是我在说的知识
00:26:47:16 00:26:51:12 是avidya(无明)，是假知识
00:26:51:12 00:26:54:07 那种「我是某某」
00:26:54:21 00:27:00:18 还有「我是作事者」，全是自我(ego)
00:27:02:17 00:27:06:07 在畜性的阶段，是没有自我的
00:27:06:13 00:27:09:18 自我开始生长
00:27:09:18 00:27:12:12 我们可以说
00:27:12:12 00:27:14:04 这是原罪的开始
00:27:14:04 00:27:16:07 即是「我是某某
00:27:16:07 00:27:18:07 我正在做着某些事情
00:27:18:07 00:27:21:04 只有我才能做到。」真的吗？
00:27:21:04 00:27:22:08 神便会说︰
00:27:22:08 00:27:25:20 「让我看看，让我看看他们这点小小的勇气
00:27:27:01 00:27:29:00 就让他们自己决定吧。」
00:27:29:23 00:27:31:23 原本的计划改变了
00:27:32:19 00:27:36:08 有人想，需要有
00:27:36:14 00:27:39:05 降世神祇降临地球
00:27:39:17 00:27:42:08 帮助这些人，指引这些人
00:27:42:08 00:27:44:20 令他们平衡
00:27:45:15 00:27:49:08 令他们对正法有正确的理解
00:27:50:11 00:27:56:03 那么他们才能保持平衡
00:27:56:13 00:28:01:18 但这个「我」每一次都不接受平衡
00:28:03:03 00:28:09:04 这个「我」仍然远离实相
00:28:10:13 00:28:15:07 今天也一样。当我们来到霎哈嘉瑜伽
00:28:16:01 00:28:17:18 我看到他们不能
00:28:18:07 00:28:20:13 很快的成长
00:28:20:13 00:28:24:04 因为这个「我」，他们有质疑
00:28:25:01 00:28:28:24 有疑惑，有问题
00:28:29:10 00:28:31:15 因为原罪
00:28:32:21 00:28:36:15 人们不能很快的成长
00:28:37:23 00:28:41:07 这个︰「我是那一位，我是自由的
00:28:41:19 00:28:44:18 为什么会这样？为什么会那样？」
00:28:45:08 00:28:47:21 你是谁去提问？
00:28:48:02 00:28:49:16 是谁制造你？
00:28:49:16 00:28:52:01 你是否自己制造自己？
00:28:52:01 00:28:54:21 你做了些什么成为人类？
00:28:54:21 00:28:59:05 为什么你对神会有这种我执的行为
00:28:59:16 00:29:02:01 「神为什么创造我们，为什么？」
00:29:02:01 00:29:04:18 你是谁，竟去问什么？
00:29:05:21 00:29:08:15 事情就是这样，这种质问继续
00:29:08:15 00:29:10:15 这类人是非常危险的
00:29:11:04 00:29:12:18 对霎哈嘉瑜伽来说
00:29:13:20 00:29:19:07 若他们来参加崇拜，我有点担心
00:29:19:18 00:29:22:07 担心的不是有什么会发生在崇拜里
00:29:22:07 00:29:25:06 而是我们可能会失去他们
00:29:25:06 00:29:28:20 这种自我、愚蠢的人会迷失
00:29:28:20 00:29:33:03 作为母亲，我对他们只是单纯的慈悲和爱心
00:29:34:03 00:29:38:22 我感到很伤感，他们本可以得救的
00:29:39:04 00:29:41:14 但他们这些充满疑惑的思绪
00:29:41:14 00:29:43:11 却把他们淹死
00:29:43:20 00:29:45:14 这就是人类自己创造的
00:29:45:14 00:29:48:06 最基本的原罪
00:29:48:18 00:29:50:09 除此之外
00:29:50:15 00:29:53:14 我们的问题是
00:29:53:20 00:29:56:06 从畜牲的阶段到现在这阶段
00:29:56:14 00:30:03:11 内在仍然拥有畜牲野蛮的制约
00:30:04:18 00:30:08:06 我们也经历其它制约
00:30:08:14 00:30:13:15 在历史上
00:30:13:22 00:30:16:03 它们也是同一个「我先生」创造的
00:30:16:17 00:30:18:15 是「我先生」开创了机构
00:30:19:18 00:30:22:06 组织了宗教
00:30:22:12 00:30:24:22 以基督教为例
00:30:25:20 00:30:28:12 基督来是要打破你们的自我
00:30:28:22 00:30:32:11 但相反，人们却建立一个大自我
00:30:32:18 00:30:35:10 现在，有些霎哈嘉瑜伽士
00:30:35:16 00:30:37:10 相信霎哈嘉瑜伽
00:30:37:19 00:30:40:02 是基督教霎哈嘉瑜伽，
00:30:40:02 00:30:42:01 或是印度教霎哈嘉瑜伽
00:30:42:08 00:30:46:08 这种情况持续着，延续着
00:30:46:21 00:30:49:05 这是基督教霎哈嘉瑜伽
00:30:49:05 00:30:52:01 对基督徒，这必须是基督教霎哈嘉瑜伽
00:30:52:16 00:30:55:13 对印度教徒，这必须是印度教霎哈嘉瑜伽
00:30:56:16 00:30:59:02 对穆斯林，这是伊斯兰教霎哈嘉瑜伽
00:30:59:08 00:31:00:16 它必须与伊斯兰有关连
00:31:00:16 00:31:02:22 他们不能摆脱自己的制约
00:31:03:04 00:31:04:13 任何事物，必须与他们的宗教有联系
00:31:04:19 00:31:06:18 也必须能以他们的宗教来解释
00:31:06:18 00:31:08:22 他们不能抽身，你看到吗？ 
00:31:09:04 00:31:11:10 它也可能是天主教霎哈嘉瑜伽
00:31:11:10 00:31:13:10 或是新教徒霎哈嘉瑜伽
00:31:13:10 00:31:16:01 或什至比这些更加深入的
00:31:16:01 00:31:18:01 就像这样，你看，情况持续
00:31:18:01 00:31:19:23 你把霎哈嘉瑜伽推向
00:31:19:23 00:31:21:12 你自己的类别
00:31:21:12 00:31:24:02 你自己狭隘的喜好里
00:31:24:16 00:31:26:22 但霎哈嘉瑜伽却是相反的
00:31:26:22 00:31:31:04 它是海洋，是普世的
00:31:31:04 00:31:32:18 是伟大的瑜伽
00:31:32:24 00:31:35:08 它不单是为基督徒，印度教徒，穆斯林
00:31:35:08 00:31:39:23 也为了所有人类而存在
00:31:41:01 00:31:43:16 有没有动物是基督徒
00:31:43:16 00:31:45:15 印度教徒或穆斯林？
00:31:45:21 00:31:48:15 这些想法全都只是源自原罪
00:31:48:21 00:31:51:01 我们是某某，我们是基督徒
00:31:51:01 00:31:53:08 我们是印度教徒，我们是穆斯林
00:31:53:08 00:31:56:02 在霎哈嘉瑜伽，我们必须明白
00:31:56:02 00:31:59:12 所有河流，无论恒河
00:32:00:01 00:32:01:19 亚穆纳河
00:32:02:04 00:32:03:23 泰晤士河
00:32:04:04 00:32:06:01 多瑙河，任何河流
00:32:06:07 00:32:09:24 都是流向同一个海洋，最终变成海洋
00:32:10:15 00:32:12:11 他们说，当所有的河流
00:32:12:11 00:32:14:05 流入恒河
00:32:14:11 00:32:18:07 大家都称它们为Surasari，意思是诸神的河流
00:32:18:07 00:32:21:00 没有人再以
00:32:21:00 00:32:24:11 别的名字称呼它们
00:32:24:11 00:32:27:08 同样，霎哈嘉瑜伽就是海洋
00:32:27:15 00:32:28:19 你不能为它命名
00:32:29:02 00:32:33:10 不要尝试从其它事物中找出它的身分
00:32:33:10 00:32:35:16 若你这样做，你的脑袋便会
00:32:35:24 00:32:40:16 变得像小杯子
00:32:41:04 00:32:44:23 而且，若你是来自某些有组织的宗教
00:32:44:23 00:32:47:21 明白有组织的宗教
00:32:48:03 00:32:50:20 令你的杯子更坚固是很重要的，它不会溶解
00:32:51:03 00:32:52:11 若这是没有组织的宗教，
00:32:52:11 00:32:55:15 就如用陶土做的杯子
00:32:55:21 00:32:57:11 会在海洋中溶解
00:32:57:17 00:33:00:04 但若它是坚固的好瓷器
00:33:01:14 00:33:04:21 「Meissen」(德国出产的瓷器)杯子，便没有可能会溶解了
00:33:05:04 00:33:08:01 你依附着所有这些思想制约
00:33:08:17 00:33:12:07 这些牢不可破之处，那就非常困难了
00:33:12:14 00:33:14:21 你要常常把基督引入
00:33:15:04 00:33:17:03 把穆罕默德引入
00:33:17:09 00:33:19:00 把琐罗亚斯德(祆教始创人)引入
00:33:19:07 00:33:23:03 必须有这样的人来指引你
00:33:23:20 00:33:26:04 现在指引你的是你的灵
00:33:26:04 00:33:27:18 灵是无限的
00:33:27:18 00:33:29:23 所以你不再需要把这些人引入
00:33:29:23 00:33:31:09 他们全都在你内里，
00:33:31:15 00:33:33:10 是你的一部分
00:33:33:16 00:33:36:13 若你仍只黏附着他们任何一位
00:33:36:13 00:33:39:13 这便是你仍未扩展前进的征兆
00:33:39:24 00:33:42:09 你知道你就是全部
00:33:42:09 00:33:44:18 你内里有锡吕‧克里希纳，祂已经被唤醒
00:33:45:00 00:33:46:11 你内里有基督
00:33:46:20 00:33:49:04 你内里有格涅沙
00:33:49:12 00:33:51:09 你内里有梵天婆罗摩
00:33:51:17 00:33:53:17 你内里有穆罕默德
00:33:54:00 00:33:55:08 你内里有祂们每一位
00:33:55:15 00:33:57:11 摩西，每一位都在你内里
00:33:57:18 00:34:00:12 你怎能只认同于他们其中一位？
00:34:00:22 00:34:03:09 原因是你仍有思想制约
00:34:03:17 00:34:07:08 你仍想把他拖入你的制约内
00:34:08:17 00:34:14:22 所以请尝试把他带到一个完全没有制约的位置
00:34:14:22 00:34:17:18 我们可以看到，我们的思想制约
00:34:18:12 00:34:20:23 对我们的个人风格起了很差很大的作用
00:34:21:07 00:34:31:05 人类习惯把自己封闭在某个派别里
00:34:31:13 00:34:32:19 无论这派别是否是属于我们的
00:34:33:02 00:34:37:02 首先我们以「我」来封闭自己。「我是甲乙丙」
00:34:37:10 00:34:40:05 跟着我们联成一党
00:34:40:15 00:34:46:05 就像︰「我们是属于用刀叉的类别。」
00:34:46:05 00:34:48:18 以同样方式
00:34:48:18 00:34:51:03 用刀叉的人可能联合起来
00:34:51:03 00:34:54:07 另一些以另一种方式用刀叉的人也可能联合起来
00:34:54:14 00:34:55:24 你们看看，这种情况持续着
00:34:56:06 00:34:57:20 各式各样人类的荒唐
00:34:58:01 00:34:59:18 就是这样联合起来
00:34:59:18 00:35:02:08 好吧，就以你喜欢的方式去做吧，没有什么分别了
00:35:02:14 00:35:06:03 你们吃着相同的食物，以同样的方式消化食物
00:35:06:09 00:35:08:12 以同样的方式运作，不过，说到外表
00:35:08:18 00:35:10:09 说到人类的活动
00:35:10:09 00:35:12:10 他们以不同方式来用叉和匙
00:35:12:10 00:35:14:15 有人用手，用手指
00:35:14:21 00:35:17:20 有人会…我也不知道，或许用小刀
00:35:17:20 00:35:20:23 我也不知道他们可以到怎样的程度
00:35:21:09 00:35:22:15 就是这样，
00:35:22:15 00:35:27:16 在做某些事情时，任何活动
00:35:27:24 00:35:32:01 只有人类会建立封闭的循环
00:35:32:08 00:35:34:21 「这是我们的做事方式，这是他们的。」
00:35:35:04 00:35:41:12 怎会是这样，另一些人们的方法
00:35:41:18 00:35:44:04 这种联群结党是最差劲的
00:35:44:12 00:35:47:24 违反大自然的规律
00:35:47:24 00:35:53:03 你是独立的个体，你的外表
00:35:53:09 00:36:01:00 你的头髪颜色
00:36:01:06 00:36:03:01 你的眼睛颜色
00:36:03:08 00:36:05:09 神就是创造你成为这个模样
00:36:05:09 00:36:10:00 所有你创造的事物都是死的
00:36:10:00 00:36:14:00 所有你创造的群党方法
00:36:14:00 00:36:17:16 是絶对毫无价值
00:36:17:22 00:36:19:09 都是虚构
00:36:19:17 00:36:21:17 不真实
00:36:21:17 00:36:24:05 没有参考价值
00:36:24:11 00:36:26:06 全都是虚构的
00:36:26:16 00:36:30:12 所以我们必须明白
00:36:30:20 00:36:33:14 在霎哈嘉瑜伽，没有什么是基督教霎哈嘉瑜伽
00:36:33:22 00:36:36:14 新教霎哈嘉瑜伽
00:36:36:22 00:36:38:12 或天主教霎哈嘉瑜伽
00:36:38:19 00:36:42:05 我发现在很精微的层面
00:36:42:11 00:36:44:17 当人们谈论合群
00:36:44:24 00:36:47:21 他们不明白自己并不合群(collective)
00:36:48:02 00:36:50:16 因为我们有太多标签
00:36:50:24 00:36:52:13 黏附着我们
00:36:52:19 00:36:58:24 就如我们言行举止的制约
00:36:59:05 00:37:01:00 可以是在瑞士
00:37:01:06 00:37:02:16 可以是在奥地利
00:37:02:16 00:37:06:17 可以是在罗马，又或是在印度，或是在任何地方
00:37:06:24 00:37:08:24 这些制约，我们必须摆脱。
00:37:08:24 00:37:11:21 我们必须知道我们是人类，是神创造的
00:37:12:04 00:37:17:17 无论什么在我们内里，都是真实的，是神创造的
00:37:18:03 00:37:22:04 是唯一我们需要变成的
00:37:22:10 00:37:24:03 所有其它的制约，
00:37:24:09 00:37:25:24 都必须把它们摆脱
00:37:26:20 00:37:28:23 各种事物都是互相补足
00:37:29:04 00:37:31:07 你这里学一点
00:37:31:15 00:37:33:09 那里学一点
00:37:34:15 00:37:37:06 每一处都有值得学习和
00:37:37:17 00:37:39:10 和理解的事物
00:37:39:21 00:37:44:02 没有什么是可以
00:37:44:13 00:37:47:22 因为它比较高或比较低而能留住
00:37:48:04 00:37:51:12 当然，当自我越发展
00:37:51:24 00:37:54:10 原罪也越发展
00:37:54:24 00:37:56:18 这类人有可能
00:37:56:18 00:38:03:02 创造出越来越多的思想制约
00:38:04:02 00:38:06:17 很自然制约也越来越多
00:38:06:17 00:38:10:03 又或他们完全没有
00:38:11:00 00:38:12:04 移往宗教，
00:38:12:04 00:38:15:06 移往神，只是黏附着…
00:38:15:13 00:38:17:24 就像，你可以说，在非洲和很多地方
00:38:18:08 00:38:21:06 制约可能
00:38:21:17 00:38:24:17 来自其它力量
00:38:24:24 00:38:27:24 被称为Adibhautik
00:38:28:05 00:38:31:14 意思是从神的创造中
00:38:32:00 00:38:34:14 再创造出来
00:38:34:22 00:38:36:11 就像当他们看见月亮
00:38:36:17 00:38:38:11 他们害怕月亮
00:38:38:19 00:38:39:19 当他们看见树木
00:38:40:00 00:38:41:19 他们害怕树木
00:38:42:02 00:38:46:17 这些都是对大自然虚构(神话mythical)的念头
00:38:47:03 00:38:49:14 有两种形式，
00:38:49:21 00:38:51:03 你们都知道
00:38:51:10 00:38:55:20 其中一种是他们从大自然
00:38:56:02 00:38:57:11 创造出一些虚构的想法
00:38:57:17 00:38:59:20 大自然神话的一面
00:39:00:03 00:39:02:02 这是Adibhautik和
00:39:02:09 00:39:04:22 Adidaivik，都是你制造的
00:39:05:03 00:39:07:00 虚拟念头
00:39:07:00 00:39:13:02 你是神，你是仙人(Devas)
00:39:13:08 00:39:14:17 你想创造︰
00:39:14:17 00:39:16:08 「我是这样，我是那样。」
00:39:16:08 00:39:20:02 就这样有两种思想制约在运作
00:39:20:15 00:39:23:10 现代是那么混乱
00:39:23:18 00:39:25:12 有两方面
00:39:25:12 00:39:27:13 我也不知道他们在哪里运作
00:39:27:20 00:39:30:02 例如，某天我走近
00:39:30:23 00:39:36:09 维也纳的一处坟地
00:39:36:16 00:39:38:24 我很惊讶的是，在坟地
00:39:39:06 00:39:42:04 我感到右腹轮有感染
00:39:42:04 00:39:44:20 我因此说︰「所有亡灵必定正在行动
00:39:44:20 00:39:47:07 我真的不明白在坟地里，
00:39:47:20 00:39:51:14 怎会是右腹轮感染？」
00:39:52:09 00:39:54:03 是这样解释的
00:39:54:11 00:39:56:07 现在所有的亡灵都很活跃
00:39:56:15 00:39:58:15 或许他们再次出生。明白嘛，
00:39:58:21 00:40:00:17 他们必定已经死过千百次
00:40:00:23 00:40:02:14 制造一个又一个墓穴
00:40:02:14 00:40:05:18 只是现在墓穴都是空的，他们又再活跃
00:40:05:18 00:40:08:01 或许这些亡灵现在很活跃，
00:40:08:01 00:40:09:02 但他们不在这里
00:40:09:02 00:40:11:18 全都消失了，可能是这样吧
00:40:12:01 00:40:14:07 因此我们要以生命能量来评价事物
00:40:14:07 00:40:15:24 不要以我们的理解
00:40:16:07 00:40:20:01 我们认为的，或是藉由我们
00:40:20:01 00:40:21:07 这个头脑去理解
00:40:21:13 00:40:25:10 藉由提问，说话太多
00:40:25:10 00:40:27:07 是不能明白霎哈嘉瑜伽
00:40:27:13 00:40:28:24 对霎哈嘉瑜伽，你必须拥有
00:40:29:05 00:40:30:19 超级状态的头脑
00:40:31:02 00:40:32:19 藉此你可以接收生命能量
00:40:33:01 00:40:35:10 感觉生命能量
00:40:35:16 00:40:38:07 完全认同于生命能量
00:40:38:07 00:40:43:09 若你仍然有自我的标签
00:40:43:09 00:40:45:08 仍然质疑霎哈嘉瑜伽
00:40:45:17 00:40:47:11 仍然不停的只想着自己
00:40:47:11 00:40:49:01 这类人还是不要
00:40:49:01 00:40:50:23 参加崇拜
00:40:51:05 00:40:53:19 不参加崇拜对他们是最好的
00:40:54:00 00:40:55:20 有怀疑的人也
00:40:55:20 00:40:58:20 不应参加崇拜
00:40:59:03 00:41:00:22 因为崇拜只为已经到达
00:41:01:03 00:41:03:15 被称为nirvikalpa(无疑惑)
00:41:03:15 00:41:05:20 的知觉状态的人而设
00:41:05:20 00:41:08:16 没有vikalpa，脑海中没有怀疑。
00:41:08:22 00:41:10:13 若你仍有怀疑
00:41:10:21 00:41:13:14 思维仍然很有力量
00:41:13:14 00:41:15:13 它会把你拉下
00:41:15:21 00:41:18:18 所以在崇拜前，请告诉你的思维要安静
00:41:18:18 00:41:21:01 告诉它不要说话
00:41:21:08 00:41:24:15 「最好保持安静，我现在要升进
00:41:25:06 00:41:27:17 我要接受上天的祝福，
00:41:27:23 00:41:31:01 请保持安静，若你不能安静，
00:41:31:23 00:41:34:07 我便不能升进。」
00:41:34:15 00:41:37:09 我曾经告诉你很多次，就像一只驴子
00:41:37:18 00:41:40:03 思维就像驴子
00:41:40:16 00:41:43:09 若你走在驴子的后面，牠踢你
00:41:43:22 00:41:45:00 牠会告诉你，
00:41:45:06 00:41:48:00 你是坏人，你是最差劲的人
00:41:48:06 00:41:50:00 所有自叹自怜都会出现
00:41:50:06 00:41:52:19 若你走在驴子的前面
00:41:53:00 00:41:56:12 牠会把牠的耳朵向着你，你可以像抓着自我一样抓住牠
00:41:56:12 00:41:59:11 你可以走到任何你想到的地方，做任何你喜欢的事情
00:41:59:19 00:42:01:08 「有什么不对？」，牠不会控制你
00:42:01:08 00:42:03:10 若你坐在驴子上
00:42:03:16 00:42:07:10 牠仍会开你玩笑，看你怎样解决
00:42:08:06 00:42:12:06 所以若你容许你的思维
00:42:12:17 00:42:15:17 藉由你的双眼，你的注意力，
00:42:16:01 00:42:19:03 你的舌头或你的感官往这样那样走，它会说︰「好吧。」
00:42:19:03 00:42:21:09 牠只会吃在旁边的草，牠不会移动
00:42:21:09 00:42:23:19 只会移向这边，吃一点草，再移向那边
00:42:24:01 00:42:25:17 (葛雷瓜︰这时候，我可否很快
00:42:25:23 00:42:27:18 把你刚才说的，
00:42:27:18 00:42:29:02 为不懂英文的法国人翻译？)
00:42:29:02 00:42:30:13 啊！你想把我说的全部都翻译？
00:42:30:13 00:42:32:01 (葛雷瓜︰只花二分钟)
00:42:32:01 00:42:34:06 葛雷瓜，迟一点才翻译吧
00:42:34:12 00:42:38:17 这样会比较好，现在很流畅，好吗？
00:42:40:13 00:42:47:04 这只驴子，牠想吃草
00:42:47:04 00:42:49:20 牠知道你不介意牠吃草
00:42:49:20 00:42:51:15 好吧，牠四处走，吃青草
00:42:51:21 00:42:53:23 各种污垢的，肮脏的，无论是什么
00:42:53:23 00:42:56:18 无论牠吃什么你都淮许，继续的吃
00:42:56:18 00:42:58:15 所有肮脏的东西，所有肮脏的思想
00:42:58:21 00:43:00:19 所有污垢的思维，所有这类的东西
00:43:00:19 00:43:02:10 没有任何疑问，你看？
00:43:02:10 00:43:04:13 只有在霎哈嘉瑜伽，他们才有疑问
00:43:04:13 00:43:07:07 而不是当他们吃污秽，肮脏，
00:43:07:13 00:43:11:23 各种不神圣和罪孽的东西，那时他们却没有任何质疑
00:43:12:13 00:43:14:04 他们只会说︰「有什么不对呢？」
00:43:14:04 00:43:17:02 但当他们来到霎哈嘉瑜伽，便会质疑。
00:43:17:15 00:43:19:09 霎哈嘉瑜伽是神圣中最神圣的
00:43:20:09 00:43:22:02 伟大中最伟大的，
00:43:22:10 00:43:24:02 只有这些大门是为你们开启
00:43:24:02 00:43:27:04 这就是你怎能得到，不然是不可以的
00:43:27:10 00:43:30:16 是禁止所有人到达的。
00:43:33:19 00:43:39:23 清洗我双脚的水是神圣的甘露
00:43:41:05 00:43:43:04 是tirtha
00:43:43:12 00:43:46:24 在古时，什至医生也禁止使用
00:43:46:24 00:43:50:05 是不容许的，你们必须争取
00:43:50:12 00:43:52:13 本来只容许天神喝的
00:43:53:10 00:43:55:05 本来只容许天神喝的
00:43:55:12 00:43:57:15 今天，你安置在天神的位置，
00:43:57:15 00:44:00:02 你有否这个能耐？
00:44:00:10 00:44:03:01 你是否配得上？
00:44:03:09 00:44:04:18 又或你仍然在质疑
00:44:04:24 00:44:07:04 仍然有问题？
00:44:07:13 00:44:10:02 所以还是禁止你比较好
00:44:10:09 00:44:14:15 这是很罕有的你能拿取这些神圣甘露
00:44:15:17 00:44:17:11 若你曾阅读Devi Purana Bhagavatam
00:44:17:11 00:44:20:14 人们禁止去拿取它
00:44:20:22 00:44:21:23 就是这样
00:44:22:05 00:44:25:02 思维像驴子一般走
00:44:25:08 00:44:30:12 若驴子知道谁骑着牠
00:44:31:20 00:44:33:06 知道他想往何处去
00:44:34:02 00:44:36:05 而骑驴的人也知道怎样控制思维
00:44:36:05 00:44:38:21 知道在那里可以成就到
00:44:38:21 00:44:41:23 同一只驴子，同样的器具
00:44:41:23 00:44:43:04 同样的机构
00:44:43:04 00:44:46:01 同样的东西在你周遭，
00:44:46:15 00:44:50:02 却能以更快的速度
00:44:51:04 00:44:53:10 更舒适的把你带到这里
00:44:53:10 00:44:56:04 所以今天告诉你的思维
00:44:56:12 00:44:59:04 我们已经受够了
00:44:59:10 00:45:00:12 与你的思维开玩笑
00:45:00:18 00:45:05:23 我现在想在神的领域里
00:45:39:10 00:45:41:09 告诉你的脑袋，告诉你的思维
00:45:41:09 00:45:42:12 这是很重要的
00:45:42:12 00:45:45:01 思维把你带往各种事物里
00:45:45:09 00:45:47:23 给你污秽和肮脏的东西
00:45:48:06 00:45:50:14 所以要告诉你的思维
00:46:10:09 00:46:12:04 愿神祝福你们
00:46:13:03 00:46:14:22 所以，今天的主题是
00:46:14:22 00:46:17:12 我们必须到达我们
00:46:17:18 00:46:20:17 内在的纯真
00:46:21:04 00:46:24:04 感觉宇宙大我的纯真
00:46:24:14 00:46:28:03 格涅沙宇宙大我(Ganesha Virata)
00:46:28:03 00:46:30:00 或可以说是宇宙大我格涅沙(Virata Ganesha)
00:46:30:06 00:46:34:03 在宇宙大我，我们要感觉到纯真
00:46:34:09 00:46:39:01 才能变得纯真，我们的罪也冲走
