00:07:31:12 00:07:39:17 我向所有真理的追寻者致敬
00:16:22:02 00:16:23:09 所有这些便由此展开
00:16:24:06 00:16:27:11 左边是bhakti(虔敬)
00:16:28:20 00:16:32:14 人们开始盲目的敬拜神
00:16:33:04 00:16:34:17 走向神
00:16:35:03 00:16:37:01 上庙宇，上教堂敬拜
00:16:37:12 00:16:38:13 相信圣人
00:16:38:24 00:16:41:23 印度是特别的得天独厚
00:16:42:10 00:16:44:18 因为我们的知识都是来自圣人
00:16:45:02 00:16:48:16 虽然是有点分歧，有点停滞不前
00:16:49:05 00:16:52:16 但知识都是来自圣人
00:16:53:11 00:16:54:18 来自大先知(maharishis)
00:16:55:05 00:16:56:19 来自预言家
00:16:57:13 00:17:01:19 印度另一个优势是他们的宗教
00:17:02:08 00:17:03:23 并没有组织
00:17:04:12 00:17:06:11 没有组织管理它
00:17:07:00 00:17:08:03 这是个很大的祝福
00:17:09:06 00:17:10:15 虽然如此
00:17:11:03 00:17:15:24 在吠陀经的意识形态
00:17:16:12 00:17:19:23 变成某些思维上的幻象(maya)
00:17:22:04 00:17:25:01 我们因此有Arya Samaj和所有这些
00:17:25:15 00:17:26:15 这是很困难去了解
00:17:27:01 00:17:28:22 我是说若你遇见任何Arya Samaji 
00:17:29:10 00:17:31:02 你不知道怎样应付他们
00:17:31:13 00:17:34:02 只能不停的说话，说话---神知道
00:17:34:19 00:17:36:17 他说的那些知识
00:17:38:06 00:17:40:09 他仍未到达那层次
00:17:40:23 00:17:43:15 却满足於阅读来的资料
00:17:44:01 00:17:45:12 常常过度阅读
00:17:45:23 00:17:47:06 这就是卡比尔(Kabira)所说
00:17:47:18 00:17:50:04 "Padi padi pandita murkh bhayo"
00:17:50:15 00:17:53:07 过度的阅读，即使大贤大圣者也会变蠢
00:17:53:18 00:17:55:13 我过往时常奇怪，怎会这样？
00:17:55:13 00:17:58:21 我现在就遇见很多这类人
00:17:59:14 00:18:03:10 问题是透过阅读，你不会
00:18:05:04 00:18:06:16 知道最终
00:18:07:09 00:18:09:02 就如医生
00:18:09:13 00:18:11:11 给你治头痛的药
00:18:11:21 00:18:13:13 要你吃Anacin 
00:18:14:02 00:18:15:14 你阅读处方︰
00:18:15:24 00:18:17:21 Anacin，要吃Anacin
00:18:18:02 00:18:19:19 头痛会增加或减少？
00:18:20:05 00:18:21:22 你必须吃药
00:18:22:19 00:18:24:23 《吠陀经》是这样写的
00:18:25:06 00:18:27:05 你要找出真我
00:18:27:23 00:18:31:06 同样，部分的《吠陀经》的内容与《奥义书》(Upanishadas)是一样的
00:18:31:15 00:18:33:12 从头到尾《奥义书》都在说
00:18:33:20 00:18:35:09 你要找出真我
00:18:35:20 00:18:37:21 即使是帕坦伽利(Patanjal)的《瑜伽经》(Shastra)
00:18:38:15 00:18:42:12 你读过它，它开始有很少部分是描述vyayama
00:18:42:21 00:18:43:07 即
00:18:43:13 00:18:44:18 ashtanga(瑜伽式子)
00:18:45:01 00:18:47:01 很少部分说
00:18:47:07 00:18:50:19 怎样处理所谓的身体毛病
00:18:51:02 00:18:52:19 在霎哈嘉瑜伽也有用它
00:18:53:08 00:18:56:06 但只是有毛病时才用
00:18:57:02 00:19:01:08 不像每个人那样，都去做练习
00:19:01:17 00:19:02:19 因此得了心脏病
00:19:03:01 00:19:04:05 各种毛病
00:19:05:15 00:19:07:05 热力，高血压
00:19:08:03 00:19:09:11 有时低血压
00:19:09:18 00:19:10:20 有时高血压
00:19:11:06 00:19:13:03 他们才来告诉我︰「母亲，我在做瑜伽
00:19:13:10 00:19:14:09 你看…
00:19:14:17 00:19:16:10 我们不单是肉身的存在体
00:19:17:01 00:19:18:18 也不单是思维的存在体
00:19:19:09 00:19:20:18 亦不单是情感的存在体
00:19:21:01 00:19:22:12 我们还是灵性的存在体
00:19:23:24 00:19:27:11 印度第二种取向
00:19:27:18 00:19:28:19 是bhakti(虔敬)
00:19:29:08 00:19:30:21 虔敬是可以的
00:19:31:03 00:19:32:10 上庙宇
00:19:32:19 00:19:35:23 却开始堕落
00:19:35:23 00:19:38:12 不明白什么是虔敬
00:19:38:20 00:19:41:12 克里希纳在薄伽梵歌就是这样说
00:19:41:22 00:19:44:09 你必定知道克里希纳是外交家
00:19:44:17 00:19:45:15 祂不是母亲
00:19:45:22 00:19:47:14 祂知道人类是怎么样的
00:19:47:21 00:19:50:24 祂要他们绕圈子的找寻真理
00:19:51:09 00:19:54:09 因为没有人喜欢直接
00:19:54:18 00:19:58:04 特别在那时候，祂只告诉亚周那
00:19:59:08 00:20:02:13 祂向他们说了三件事
00:20:02:19 00:20:04:02 从而你看到祂的外交手腕
00:20:04:08 00:20:06:00 若你能看透真相
00:20:06:08 00:20:10:24 祂最先说的是你要取得Gyana(知识)
00:20:13:23 00:20:15:14 祂不是个好的推销员
00:20:15:22 00:20:18:15 好的推销员不会马上把最好的推销给你
00:20:19:00 00:20:21:01 但祂说你必须先取得Gyana
00:20:21:09 00:20:24:06 就是这样。”Gyana”即在你的
00:20:24:14 00:20:26:03 中枢神经系统中的知识
00:20:28:09 00:20:30:03 祂说的第二件事是
00:20:30:12 00:20:32:04 你必须bhakti(虔敬)
00:20:32:13 00:20:37:19 无论你给我果实，花朵或水
00:20:38:02 00:20:38:24 我都会接受
00:20:39:08 00:20:41:16 但你必须要虔敬，即 ananya
00:20:42:02 00:20:43:18 ananya这个梵文 ──即
00:20:44:02 00:20:45:13 当你不是他人
00:20:45:21 00:20:47:14 当你是已得自觉的灵
00:20:48:00 00:20:50:08 若你没有连上
00:20:50:22 00:20:52:08 虔敬(bhakti)对你是什么？
00:20:52:16 00:20:53:16 很多人抱怨︰
00:20:53:22 00:20:55:16 母亲，我断食 
00:20:55:22 00:20:56:22 做各种事情
00:20:57:05 00:20:59:15 你看看我的状态 
00:21:00:00 00:21:01:20 我变得极之虚弱
00:21:02:06 00:21:04:03 不是神的错
00:21:04:10 00:21:05:18 你仍未连上
00:21:06:01 00:21:07:23 简单如打电话
00:21:08:07 00:21:10:16 若电话没有连线
00:21:10:24 00:21:12:23 又有什么用？
00:21:13:05 00:21:15:02 你误用了电话
00:21:16:02 00:21:18:15 没有连上的bhakti(虔敬)是错的
00:21:18:22 00:21:20:04 所以克里希纳说︰
00:21:20:11 00:21:23:21 「Yoga Kshema vam aham。」先取得瑜伽跟着才取得福祉(kshema)
00:21:24:22 00:21:27:00 你先要到达瑜伽
00:21:27:10 00:21:28:20 福祉才会来
00:21:29:05 00:21:31:00 不然是不能成事的
00:21:31:09 00:21:34:12 祂很巧妙的把瑜伽放在首位
00:21:34:22 00:21:37:00 祂为什么不说 kshema-yoga？
00:21:40:20 00:21:43:06 祂就是这样说虔敬
00:21:43:06 00:21:44:23 说到karma(业)
00:21:45:07 00:21:46:18 祂说︰「做一切的事情
00:21:47:07 00:21:50:21 把它放在大能的神的莲足下
00:21:51:24 00:21:53:07 这是不可能的
00:21:53:16 00:21:55:02 很多人说︰
00:21:55:21 00:22:00:08 母亲，我把所有事情都放在神的莲足下
00:22:00:08 00:22:04:05 我认为！即使是谋杀
00:22:04:05 00:22:06:16 这些想法只是来自思维
00:22:07:00 00:22:09:19 我把它放在神的莲足下
00:22:10:03 00:22:11:03 你不能
00:22:11:17 00:22:13:14 因为你仍未到达这个状态
00:22:13:22 00:22:15:20 霎哈嘉瑜伽士不会告诉我︰
00:22:15:20 00:22:19:02 我在提升灵量
00:22:19:10 00:22:22:07 他只会说︰「母亲，灵量没有升上来，没有升上来…」
00:22:22:07 00:22:25:19 当自己是第三者来说出这些话
00:22:27:24 00:22:30:23 他会说︰「它不会到这一边。」
00:22:31:09 00:22:32:16 当自己是第三者
00:22:33:01 00:22:34:16 因为他已经不在那里
00:22:36:22 00:22:38:16 这就是karma
00:22:39:00 00:22:42:07 自动的就在大能的神的莲足下
00:22:42:17 00:22:44:03 好吧，祂成就万事万物
00:22:44:17 00:22:46:02 我们只是工具
00:22:46:11 00:22:49:12 假如工具说︰「我在说话。」
00:22:49:22 00:22:51:00 你是不会接受的
00:22:51:00 00:22:52:17 同样，当我们说︰
00:22:52:24 00:22:55:17 「我把我的…」就像这是他们的责任
00:22:55:17 00:22:57:23 把它放在神的莲足下
00:22:58:18 00:23:00:01 不是这样，它是自动的
00:23:00:09 00:23:01:15 自然而然的
00:23:01:15 00:23:02:24 是霎哈嘉(sahaja)
00:23:03:21 00:23:06:22 是与生俱来的
00:23:07:07 00:23:10:13 你们内在全都有这个力量
00:23:10:13 00:23:12:09 有些书籍说
00:23:13:09 00:23:17:15 灵量是很危险的
00:23:18:02 00:23:20:17 这绝对是谬论。我告诉你
00:23:21:02 00:23:23:06 我到过很多国家
00:23:23:14 00:23:25:19 很多人已经得到自觉
00:23:26:03 00:23:28:23 自觉完全没有为他们带来任何麻烦
00:23:29:08 00:23:32:08 相反，他们各方面都得到改善
00:23:32:19 00:23:37:03 一夜之间，他们放弃毒品
00:23:38:01 00:23:39:10 改掉坏习惯
00:23:39:24 00:23:42:03 一夜之间他们都被治好
00:23:42:18 00:23:44:23 这是…我并没有做什么
00:23:45:09 00:23:47:07 我是说你们或许以为我做了些什么，我什么也没有做
00:23:47:16 00:23:49:12 是你的灵量成就的
00:23:50:02 00:23:53:04 它是怎样运作
00:23:53:15 00:23:56:00 怎样帮助你是很令人惊讶的
00:23:56:10 00:23:57:10 因为她是你的母亲
00:23:57:10 00:23:58:19 你个人的母亲
00:23:59:05 00:24:01:11 她知道你的一切
00:24:01:18 00:24:03:17 你也可以说，她把你的一切纪录下来
00:24:04:02 00:24:06:06 她卷曲成三圈半
00:24:06:14 00:24:09:19 是因为某些数学程式
00:24:10:19 00:24:12:23 当她上升
00:24:13:13 00:24:17:06 或许会散发一点热
00:24:17:14 00:24:20:11 你也可以说
00:24:21:04 00:24:23:22 因为她要有点挣扎才能升起
00:24:23:22 00:24:27:02 少少的热力有时会从一些人散发出来
00:24:27:12 00:24:29:02 假如你是个肝病病人
00:24:29:09 00:24:32:02 你的双手或许会感到少许热，只是这样
00:24:33:01 00:24:35:24 你们每一个人都有灵量
00:24:36:24 00:24:39:07 它是你内在的纯粹欲望
00:24:40:10 00:24:42:21 你们都知道，经济学的定律一般是
00:24:43:10 00:24:46:01 你的要求永远得不到满足
00:24:46:10 00:24:49:06 今天我们想要一所房子，明天想要一辆汽车
00:24:49:14 00:24:51:01 后天想要一架直升机
00:24:51:08 00:24:53:12 这样的要求不停的持续着
00:24:53:12 00:24:55:10 当我们的要求不能得到满足，我们便为此奋斗
00:24:55:10 00:24:59:01 当我们拥有了，却不享受
00:24:59:01 00:25:01:07 纯粹的欲望
00:25:02:00 00:25:08:06 是你能与无所不在的神的爱的力量合一
00:25:08:06 00:25:11:02 我们甚至从未想过有这个力量
00:25:11:12 00:25:12:24 我们视它为理所当然
00:25:13:15 00:25:15:22 我们看到一切的创造
00:25:16:08 00:25:18:19 看到漂亮的花朵
00:25:19:21 00:25:23:05 看到小小的种子长成大树
00:25:23:20 00:25:25:02 看看你的眼睛
00:25:25:14 00:25:27:14 它们是那么漂亮的照相机
00:25:28:00 00:25:29:09 谁制造它们？
00:25:29:20 00:25:33:00 谁令我们进化到这个阶段？
00:25:33:09 00:25:36:17 是什么力量令我们成为人类？
00:25:37:01 00:25:39:15 我们从没想过找出答案
00:25:40:00 00:25:42:24 因为科学是没法提供答案
00:25:43:17 00:25:45:09 一颗种子怎能发芽生长
00:25:45:16 00:25:48:12 我们怎会成为人类
00:25:49:05 00:25:52:04 我们只知道是这样的
00:25:52:10 00:25:54:13 却从不想知道什么是超越这些的
00:25:55:24 00:26:00:08 是大能的神散播这漂亮的生命能量(chaitanya)
00:26:00:14 00:26:02:03 四周都充满生命能量(prahmachaitanya)
00:26:02:17 00:26:03:19 若我这样说
00:26:04:02 00:26:07:11 你必须去体验才能告诉我它是否存在
00:26:07:20 00:26:09:09 若你只说「不」
00:26:09:19 00:26:12:03 代表你拒绝自己与
00:26:12:11 00:26:15:04 这个有生命的力量连上的机会
00:26:15:21 00:26:19:07 这个有生命的力量令我们进化，这是毋庸置疑的
00:26:19:20 00:26:21:09 它组织一切
00:26:21:09 00:26:23:06 创造一切
00:26:23:12 00:26:24:23 令一切有生命
00:26:25:21 00:26:28:12 还协调一切
00:26:28:19 00:26:29:22 限制一切
00:26:30:08 00:26:34:07 除此之外，它爱你们
00:26:34:19 00:26:38:03 它只想与你们一起进步
00:26:38:11 00:26:42:13 这样漂亮的力量是无所不能的
00:26:43:19 00:26:52:07 它进入每一个原子，进入每一个活生生的胚芽
00:26:52:22 00:26:55:12 每一个活生生的存在体
00:26:56:06 00:26:58:12 它是那么漂亮地运作
00:26:58:21 00:27:01:18 我们甚至感觉不到它的平静流畅
00:27:01:24 00:27:04:13 我们看不到花儿从花蕾到
00:27:04:21 00:27:07:05 盛放的整个过程，我们就是看不到
00:27:07:12 00:27:11:15 花儿从含苞到盛放，我们只说︰「噢！今天看这朵花。」
00:27:12:22 00:27:15:10 它是那么美妙，那么美丽
00:27:17:02 00:27:21:19 我们甚至不感到有它 
00:27:22:00 00:27:23:05 但它确实存在
00:27:23:12 00:27:27:11 除非我们与这个力量连上
00:27:29:01 00:27:33:18 我们是不会知道最终的实相
00:27:34:03 00:27:38:24 因为我们并没有注意我们内在的灵
00:27:39:13 00:27:41:21 它是我们的注意力的旁观者
00:27:42:04 00:27:44:05 当灵量升起
00:27:44:05 00:27:46:10 她通过六个能量中心
00:27:46:18 00:27:49:07 穿越脑囟骨区
00:27:49:15 00:27:52:05 这就是受洗的真正体验
00:27:52:13 00:27:59:10 这个灵就像光一样吸引我们
00:27:59:17 00:28:01:23 我们的神经有一个新的面向
00:28:02:06 00:28:06:17 这个新的面向令我们变成…
00:28:06:23 00:28:08:04 我要再说一次我们变成
00:28:08:11 00:28:10:17 这不单是讲座，不只是吹牛
00:28:10:23 00:28:14:06 也不是某些证书
00:28:14:12 00:28:17:10 而是你真的成为集体意识
00:28:19:04 00:28:20:08 samuluk chetana 
00:28:20:19 00:28:21:21 你能感应他人
00:28:22:05 00:28:24:08 你能从你的指尖感应到
00:28:25:16 00:28:27:05 左边有五
00:28:27:13 00:28:29:02 六和七个能量中心
00:28:29:14 00:28:31:05 右边有七个能量中心
00:28:31:20 00:28:34:20 这七个能量中心代表你的感情
00:28:35:12 00:28:38:06 这边则是肉身和思维方面
00:28:38:18 00:28:41:23 你能感应别人的所有能量中心
00:28:43:01 00:28:45:07 当我们医治人
00:28:45:20 00:28:49:01 我们可以说，我们从外医治一棵树
00:28:50:09 00:28:52:05 我们医治树叶
00:28:53:05 00:28:55:19 可是若你真的要医治一棵树 
00:28:56:04 00:28:56:24 必须从根着手
00:28:57:11 00:29:00:22 我在说你们内在的根
00:29:01:11 00:29:03:17 你内在的生命之树
00:29:04:16 00:29:07:08 你会很惊讶的即使穆罕默德
00:29:07:08 00:29:09:02 也曾描述”Kiyama”
00:29:09:08 00:29:11:24 “Kiyama”即复活的时刻
00:29:12:06 00:29:13:20 当复活的时刻到了
00:29:14:04 00:29:17:06 你双手会说话，也会见证你的一切
00:29:18:11 00:29:20:12 他们都在说这个时刻
00:29:20:24 00:29:22:10 最后审评的时刻
00:29:23:01 00:29:26:10 混乱期(Kali yuga)会带来完满期(Satya yuga)
00:29:26:21 00:29:29:16 问题是有多少人会接受它
00:29:30:13 00:29:33:05 成千上万的人走到
00:29:33:16 00:29:35:21 一些令人疯癫的地方
00:29:36:05 00:29:37:18 却不追寻实相
00:29:38:02 00:29:41:05 我认为你们需要有上天的智慧
00:29:41:14 00:29:43:02 才能明白它
00:29:43:13 00:29:44:09 你会很惊讶
00:29:44:16 00:29:48:17 我发觉俄罗斯是这方面最值得尊重的国家
00:29:49:03 00:29:51:09 因为他们并不那么物质取向
00:29:51:17 00:29:54:11 这方面他们没有自由
00:29:54:20 00:29:56:18 但却有走向内在的自由
00:29:57:01 00:29:59:01 他们很懂得内省，即使他们的作家
00:29:59:09 00:30:00:07 例如托尔斯泰和其他作家
00:30:00:14 00:30:01:18 我常常阅读他们的作品
00:30:02:09 00:30:04:09 他们很会内省
00:30:04:20 00:30:08:13 他们是…你会很惊讶，我们常常都要
00:30:08:23 00:30:10:24 安排一个大体育馆
00:30:11:08 00:30:13:13 但仍有很多人坐在外面
00:30:14:04 00:30:18:16 在一处名为Togliatti的地方
00:30:19:00 00:30:21:24 最少有二万二千个霎哈嘉瑜伽士
00:30:22:14 00:30:25:04 当我到达哪里，我的讲座就是这样出乎意料的成功
00:30:25:18 00:30:27:02 我说︰「有没有打扰你们？」
00:30:27:09 00:30:28:19 他说︰「母亲，怎会打扰我们？
00:30:29:01 00:30:30:04 我们是在神的国度
00:30:30:10 00:30:32:16 一处本来不属於我们的国度。」
00:30:33:10 00:30:36:07 这种美好的事情全世界都在发生
00:30:36:19 00:30:38:14 印度人有其他问题
00:30:38:21 00:30:40:05 就是我们有很多制约
00:30:40:24 00:30:44:11 即使面前有这种有利的条件
00:30:44:23 00:30:46:14 我们却从不响往
00:30:46:22 00:30:48:08 我们会敬拜罗摩
00:30:48:16 00:30:49:20 敬拜导师
00:30:50:12 00:30:53:15 但我们内在得到什么？
00:30:54:15 00:30:56:15 你执着於某些事物
00:30:56:23 00:30:59:12 但你自己又拥有些什么？
00:31:00:10 00:31:02:18 这就是霎哈嘉瑜伽
00:31:03:01 00:31:04:16 除非你认识自己
00:31:04:23 00:31:06:24 你不会认识罗摩
00:31:07:05 00:31:09:01 你谁也不认识
00:31:09:08 00:31:11:18 几天前我读过一本由一些疯狂的人
00:31:12:01 00:31:13:13 写有关霎哈嘉瑜伽的书籍
00:31:13:19 00:31:15:07 他否定有克里希纳
00:31:15:14 00:31:17:11 否定有罗摩
00:31:17:17 00:31:20:08 否定有耶稣基督，否定每一位
00:31:21:03 00:31:23:00 我说︰这种疯狂的人
00:31:23:08 00:31:24:23 这是很不科学的
00:31:25:06 00:31:27:14 你从未尝试找出答案
00:31:28:00 00:31:30:03 怎能这样说？
00:31:30:12 00:31:32:12 从未找出答案却说它就是这样
00:31:32:12 00:31:33:11 就如我从未到过马德拉斯
00:31:33:18 00:31:34:21 却去描述它
00:31:35:10 00:31:36:22 你会怎样说我？
00:31:37:14 00:31:40:10 同样，很多人写有关神的书籍
00:31:40:17 00:31:42:24 正因法律没有禁止他们这样做
00:31:43:06 00:31:44:15 他们可以写下任何荒唐的事情
00:31:45:23 00:31:48:19 除非我们取得实相
00:31:49:02 00:31:51:18 我们不会知道谁是假导师谁不是
00:31:52:00 00:31:53:21 就像你问我︰「母亲，他是否假导师
00:31:54:02 00:31:55:07 他是否假导师？
00:31:55:14 00:31:57:19 我会说︰「你为什么要相信我？」
00:31:58:00 00:31:59:10 若我说他不是，你便会
00:31:59:16 00:32:00:23 与我争辩
00:32:01:05 00:32:03:03 若我说他是，你便会相信我
00:32:03:09 00:32:06:01 不需要这样
00:32:06:09 00:32:07:23 你自会知道
00:32:08:11 00:32:11:00 透过它你自会知道绝对的真理
00:32:11:06 00:32:14:23 因为你的灵是绝对的
00:32:15:06 00:32:17:17 它给你绝对的真理
