00:06:15:15 00:06:23:11 我们今天聚集在这里作克里希纳崇拜
00:11:22:06 00:11:23:13 Sakshi Swarupa
00:11:23:22 00:11:30:14 一旦你能如孩子般
00:11:31:02 00:11:38:06 又高兴又喜乐的观看整个世界，你便能享受人生
00:11:38:16 00:11:40:00 这已经发生在你们身上
00:11:40:09 00:11:45:11 你像已经变成Vrindavan和Gokul的公民
00:11:45:20 00:11:47:13 自得其乐
00:11:47:22 00:11:53:06 享受与别人共处，享受神的福佑
00:11:53:16 00:11:56:13 他也显示透过杀死迦利耶(Kaliya)
00:11:56:22 00:11:59:05 杀死般丹那(Putana)和其他人
00:11:59:16 00:12:06:12 若任何人想找这些神的喜乐儿女的麻烦
00:12:06:21 00:12:12:18 他肯定会保护他们
00:12:13:02 00:12:17:09 杀掉一切令人烦扰的邪恶力量
00:12:17:22 00:12:22:17 他之后成为国王
00:12:23:03 00:12:26:06 当他成为国王
00:12:26:15 00:12:30:24 他以不同途径运用他的力量
00:12:31:08 00:12:35:10 首先，若你看到他的亲叔叔，他的亲人
00:12:35:18 00:12:39:06 他的亲叔叔，他母亲的兄弟Kansa
00:12:39:17 00:12:41:19 是个坏人
00:12:42:05 00:12:46:11 克里希纳不但没有饶恕他，还杀掉他
00:12:46:21 00:12:49:02 他杀掉很多人
00:12:49:13 00:12:53:05 在成为国王前，他杀掉很多人
00:12:53:16 00:13:00:23 他杀死自己的亲叔叔代表什么？
00:13:01:10 00:13:09:00 他拥有的其中一种品质，基督也拥有，我们也可以说
00:13:09:11 00:13:14:24 很多圣人也拥有，就是宽恕
00:13:15:09 00:13:19:05 他不相信宽恕
00:13:19:17 00:13:24:19 他是唯一一位说︰「我要去惩罚。」
00:13:25:06 00:13:28:12 我们也要有人去惩罚
00:13:28:22 00:13:30:15 若你像湿婆神
00:13:31:00 00:13:33:20 湿婆神即使恶魔也爱
00:13:34:06 00:13:38:21 以他的纯真，他还会给他们祝福
00:13:39:06 00:13:45:21 克里希纳却完全不相信宽恕
00:13:46:17 00:13:50:19 因为最重要的是要
00:13:51:02 00:13:53:08 有人以坚定的思维
00:13:53:18 00:13:57:14 坚定的判断理解，魔鬼是魔鬼
00:13:57:22 00:14:01:10 魔鬼必须要杀掉
00:14:04:16 00:14:07:09 他的一生已经做到
00:14:07:18 00:14:10:18 若你看看，他杀掉很多很多人
00:14:11:02 00:14:13:14 这并不表示你也有权杀掉任何人
00:14:13:22 00:14:16:19 他是克里希纳，你不是
00:14:17:08 00:14:21:07 我们要宽恕，因为我们是人类
00:14:21:17 00:14:25:08 一旦我们宽恕，便能把愤怒
00:14:25:18 00:14:34:01 报复的态度转移给克里希纳
00:14:36:01 00:14:37:16 他来接管
00:14:37:24 00:14:40:23 一旦我们说︰「我宽恕。」他便会接管
00:14:41:06 00:14:44:06 因为他不会宽恕
00:14:44:20 00:14:49:12 他会马上从你那处把事情接管
00:14:50:00 00:14:53:23 若这是合理的，必须的
00:14:54:06 00:15:00:00 他便会惩罚那些折磨圣人
00:15:00:09 00:15:03:07 摧毁正法的人
00:15:05:03 00:15:06:22 现在是很惊讶的
00:15:07:05 00:15:10:23 无论人想宣扬什么
00:15:11:08 00:15:15:17 想宣扬的便会变成它的反面
00:15:16:03 00:15:18:16 这是很令人惊讶
00:15:19:03 00:15:24:00 就如我们说基督曾经说︰
00:15:24:07 00:15:26:11 我们不要有淫邪的眼睛
00:15:26:20 00:15:30:17 就眼睛而言，基督徒的眼睛是最差劲的
00:15:31:08 00:15:37:18 同样，印度教说
00:15:39:00 00:15:42:00 每个人都是灵
00:15:42:10 00:15:47:06 但印度教徒却仍然相信不同的种性，不同的小区
00:15:47:18 00:15:51:06 还互相攻击
00:15:52:04 00:15:57:21 任何宣扬鼓吹的，人们只会背道而驰
00:15:58:07 00:16:00:24 若你阅读古兰经，在古兰经中
00:16:01:09 00:16:03:23 穆罕默德常常
00:16:04:07 00:16:06:22 谈及rahmat，即慈悲
00:16:07:06 00:16:09:00 你却任何地方也找不到慈悲
00:16:09:11 00:16:11:01 他没有说shariat
00:16:11:10 00:16:12:19 他没有说很多
00:16:13:03 00:16:17:07 现在穆斯林在实行实践的事情，他们只是自说自话
00:16:17:18 00:16:20:02 他没有说妇女必须遮蔽她们的脸
00:16:20:11 00:16:22:16 和头
00:16:23:01 00:16:26:13 无论是否这样做，都只是报复
00:16:26:23 00:16:32:11 它是向我们展示，无论什么在宣扬鼓吹
00:16:32:20 00:16:37:04 人们都反其道而行
00:16:39:17 00:16:44:13 当这种事情发生，正法便走下坡
00:16:45:00 00:16:50:15 你们也知道，克里希纳的国家是美国
00:16:51:02 00:16:52:22 他统治美国
00:16:53:08 00:17:01:11 美国是个丰盛繁荣的国家，因为克里希纳是Kubera
00:17:01:24 00:17:05:14 他是财富之主
00:17:06:00 00:17:09:17 他赐予美国财富
00:17:10:04 00:17:17:21 他是Vachana，即沟通
00:17:18:13 00:17:24:04 他的另一种品质是他懂沟通
00:17:24:14 00:17:29:04 是他与gopis和gopas(众牧女)共舞
00:17:29:15 00:17:36:14 是他把他的力量转移给他们
00:17:37:01 00:17:43:05 所以沟通是他其中一种
00:17:43:16 00:17:45:23 在美国运作的了不起品质
00:17:46:09 00:17:51:13 他们却背道而驰
00:17:51:23 00:17:54:18 若有任何战争，例如与萨旦姆‧侯赛因开战
00:17:55:03 00:17:57:02 美国会参与加入
00:17:57:11 00:18:00:03 韩战，美国也参与
00:18:00:12 00:18:05:04 任何地方有战争，美国都会参与加入
00:18:05:10 00:18:06:18 我是说你可以问︰
00:18:07:01 00:18:08:18 你是谁？为什么，为什么你要这样关注费心？
00:18:09:03 00:18:11:01 留在自己国家去享受吧
00:18:11:12 00:18:13:06 为何你要派军队到每一处？
00:18:13:14 00:18:15:00 为何你要照顾每一个人？」
00:18:15:09 00:18:17:23 即使联合国也是
00:18:18:07 00:18:22:07 在美国的指引下成立
00:18:22:16 00:18:24:23 美国在成立联合国
00:18:25:07 00:18:28:22 统一世界、和平
00:18:29:08 00:18:34:15 诸如此类的事情上扮演着很重要的角色
00:18:35:03 00:18:41:11 实际上，若你看看，克里希纳的主要教导
00:18:41:22 00:18:44:08 他们却错失了
00:18:44:17 00:18:46:09 他们沟通方面还可以
00:18:46:16 00:18:50:05 与国与国之间
00:18:50:13 00:18:53:09 建立关系还可以
00:18:53:19 00:18:57:23 他们最差劲的要算是没有正法
00:18:58:06 00:19:01:23 没有正法的概念，没有道德
00:19:02:22 00:19:06:13 拥有民主却没有道德
00:19:06:24 00:19:12:12 在美国谈论道德是很出人意表的
00:19:13:00 00:19:17:12 他们不理解任何谈论道德的人
00:19:18:00 00:19:22:05 现在，当然，他们干的事
00:19:22:14 00:19:25:15 真的为他们带来痛苦的折磨
00:19:26:02 00:19:30:03 他们也意识到，他们一些人意识到
00:19:30:11 00:19:33:18 因为不道德的行为
00:19:34:05 00:19:38:19 这个国家的
00:19:39:03 00:19:43:11 六成半人
00:19:43:21 00:19:50:05 会染上某些疾病
00:19:50:16 00:19:52:22 或在很年青便去世
00:19:53:06 00:19:58:11 这个
00:19:58:22 00:20:05:19 赤裸裸的
00:20:09:15 00:20:13:00 事实是很震撼
00:20:13:10 00:20:17:01 尽管如此，尽管所有这些
00:20:17:10 00:20:20:13 他们仍然继续如此，还以为︰
00:20:20:21 00:20:25:19 不、不、不、不要紧的，这种事不会发生在我们身上，有什么需要担忧呢？
00:20:26:08 00:20:30:10 现在他的惩罚已经开展
00:20:30:21 00:20:34:19 他们却意识不到惩罚怎样开展
00:20:35:04 00:20:39:18 就如现在有人过着不道德的生活
00:20:40:05 00:20:44:17 他因此患上某些疾病
00:20:45:06 00:20:49:18 一些不治之症
00:20:50:14 00:20:53:16 他们尝试用各种疗法
00:20:54:00 00:20:56:13 来医治这些因不道德生活
00:20:56:22 00:21:00:12 而染上的疾病，却没法把病治好
00:21:00:23 00:21:07:02 美国医学界不可能
00:21:07:08 00:21:11:11 找出治好这些因不道德生活
00:21:11:18 00:21:14:05 而染上的疾病的疗法
00:21:14:13 00:21:17:13 但最差劲的要算是他们
00:21:17:23 00:21:21:20 连不道德是错的也不肯说
00:21:22:10 00:21:28:04 他们甚至不公开承认不道德的行为
00:21:28:14 00:21:31:22 引致这些疾病
00:21:32:11 00:21:36:22 这种不道德在这个
00:21:37:09 00:21:41:03 克里希纳出生的国家被完全忽视
00:21:41:15 00:21:47:11 克里希纳却常常说道德，只为建立巩固道德
00:21:48:18 00:21:51:19 在这里，只有虚假表面的道德
00:21:52:05 00:21:55:17 就如伊斯兰或基督徒
00:21:56:04 00:22:01:09 或印度教徒所讲的话，都是虚假表面的，伪善的
00:22:01:20 00:22:04:04 他们表面遵从一个道德标准
00:22:04:14 00:22:11:16 却秘密地遵从另一个自己的标准
00:22:12:01 00:22:15:18 美国是很开放的
00:22:16:04 00:22:19:12 无论他们做什么，都不会隐藏
00:22:19:23 00:22:22:02 他们说︰「我们不相信伪善。」
00:22:22:14 00:22:24:04 所以他们没有任何隐藏
00:22:24:13 00:22:28:12 这种不道德行为却带领这个广阔浩瀚
00:22:28:21 00:22:31:11 美丽漂亮、富有繁盛的国家
00:22:31:20 00:22:35:09 进入这种沟渠，我也不知道
00:22:35:19 00:22:38:12 该怎样令它复原，除非
00:22:38:21 00:22:41:09 他们接受霎哈嘉瑜伽
00:22:41:19 00:22:48:01 其二是正法对正常人有什么影响？
00:22:48:17 00:22:51:18 正道的人天生会
00:22:52:02 00:22:54:12 经常内省
00:22:54:23 00:23:01:19 他想知道︰「我做的事是否妥当？是否正确？」
00:23:02:06 00:23:07:08 他不容许自己的思维为错事辩解
00:23:07:21 00:23:10:21 这是真正合乎正道的人的征兆
00:23:11:05 00:23:12:20 他可能不是霎哈嘉瑜伽士
00:23:13:08 00:23:19:08 但他会问自己︰「这是对还是错？」
00:23:19:20 00:23:25:02 可是在美国，这个能力已完全丧失
00:23:25:13 00:23:28:11 他们从不内省
00:23:28:23 00:23:32:24 反而常常说︰「有什么错呢？」
00:23:33:11 00:23:37:03 继续这样下去的人
00:23:37:13 00:23:45:05 一定会一团糟
00:23:45:14 00:23:53:03 缺乏道德作向导，作指引
00:23:54:21 00:24:02:03 内省能令你有觉醒的良知
00:24:02:12 00:24:05:24 这个良知告诉你︰「这是错的。」
00:24:06:09 00:24:08:12 他们可能得到部分的指引
00:24:08:22 00:24:11:13 例如，你要明白，他们可能说︰
00:24:11:24 00:24:16:03 「我们管理方面没问题。」又或︰
00:24:16:13 00:24:22:24 「我们的…例如，我们的铁路，我们的运输
00:24:23:10 00:24:27:24 我们其他东西，又或我们的经济银行
00:24:28:09 00:24:29:24 无论是什么等等都没问题。」
00:24:30:09 00:24:33:08 对人类而言，这些事物都是极之虚假表面
00:24:33:18 00:24:37:06 外在的
00:24:37:18 00:24:42:21 内在是由良知
00:24:43:06 00:24:48:24 也是由道德上的审察来管理
00:24:49:10 00:24:52:01 人们说︰「母亲，这个良知是什么？」
00:24:52:12 00:24:53:22 良知就在这里
00:24:54:08 00:24:59:16 常常都存在着，我们要
00:25:00:02 00:25:03:21 察觉意识到它︰「我有良知。」
00:25:04:10 00:25:08:03 良知便要回应
00:25:08:15 00:25:12:06 我们内在的良知
00:25:12:16 00:25:18:07 是克里希纳在我们内在的光，即使我们有自觉之前它已存在
00:25:18:21 00:25:22:08 你也知道，灵量
00:25:22:21 00:25:26:23 透过由摩诃拉希什米指导带领的中脉升起
00:25:27:09 00:25:31:01 她是克里希纳的力量
00:25:32:09 00:25:36:14 透过聆听你的良心
00:25:37:05 00:25:45:07 你内里发展出恰当的摩诃拉希什米的通道
00:25:45:21 00:25:48:05 没有良知的人
00:25:48:15 00:25:52:20 在某方面不是这样，在每一方面，每一途径
00:25:53:05 00:25:55:00 不然，一个轮穴妥当
00:25:55:10 00:25:57:19 另一个轮穴便陷入险境
00:25:58:05 00:26:02:03 所以我们要听从良心
00:26:02:16 00:26:05:22 那是超越理性的，是不理性的
00:26:06:10 00:26:09:13 杀人
00:26:09:23 00:26:11:12 掠夺别人的钱财或土地
00:26:11:23 00:26:15:20 也许看来是很理性
00:26:16:07 00:26:20:16 但良心会告诉你这是不对的
00:26:21:03 00:26:24:12 那时候，当人侵略其他国家
00:26:24:22 00:26:28:09 想控制其他人
00:26:28:21 00:26:31:08 你要明白，美国是唯一一个国家
00:26:31:17 00:26:35:01 从没超越它的界线
00:26:35:12 00:26:37:24 去建立成为帝国
00:26:38:11 00:26:40:17 这是很令人惊讶，为什么他们没有那样做？
00:26:41:03 00:26:44:01 原因是当这种荒唐的事情
00:26:44:10 00:26:49:13 在全世界持续着，当那个年代人们
00:26:49:22 00:26:51:20 不介意支配别人
00:26:52:03 00:26:56:07 掠夺别人的土地，这种事情发生的时候
00:26:57:00 00:26:59:21 美国已经停止干这种事
00:27:00:07 00:27:02:23 在此之前，他们一次性已经干了
00:27:03:09 00:27:06:14 他们占领别人的土地，变成地主
00:27:06:22 00:27:09:19 已经成为地主。当然，他们是外来的
00:27:10:05 00:27:12:08 在此之后
00:27:12:20 00:27:16:04 在其他人扩展他们的帝国的年代
00:27:16:16 00:27:19:13 他们没有这样做
00:27:20:01 00:27:23:18 原因何在？他们为何不继续扩展领土？
00:27:24:00 00:27:25:03 我们要提问
00:27:25:12 00:27:28:07 为何其他人扩展帝国时
00:27:28:15 00:27:32:15 美国没有？
00:27:33:05 00:27:35:12 原因很简单
00:27:35:20 00:27:39:09 那时候一些伟大的，有良知的人
00:27:39:19 00:27:41:19 在美国出生
00:27:42:05 00:27:45:16 他们引导带领这个国家
00:27:46:02 00:27:50:07 你也可以说，华盛顿在那里
00:27:50:19 00:27:56:04 当然，还有很多人，若我要说出他们的名字
00:27:56:13 00:27:58:07 会是一张长长的名单
00:27:58:15 00:28:01:17 若你看看他们的品格，他们的人生，他们怎样生活
00:28:02:01 00:28:04:06 就像林肯，若你看看他的人生
00:28:04:17 00:28:07:15 是充满良知，充满良知
00:28:08:02 00:28:13:07 他们不容许国家漂向野心
00:28:13:17 00:28:16:17 占领收集其他国家
00:28:17:03 00:28:19:09 令这些国家成为他们的奴隶…
00:28:19:19 00:28:22:06 他们没有这样做
00:28:22:18 00:28:28:13 所以最早的地方，当…
00:28:28:23 00:28:31:11 我是说当哥伦布到达的地方，他佂服他们，
00:28:31:21 00:28:37:00 还想…实际上，他做的不多
00:28:37:11 00:28:40:02 西班牙人以及之后的其他人，再之后的盎格鲁撒克逊人(Anglo-Saxons)
00:28:40:11 00:28:43:04 他们全部人，攻击占领其他国家
00:28:43:14 00:28:46:07 一旦他们安顿下来
00:28:46:20 00:28:52:04 彷佛这个世代对他们而言已经完全结束
00:28:52:16 00:28:55:23 他们开始谈论自由
00:28:56:10 00:29:00:16 谈论民主，谈论更高的价值观
00:29:01:05 00:29:08:07 他们以往种下的业报(karmas)
00:29:08:22 00:29:14:02 杀掉无数的土著
00:29:14:14 00:29:17:03 无数的印地安人
00:29:17:15 00:29:21:16 除非他们接受学习霎哈嘉瑜伽
00:29:22:04 00:29:27:13 不然克里希纳是不会原谅他们
00:29:29:02 00:29:32:08 虽然那时候他们不想
00:29:32:20 00:29:36:04 侵占控制其他国家，扩展他们的帝国
00:29:36:14 00:29:42:09 作出各种残暴行为，像希特勒，他们没有这样做
00:29:42:21 00:29:46:01 他们却时常维护正义
00:29:46:13 00:29:48:06 想去…我是说，至少
00:29:48:15 00:29:52:07 他们变得伪善，整体上
00:29:52:16 00:29:55:16 表面上，他们想展示
00:29:55:24 00:29:58:24 他们想团结全世界
00:29:59:09 00:30:04:02 反对种族主义，反对原教旨主义
00:30:04:11 00:30:09:20 我是说他们宣扬传播某种理想主义
00:30:10:07 00:30:16:15 虽然如此，自我毁灭的念头
00:30:16:24 00:30:19:13 已开始在他们身上起作用
00:30:19:20 00:30:24:23 我要说的是业报
00:30:25:07 00:30:29:04 在他们身上起作用
00:30:30:04 00:30:35:22 所以为何暴力在那里那么猖獗
00:30:36:09 00:30:39:01 那么多疾病，那么多事情发生
00:30:39:13 00:30:44:20 值得注意的是这些烦恼
00:30:45:08 00:30:49:09 最近在美国已经开展
00:30:51:03 00:30:55:14 因为揭露开展
00:30:56:01 00:30:58:24 还有，很多假导师
00:30:59:08 00:31:04:14 来到那里
00:31:05:15 00:31:08:10 迷惑单纯简朴的真理追寻者
00:31:08:15 00:31:11:01 在美国，我们失去很多追寻者
00:31:11:10 00:31:16:13 这里也是，我要说
00:31:17:01 00:31:19:23 在被他们杀害的人的咀咒氛围下
00:31:20:09 00:31:25:06 作出反应，他们接受错误的事物
00:31:25:16 00:31:28:07 就个人生活而言
00:31:28:16 00:31:32:03 为何他们要接受这些错事
00:31:32:14 00:31:34:18 已经给了他们自由
00:31:35:05 00:31:39:06 但他们认为自由是用来摧毁他们
00:31:39:17 00:31:43:00 令他们的生活一团糟
00:31:43:14 00:31:47:08 这些错误的念头在他们身上运作
00:31:47:20 00:31:50:03 整个观念变成集体观念
00:31:50:15 00:31:53:05 当它变成集体，他们发现人们
00:31:53:16 00:31:56:09 喜欢的事物都富有毁灭性
00:31:56:22 00:31:58:22 所以我们有好莱呜
00:31:59:09 00:32:03:00 有这种机构，这种音乐家
00:32:03:13 00:32:10:12 这种大，大…我们也可以说，毁灭力量
00:32:11:08 00:32:18:15 组成结党结派好战激进的组织
00:32:19:00 00:32:26:06 它们公开的说︰「我们就是这样。」
00:32:26:15 00:32:33:11 例如，只有美国有撒旦
00:32:33:22 00:32:38:03 撒旦的组织，魔鬼的组织
00:32:38:17 00:32:42:22 接着有巫术魔法，公开地
00:32:43:10 00:32:48:15 他们在美国公开注册
00:32:49:03 00:32:51:14 世界其他地方找不到这种
00:32:51:22 00:32:53:22 巫术组织
00:32:54:07 00:32:55:21 这是巫术机构
00:32:56:07 00:32:59:11 他们公开的在这里登记注册
00:32:59:23 00:33:03:04 他们就是到达这种程度
00:33:03:15 00:33:07:02 集体的接受
00:33:07:13 00:33:12:05 原因是惩罚
00:33:12:23 00:33:18:08 这就是为何对我们，对霎哈嘉瑜伽而言
00:33:18:20 00:33:22:03 美国是最困难的地方
00:33:22:14 00:33:25:05 我们要对他们有真正的怜悯
00:33:25:17 00:33:30:05 他们现在正处于被惩罚处分的阶段
00:33:30:19 00:33:35:14 因为他们的先祖作出种种错事
00:33:36:00 00:33:41:00 他们亦从不接受正法为人生的原则
00:33:41:19 00:33:45:00 他们认为正法扼杀自由
00:33:45:11 00:33:49:23 正法让别人剥夺扼杀
00:33:50:08 00:33:56:02 个人的私生活
00:33:56:13 00:34:01:12 所以要在美国建立巩固正法
00:34:02:07 00:34:04:00 我们该怎办？
00:34:04:11 00:34:07:04 我到过美国十次
00:34:07:14 00:34:10:22 多过我到俄罗斯
00:34:11:11 00:34:18:14 我真的想引起他们注意︰
00:34:18:21 00:34:21:03 你们已经丧失正法
00:34:21:12 00:34:22:24 但我却没法感染他们
00:34:23:08 00:34:24:16 因为他们都很自我
00:34:25:01 00:34:28:02 若你这样告诉他们，他们会很生气
00:34:28:13 00:34:30:23 相反，那些告诉他们的人，像Rajneesh
00:34:31:07 00:34:34:19 和其他人︰「噢！这个，没有正法。」因为他们的缺点
00:34:35:05 00:34:38:12 他们的自我受吹捧，所以他们便感到很快乐
00:34:38:23 00:34:41:12 要令这个国家的人明白
00:34:41:22 00:34:46:02 他们正在受罚，他们要成为
00:34:46:13 00:34:49:06 霎哈嘉瑜伽士才能克服停止这个惩罚
00:34:49:16 00:34:51:22 是很困难的任务
00:34:52:07 00:34:55:23 借着霎哈嘉瑜伽，唤醒他们的正法
00:34:56:10 00:35:01:20 他们受的惩罚，受的咀咒都会结束
00:35:02:06 00:35:04:20 美国需要霎哈嘉瑜伽多于
00:35:05:05 00:35:07:01 任何国家
00:35:07:12 00:35:11:00 我对美国的关注亦是源于同一个原因
00:35:11:14 00:35:14:00 我不说太多南美
00:35:14:13 00:35:16:21 要说多一点北美
00:35:17:07 00:35:20:09 即使在南美，我发现
00:35:20:22 00:35:28:23 这些国家
00:35:29:14 00:35:36:24 对正法毫无指引，没有指引
00:35:37:19 00:35:40:17 他们公开的举行嘉年华(狂欢会)，这个，那个
00:35:41:04 00:35:46:08 我是说你怎能在国家做这些事情？
00:35:46:18 00:35:50:07 他们都追随北美的脚步
00:35:50:18 00:35:53:15 就如北美有荒唐的万圣节
00:35:53:24 00:35:55:11 我是说试想像在街上公开的
00:35:55:21 00:35:57:18 庆祝荒唐的万圣节
00:35:58:03 00:35:59:16 他们在追随嘉年华
00:36:00:02 00:36:03:01 对他们而言︰「呀！到里约热内卢是件大事。」
00:36:03:10 00:36:07:01 彷佛这是个很大的成就
00:36:07:10 00:36:08:13 从世界各地来参加嘉年华
00:36:08:24 00:36:13:05 人们从澳洲来
00:36:14:12 00:36:19:19 所有这些对他们都有很大反作用
00:36:20:04 00:36:23:12 他们在很多方面都很差劲
00:36:24:00 00:36:30:15 要解释为何他们能到这种程度是不容易的
00:36:31:03 00:36:37:06 就像十三岁的女孩在巴西成为妓女
00:36:37:21 00:36:41:02 公开地
00:36:41:23 00:36:46:00 砍掉亚马逊的树木，公开地
00:36:46:13 00:36:49:12 走私活动在进行，公开地
00:36:49:23 00:36:52:09 政客贪污腐败
00:36:52:18 00:36:56:05 那里，我是说很多妖术在那里
00:36:56:15 00:36:59:13 很多妖术，公开地
00:36:59:24 00:37:06:00 他们只是追随北美的脚步
00:37:06:12 00:37:11:11 正法就像这里的天主教会
00:37:11:23 00:37:15:10 谁来教导他们正法，天主教会？
00:37:15:22 00:37:18:24 他们上教堂，做一切事情
00:37:19:10 00:37:25:10 再带着相同的思维概念回家
00:37:25:24 00:37:29:24 很多国家都很贫穷
00:37:30:12 00:37:35:15 这显示 Kumbera 的注意力并没有放在这些国家
00:37:36:04 00:37:39:16 通常穷人都有正法，通常都有
00:37:40:07 00:37:42:11 因为你看，金钱给人这些
00:37:42:22 00:37:45:19 荒唐的事物和自我
00:37:46:06 00:37:51:09 通常穷人都有正法，但这里的穷人却与别不同
00:37:51:19 00:37:54:20 他们过分沉醉在巫术
00:37:55:05 00:37:57:24 他们告诉我，他们
00:37:58:07 00:38:00:20 接受来自非洲的巫术
00:38:01:06 00:38:04:21 这种事情在南美发展至此
00:38:05:07 00:38:08:10 不可能明白他们
00:38:09:00 00:38:11:15 为何会那么容易接受这种荒唐的事物
00:38:12:02 00:38:15:10 那么容易咀咒自己
00:38:15:21 00:38:18:15 现在，我们要明白这些问题
00:38:18:23 00:38:24:07 在我们内在，在我们的喉轮也存在着
00:38:25:02 00:38:31:00 若我们要保持喉轮妥当
00:38:31:16 00:38:36:19 你也知道我们有两方面，左面和右面
00:38:37:11 00:38:44:24 喉轮的右面是谈话
00:38:45:11 00:38:48:14 谈论正法
00:38:48:24 00:38:54:08 我们也可以说是进取侵略方面
00:38:55:05 00:38:58:17 现在，那些好勇斗狠
00:38:59:05 00:39:01:00 说话态度挑衅的人
00:39:01:10 00:39:07:07 他们想用言语来控制人
00:39:08:00 00:39:11:21 他们都是偏右面
00:39:12:07 00:39:16:21 我曾经见过这些人，他们真的做错事
00:39:17:06 00:39:21:10 例如，一个仆人偷东西
00:39:21:24 00:39:25:24 你叫他来，你会很惊叹于他对你很粗鲁无礼
00:39:26:08 00:39:27:17 他很粗鲁
00:39:28:02 00:39:33:00 怎会这样，他怎会偷东西？
00:39:33:11 00:39:37:13 他毫不害怕，很友善的回答你
00:39:38:00 00:39:40:06 所以偏右脉的人
00:39:40:16 00:39:43:05 把他们犯的任何罪
00:39:43:15 00:39:44:21 做的任何错事
00:39:45:06 00:39:48:15 犯的谋杀用言语来隐藏掩饰
00:39:49:03 00:39:53:23 他说的话可以是很富有侵略性，喧闹的
00:39:54:08 00:39:58:12 人们或许会想︰「噢，怎会这样？
00:39:58:22 00:40:02:02 这个人大声的说出一切
00:40:02:13 00:40:05:13 你只是…只是被吓倒，你想︰
00:40:05:22 00:40:08:23 不，不可能，人怎能会说这种话？
00:40:09:08 00:40:13:14 我们也以这种方式，作为人类
00:40:14:00 00:40:18:13 沉迷于各种荒唐的事情
00:40:19:00 00:40:22:22 还尝试以言辞来辩解
00:40:23:19 00:40:25:16 以求脱身
00:40:26:00 00:40:32:13 你知道很多罪犯，战犯
00:40:32:24 00:40:36:13 都用说话
00:40:37:02 00:40:40:09 来编故事，以这种方式来脱身
00:40:40:21 00:40:43:20 人类就是这样
