00:02:15:13 00:02:22:01 今天我們聚集在一個合適的場合
00:22:01:11 00:22:05:14 但我必須要說，我們必須向西方學習科學
00:22:06:00 00:22:10:03 我們必須向西方學習其他事物
00:22:10:04 00:22:13:05 審美學
00:22:14:12 00:22:19:02 當然還有繪畫和藝術，或許還有色彩設計
00:22:21:04 00:22:24:03 但在文化方面，你還是向印度人學習比較好
00:22:29:05 00:22:33:03 這裏缺乏文化，我發現完全沒有文化
00:22:34:12 00:22:39:07 這是怎樣的文化，婦女裸露她們的身體？
00:22:39:07 00:22:44:14 是妓女文化，就是這樣簡單，面對它吧。
00:22:55:08 00:22:59:13 一處婦女不尊重自己的私處的地方
00:22:59:14 00:23:05:01 是沒有文化，就算以上天的美學來說也不是
00:23:08:03 00:23:15:01 今天他們竟然為瑪利亞製作一部描述
00:23:15:01 00:23:20:09 她是妓女的電影，我的意思是你必須到此為止
00:23:21:03 00:23:26:06 在印度若你這樣說，你會被人好好的毆打，任何人都可以
00:23:26:07 00:23:28:10 無論他是穆斯林，印度人，基督徒
00:23:30:02 00:23:34:11 我的意思是聽到他們這樣談論基督，我感到很震驚
00:23:34:11 00:23:37:10 對印度人來說，這是一種震動
00:23:37:11 00:23:44:00 你怎可以說這些話，因為當你放棄你的貞操
00:23:44:01 00:23:49:02 你便不會明白有人可以是
00:23:49:02 00:23:51:11 完全擁有貞操的
00:23:52:08 00:23:55:02 對一個賊來說，每一個人都是賊
00:23:59:11 00:24:04:04 因為你沒有對貞操那份尊敬
00:24:04:04 00:24:08:05 所以你不能想像基督可以是怎麽樣
00:24:08:05 00:24:10:08 你不能想像，不能接受
00:24:14:07 00:24:17:12 他們對基督說了一些不能容忍的事情
00:24:17:13 00:24:20:02 我告訴你，不能容忍，我也不知道
00:24:20:03 00:24:27:12 我曾經面對祂被釘十字架，那是不能容忍的
00:24:27:13 00:24:32:01 若你向其他人說這種事情
00:24:32:01 00:24:36:07 若你對一位印度女士作出這種評語
00:24:36:07 00:24:39:06 一位平凡的印度女士，她會自殺
00:24:52:02 00:24:55:05 不能向任何人這樣說
00:24:55:06 00:24:57:06 「你看來很美麗。」
00:24:57:07 00:24:59:09 你向你的母親這樣說︰「你看來很好。」是可以的
00:25:00:07 00:25:02:09 這就是分別。但你不能對任何女士這樣說
00:25:12:08 00:25:15:13 你必須要抽身而出
00:25:15:14 00:25:22:04 這就是為甚麽
00:25:22:04 00:25:25:04 人們那樣脾氣差的其中一個原因
00:25:28:13 00:25:35:08 你內在的磁石是錫呂‧格涅沙
00:25:38:08 00:25:41:05 很多人都知道我的方向感很強
00:25:41:06 00:25:44:12 這是藉由這種完美的磁石而來
00:25:44:13 00:25:53:02 這種吸力令你保持黏貼著靈，調節方向向著靈
00:25:53:02 00:25:58:03 或始終向著靈
00:25:58:03 00:26:05:06 若你沒有貞操的意識，你便會搖擺不定
00:26:05:07 00:26:08:08 今天你忽然變成一位非常好的霎哈嘉瑜伽士
00:26:08:08 00:26:09:13 明天你卻變成魔鬼
00:26:11:04 00:26:17:06 因為沒有甚麽約束你
00:26:20:12 00:26:29:07 令你保持向著靈這個偉大的念頭。讓我們面對它
00:26:29:08 00:26:32:10 現在對我們來說時候到了，所有霎哈嘉瑜伽士
00:26:34:07 00:26:39:03 我們內在的最偉大的不是性，而是貞操
00:26:49:13 00:26:53:04 它令你成熟
00:26:58:05 00:27:03:11 在Bordi，很驚訝的有些人有這樣的言行
00:27:03:11 00:27:05:14 當我知道了，我感到很驚訝
00:27:05:14 00:27:10:00 他們怎能在Bordi的村民
00:27:10:00 00:27:12:02 一些純真，簡單的人面前作出這樣的言行？
00:27:17:05 00:27:22:03 最精彩的部分是當你沉醉在輕挑
00:27:22:04 00:27:28:06 和荒謬的行為，侮辱你的貞操
00:27:28:07 00:27:31:11 你真的落後了
00:27:34:00 00:27:36:14 就像沒有電油，你的車便不能動
00:27:36:14 00:27:38:14 就像這樣，某些事情發生在你身上
00:27:43:04 00:27:45:10 你不停的扭痛別人
00:27:45:10 00:27:49:04 互相說些輕挑的說話
00:27:49:05 00:27:52:03 有甚麽需要這樣做，我就是不懂
00:27:52:03 00:27:54:13 最後離婚收場
00:27:56:13 00:27:58:14 有一次，我走到Selfridges那處
00:27:59:00 00:28:01:02 我必須告訴你這是一個很有趣的故事
00:28:01:02 00:28:05:14 在一群人中有二個人，一男一女
00:28:06:00 00:28:07:09 常常都在接吻
00:28:07:09 00:28:09:08 並沒有因為
00:28:09:09 00:28:12:07 同一部電梯中有很多其他人在而被打擾
00:28:12:07 00:28:16:06 在電梯中他們接吻，在其他場合他們接吻
00:28:16:06 00:28:19:12 我的意思是他們在折磨著所有在場的印度人
00:28:19:12 00:28:23:04 或其他人，又或是中國人，埃及人
00:28:23:05 00:28:31:13 這種展覽持續著，我下一次遇見他們
00:28:31:14 00:28:35:04 他們沒有接吻
00:28:35:05 00:28:36:07 我說︰「發生了甚麽事？
00:28:36:08 00:28:38:02 「我們離婚了。」
00:28:41:00 00:28:43:02 我說︰「那天你們為甚麽吻得那麽多？
00:28:43:03 00:28:46:10 他們說︰「因為我們將要離婚，
00:28:46:11 00:28:49:01 所以想最後吻多一點。」
00:28:50:07 00:28:55:04 是甚麽層次，試想像是怎樣的層次，怎樣的愛
00:28:55:04 00:29:00:04 你對任何人有怎樣的感覺，不會是這種吧
00:29:04:07 00:29:06:08 常常爭吵
00:29:06:09 00:29:13:13 最終離婚收場，卻炫耀這些
00:29:13:14 00:29:19:05 有深度的人格不會在外展示這些
00:29:19:05 00:29:24:03 當然，有人告訴我，在這裏，這裏的公立學校說
00:29:24:03 00:29:26:11 你永遠不要外在的顯示你的情緒
00:29:28:14 00:29:31:01 但你卻可以顯示其他
00:29:31:01 00:29:36:01 真是荒謬或無恥，不能顯示你的情緒
00:29:37:10 00:29:40:10 真是一處荒謬的地方
00:29:45:10 00:29:48:05 接受所有這些價值
00:29:50:00 00:29:52:11 我們像綿羊一樣，完全沒有去思考。
00:29:58:08 00:30:02:00 像我在法國，有一女孩到來，她正在哭泣
00:30:02:00 00:30:04:05 她說︰「我會…可怕，可怕
00:30:04:06 00:30:08:07 我永遠也不會再到這些心理學家那處
00:30:08:08 00:30:10:01 我問︰「為甚麽？」
00:30:10:02 00:30:12:11 「他們說了些有關我父親下流的事情。」
00:30:13:14 00:30:15:11 試想像
00:30:19:10 00:30:23:09 人們接受可怕的佛洛依德的那些主意
00:30:27:03 00:30:31:06 基本上是錯的，無論它們是否已經成為歷史
00:30:31:07 00:30:33:03 或無論怎樣，你還是放棄它吧
00:30:34:14 00:30:40:12 對上天來說，甚麽是錯的就是錯
00:30:40:13 00:30:43:13 甚麽是對的就是對的
00:30:48:07 00:30:52:05 現在有真正的反對
00:30:52:05 00:30:54:11 當人們走到國外
00:30:54:11 00:30:58:02 丈夫或妻子，這位或那位，他們接吻
00:30:58:03 00:31:00:00 互相諷刺，為甚麽要這樣？
00:31:01:00 00:31:03:10 你吻這個人，跟著走來向我說些批評他的說話
00:31:03:10 00:31:11:12 我曾經見過這樣。若有甚麽需要自衛
00:31:11:13 00:31:16:06 就必定是你的貞操，你的私穩
00:31:17:12 00:31:21:05 這就是為甚麽你沒有自制力做任何事情，沒有自制力
00:31:21:05 00:31:24:00 當一些愚蠢的人來告訴你一些事情時
00:31:24:00 00:31:27:08 你會說︰「好吧，我接受。」
00:31:31:01 00:31:35:05 你個性的精粹是甚麽，是你的貞操。
00:31:38:12 00:31:42:04 在霎哈嘉瑜伽，你可以重建任何
00:31:42:04 00:31:45:01 你失去的，你可以
00:31:45:12 00:31:48:07 這就是為甚麽缺乏深度
00:31:54:12 00:31:58:08 這就是不能一致的原因
00:31:58:09 00:32:03:05 人們的品性，不能一致
00:32:05:10 00:32:09:11 今天有一千二百人來到我的講座
00:32:09:12 00:32:13:02 明天可能一個也沒有，全部都遺失了
00:32:14:00 00:32:17:10 因為沒有根基，就像鬆開了的聯繫
00:32:19:01 00:32:24:00 沒有了聯繫，連接點就是你的貞操
00:32:26:11 00:32:30:14 沒有一致，stjhaapayati(即可以建立的性質)不存在
00:32:32:09 00:32:35:02 若你告訴他們︰「你必須早上起來
00:32:35:03 00:32:40:09 先洗澡，再做崇拜。」這是非他們的能力所及
00:32:47:05 00:32:54:08 但若你告訴一位印度女士或告訴我，若你說︰
00:32:54:08 00:32:56:09 「你穿這樣這樣的衣服。」
00:32:56:10 00:33:03:02 我就是穿不了，不，沒有可能，是沒有可能
00:33:03:02 00:33:06:03 我可以整晚保持清醒
00:33:06:04 00:33:08:13 但這樣的事情我就是做不了，只是做不了
00:33:11:09 00:33:15:12 因為你的注意力，你的先後次序改變了
00:33:19:09 00:33:22:13 你內在擁有所有
00:33:22:13 00:33:28:08 你是貞操的貨倉，那是你的力量
00:33:28:08 00:33:33:08 所有在你內裏，甚麽也沒有走出去，所有都在那裏
00:33:33:08 00:33:40:00 所有芬芳都在你內裏，全都得到保存
00:33:40:00 00:33:45:01 不要責備自己，你是那麽幸運的
00:33:45:01 00:33:47:07 有我告訴你所有這些
00:33:47:08 00:33:50:10 你是那麽幸運的有我與你一起
00:33:50:11 00:33:52:13 你們明白這一點嗎？
00:33:55:02 00:33:56:13 你不需要走到喜瑪拉雅山
00:33:56:14 00:33:59:10 你不需要倒立
00:34:02:06 00:34:04:14 你不需要做這樣的事情
00:34:04:14 00:34:10:01 你看，之前這些聖人通常都坐在
00:34:10:01 00:34:16:07 你不會相信，坐在冰冷的水裏，或是在喜瑪拉雅山
00:34:16:07 00:34:20:09 在空曠處坐上很多小時，去凍僵他們荒謬的念頭
00:34:20:09 00:34:25:07 現在不再需要這樣
00:34:25:08 00:34:30:08 很容易做到。你要改變你的先後次序
00:34:34:07 00:34:38:10 當注意力完全放在你的靈上
00:34:38:11 00:34:46:05 你會很驚訝整個排行榜會完全改變
00:34:48:06 00:34:52:12 甚麽事情是最重要的？是每天靜坐
00:34:55:04 00:34:58:12 我曾經見過有些人想報讀一些課程，例如，
00:34:58:12 00:35:00:09 我告訴你︰「你還是報讀一些課程比較好。」
00:35:00:10 00:35:04:13 他們每天參加這個課程，參加這個班
00:35:04:14 00:35:08:06 他們都會有成就，他們這個課程得到合格
00:35:08:06 00:35:12:01 盡力去做，去完成課程
00:35:12:01 00:35:16:01 但他們卻不恆常靜坐
00:35:20:02 00:35:25:02 有一個小間隙你必須明白
00:35:26:06 00:35:36:07 當你感受到一點點那種永恆喜樂的跡象
00:35:38:00 00:35:41:06 我們便會開始向前移，
00:35:41:07 00:35:44:12 移得越來越前，把自己建立在
00:35:44:12 00:35:47:12 在這個喜樂的海洋中
00:35:47:13 00:35:54:02 一點點。當某人想你游泳
00:35:54:03 00:35:58:09 但你感到害怕，你不想游泳
00:35:58:09 00:36:01:08 你樂於在岸邊
00:36:01:09 00:36:05:09 你不想游泳，有人把你推向前
00:36:05:10 00:36:08:04 你又走回來︰「不，爸爸，我做不了。」
00:36:08:05 00:36:13:06 但當你學懂游泳，你享受游泳
00:36:14:10 00:36:17:13 當你喜歡上游泳，你便想每天都去游泳
00:36:17:13 00:36:20:03 恆常地，虔誠地
00:36:22:05 00:36:27:09 這個小間隙，你必須跨越
00:36:27:10 00:36:33:10 第二點是我常常說的
00:36:33:11 00:36:37:10 你們都是蓮花，但卻陷於污泥中
00:36:37:10 00:36:40:04 你們都知道污泥是怎麽樣的
00:36:40:05 00:36:47:09 若印度是海洋，蓮花很容易的
00:36:47:09 00:36:50:08 從水中走出來
00:36:50:08 00:36:54:05 但從污泥中走出來卻非常困難
00:36:58:02 00:37:01:05 就如你掉進污泥
00:37:02:03 00:37:05:01 若你踢它，你便越陷越深
00:37:05:01 00:37:08:00 你有任何的動作，你也會越陷越深
00:37:08:01 00:37:12:02 最好還是只觀看著，保持不動
00:37:12:02 00:37:16:11 最佳的途徑，就是觀看自己
00:37:16:12 00:37:20:03 若你的注意力不妥當，你又怎能靜觀？
00:37:20:03 00:37:23:01 注意力是某人走在這裏
00:37:23:01 00:37:25:10 你看著這個人，另一個人走到那裏
00:37:25:10 00:37:28:00 你看著這個人，你看著每一個人
00:37:29:07 00:37:34:06 但卻看不到花朵，看不到樹木
00:37:34:07 00:37:38:03 看不到母親大地，甚麽也看不到
00:37:38:03 00:37:47:03 你看到的只是一些於事無補的壞事，比你還要差
00:37:52:08 00:37:55:07 今天是一個他們說不要看月亮的日子
00:37:56:14 00:38:00:09 若你看月亮，它會變得不吉祥
00:38:00:09 00:38:03:04 你會得到壞名字。他們說錫呂‧克里希納看到月亮
00:38:03:04 00:38:07:01 所以祂得了一個壞名字。祂是ranchordas
00:38:07:02 00:38:09:10 意思是祂從戰場中逃跑出來
00:38:09:10 00:38:11:10 這是祂的把戲，祂必須逃跑
00:38:11:11 00:38:13:03 你是不應該去看月亮
00:38:13:03 00:38:15:11 原因是，為甚麽要這樣說
00:38:15:11 00:38:18:04 因為今天我們要會見錫呂‧格涅沙
00:38:18:05 00:38:20:12 祂是母親大地
00:38:22:01 00:38:23:13 祂藉由母親大地作出行動
00:38:23:13 00:38:28:11 我們擁有的大部分東西都是來自母親大地
00:38:31:03 00:38:33:10 所以這一次我們必須要去見母親大地
00:38:33:10 00:38:40:01 靈量和錫呂‧格涅沙，即今天
00:38:41:04 00:38:45:09 母親大地創造了錫呂‧格涅沙
00:38:45:09 00:38:50:00 所以你們不要去看任何外在的東西
00:38:50:01 00:38:53:09 你甚至不要去看月亮，只看母親大地
00:39:02:08 00:39:05:14 因為母親大地藉由她的愛
00:39:05:14 00:39:09:08 她的慈悲，為你們做了很多事
00:39:09:08 00:39:12:05 你的靈量也為你們做了很多事
00:39:15:04 00:39:20:08 而她的兒子，那是我們內在的純真
00:39:20:08 00:39:26:14 是我們今天要敬拜的，因為祂為我們做的事是最多
00:39:26:14 00:39:31:14 盡管我們把所有侮辱，所有揶揄
00:39:32:00 00:39:36:02 所有髒話，各種荒謬加在祂的身上
00:39:36:02 00:39:40:05 祂仍然像小孩子一樣站起來逗我們高興
00:39:47:05 00:39:50:09 若你內在有錫呂‧格涅沙，你變得像小孩
00:39:50:10 00:39:56:08 像小孩般的純真，你不會生任何人氣
00:39:56:09 00:39:59:10 像狗吠般，我知道有一些霎哈嘉瑜伽士
00:39:59:11 00:40:04:00 常常像狗隻或印度的乞丐一樣吠叫
00:40:09:02 00:40:13:09 但你變得像小孩一般非常甜美
00:40:13:10 00:40:16:07 常常想逗人高興
